ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
QUBT,2025-06-30,61000,26000,-10171000,5975000,10197000,-36482000,-36424000,-35315000,1109000,-0.26,-0.06,-0.2,-333.3333,426084000,30102000,348758000,None,None,395982000,-219982000,141401000,96000,366000,1372000,-6103000,1024000,0,0,-36482000,2710657170.0000005,19.17,141401000.0
QUBT,2025-03-31,39000,-962000,-8286000,2985000,7324000,16982000,17040000,18015000,975000,-0.0492,-0.07,0.0208,29.7143,242533000,21706000,166429000,None,None,220827000,-183500000,153006000,20000,131000,2022000,-4431000,1733000,0,0,16982000,1224048000.0,8.0,153006000.0
QUBT,2024-12-31,62000,-1222000,-8914000,4758000,7692000,-51237000,-49202999,-47946999,1256000,-0.4721,-0.05,-0.4221,-844.2,153559000,46272000,78945000,None,None,107287000,-200482000,93881000,27000,18000,1372000,-3774000,2866000,0,-1366000,-51237000,1553730550.0,16.55,93881000.0
QUBT,2024-09-30,101000,-842000,-5438000,2244000,4596000,-5675000,-5368000,-4517000,851000,-0.06,-0.08,0.02,25,76810000,10908000,3064000,327000,6514000,65902000,-149245000,93048000,369000,241000,923000,-4577000,514392,215000,1366307,-5204619,60751039.2,0.6529,93048000.0
QUBT,2024-06-30,183000,58000,-5267000,2094000,5450000,-5194000,None,None,None,-0.06,-0.08,0.02,25,75955000,3601000,2526000,None,None,72354000,-143570000,94416000,56000,266000,1672000,-4014000,1077000,0,-911000,-5194000,39701928.0,0.4205,94416000.0
QUBT,2024-03-31,74846,-2572062,-16263266,4073292,13691205,-5597496,-15459884,-12877859,2582025,-0.08,-0.08,0,0,78728275,5459722,2059285,2496480,None,73268553,-149718453,66611000,344000,72650,1461541,-5305510,46610,865000,-455307,-8306168,66611000.0,1.0,66611000.0
QUBT,2023-12-31,74893,10370,-7907156,1629996,7982049,-8306168,None,None,None,-0.1072,-0.1,-0.0072,-7.2,74355000,5652000,2059000,None,None,68703000,-131940000,77451356,65000,73000,1462000,-5305510,0,None,None,-8306170,69280237.942,0.8945,77451356.0
QUBT,2023-09-30,50000,-826000,-6611000,2328000,5785000,-6841000,-6472000,-5620000,852000,-0.11,-0.1,-0.01,-10,89332551,8088926,7379362,5666586,None,81243625,-141412285,71588000,545613,167201,1130739,-4846276,1583267,215000,0,-8275919,75883280.0,1.06,71588000.0
QUBT,2023-06-30,112000,-775000,-6958000,2466000,6183000,-7417000,-6880000,-6044000,836000,-0.07,-0.11,0.04,36.3636,88647790,11735253,7196795,7730416,None,76912537,-133136366,62667000,626057,202168,935351,-4623000,202576,215000,8116636,-7417000,73947060.0,1.18,62667000.0
QUBT,2023-03-31,121000,-756000,-6095000,2184000,5339000,-6137000,-5710000,-4889000,821000,-0.14,-0.1,-0.04,-40,89527073,12583723,6764866,9533830,4114,76943350,-128493920,58948000,63005,224333,922032,-4716301,378754,4129000,6551455,-8506139,77221880.0,1.31,58948000.0
QUBT,2022-12-31,1278,-15194144,-18228054,1420274,3033910,-18786154,-18226350,-16696415,1529935,-0.14,-0.14,0,0,89300331,14403600,5308466,1893608,7632998,74896731,-119987781,55963000,12774,224302,871887,-5992243,285904,102390,None,-18786154,85063760.0,1.52,55963000.0
QUBT,2022-09-30,37646,-4062316,-6833993,1266489,2771677,-7569278,-6832833,-5319318,1513515,-0.22,-0.22,0,0,95324021,11144472,10381376,1841351,7506856,84179549,-101201627,68903577,94807,375605,888105,-4291815,156138,105565329,None,-7569278,172947978.26999998,2.51,68903577.0
QUBT,2022-06-30,65484,-1876198,-4808364,850444,2932166,-5104576,-4775201,-4521017,254184,-0.17,-0.19,0.02,10.5263,91880061,1298851,6742793,22937,None,90581210,-93632349,44949871,83969,519212,756622,-4377651,84720993,None,None,-5104576,106980692.97999999,2.38,44949871.0
QUBT,2022-03-31,31240,19672,-6708931,1024587,6728603,-424768,-6698067,-6695025,3042,-0.24,-0.16,-0.08,-50,13303085,1036926,11513369,8656,None,12266159,-88527773,38135094,1283677,455693,797005,-4193833,3383,105671,None,-7133692,99151244.4,2.6,38135094.0
QUBT,2021-12-31,0,-2545,-4628275,790602,4625730,-15620425,-15341721,-15339176,2545,-0.54,-0.16,-0.38,-237.5,17284196,1082298,16738657,18084,None,16201898,-81394081,29157000,None,None,464870,-1941568,11085,117454,None,-15620425,99425370.0,3.41,29157000.0
QUBT,2021-09-30,0,-2218,-4779988,613057,4777770,-4777957,-4777957,-4775739,2218,-0.16,-0.15,-0.01,-6.6667,11079074,775815,10433082,38834,None,10303259,-65773657,29156815,None,None,457894,-2187934,4263,None,-91,-4777956,181501173.375,6.225,29156815.0
QUBT,2021-06-30,0,-2219,-4328701,565692,4326482,-4108719,-4108720,-4106501,2219,-0.14,-0.14,0,0,12895785,799553,12625370,53952,None,12096232,-60995700,29055702,None,None,587349,-1169027,4263,None,250029,-4108720,151089650.4,5.2,29055702.0
QUBT,2021-03-31,0,-2016,-3393129,625445,3391113,-3391746,-3391746,-3389730,2016,-0.12,None,0,None,14090413,600153,13765848,218371,None,13490260,-56886981,28730702,None,None,246961,-1506431,4043,None,-2385440,-3391746,201114914.0,7.0,28730702.0
QUBT,2020-12-31,0,-1871,-6010876,572141,6009005,-10600178,-7121317,-7119446,1871,-0.38,None,0,None,15268051,693207,15196322,218371,None,14574844,-53495235,17185000,None,None,366706,-6090808,8715,None,-2385440,-10600179,242480350.0,14.11,17185000.0
QUBT,2020-09-30,0,-1581,-8676183,287020,8674602,-11657324,-10870025,-10868444,1581,-0.68,None,0,None,4007842,3387618,3978433,1810426,None,620224,-42895057,17184875,None,None,171322,-3041612,8715,None,None,-11657324,63412188.75,3.69,17184875.0
QUBT,2020-06-30,0,-1580,-917556,335673,915976,-1778599,-1635854,-1634274,1580,-0.2,None,0,None,530879,3523844,496601,2030230,None,-2992965,-31237733,8611190,None,None,289569,-2139395,8715,None,1954940,-1778599,23077989.200000003,2.68,8611190.0
QUBT,2020-03-31,0,-1581,-1738392,344682,1736811,-698179,-571537,-569956,1581,-0.09,None,0,None,240925,2445670,199331,1548698,None,-2204745,-29459133,7764046,None,None,207453,-268709,3258,None,430500,-698179,17080901.200000003,2.2,7764046.0
QUBT,2019-12-31,None,-1209,-765691,337750,764482,-6482492,-765402,-764193,1209,-0.88,None,0,None,148245,2960538,101100,1609000,None,-2812293,-28760955,7764000,None,None,218261,-699035,8262,None,None,-6482492,23292000.0,3.0,7764000.0
QUBT,2019-09-30,None,-730,784159,256928,-784889,770305,785638,786368,730,0.1,None,0,None,334317,1374448,308397,1109000,None,-940131,-22278462,7362046,None,None,161893,-610706,13077,None,2160540,770304,25767161.0,3.5,7362046.0
QUBT,2019-06-30,None,-350,-1982982,145158,1982632,-2033226,-1978813,-1978463,350,-0.38,None,0,None,822495,3429590,807144,3124500,None,-2407095,-23048767,5299161,None,None,97545,-499592,7014,None,-1767080,-2033227,23316308.400000002,4.4,5299161.0
QUBT,2019-03-31,None,-351,-583138,151290,582787,-635673,-580263,-579912,351,-0.3837,None,0,None,1354477,3435846,1332735,3171122,None,-1981369,-21015540,4749161,None,None,108079,-434344,662986,None,-1767080,-635673,19234102.05,4.05,4749161.0
QUBT,2018-12-31,0,0,-4494166,95219,4494166,-9202306,19628971,-5119499,29,-0.1338,None,0,None,1797156,3314102,1767080,3070500,None,-1516946,-20379867,5918862,None,None,54018,-1208739,662986,None,-1767080,18422694,17756586.0,3.0,5918862.0
QUBT,2018-09-30,0,-11167,-24719045,77700,24707878,-27005729,-24719045,-24707878,11167,16.1594,None,0,None,2437710,3625997,1677185,3481100,None,-1188287,-11177561,5919000,100000,None,71877,-667614,450000,None,None,-27005729,73987500.0,12.5,5919000.0
QUBT,2018-06-30,None,None,-400209,59388,400209,-875209,None,-400209,400209,-4.5627,None,0,None,627011,1267569,305799,1225100,None,-640558,-10571832,1094000,100000,None,None,-435681,220000,None,None,-875209,,,
