ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
REKR,2025-06-30,12359000,4553000,-7735000,3652000,12288000,-8658000,-8097000,-6536000,1561000,-0.07,-0.06,-0.01,-16.6667,80072000,44673000,5170000,2505000,14858000,35399000,-279625000,117435953,8288000,4580000,4090000,-7655000,301000,None,-69000,-8658000,136225705.48,1.16,117435953.0
REKR,2025-03-31,9198000,4437000,-10139000,3977000,14576000,-10874000,-10139000,-8583000,1556000,-0.2217,-0.05,-0.1717,-343.4,79802000,46443000,3851000,2861000,14828000,33359000,-270967000,106815912,7922000,4196000,4545000,-8079000,349000,None,-93000,-10874000,94713669.17040001,0.8867,106815912.0
REKR,2024-12-31,13277000,6897000,-18478000,4034000,25375000,-20355000,-19935000,-17517000,2418000,-0.22,-0.06,-0.16,-266.6667,82475000,48334000,5013000,4289000,14799000,34141000,-260093000,91808265,7572000,4297000,4330000,-4917000,820000,None,0,-20355000,143220893.4,1.56,91808265.0
REKR,2024-09-30,10546000,4643000,-12854000,4740000,17497000,-12646000,-12150000,-9751000,2399000,-0.1485,-0.08,-0.0685,-85.625,101195000,60861000,10602000,3847000,14770000,40334000,-239738000,89285197,7068000,3944000,5773000,-9626000,350000,None,-9000,-12646000,105356532.46,1.18,89285197.0
REKR,2024-06-30,12427000,6651000,-10075000,4991000,16726000,-9795000,-9251000,-6907000,2344000,-0.12,-0.12,0,0,97878000,51722000,3089000,4538000,14676000,46156000,-227092000,84932611,9355000,3627000,6272000,-10040000,351000,None,0,-9795000,135042851.49,1.59,84932611.0
REKR,2024-03-31,9778000,2161000,-12916000,5001000,15077000,-18614000,-17560000,-15228000,2332000,-0.23,-0.11,-0.12,-109.0909,107150000,52191000,12267000,3022000,15639000,54959000,-217297000,79558346,7910000,3754000,6905000,-7886000,161000,None,-180000,-18614000,179006278.5,2.25,79558346.0
REKR,2023-12-31,11066000,5886000,-9346000,4260000,15232000,-11324000,-10272000,-8303000,1969000,-0.16,-0.1,-0.06,-60,92151000,58781000,15713000,2883000,24942000,33370000,-198683000,69176826,5295000,3058000,5139000,-5512000,444000,None,0,-11324000,217215233.64000002,3.14,69176826.0
REKR,2023-09-30,9119000,4799000,-9803000,4270000,14602000,-10566000,-9660000,-7697000,1963000,-0.16,-0.14,-0.02,-14.2857,88159000,44580000,7034000,2728000,10115000,43579000,-187359000,66671622,7364000,3459000,5619000,-7466000,454000,11156000,-16000,-10566000,185347109.16,2.78,66671622.0
REKR,2023-06-30,8563000,4432000,-10280000,4783000,14712000,-11113000,-10366000,-8202000,2164000,-0.18,-0.16,-0.02,-12.5,83914000,41989000,2438000,3791000,9618000,41925000,-176793000,61816279,6043000,2676000,5447000,-10289000,238000,None,17000,-11113000,110032976.62,1.78,61816279.0
REKR,2023-03-31,6185000,3317000,-12687000,4958000,16004000,-13438000,-11921000,-9813000,2108000,-0.23,-0.2,-0.03,-15,93768000,41791000,12066000,1171000,10123000,51977000,-165680000,54680048,4638000,2016000,6158000,-9360000,728000,None,-89000,-12682000,68350060.0,1.25,54680048.0
REKR,2022-12-31,4549000,2439000,-9991000,4844000,12430000,-7166000,-7485000,-5547000,1938000,-0.13,-0.19,0.06,31.5789,83840000,34503000,1924000,4244000,2349000,49337000,-152998000,54405080,3578000,1986000,5963000,-9522000,599000,None,98000,-7166000,80519518.4,1.48,54405080.0
REKR,2022-09-30,6778000,3123000,-47682000,4911000,15970000,-48034000,-48943000,-47091000,1852000,-0.9,-0.27,-0.63,-233.3333,93458000,38160000,7869000,3233000,2380000,55298000,-146171000,53482110,4655000,3069000,7295000,-7264000,934000,None,-98000,-48128000,53482110.0,1.0,53482110.0
REKR,2022-06-30,4334000,1668000,-15551000,4727000,17219000,-15653000,-15551000,-14031000,1520000,-0.33,-0.26,-0.07,-26.9231,136984000,37635000,13988000,2918000,2379000,99349000,-98086000,47154453,5178000,3228000,7391000,-10670000,754000,None,-98000,-15602000,82991837.28,1.76,47154453.0
REKR,2022-03-31,3608000,1625000,-12606000,4092000,14231000,-12596000,-12592000,-11193000,1399000,-0.29,-0.22,-0.07,-31.8182,120096000,26645000,14606000,2389000,28000,93451000,-82484000,44087911,1823000,1228000,4337000,-12156000,1814000,None,-98000,-12601000,201040874.16,4.56,44087911.0
REKR,2021-12-31,3189000,1658000,-11567000,3551000,13225000,-7001000,-10812000,-9429000,1383000,-0.13,-0.21,0.08,38.0952,125879000,24792000,25796000,1478000,37000,101087000,-69883000,41938863,1173000,1194000,7087000,-5708000,4654000,None,0,-7000000,274699552.65,6.55,41938863.0
REKR,2021-09-30,2615000,1213000,-9655000,2000000,10868000,-9613000,-9589000,-8659000,930000,-0.23,-0.12,-0.11,-91.6667,132648000,25895000,35102000,2006000,46000,106753000,-62882000,41938863,2774000,1822000,6492000,-5478000,825000,None,-214000,-9613000,481877535.87,11.49,41938863.0
REKR,2021-06-30,4274000,2842000,-4685000,1519000,7527000,-4762000,-4666000,-4041000,625000,-0.12,-0.1,-0.02,-20,104564000,9391000,69032000,2185000,55000,95173000,-53269000,40972709,2336000,1357000,3274000,-3684000,368000,None,13000,-4761000,416282723.44,10.16,40972709.0
