ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
ROK,2025-06-30,2144000000,876000000,388000000,None,488000000,295000000,382000000,463000000,81000000,2.82,2.67,0.15,5.618,11193000000,7565000000,495000000,940000000,2617000000,3463000000,5284000000,113000000,1867000000,1253000000,840000000,527000000,38000000,147000000,-124000000,293000000,37535210000.0,332.17,113000000
ROK,2025-03-31,2002000000,802000000,345000000,None,457000000,252000000,337000000,418000000,81000000,2.45,2.12,0.33,15.566,10993000000,7388000000,450000000,1204000000,2568000000,3439000000,5285000000,113300000,1820000000,1175000000,766000000,199000000,28000000,148000000,-132000000,248000000,29274454000.0,258.38,113300000
ROK,2024-12-31,1882000000,721000000,342000000,None,379000000,184000000,251000000,329000000,78000000,1.83,1.58,0.25,15.8228,10944000000,7388000000,471000000,1137000000,2564000000,3385000000,5181000000,113500000,1675000000,1234000000,789000000,364000000,71000000,149000000,-100000000,178000000,32437165000.000004,285.79,113500000
ROK,2024-09-30,2036200000,779100000,311200000,477300000,467900000,239100000,314300000,395500000,81200000,2.47,2.47,0,0,11232100000,7556900000,471000000,1168100000,2561300000,3498300000,9634900000,113700000,1802000000,1293100000,860400000,432300000,64900000,141700000,-118200000,238000000,30523901999.999996,268.46,113700000
ROK,2024-06-30,2050100000,812500000,358700000,None,453800000,232000000,295100000,373600000,78500000,2.71,2.08,0.63,30.2885,11188600000,7685200000,406700000,1214800000,2559300000,3325700000,9395800000,114200000,1875100000,1356400000,844200000,279100000,40700000,142000000,-163000000,230900000,30322383999.999996,265.52,114200000
ROK,2024-03-31,2125000000,827600000,326200000,None,501400000,266200000,348700000,429500000,80800000,2.5,2.16,0.34,15.7407,11367300000,7645300000,470300000,1174900000,2584500000,3543600000,9449300000,114800000,1960200000,1384700000,903200000,119800000,51200000,143300000,-193400000,265000000,32530876000.0,283.37,114800000
ROK,2023-12-31,2050800000,785200000,271500000,None,513700000,215200000,292000000,368900000,76900000,2.04,2.64,-0.6,-22.7273,11333300000,7546200000,439500000,602600000,2863000000,3607700000,9326500000,115200000,1934900000,1474000000,935000000,32600000,67900000,144000000,-120300000,212700000,35294976000.0,306.38,115200000
ROK,2023-09-30,2561500000,1046400000,494900000,529500000,551500000,301600000,348400000,416800000,68400000,3.64,3.45,0.19,5.5072,11304000000,7560600000,1071800000,186700000,2862900000,3561600000,9255200000,115600000,2167400000,1404900000,1150200000,839500000,63200000,135500000,-54400000,205700000,32824620000.0,283.95,115600000
ROK,2023-06-30,2236800000,907200000,405800000,None,501400000,400200000,505300000,567400000,62100000,3.01,3.17,-0.16,-5.0473,11743300000,8121100000,443500000,970000000,2866900000,3343200000,8952200000,115600000,2245000000,1435200000,1009100000,281700000,41600000,135500000,-61900000,398700000,38084420000.0,329.45,115600000
ROK,2023-03-31,2273700000,924300000,422700000,None,501600000,300300000,386300000,448400000,62100000,3.01,2.6,0.41,15.7692,11469100000,8033600000,456000000,1206800000,2868100000,3155500000,8824200000,115600000,2045600000,1328500000,992400000,187100000,31500000,135500000,-38400000,294900000,33922820000.0,293.45,115600000
ROK,2022-12-31,1980000000,799700000,330500000,None,469200000,384000000,501100000,558900000,57800000,2.46,1.88,0.58,30.8511,11149800000,7949200000,460000000,1243900000,2866900000,2914800000,8659900000,115500000,1839400000,1270500000,1034500000,66300000,24200000,135900000,-156800000,378700000,30194010000.0,261.42,115500000
ROK,2022-09-30,2125800000,873600000,425400000,440900000,448200000,337900000,438500000,499200000,60700000,3.04,2.97,0.07,2.3569,10758700000,7742000000,490700000,1051700000,2867800000,2725600000,8411800000,115800000,1736700000,1054200000,1028000000,399400000,40800000,129000000,-82800000,336000000,24909738000.0,215.11,115800000
ROK,2022-06-30,1968200000,794000000,352300000,None,441700000,297900000,374100000,430900000,56800000,2.66,2.38,0.28,11.7647,10799900000,8114300000,482900000,688400000,3464100000,2391200000,8072800000,116500000,1702200000,989100000,989200000,344900000,18300000,130200000,-167300000,297900000,23219615000.0,199.31,116500000
ROK,2022-03-31,1808200000,662000000,233500000,None,428500000,53900000,70300000,132800000,62500000,1.66,2.26,-0.6,-26.5487,10715500000,7785600000,443000000,727500000,3466000000,2632200000,8035100000,117100000,1572500000,931200000,932100000,90800000,44900000,130100000,-1400000,49400000,32791512999.999996,280.03,117100000
ROK,2021-12-31,1857500000,749900000,302500000,None,447400000,241500000,311200000,370100000,58900000,2.14,1.91,0.23,12.0419,10743300000,7936500000,540000000,695600000,3469100000,2504900000,8111700000,117300000,1487400000,868900000,851300000,-12000000,37100000,130100000,-49800000,238900000,40920105000.0,348.85,117300000
