ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
RXRX,2025-06-30,19103000,-1058000,-176227000,128636000,175169000,-171897000,-171417000,-147568000,23849000,-0.41,-0.35,-0.06,-17.1429,1302355000,383209000,528216000,32216000,14196000,919146000,-1805589000,417361147,21606000,None,19314000,-76418000,3150000,None,None,-171897000,2111847403.82,5.06,417361147.0
RXRX,2025-03-31,14745000,-7084000,-191368000,129634000,184284000,-202487000,-202137000,-182806000,19331000,-0.5,-0.516,0.016,3.1008,1305234000,371287000,500453000,20440000,16446000,933947000,-1633694000,402772000,46124000,None,25086000,-131957000,1832000,None,None,-202487000,2130663880.0,5.29,402772000.0
RXRX,2024-12-31,4511000,-8283000,-183768000,98334000,175485000,-178906000,-178151000,-165200000,12951000,-0.53,-0.4168,-0.1132,-27.1593,1448598000,413816000,594350000,22220000,19022000,1034782000,-1431283000,336036000,49166000,None,21613000,-115430000,1648000,None,None,-178906000,2271603360.0,6.76,336036000.0
RXRX,2024-09-30,26082000,14003000,-98354000,74600000,112357000,-95675000,-95122000,-87924000,7198000,-0.34,-0.35,0.01,2.8571,726499000,201940000,427647000,16452000,20510000,524559000,-1252377000,282583048,2255000,None,2260000,-59225000,1562000,None,None,-95842000,1862222286.32,6.59,282583048.0
RXRX,2024-06-30,14417000,1318000,-100543000,70028000,101861000,-97540000,-97669000,-89669000,8000000,-0.4,-0.4,0,0,775861000,191412000,476124000,25323000,22921000,584449000,-1156535000,242196409,2526000,None,3762000,-82219000,4182000,None,None,-97540000,1806785211.14,7.46,242196409.0
RXRX,2024-03-31,13794000,-772000,-96340000,64160000,95568000,-91373000,-92132000,-84732000,7400000,-0.39,-0.42,0.03,7.1429,557847000,156696000,299521000,6117000,1071000,401151000,-1058995000,236019349,2599000,None,5115000,-102300000,6653000,None,None,-91373000,2211501300.1299996,9.37,236019349.0
RXRX,2023-12-31,10891000,-12590000,-109130000,66082000,96540000,-92996000,-109130000,-93514000,15616000,-0.42,-0.45,0.03,6.6667,653699000,190263000,394796000,12273000,1101000,463436000,-967622000,233158161,3094000,None,3953000,-74077000,2417000,None,None,-92996000,2301271049.0699997,9.87,233158161.0
RXRX,2023-09-30,10102000,-775000,-99550000,70007000,98775000,-93017000,-92992000,-85392000,7600000,-0.43,-0.38,-0.05,-13.1579,630825000,192858000,387322000,11405000,1126000,437967000,-874626000,214327186,3164000,2256000,4265000,-72920000,827000,None,None,-93017000,1534582651.76,7.16,214327186.0
RXRX,2023-06-30,11016000,1634000,-81715000,55060000,83349000,-76726000,-76700000,-69154000,7546000,-0.38,-0.37,-0.01,-2.7027,666699000,197736000,405870000,11114000,1155000,468963000,-781609000,201415475,3051000,3325000,2086000,-67467000,3968000,None,3811000,-76726000,1504573598.25,7.47,201415475.0
RXRX,2023-03-31,12134000,-314000,-69865000,46677000,69551000,-60789000,-65308000,-59592000,5716000,-0.34,-0.35,0.01,2.8571,627366000,197191000,473145000,9541000,1179000,430175000,-704883000,191618238,2057000,1311000,4247000,-73316000,5340000,None,1946000,-65327000,1278093647.46,6.67,191618238.0
