ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
SNAP,2025-06-30,1344930000,691597000,-259676000,443325000,951273000,-262570000,-227300000,-187277000,40023000,-0.16,-0.15,-0.01,-6.6667,7398987000,5329630000,925973000,32156000,3575972000,2069357000,-13638191000,1674854000,1164874000,None,116854000,88494000,64701000,None,-243473000,-262570000,14554481260.0,8.69,1674854000.0
SNAP,2025-03-31,1363217000,723638000,-193846000,424165000,917484000,-139587000,-107759000,-70044000,37715000,0.08,0.04,0.04,100,7589200000,5277865000,911227000,58734000,3576692000,2311335000,-13132148000,1696353000,1157615000,None,209445000,151610000,37214000,None,-257100000,-139587000,14775234630.000002,8.71,1696353000.0
SNAP,2024-12-31,1557283000,885623000,-26877000,422937000,912500000,9101000,20078000,59659000,39581000,0.16,0.14,0.02,14.2857,7936348000,5485587000,1046534000,61097000,3607717000,2450761000,-12735461000,1717119000,1348472000,None,173197000,230633000,48275000,None,0,9101000,18493371630.0,10.77,1717119000.0
SNAP,2024-09-30,1372574000,733667000,-173210000,412791000,906877000,-153247000,-139032000,-100182000,38850000,0.08,0.05,0.03,60,7591417000,5381342000,964967000,57502000,3605137000,2210075000,-12744562000,1663011000,1195701000,None,157471000,115872000,44041000,None,927892000,-153247000,17794217700.0,10.7,1663011000.0
SNAP,2024-06-30,1236768000,647847000,-253975000,406196000,901822000,-248620000,-238305000,-200375000,37930000,0.02,0.02,0,0,7420039000,5353317000,1060551000,57449000,3602563000,2066722000,-12591315000,1644736000,1141849000,None,179586000,-21377000,52062000,None,-75955000,-248620000,26348670720.0,16.02,1644736000.0
SNAP,2024-03-31,1194773000,620024000,-333232000,449759000,953256000,-305090000,-293415000,-251702000,41713000,0.03,-0.05,0.08,160,7167401000,5036053000,1060393000,36649000,3301466000,2131348000,-12266740000,1647387000,1108357000,None,246217000,88352000,50448000,None,-235114000,-305090000,18533103750.0,11.25,1647387000.0
SNAP,2023-12-31,1361287000,739783000,-248713000,483528000,988496000,-248247000,-239697000,-187373000,52324000,0.07,0.06,0.01,16.6667,7967758000,5553646000,1780400000,49321000,3749400000,2414112000,-11726536000,1638714000,1278176000,1,278961000,164574000,53719000,None,-189394000,-248247000,26448843960.0,16.14,1638714000.0
SNAP,2023-09-30,1188551000,632798000,-380063000,494559000,1012861000,-368256000,-356886000,-315677000,41209000,-0.23,-0.24,0.01,4.1667,7722905000,5229884000,1199366000,62111000,3747677000,2493021000,-11288895000,1625917000,1116511000,None,128546000,12781000,73435000,None,0,-368256000,14210514580.0,8.74,1625917000.0
SNAP,2023-06-30,1067669000,570795000,-404339000,477663000,975134000,-377308000,-359872000,-320184000,39688000,-0.02,-0.04,0.02,50,7666223000,5161263000,1228629000,57893000,3745956000,2504960000,-10920639000,1603172000,996082000,1,163604000,-81936000,36943000,None,382000,-377308000,18981556480.0,11.84,1603172000.0
SNAP,2023-03-31,988608000,548622000,-365264000,455112000,913886000,-328674000,-315944000,-280724000,35220000,0.01,-0.01,0.02,200,7888390000,5309950000,1578528000,50787000,3744237000,2578440000,-10543331000,1581370000,892511000,1,141800000,151102000,47630000,None,29000,-328674000,17727157700.0,11.21,1581370000.0
SNAP,2022-12-31,1299735000,818424000,-287597000,584942000,1106021000,-288460000,-278942000,-230451000,48491000,0.14,0.12,0.02,16.6667,8029538000,5448840000,1423121000,46485000,3742520000,2580698000,-10214657000,1573883000,1183092000,1,181774000,125291000,46925000,None,-500539000,-288460000,13928864550.0,8.85,1573883000.0
SNAP,2022-09-30,1128476000,661719000,-435242000,564258000,1096961000,-359502000,-344836000,-308545000,36291000,0.08,-0.01,0.09,900,8285194000,5384932000,1918845000,57913000,3740804000,2900262000,-9425659000,1608523000,992747000,1,188605000,55945000,37836000,None,-500513000,-359502000,15795695860.0,9.82,1608523000.0
SNAP,2022-06-30,1110909000,664532000,-400940000,505037000,1065472000,-422067000,-409519000,-330228000,79291000,-0.02,-0.02,0,0,8790791000,5347032000,2298122000,48978000,3739092000,3443759000,-9066157000,1632140000,1015607000,None,184146000,-124081000,23370000,None,1388000,-422067000,21429998200.0,13.13,1632140000.0
SNAP,2022-03-31,1062727000,641830000,-271527000,455563000,913357000,-359624000,-345941000,-307841000,38100000,-0.02,0.01,-0.03,-300,8944937000,5381901000,2412372000,51684000,3736843000,3563036000,-8644090000,1619113000,941715000,None,180387000,127459000,21175000,None,2266000,-359624000,58271876870.0,35.99,1619113000.0
SNAP,2021-12-31,1297885000,848734000,-25127000,434195000,873861000,22550000,39631000,74494000,34863000,0.22,0.1,0.12,120,7536306000,3746138000,1993809000,52396000,2253087000,3790168000,-8284466000,1668879000,1068873000,None,125282000,185528000,24565000,None,2916000,22550000,78487379370.0,47.03,1668879000.0
SNAP,2021-09-30,1067471000,623998000,-180824000,412021000,804822000,-71959000,-66936000,-34426000,32510000,0.17,0.08,0.09,112.5,7111165000,3671049000,1972358000,56191000,2252079000,3440116000,-8307016000,1580966000,913539000,None,91769000,71552000,19836000,None,4045000,-71959000,116785958420.0,73.87,1580966000.0
SNAP,2021-06-30,982108000,537087000,-192512000,370671000,729599000,-151664000,-148979000,-120709000,28270000,0.1,-0.01,0.11,1100,6820815000,3912814000,2051961000,54121000,2550829000,2908001000,-8235057000,1547234000,797146000,None,79089000,-101086000,14623000,None,3257000,-151664000,105428524760.0,68.14,1547234000.0
SNAP,2021-03-31,769584000,356983000,-303606000,348580000,660589000,-286882000,-280411000,-256913000,23498000,-0.19,-0.05,-0.14,-280,5058780000,3352602000,967519000,44872000,2245203000,1706178000,-8083393000,1501636000,612757000,None,126132000,136886000,10851000,None,4453000,-286882000,78520546440.0,52.29,1501636000.0
SNAP,2020-12-31,911322000,525776000,-97236000,318446000,623012000,-113099000,-65796000,-42985000,22811000,0.09,0.07,0.02,28.5714,5024238000,2694262000,545618000,41077000,1675169000,2329976000,-7891542000,1484277000,744288000,None,71908000,-52545000,16447000,None,8168000,-113099000,74317749390.0,50.07,1484277000.0
SNAP,2020-09-30,678668000,385573000,-167864000,283639000,553437000,-199853000,-170732000,-148928000,21804000,0.01,-0.05,0.06,120,4817774000,2619003000,824070000,40994000,1650246000,2198771000,-7778449000,1466420000,529872000,None,61978000,-54828000,14727000,None,2434000,-199853000,38288226200.0,26.11,1466420000.0
SNAP,2020-06-30,454158000,203704000,-310608000,260863000,514312000,-325951000,-302265000,-281340000,20925000,-0.09,-0.1,0.01,10,4704029000,2509364000,1251721000,42755000,1625743000,2194665000,-7578597000,1447022000,379046000,None,58618000,-66554000,15767000,None,20477000,-325951000,33990546779.999996,23.49,1447022000.0
SNAP,2020-03-31,462478000,209068000,-286364000,238613000,495432000,-305936000,-290164000,-268960000,21204000,-0.08,-0.08,0,0,3898510000,1773603000,901342000,40189000,903339000,2124907000,-7252646000,1426305000,394053000,None,54068000,6283000,10891000,None,3130000,-305936000,16958766450.0,11.89,1426305000.0
SNAP,2019-12-31,560888000,307449000,-253596000,219526000,561045000,-240704000,-225597000,-204977000,20620000,-0.17,-0.12,-0.05,-41.6667,4011924000,1752011000,520317000,42179000,891776000,2259913000,-6945930000,1409519000,492194000,None,46886000,-66842000,9093000,None,1801000,-240704000,23017445269.999996,16.33,1409519000.0
SNAP,2019-09-30,446199000,223059000,-228853000,211599000,451912000,-227375000,-220017000,-199371000,20646000,-0.04,-0.05,0.01,20,3864372000,1539957000,728828000,49725000,880391000,2324415000,-6705226000,1393358000,374090000,None,56572000,-76149000,7938000,None,7788000,-227375000,22015056400.0,15.8,1393358000.0
SNAP,2019-06-30,388021000,172529000,-304818000,236199000,477347000,-255174000,-253287000,-230627000,22660000,-0.19,-0.22,0.03,13.6364,2776025000,659327000,335744000,47100000,311663000,2116698000,-6477851000,1362544000,313504000,None,51902000,-95789000,7633000,None,1342000,-255174000,19552506400.0,14.35,1362544000.0
SNAP,2019-03-31,320426000,116659000,-316061000,216185000,432720000,-310407000,-309372000,-286053000,23319000,-0.1,-0.12,0.02,16.6667,2825743000,659866000,245639000,46078000,329293000,2165877000,-6222677000,1340615000,282407000,None,31827000,-66178000,11814000,None,5596000,-310407000,15229386400.0,11.36,1340615000.0
SNAP,2018-12-31,389822000,176874000,-194707000,164443000,371581000,-191668000,-190909000,-168227000,22682000,-0.04,-0.08,0.04,50,2714106000,403107000,387149000,None,None,2310999000,-5912578000,1324858000,354965000,None,30876000,-126054000,22741000,None,551000,-191668000,7299967580.0,5.51,1324858000.0
SNAP,2018-09-30,297695000,100141000,-323371000,203510000,423512000,-325148000,-323985000,-299087000,24898000,-0.12,-0.14,0.02,14.2857,2783776000,399684000,350398000,None,16600000,2384092000,-5720910000,1309918000,261833000,0,20175000,-132543000,26285000,0,142000,-325148000,10950914480.0,8.36,1309918000.0
