ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
SNOW,2025-07-31,1144969000,773154000,-340276000,492003000,1113430000,-298017000,-295794000,-240957000,54837000,0.35,0.27,0.08,29.6296,8196727000,5817138000,1880720000,38109000,2275674000,2372648000,-8512322000,333957000,670882000,None,166786000,74896000,16665000,None,0,-297930000,74639389500.0,223.5,333957000.0
SNOW,2025-04-30,1042074000,693288000,-447257000,472404000,1140545000,-430092000,-422152000,-373348000,48804000,-1.29,-1,-0.29,-29,8157407000,5742553000,2243083000,37098000,2273600000,2408000000,-8214507000,332657000,552917000,None,155263000,228373000,44989000,None,-490638000,-429952000,53055464930.0,159.49,332657000.0
SNOW,2025-01-31,986770000,653586000,-386678000,492490000,1040264000,-327474000,-327985000,-277855000,50130000,0.3,0.18,0.12,66.6667,9033938000,6027295000,2628798000,35923000,2271529000,2999929000,-7293575000,331432000,946405000,None,169767000,432725000,11277000,None,0,-325724000,60158222320.0,181.51,331432000.0
SNOW,2024-10-31,942094000,621200000,-365457000,442435000,986657000,-324279000,-325276000,-278230000,47046000,0.2,0.15,0.05,33.3333,8202258000,5267849000,2148928000,38288000,2269459000,2929445000,-6970492000,331761000,618852000,None,148920000,101706000,13440000,None,-1016004000,-327902000,38092798020.0,114.82,331761000.0
SNOW,2024-07-31,868823000,580745000,-355303000,437660000,936048000,-316899000,-355303000,-310192000,45111000,0.18,0.16,0.02,12.5,6943886000,2806298000,1282045000,32843000,None,4129001000,-5625819000,334071000,452797000,None,134537000,69865000,5043000,None,-400000000,-317770000,43556176980.0,130.38,334071000.0
SNOW,2024-04-30,828709000,556192000,-348572000,410794000,904764000,-316988000,-315095000,-274874000,40221000,0.14,0.18,-0.04,-22.2222,7298018000,2730326000,1330411000,30940000,None,4558234000,-4908921000,333584000,345505000,1,64239000,355468000,16519000,None,-516328999,-317816000,51772236800.0,155.2,333584000.0
SNOW,2024-01-31,774699000,532895000,-275505000,364476000,808400000,-169352000,-275505000,-240519000,34986000,0.35,0.18,0.17,94.4444,8223383000,3032789000,1762749000,33944000,None,5180308000,-4075604000,331079000,926902000,4112362000,51721000,344580000,20101000,106971001,-106971000,-169912000,64772295559.99999,195.64,331079000.0
SNOW,2023-10-31,734173000,505225000,-260623000,332065000,765848000,-214251000,-211302000,-178832000,32470000,0.25,0.16,0.09,56.25,7264379000,2323612000,982182000,33348000,None,4929921000,-3906252000,329310000,511034000,74574000,75456000,120907000,18635000,None,-400038000,-214694000,47792760300.0,145.13,329310000.0
SNOW,2023-07-31,674018000,455626000,-285407000,313996000,741033000,-226867000,-285407000,-256123000,29284000,0.22,0.1,0.12,120,7509816000,2211589000,755192000,33846000,None,5286938000,-3291963000,327335000,406404000,71969000,41248000,83191000,23513000,None,-98311000,-227320000,58170702850.0,177.71,327335000.0
SNOW,2023-04-30,623599000,414185000,-273238000,277412000,687423000,-225627000,-273238000,-250075000,23163000,0.15,0.05,0.1,200,7446774000,2148789000,653014000,29190000,None,5286243000,-3065096000,324157000,352993000,69205000,22221000,299444000,6970000,None,-191694000,-226064000,47641354290.0,146.97,324157000.0
