ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
SOUN,2025-06-30,42683000,16662000,-78051000,25805000,94713000,-74724000,-73299000,-64801000,8498000,-0.03,-0.09,0.06,66.6667,579494000,219735000,230340000,2114000,None,359759000,-887852000,402043468,41589000,None,10151000,-24497000,354000,None,None,55593450,4313926411.64,10.73,402043468.0
SOUN,2025-03-31,29129000,10618000,128097000,24756000,-117479000,129932000,130986000,139405000,8419000,-0.06,-0.0633,0.0033,5.2133,587536000,190543000,245809000,2104000,None,396993000,-813128000,414156455,41596000,None,6720000,-19185000,162000,None,None,129932000,3362950414.6,8.12,414156455.0
SOUN,2024-12-31,34543000,13784000,-257072000,20394000,270856000,-258599000,-256979000,-246427000,10552000,-0.05,-0.08,0.03,37.5,553953000,371300000,198240000,1947000,None,182653000,-943060000,375102329,49804000,None,5559000,-33123000,80000,None,None,-258599000,7442030207.36,19.84,375102329.0
SOUN,2024-09-30,25094000,12193000,-33767000,19545000,45960000,-21751000,-31133000,-27213000,3920000,-0.04,-0.07,0.03,42.8571,499654000,203667000,135606000,1906000,39694000,295987000,-684461000,360385812,38209000,None,17758000,-35315000,225000,None,None,-21751000,1679397883.92,4.66,360385812.0
SOUN,2024-06-30,13462000,8482000,-21985000,15738000,30467000,-37322000,-32598000,-30616000,1982000,-0.11,-0.09,-0.02,-22.2222,266674000,42733000,200156000,4696000,None,223941000,-662710000,331830608,19951000,None,4255000,-18492000,236000,None,None,-37322000,1290821065.1200001,3.89,331830608.0
SOUN,2024-03-31,11594000,6925000,-28529000,14878000,35454000,-33009000,-27050000,-24837000,2213000,-0.07,-0.09,0.02,22.2222,287429000,131950000,211744000,5768000,85543000,155479000,-625388000,286596559,18953000,None,2997000,-21948000,99000,None,0,-33009000,1593476868.04,5.56,286596559.0
SOUN,2023-12-31,17147000,13236000,-12393000,12713000,25629000,-18003000,-10936000,-7218000,3718000,-0.07,-0.06,-0.01,-16.6667,151122000,122954000,95260000,5516000,84312000,28168000,-592379000,254428757,15830000,1,1653000,-13870000,58000,None,None,-18003000,529211814.56,2.08,254428757.0
SOUN,2023-09-30,13268000,9678000,-14530000,12806000,24208000,-20197000,-12010000,-13194000,-1184000,-0.09,-0.09,0,0,144010000,118078000,96146000,5756000,83308000,25932000,-574376000,242022268,9515000,2359000,2163000,-20744000,41000,None,None,-22633000,474363645.28,1.96,242022268.0
SOUN,2023-06-30,8751000,6921000,-16483000,11736000,23404000,-23307000,-18155000,-16632000,1523000,-0.1,-0.11,0.01,9.0909,157578000,118789000,115764000,6070000,66428000,38789000,-550403000,220772111,7233000,2573000,1895000,-19184000,278000,None,48297000,-21932000,1004513105.05,4.55,220772111.0
SOUN,2023-03-31,6707000,4731000,-25203000,14184000,29934000,-27430000,-26005000,-24403000,1602000,-0.13,-0.12,-0.01,-8.3333,72803000,70421000,46331000,23436000,14035000,2382000,-528471000,205082328,4206000,1651000,2542000,-14467000,15000,None,-250000,-26369000,566027225.28,2.76,205082328.0
