ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
STNE,2025-06-30,3286241000,2435851000,1679746000,None,756105000,602979000,1141560000,1412448000,270888000,2.33,1.98,0.35,17.6768,55155724000,43536412000,5185579000,5115969000,8840377000,11566599000,766607000,275904799,37850481000,None,685144000,387599000,318970000,None,-397864000,602979000,4425512975.96,16.04,275904799.0
STNE,2025-03-31,3480632000,2546769000,1675738000,None,871031000,514458000,1026327000,1284726000,258399000,1.97,1.8533,0.1167,6.2969,53933910000,42466736000,5650362000,4939061000,8251459000,11416293000,168098000,286082045,36477703000,None,721675000,624331000,287515000,None,-843411000,516747000,2998139831.6,10.48,286082045.0
STNE,2024-12-31,3490700000,2585300000,1685200000,None,900100000,-2921800000,1643400000,1887400000,244000000,2.26,1.958,0.302,15.4239,54813500000,42986200000,5227700000,4969800000,7728994000,11776000000,-346400000,292765531,29622400000,None,672200000,-300800000,206000000,None,-608300000,-2921800000,2333341282.0699997,7.97,292765531.0
STNE,2024-09-30,3213298000,2354254000,1537768000,None,816486000,539692000,950888000,1214721000,263833000,1.9354,0.31,1.6254,524.3226,51925684000,36596707000,4013279000,2816973000,7218627000,15275087000,2577649000,303571205,26589267000,None,564346000,-131463000,298038000,None,-742467000,542877000,3418211768.2999997,11.26,303571205.0
STNE,2024-06-30,3087440000,2246066000,1465649000,None,780417000,496114000,907044000,1131268000,224224000,1.61,1.54,0.07,4.5455,52699743000,37480944000,4743236000,3037950000,6228696000,15163623000,2037957000,314811241,28567204000,None,525684000,-716071000,344608000,None,-236526000,498301000,3692735856.9300003,11.73,314811241.0
STNE,2024-03-31,2947653000,2137727000,1351052000,None,786675000,372981000,685710000,903045000,217335000,1.42,1.44,-0.02,-1.3889,51612385000,36607752000,4988332000,2231202000,6054799000,14951928000,1541843000,316091433,26919410000,None,510354000,-2473058000,306649000,None,-236526000,372981000,5158612186.56,16.32,316091433.0
STNE,2023-12-31,3097941000,2295247000,1532641000,None,762606000,651303000,913661000,1134704000,221043000,1.76,1.48,0.28,18.9189,48693561000,34017601000,2176416000,1879997000,3495759000,14622264000,1168862000,318400000,24355459000,1,513877000,-416620000,285323000,None,-292745000,651320000,5626128000.000001,17.67,318400000.0
STNE,2023-09-30,2952860000,2179375000,1458604000,None,720771000,408754000,672320000,895276000,222956000,1.32,1.11,0.21,18.9189,43833413000,29664608000,3693072000,1969346000,2729037000,14113335000,517559000,313144036,21707107000,131520000,450166000,63429000,176391000,None,-292745000,411336000,3344378304.48,10.68,313144036.0
STNE,2023-06-30,2759994000,2074692000,1358901000,None,2074692000,305369000,587097000,808785000,221688000,0.94,0.87,0.07,8.046,40750701000,26996759000,2202713000,1909337000,2527501000,13697924000,108805000,340874065,19164084000,148768000,423380000,832503000,332193000,None,None,307211000,4342735588.1,12.74,340874065.0
STNE,2023-03-31,2553229000,1831952000,1143976000,None,1831952000,226639000,493181000,705675000,212494000,0.73,0.68,0.05,7.3529,40511358000,27121737000,1855571000,1930165000,2659778000,13334206000,-196564000,338368129,19542183000,160432000,496712000,343000000,155300000,250000000,-53400000,78800000,3228031950.66,9.54,338368129.0
STNE,2022-12-31,2574044000,1876092000,1142794000,None,1876092000,85783000,1050949000,1265675000,214726000,0.72,0.63,0.09,14.2857,42245440000,29295416000,1512604000,2822655000,2583906000,12893906000,-423203000,312639827,21330201000,165656000,596044000,343000000,155300000,250000000,-53400000,78800000,2648059334.69,8.47,312639827.0
STNE,2022-09-30,2355777000,1684519000,1015160000,None,1684519000,202350000,478556000,682356000,203800000,0.6,0.31,0.29,93.5484,39729300000,26967000000,2343200000,2500700000,3453000000,12682800000,-502100000,303230769,19455638000,160400000,459641000,-169100000,109200000,None,-53400000,197100000,2889789228.5699997,9.53,303230769.0
