ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
STX,2025-06-30,2444000000,914000000,568000000,179000000,346000000,488000000,567000000,628000000,61000000,2.59,2.44,0.15,6.1475,8023000000,8476000000,891000000,None,4995000000,-453000000,-8151000000,218000000,1080000000,1440000000,1604000000,508000000,83000000,153000000,None,488000000,31463940000.000004,144.33,218000000
STX,2025-03-31,2160000000,760000000,431000000,180000000,329000000,340000000,432000000,495000000,63000000,1.9,1.74,0.16,9.1954,7564000000,8393000000,814000000,None,5146000000,-829000000,-8476000000,216000000,756000000,1472000000,1467000000,259000000,43000000,152000000,None,340000000,18349200000.0,84.95,216000000
STX,2024-12-31,2325000000,812000000,488000000,184000000,324000000,336000000,434000000,497000000,63000000,2.03,1.88,0.15,7.9787,7959000000,9038000000,1238000000,479000000,5200000000,-1079000000,-8654000000,217000000,737000000,1473000000,1567000000,221000000,71000000,148000000,None,336000000,18729270000.0,86.31,217000000
STX,2024-09-30,2168000000,714000000,403000000,181000000,311000000,305000000,401000000,465000000,64000000,1.58,1.46,0.12,8.2192,7972000000,9272000000,1239000000,479000000,5197000000,-1300000000,-8831000000,216000000,753000000,1383000000,1778000000,95000000,68000000,147000000,None,305000000,23658480000.0,109.53,216000000
STX,2024-06-30,1887000000,600000000,314000000,158000000,286000000,513000000,620000000,683000000,63000000,1.05,0.75,0.3,40,7739000000,9230000000,1358000000,479000000,5195000000,-1491000000,-8960000000,215000000,539000000,1239000000,1786000000,434000000,54000000,147000000,-7000000,513000000,22024600000.0,102.44,215000000
STX,2024-03-31,1655000000,425000000,143000000,164000000,282000000,25000000,140000000,203000000,63000000,0.33,0.26,0.07,26.9231,7096000000,8985000000,795000000,479000000,5192000000,-1889000000,-9319000000,213000000,457000000,1191000000,1672000000,188000000,60000000,147000000,-3000000,25000000,19549140000.0,91.78,213000000
STX,2023-12-31,1555000000,362000000,124000000,161000000,238000000,-19000000,94000000,156000000,62000000,0.12,-0.06,0.18,300,7149000000,8963000000,787000000,None,5669000000,-1814000000,-9194000000,209000000,593000000,1053000000,1619000000,169000000,70000000,146000000,-3000000,-19000000,17282210000.0,82.69,209000000
STX,2023-09-30,1454000000,149000000,-129000000,171000000,278000000,-184000000,-63000000,13000000,76000000,-0.22,-0.25,0.03,12,7196000000,8898000000,795000000,None,5666000000,-1702000000,-9025000000,208000000,630000000,1052000000,1511000000,127000000,70000000,145000000,1500000000,-184000000,13767520000.0,66.19,208000000
STX,2023-06-30,1602000000,371000000,26000000,172000000,345000000,-92000000,-1000000,103000000,104000000,-0.18,-0.25,0.07,28,7556000000,8755000000,786000000,114000000,5388000000,-1199000000,-8670000000,207000000,788000000,1140000000,1603000000,218000000,50000000,145000000,408000000,-92000000,12807090000.0,61.87,207000000
STX,2023-03-31,1860000000,319000000,-315000000,191000000,634000000,-433000000,-319000000,-193000000,126000000,-0.28,0.21,-0.49,-233.3333,7967000000,8971000000,766000000,1118000000,4840000000,-1004000000,-8430000000,207000000,994000000,1200000000,1697000000,228000000,54000000,145000000,-2000000,-433000000,13686840000.0,66.12,207000000
