ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
SYM,2025-06-30,592121000,107622000,-36556000,52147000,144178000,-5913000,-20195000,-5993000,14202000,0.07,0.05,0.02,40,1827411000,1383999000,777576000,None,None,210753000,-1337239000,109201745,372670000,138901000,215624000,-138343000,14867000,None,None,-31925000,4242487793.25,38.85,109201745.0
SYM,2025-03-31,549651000,107597000,-32058999,61540000,139655999,-3925000,-32290000,-19611000,12679000,0.05,0.05,0,0,1964185000,1542611000,954944000,None,None,205414000,-1331326000,107726978,297810000,146281000,220027000,269575000,20560000,None,None,-21438000,2177162225.38,20.21,107726978.0
SYM,2024-12-31,486693000,80039000,-24629000,43592000,104668000,-3476000,-24629000,-17384000,7245000,0.32,0.03,0.29,966.6667,1715622000,1321697000,903034000,None,None,196536000,-1327401000,106098566,357740000,108691000,206324000,205027000,7357000,None,None,-18520000,2515596999.86,23.71,106098566.0
SYM,2024-09-30,564566000,95642000,10888000,40130000,84754000,2836000,10113000,16291000,6178000,0.05,0.03,0.02,66.6667,1578552000,1188422000,727310000,None,None,203147000,-1323925000,108646977,419781000,106136000,175188000,-99383000,21367000,None,2309000,-16549000,2649899769.03,24.39,108646977.0
SYM,2024-06-30,470338000,54973000,-37620000,44722000,92593000,-4681000,-37620000,-26924000,10696000,-0.02,0.03,-0.05,-166.6667,1558442000,1179147000,870469000,1856000,None,418695000,-1321431000,102414284,261187000,132111000,156286000,50384000,17143000,47654000,None,-26724000,3633658796.3199997,35.48,102414284.0
SYM,2024-03-31,393332000,64426000,-64894000,46462000,129320000,-8809000,-30688000,-27533000,3155000,-0.07,-0.05,-0.02,-40,1588017000,1174391000,901382000,1891000,None,417061000,-1318943000,93043769,301672000,119772000,149829000,21072000,2871000,None,3435000,-54830000,4227908863.3599997,45.44,93043769.0
SYM,2023-12-31,359943000,64057000,-25099000,42144000,89156000,-2836000,-25099000,-21902000,3197000,-0.02,-0.06,0.04,66.6667,1324304000,1152429000,485952000,1874000,None,160607000,-1312363000,83320943,292507000,137666000,106088000,-30150000,2993000,None,-56000,-19072000,4140217657.6699996,49.69,83320943.0
SYM,2023-09-30,391888000,73315000,-53935000,45791000,127250000,-6208000,-39409000,-34704000,4705000,-0.08,-0.12,0.04,33.3333,1050710000,1053426000,258770000,28322000,None,82000,-1310435000,76021439,190355000,136121000,109918000,44528000,963000,None,-14961000,-45415000,2624260074.28,34.52,76021439.0
SYM,2023-06-30,311837000,52909000,-42009000,48845000,94918000,-4347000,-42009000,-39549000,2460000,-0.07,-0.06,-0.01,-16.6667,969740000,948109000,255490000,20685000,None,2476000,-1304227000,61782886,165392000,166877000,74377000,53902000,7356000,None,0,-39077000,2644925349.6600003,42.81,61782886.0
SYM,2023-03-31,266853999,48087000,-57717000,49666000,105803999,-6118000,-50177000,-48108000,2069000,-0.1,-0.03,-0.07,-233.3333,909529000,888088000,256954000,1962000,None,2368000,-1299880000,60503119,188027000,140441000,88139000,31312000,6017000,None,-11713000,-55416000,1381891237.96,22.84,60503119.0
SYM,2022-12-31,206312000,35194000,-69569000,50740000,104763000,-7193000,-69569000,-67492000,2077000,-0.09,-0.06,-0.03,-50,808946000,758644000,350724000,1917000,None,5323000,-1293762000,58235506,146148000,110914000,60885000,101052000,6990000,None,None,-67986000,701155492.24,12.04,58235506.0
SYM,2022-09-30,244412000,36729000,-54308000,43462000,91037000,-5549000,-54308000,-52519000,1789000,-0.1,-0.04,-0.06,-150,631263000,562323000,353457000,None,None,7184000,-1286569000,54800914,105228000,91900000,68448000,-51518000,7181000,None,None,-53258000,630210511.0,11.5,54800914.0
SYM,2022-06-30,175552000,31544000,-33031000,35140000,64575000,-20492000,-33031000,-31605000,1426000,-0.03,-5.43,5.4,99.4475,612831000,539703000,411662000,None,None,7012000,-1281020000,50664146,39823000,126985000,96995000,-33827000,2209000,None,362448000,-32875000,555785681.62,10.97,50664146.0
SYM,2022-03-31,96284000,16906000,-29961000,23355000,46867000,-29903000,-29961000,-28545000,1416000,-0.07,-0.06,-0.01,-16.6667,407791000,1440999000,259044000,None,None,-1033208000,-1248771000,50664146,28598000,72339000,55751000,-102902000,1055000,None,None,-29903000,502081686.86,9.91,50664146.0
SYM,2021-12-31,77064000,14468000,-23075000,22184000,37543000,-23053000,-23075000,-21717000,1358000,-0.04,-0.06,0.02,33.3333,454861000,1433474000,363047000,None,None,-978613000,-1193831000,50664146,13291000,44875000,34463000,40000000,7505000,None,None,-23053000,506641460.0,10.0,50664146.0
SYM,2021-09-30,91708000,7852000,-31492000,20909000,39344000,-31484000,-31492000,-30209000,1283000,-0.05,None,0,None,280535000,1393763000,156634000,None,None,-1113228000,-1154944000,50664146,63370000,33561000,28018000,13543000,6835000,None,None,-31484000,498028555.18,9.83,50664146.0
SYM,2021-06-30,131487000,-336000,-37778000,20934000,37442000,-37771000,-37778000,-36395000,1383000,-0.06,None,0,None,324000881,14102437,2707252,None,None,309898444,-10102460,50664146,None,None,52604,25406000,2771000,None,None,-37772000,503601611.23999995,9.94,50664146.0
SYM,2021-03-31,14358500,1465000,-26555500,15771500,28020500,-26530000,-26555500,-25643000,912500,-0.01,None,0,None,324159830,11749240,1986135,None,None,312410590,-7590314,50664146,724054,-724054,59008,24728000,1363000,None,None,-26855000,511707874.59999996,10.1,50664146.0
SYM,2020-12-31,14359500,1466000,-26555500,15771500,28021500,-26529000,-26555500,-25643000,912500,,,,,132904,126750,-58264000,None,None,-184076000,None,50664146,None,None,None,45890000,1199000,None,None,-26203000,,,
SYM,2020-09-30,,,,,,,,,,,,,,None,None,-58264000,None,None,-184076000,None,None,None,None,None,,,,,,,,
