ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
TEAM,2025-06-30,1384344000,1149919000,-28479000,700678000,1178398000,-23903000,-6057000,17164000,23221000,0.98,0.85,0.13,15.2941,6041970000,4696316000,2512874000,50164000,987684000,1345654000,-4241865000,262884000,778302000,None,222092000,375315000,14997000,None,-423715839,-23903000,53389111560.0,203.09,262884000.0
TEAM,2025-03-31,1356716000,1137041000,-12456000,685320000,1149497000,-70807000,450000,23628000,23178000,0.97,0.93,0.04,4.3011,5883716000,4514794000,2660859000,44645000,987232000,1368922000,-3828512000,262671000,642036000,None,192915000,638636413,14005253,None,-129998084,-70807000,55741412910.0,212.21,262671000.0
TEAM,2024-12-31,1286463000,1063336000,-57479000,680213000,1120815000,-38208000,-39892000,-16743000,23149000,-0.15,-0.45,0.3,66.6667,5446305000,4226750000,2217604000,48644000,986785000,1219555000,-3618775000,261147000,695661000,None,190550000,351905000,9336000,None,-69241000,-38208000,63557956860.0,243.38,261147000.0
TEAM,2024-09-30,1187781000,970157000,-31978000,603101000,1002135000,-123769000,-22846000,-19000,22827000,0.77,0.65,0.12,18.4615,4993293000,3964459000,2055597000,47406000,986345000,1028834000,-3512203000,260477000,484120000,None,167467000,80492000,6151000,None,-183610000,-123769000,41366352370.0,158.81,260477000.0
TEAM,2024-06-30,1131590000,914085000,-66950000,589104000,981035000,-196919000,-46472000,-23294000,23178000,0.66,0.6,0.06,10,5212133000,4179282000,2176930000,48953000,985911000,1032851000,-3204516000,260326000,628049000,None,177545000,426219000,13590000,None,-192227000,-196919000,46403109500.0,178.25,260326000.0
TEAM,2024-03-31,1189128000,975703000,17804000,576490000,957899000,12752000,28228000,51692000,23464000,0.89,0.63,0.26,41.2698,5063265000,3929094000,1948978000,96437000,924724000,1134171000,-2818176000,261778000,646082000,-27476000,188241000,565390000,10520000,None,-35377000,12752000,50620011860.0,193.37,261778000.0
TEAM,2023-12-31,1060110000,865574000,-49062000,536779000,914636000,-84469000,-31108000,-14096000,17012000,0.73,0.63,0.1,15.873,4449498000,3544575000,1460497000,96230000,937180000,904923000,-2789801000,258601000,526379000,-26097000,160469000,289594000,5333000,None,-101773000,-84469000,58617088670.0,226.67,258601000.0
TEAM,2023-09-30,977775000,799746000,-18869000,481738000,818615000,-31883000,-1978000,13106000,15084000,0.65,0.54,0.11,20.3704,4079639000,3305014000,2143530000,92737000,949637000,774625000,-2607188000,257907000,368260000,-29319000,126201000,166956000,3669000,None,-65879000,-31883000,50926316220.0,197.46,257907000.0
TEAM,2023-06-30,939098000,769322000,-50389000,474855000,819711000,-58952000,-36906000,-21602000,15304000,0.57,0.45,0.12,26.6667,4106779000,3452107000,2102550000,82430000,962093000,654672000,-2509964000,257389000,477678000,-28926000,159293000,272775000,2585000,None,-118258000,-58952000,43192448090.0,167.81,257389000.0
TEAM,2023-03-31,915453000,746801000,-161567000,522344000,908368000,-209037000,-147463000,-131940000,15523000,0.54,0.33,0.21,63.6364,3839009000,3256742000,1972217000,68910000,974550000,582267000,-2332555000,256825000,346348000,-25371000,106488000,352369000,2691000,None,-31748000,-209037000,43960735250.0,171.17,256825000.0
TEAM,2022-12-31,872704000,716759000,-99239000,473676000,815998000,-205031000,-97025000,-81549000,15476000,0.45,0.29,0.16,55.1724,3614015000,3036523000,1636615000,46659000,999506000,577492000,-2087802000,255874000,354844000,-25662000,130318000,150525000,4040000,None,0,-205031000,32368061000.0,126.5,255874000.0
