ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
TER,2025-06-30,651797000,373012000,90743000,118382000,282269000,78372000,97364000,128753000,31389000,0.57,0.54,0.03,5.5556,3761862000,924561000,339252000,19770000,None,2837301000,834863000,161065000,433001000,350505000,172025000,182089000,50407999,19178000,-117398000,78372000,14482964800.0,89.92,161065000
TER,2025-03-31,685680000,415336000,120803000,118188000,294533000,98896000,119819000,150121000,30302000,0.61,0.59,0.02,3.3898,3705837000,908338000,475632000,18340000,None,2797499000,893227000,161996000,460397000,713341000,187034000,161637000,64021000,19406000,-157475000,98896000,13380869600.0,82.6,161996000
TER,2024-12-31,752884000,447288000,153585000,128387000,293703000,146253000,158386000,189514000,31128000,0.95,0.91,0.04,4.3956,3708714000,889420000,553354000,18699000,None,2819294000,970761000,163184000,471426000,664367000,134792000,282557000,57385000,19487000,-143521000,146253000,20548129280.0,125.92,163184000
TER,2024-09-30,737298000,436514000,152065000,117474000,284449000,145649000,159792000,190081000,30289000,0.9,0.79,0.11,13.9241,3769728000,867186000,510036000,19175000,None,2902542000,990039000,164253000,484376000,736987000,158459000,166271000,51841000,19566000,-24747000,145649000,21998404290.0,133.93,164253000
TER,2024-06-30,729879000,425844000,210368000,111816000,215476000,186273000,220933000,251137000,30204000,0.86,0.77,0.09,11.6883,3631706000,900894000,421904000,18280000,None,2730812000,889340000,163470000,470297000,762194000,160808000,216069000,44846000,19000000,-8189000,186273000,24155961900.0,147.77,163470000
TER,2024-03-31,599819000,339282000,77771000,103199000,261511000,64197000,73563000,101683000,28120000,0.51,0.33,0.18,54.5455,3410720000,852891000,707403000,17400000,None,2557829000,730260000,162348000,426333000,805744000,153873000,7279000,44023000,18370000,-22117000,64197000,18337206600.0,112.95,162348000
TER,2023-12-31,670599000,379544000,124323000,102208000,255221000,117054000,140617000,168562000,27945000,0.79,0.72,0.07,9.7222,3486824000,960927000,757571000,17522000,None,2525897000,706514000,162106000,422124000,309974000,180131000,248780000,44336000,16797000,-50749000,117054000,16983845620.0,104.77,162106000
TER,2023-09-30,703732000,398291000,143972000,104413000,254319000,128116000,145243000,173373000,28130000,0.8,0.73,0.07,9.589,3370655000,929355000,636961000,41555000,None,2441300000,653937000,164050000,455878000,879001000,176117000,174347000,34604000,16897000,-118647000,128116000,16514913500.0,100.67,164050000
TER,2023-06-30,684437000,402492000,139908000,105706000,262584000,120050000,145447000,172652000,27205000,0.79,0.66,0.13,19.697,3394896000,960013000,613208000,53018000,None,2434883000,661496000,164751000,493234000,862645000,153157000,142767000,39258000,17019000,-134537000,120050000,18341728830.0,111.33,164751000
TER,2023-03-31,617529000,356420000,92864000,105762000,263556000,83531000,98071000,125677000,27606000,0.55,0.44,0.11,25,3383407000,933945000,649208000,55094000,None,2449462000,694145000,166308000,455334000,846907000,142382000,19336000,41444000,17165000,-93308000,83531000,17879773080.0,107.51,166308000
TER,2022-12-31,731836000,420450000,166587000,108810000,253863000,172301000,196252000,224013000,27761000,0.92,0.75,0.17,22.6667,3501252000,1049958000,854773000,68709000,None,2451294000,725729000,165468000,491145000,816124000,139722000,183402000,34577000,17133000,-2082000,172301000,14218665240.000002,85.93,165468000
