ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
TME,2025-06-30,8442000000,3749000000,2978000000,None,771000000,2409000000,2814750000,2994000000,179250000,1.55,1.42,0.13,9.1549,107873000000,21498000000,10999000000,2251000000,3559000000,83878000000,25036000000,1551468774,3729000000,32000000,6956000000,1638000000,0,None,None,2409000000,30238126405.26,19.49,1551468774.0
TME,2025-03-31,7356000000,3242000000,4836000000,None,-1594000000,4291000000,2169000000,2348250000,179250000,1.37,1.3199,0.0501,3.7957,98084000000,22885000000,12022000000,2256000000,3568000000,73237000000,22642000000,1546504271,3201000000,18000000,7296000000,2519000000,319000000,1508000000,-2142000000,1957000000,22285126545.11,14.41,1546504271.0
TME,2024-12-31,7458000000,3253000000,2409000000,None,844000000,1957000000,2094000000,2274000000,180000000,1.26,1.22,0.04,3.2787,90444000000,20718000000,13164000000,106000000,3572000000,67863000000,20051000000,1556171427,3508000000,23000000,9033000000,2480000000,0,None,None,1957000000,17662545696.45,11.35,1556171427.0
TME,2024-09-30,7015000000,2991000000,2144000000,None,847000000,1583000000,1845000000,2025000000,180000000,0.1409,0.17,-0.0291,-17.1176,84613000000,19384000000,10209000000,2208000000,3481000000,63485000000,18106000000,1567356601,2935000000,18000000,6523000000,2165000000,0,None,None,1583000000,18886647042.05,12.05,1567356601.0
TME,2024-06-30,7160000000,3010000000,2198000000,None,812000000,1682000000,1894000000,2074000000,180000000,1.19,1.17,0.02,1.7094,82405000000,19526000000,12251000000,112000000,5674000000,61209000000,16520000000,1569416908,3024000000,14000000,6218000000,2944000000,0,None,None,1682000000,22505438460.72,14.34,1569416908.0
TME,2024-03-31,6768000000,2771000000,1959000000,2525000000,812000000,1422000000,1681000000,1861000000,180000000,1.1,1.02,0.08,7.8431,79176000000,18421000000,10218000000,97000000,5647000000,59316000000,18391000000,1561621328,2808000000,11000000,5493000000,2686000000,165000000,None,-1349000000,1422000000,17365229167.36,11.12,1561621328.0
TME,2023-12-31,6893000000,2641000000,1714000000,2525000000,1071000000,1306000000,1537000000,1717000000,180000000,1,0.98,0.02,2.0408,75536000000,18334000000,13567000000,115000000,5636000000,55907000000,16969000000,1572742527,3097000000,8000000,5006000000,1977000000,165000000,None,-1349000000,1306000000,13730042260.710001,8.73,1572742527.0
TME,2023-09-30,6569000000,2342000000,1425000000,2525000000,1268000000,1168000000,1255500000,1474000000,218500000,0.89,0.88,0.01,1.1364,72956000000,17788000000,12381000000,113000000,5712000000,53934000000,15666000000,1586685736,2502000000,5000000,5050000000,1441000000,165000000,None,-1349000000,1168000000,10059587566.24,6.34,1586685736.0
TME,2023-06-30,7286000000,2497000000,1539000000,None,1255000000,1298000000,1358500000,1577000000,218500000,0.97,0.98,-0.01,-1.0204,72466000000,17754000000,12950000000,122000000,5747000000,53577000000,14498000000,1584413300,2459000000,6000000,5217000000,2067000000,0,None,None,1298000000,11692970154.0,7.38,1584413300.0
TME,2023-03-31,7004000000,2315000000,1381000000,2580000000,1229000000,1148000000,1182500000,1401000000,218500000,0.89,0.79,0.1,12.6582,69113000000,17050000000,12129000000,115000000,5463000000,50980000000,13200000000,1582648934,2722000000,12000000,5320000000,2494000000,85000000,74000000,-3145000000,-1465000000,13104333173.519999,8.28,1582648934.0
TME,2022-12-31,7425000000,2447000000,1388000000,2580000000,1361000000,1151000000,1271500000,1490000000,218500000,0.91,0.89,0.02,2.2472,69113000000,17050000000,12129000000,115000000,5536000000,50980000000,13200000000,1582648934,2722000000,12000000,5320000000,2494000000,85000000,74000000,-3145000000,-1465000000,13610780832.4,8.6,1582648934.0
TME,2022-09-30,7365000000,2403000000,1261000000,2580000000,1437000000,1061000000,1082500000,1269000000,186500000,0.86,0.71,0.15,21.1268,66755000000,18461000000,8582000000,99000000,5641000000,47224000000,10970000000,1603399790,2916000000,20000000,4838000000,1252000000,85000000,74000000,-3145000000,1061000000,6509803147.4,4.06,1603399790.0
TME,2022-06-30,6905000000,2063000000,1045000000,None,1341000000,856000000,852500000,1039000000,186500000,0.63,0.56,0.07,12.5,66308000000,18032000000,10044000000,88000000,5331000000,47238000000,15659000000,1624292064,3134000000,23000000,5738000000,1241000000,0,None,-967000000,856000000,8153946161.28,5.02,1624292064.0
TME,2022-03-31,6644000000,1860000000,749000000,None,1342000000,609000000,582500000,769000000,186500000,0.54,0.53,0.01,1.8868,65997000000,16776000000,8353000000,86000000,5041000000,48432000000,14803000000,1651065050,2513000000,23000000,5179000000,2494000000,159000000,88000000,-319000000,609000000,8040686793.5,4.87,1651065050.0
TME,2021-12-31,7607000000,2192000000,682000000,2339000000,1817000000,536000000,495500000,682000000,186500000,0.5,0.5,0,0,65997000000,16776000000,8353000000,86000000,5062000000,48432000000,14803000000,1651065050,2513000000,23000000,5179000000,822000000,159000000,88000000,-3584000000,536000000,11309795592.5,6.85,1651065050.0
TME,2021-09-30,7805000000,2309000000,919000000,None,1638000000,740000000,764500000,920000000,155500000,0.61,0.49,0.12,24.4898,66392000000,15777000000,5078000000,101000000,5148000000,49953000000,13660000000,1668749984,2686000000,27000000,4481000000,1595000000,159000000,None,None,740000000,12098437384.0,7.25,1668749984.0
TME,2021-06-30,8008000000,2437000000,1035000000,None,1677000000,827000000,858500000,1014000000,155500000,0.66,0.62,0.04,6.4516,68055000000,15697000000,6822000000,101000000,5126000000,51775000000,12864000000,1687866140,2599000000,21000000,4403000000,944000000,159000000,None,None,827000000,26128167847.2,15.48,1687866140.0
TME,2021-03-31,7824000000,2466000000,1164000000,None,1555000000,926000000,1201500000,1357000000,155500000,0.69,0.55,0.14,25.4545,68273000000,15542000000,11128000000,103000000,5213000000,52245000000,11111000000,3364932614,2800000000,18000000,3565000000,1878000000,108000000,None,-327000000,926000000,68947469260.86,20.49,3364932614.0
TME,2020-12-31,8335000000,2697000000,1296000000,1667000000,1679000000,1197000000,1145500000,1301000000,155500000,0.8,0.81,-0.01,-1.2346,68273000000,15542000000,11128000000,103000000,5175000000,52245000000,11111000000,1682466307,2800000000,18000000,3565000000,1864000000,108000000,None,-180000000,1197000000,32370651746.679996,19.24,1682466307.0
TME,2020-09-30,7575000000,2458000000,1260000000,1667000000,1432000000,1132000000,1191500000,1293000000,101500000,0.8,0.71,0.09,12.6761,64069000000,14624000000,9641000000,75000000,5399000000,49341000000,9965000000,1680954969,2162000000,25000000,3207000000,516000000,108000000,None,-180000000,1132000000,24827704892.13,14.77,1680954969.0
TME,2020-06-30,6932000000,2170000000,1107000000,None,1209000000,939000000,992500000,1099000000,106500000,0.69,0.65,0.04,6.1538,58359000000,9043000000,11776000000,74000000,None,49215000000,8833000000,1675075868,2170000000,30000000,3063000000,1439000000,65000000,None,-152000000,939000000,22546521183.280003,13.46,1675075868.0
TME,2020-03-31,6311000000,1977000000,1047000000,None,1162000000,887000000,934500000,1036000000,101500000,0.66,0.63,0.03,4.7619,52456000000,8502000000,12266000000,67000000,None,43867000000,7894000000,1675470938,2084000000,26000000,2644000000,1066000000,65000000,None,-152000000,887000000,16855237636.28,10.06,1675470938.0
TME,2019-12-31,7293000000,2488000000,1202000000,1159000000,1418000000,1042000000,1059000000,1194000000,135000000,0.8,0.7,0.1,14.2857,52678000000,9000000000,15426000000,69000000,0,43590000000,7007000000,1677532969,2198000000,26000000,2559000000,2033000000,95000000,32000000,-31000000,1042000000,19694237056.06,11.74,1677532969.0
TME,2019-09-30,6507000000,2211000000,1188000000,1159000000,1237000000,1026000000,1095000000,1186000000,91000000,0.74,0.66,0.08,12.1212,49941000000,8306000000,20036000000,57000000,0,41540000000,5980000000,1665903469,1734000000,32000000,2496000000,1352000000,95000000,32000000,-31000000,1026000000,21273587299.13,12.77,1665903469.0
TME,2019-06-30,5898000000,1941000000,1085000000,0,1050000000,927000000,920000000,1082000000,162000000,0.67,0.61,0.06,9.8361,48892000000,7868000000,19350000000,59000000,0,40925000000,4954000000,1674868688,1685000000,27000000,2453000000,1889000000,25000000,0,0,927000000,25960464664.0,15.5,1674868688.0
TME,2019-03-31,5736000000,2033000000,1147000000,937000000,1039000000,987000000,1078750000,1142000000,63250000,0.72,0.69,0.03,4.3478,44605000000,6833000000,17356000000,338000000,0,37721000000,3040000000,1563457531,1483000000,35000000,1830000000,926000000,132000000,19000000,0,987000000,29408636158.109997,18.81,1563457531.0
TME,2018-12-31,5736000000,2033000000,1147000000,0,1039000000,987000000,1078750000,1142000000,63250000,0.57,0.57,0,0,44605000000,6833000000,17356000000,338000000,0,37721000000,3040000000,1563457531,1483000000,35000000,1830000000,926000000,132000000,19000000,1125390710.18,987000000,20668908559.82,13.22,1563457531.0
TME,2018-09-30,4969000000,1963000000,1062000000,0,977000000,964000000,1062000000,1058000000,-4000000,0.09,0,0.09,None,39695000000,5572000000,11529000000,205000000,0,34079000000,3936000000,1635275043,1910000000,36000000,1738000000,1644000000,47000000,0,-2855000000,964000000,,,
TME,2018-06-30,4503000000,1795000000,1014000000,0,833000000,904000000,1014000000,1007000000,-7000000,,,,,35947000000,4810000000,9529000000,105000000,0,31115000000,2972000000,1624292064,1602000000,31000000,1487000000,1982000000,3149370.13,0,0,904000000,,,
