ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
TRI,2025-06-30,1814412193,438101767,438101767,None,1349000000,318157432,394393237,628183043,233789806,0.87,0.83,0.04,4.8193,18005979000,5361905000,665478000,500110000,1342000000,12644074000,9955103000,451205000,1090421000,None,893985000,763746000,165864000,265243000,0,301894000,90750861650.0,201.13,451205000
TRI,2025-03-31,1894259131,571268675,571268675,None,1337000000,432688664,560301912,785619050,225317138,1.12,1.04,0.08,7.6923,18478000000,6182000000,1371000000,973000000,1840000000,12296000000,9871000000,450829000,1055000000,None,878000000,443655428,150543754,259214407,0,423715858,77894234620.0,172.78,450829000
TRI,2024-12-31,1855126422,494635594,494635594,None,773000000,570434368,768677318,970807383,202130065,1.01,0.96,0.05,5.2083,18437000000,6431000000,1853000000,1031000000,1847000000,12006000000,9699000000,450600000,1154000000,21000000,176000000,551789291,156773004,231213326,-5019176,589869952,72267228000.0,160.38,450600000
TRI,2024-09-30,1737867932,408257837,408257837,117000000,201000000,303421257,386080869,589705765,203624896,0.8,0.77,0.03,3.8961,18431000000,6558000000,1615000000,1095000000,1847000000,11873000000,9370000000,450459000,1011000000,-394000000,196000000,759172974,149629277,238001066,-34300,279228200,76848305400.0,170.6,450459000
TRI,2024-06-30,1739641150,437909669,437909669,None,1325000000,840826556,427911733,633869248,205957515,0.85,0.82,0.03,3.6585,18378000000,6762000000,1682000000,1264000000,1846000000,11616000000,9280000000,450911513,1093000000,None,1027000000,703020078,151951691,237011655,-287479769,843825937,75784697989.91,168.07,450911513
TRI,2024-03-31,1876579713,595328736,595328736,None,1328000000,478851375,576413610,781493408,205079798,1.11,0.95,0.16,16.8421,18816000000,7781000000,1901000000,1001000000,2879000000,11035000000,8712000000,452827063,1040000000,None,145000000,430070258,144352288,236936855,-350427617,464913913,70324042883.90001,155.3,452827063
TRI,2023-12-31,1865163752,531289068,531289068,111000000,-4,696738856,472713680,666937343,194223663,0.98,0.91,0.07,7.6923,18684000000,7620000000,1198000000,428000000,2905000000,11064000000,8680000000,455173945,1194000000,20000000,181000000,721368411,135286920,221382414,-373429278,667964980,65567806777.25001,144.05,455173945
TRI,2023-09-30,1573758568,440336462,440336462,111000000,1153000000,362339645,573622163,755285636,181663473,0.82,0.71,0.11,15.493,19349000000,8157000000,2414000000,1533000000,2878000000,11192000000,8933000000,456062363,982000000,None,149000000,674000000,145000000,219000000,-2763000000,370000000,55470865211.689995,121.63,456062363
TRI,2023-06-30,1668743092,484310381,484310381,218000000,822000000,905802261,753822015,935185107,181363092,0.84,0.78,0.06,7.6923,20889000000,9688000000,2858000000,2440000000,3141000000,11201000000,8836000000,470382600,1000000000,None,933000000,695000000,127000000,232000000,-2045000000,889000000,63473428044.0,134.94,470382600
TRI,2023-03-31,1738132170,491037339,491037339,None,1230000000,756057492,422032091,595045247,173013156,0.82,0.8,0.02,2.5,21035000000,8556000000,1606000000,1355000000,3116000000,12479000000,8167000000,474162799,941000000,215000000,124000000,267000000,154000000,225000000,-718000000,167000000,61698063405.880005,130.12,474162799
TRI,2022-12-31,1767666458,446673790,446673790,119000000,1134000000,282426029,213321791,397599767,184277976,0.73,0.65,0.08,12.3077,21711000000,9826000000,988000000,1703000000,3114000000,11885000000,7642000000,479516003,1137000000,29000000,237000000,676000000,135000000,208000000,-584000000,243000000,55292990305.93,115.31,479516003
TRI,2022-09-30,1485568620,336942819,336942819,112000000,1176000000,215190371,798469538,966469038,167999500,0.57,0.5,0.07,14,21162000000,8884000000,374000000,426000000,3700000000,12278000000,8192000000,483888186,949000000,None,162000000,520296135,143422783,197177884,-468836609,250111616,49656605647.32,102.62,483888186
TRI,2022-06-30,1600249703,373788189,373788189,None,1223000000,-114020270,702959748,885392180,182432432,0.6,0.53,0.07,13.2075,21799000000,8446000000,461000000,50000000,3766000000,13353000000,8966000000,487171400,984000000,None,953000000,428679961,135968660,208210927,-191572290,-70395123,50768131594.0,104.21,487171400
TRI,2022-03-31,1694559574,420096907,420096907,None,660000000,1019367676,465649583,645835726,180186143,0.66,0.61,0.05,8.1967,22829000000,8204000000,654000000,62000000,3800000000,14625000000,9974000000,487513216,982000000,None,183000000,278377468,173100171,212579158,0,1030502775,53065813561.6,108.85,487513216
