ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
TSEM,2025-06-30,372061000,80026000,39865000,19418000,40161000,46551000,54252000,128888000,74636000,0.41,0.37,0.04,10.8108,3203410000,428973000,265293000,33079000,143018000,2774437000,None,113282000,215316000,286747000,135686000,123642964,111752834,None,None,46551000,4910774700.0,43.35,113282000
TSEM,2025-03-31,358170000,73171000,32898000,20172000,40273000,40142000,32898000,107126000,74228000,0.45,0.38,0.07,18.4211,3108605000,406590000,274818000,27490000,134835000,2715153000,None,113152000,219496000,276072000,118318000,93922000,111411000,None,None,39717000,4035000319.9999995,35.66,113152000
TSEM,2024-12-31,387191000,86853000,46419000,20622000,40434000,55138000,46419000,130850000,84431000,0.59,0.53,0.06,11.3208,3080485000,440305000,271894000,48376000,132437000,2653318000,675479000,112967000,240764000,268295000,130624000,100816000,93396000,None,None,55138000,5818930170.0,51.51,112967000
TSEM,2024-09-30,370512000,93061000,55762000,19867000,37299000,54647000,55762000,121110000,65348000,0.57,0.53,0.04,7.5472,3059829000,452169000,270979000,61694000,131614000,2620385000,None,112474000,195794000,272377000,129703000,124743000,127624000,None,None,54840000,4978099240.0,44.26,112474000
TSEM,2024-06-30,351181000,86922000,48878000,18994000,31774000,53445000,48878000,114445000,65567000,0.53,0.45,0.08,17.7778,2962167000,449454000,265313000,61365000,126715000,2525438000,565694000,111979000,165161000,276082000,123782000,113085000,112615000,None,None,56750000,4442206930.0,39.67,111979000
TSEM,2024-03-31,327238000,72606000,33985000,19951000,38621000,44634000,33985000,93529000,59544000,0.46,0.39,0.07,17.9487,2976915000,514346000,260497000,57700000,151699000,2462569000,565694000,111627000,159398000,299377000,169526000,110038000,98018000,None,None,44634000,3694853700.0,33.1,111627000
TSEM,2023-12-31,351711000,84417000,45167000,20849000,39250000,53847000,45167000,110345000,65178000,0.55,0.52,0.03,5.7692,2918517000,491478000,260664000,58952000,172611000,2432499000,467615000,111308000,180176000,282688000,139128000,119711628,143054444,None,None,53847000,3371519320.0,30.29,111308000
TSEM,2023-09-30,358167000,86868000,362156000,20176000,38213000,342055000,48655000,115532000,66877000,0.54,0.5,0.04,8,2835794000,486982000,314816000,47671000,179901000,2351452000,467615000,111242000,150162000,304245000,106362000,402242000,101080000,None,None,337737000,2716529640.0,24.42,111242000
TSEM,2023-06-30,357191000,86517000,50529000,19452000,36839000,51190000,49678000,113257000,63579000,0.45,0.49,-0.04,-8.1633,2534076000,522971000,318195000,41300000,178865000,2013745000,71713000,111234000,163293000,330819000,154507000,2767000,15812000,None,None,-32662000,4173499680.0000005,37.52,111234000
TSEM,2023-03-31,355611000,95717000,26102000,19331000,37960000,71402000,26102000,88489000,62387000,0.36,0.47,-0.11,-23.4043,2577086000,600834000,304934000,42224000,201445000,1978892000,71713000,111071000,144195000,358715000,191006000,72727000,105245000,None,None,81368000,4717185370.0,42.47,111071000
