ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
TSM,2025-09-30,989918000000,588543000000,500685000000,63743000000,87858000000,452302000000,500685000000,663472000000,162787000000,2.92,2.66,0.26,9.7744,7354107000000,2318529000000,2470759000000,76226000000,None,4998307000000,4753531000000,5186000000,307814000000,288689000000,86386000000,426829000000,287452000000,116697000000,None,452302000000,1448397940000.0,279.29,5186000000
TSM,2025-06-30,933792000000,547369000000,463423000000,61280000000,83946000000,398273000000,493036000000,856233000000,363197000000,2.47,2.31,0.16,6.9264,7006349549000,2389717699000,2364524340000,97939826000,883671102000,4581073975000,4119740394000,5185800000,238252943000,304193716000,244911589000,497064085000,299562606000,116697300000,None,493035204000,1174531842000.0,226.49,5185800000
TSM,2025-03-31,839254000000,493395000000,407081000000,56547493000,86314268000,361564128000,428217726000,591629457000,163411731000,2.12,2.05,0.07,3.4146,7133287420000,2531662963000,2394804250000,59857900000,986983899000,4564162580000,3851130370000,5185800000,243949574000,293387615000,274724329000,625570000000,330830000000,103720000000,-23000,361564000000,860842800000.0,166.0,5185800000
TSM,2024-12-31,868461000000,512379000000,425713000000,57232000000,86666000000,374680000000,425713000000,596091000000,170378000000,2.24,2.22,0.02,0.9009,6691938000000,2368362000000,2127627000000,59858000000,926604000000,4288545000000,3917252000000,5185800000,272088000000,287869000000,74227000000,620205000000,361949000000,103734000000,177000,374680000000,1024143642000.0,197.49,5185800000
TSM,2024-09-30,759692143000,439345666000,360766289000,52783826000,78579377000,325257571000,386822642000,555051199000,168228557000,1.94,1.79,0.15,8.3799,6165660000000,2143740000000,1886781000000,58806858000,936160000000,3993174669000,3346232000000,5186076048,249970000000,292880000000,70820000000,391992467000,215006734000,90762539000,177000,325258000000,900665827256.1599,173.67,5186076048
TSM,2024-06-30,673510177000,358124478000,286555542000,48057704000,71568936000,247845528000,308948715000,474115309000,165166594000,1.48,1.43,0.05,3.4965,5982364014000,2162215809000,1799127351000,25696321000,974343663000,3791402874000,3438674715000,5186162400,210210419000,272490587000,199507410000,377668210000,205674684000,90762248000,-3089177000,247845528000,893731366392.0001,172.33,5186162400
TSM,2024-03-31,592644201000,314505269000,249018306000,46108936000,65486963000,225484877000,269241459000,428264621000,159023162000,1.38,1.32,0.06,4.5455,5787891082000,2122174828000,1698195704000,-59986358000,965560274000,3635731930000,2991108865000,5186000000,202059004000,267123338999,183604226000,436311108000,183359795000,77796213000,-3089000000,266543204000,733767140000.0,141.49,5186000000
TSM,2023-12-31,625529000000,331768000000,260205000000,50410000000,71563000000,238712000000,260205000000,410853000000,150648000000,1.45,1.37,0.08,5.8394,5532371215000,2049108368000,1465427753000,12103817000,918282800000,3458913627000,2882595798000,5186414200,202010236000,250997088000,57293057000,404331237000,124759287000,77796213000,0,238712143000,526576633726.0,101.53,5186414200
TSM,2023-09-30,546733000000,296643000000,228065000000,51137762000,318668000000,211000000000,228065000000,228065000000,147280162000,1.29,1.17,0.12,10.2564,5484556381000,2111738274000,1311806535000,7420132000,937492473000,3348349657000,2682157537000,5185871600,222906273000,262090072000,282999749000,847138000000,779657000000,213926000000,0,700890000000,454541645740.0,87.65,5185871600
TSM,2023-06-30,480841000000,260200000000,201958000000,41665000000,278883000000,181799000000,201958000000,325897000000,123939000000,1.14,1.08,0.06,5.5556,5149465000000,1943997000000,1276724000000,8126000000,901710000000,3188750000000,2542570000000,5185883000,191027000000,234333000000,189726000000,167248000000,250534000000,71309000000,0,214675000000,523359312360.0,100.92,5185883000
TSM,2023-03-31,508632973000,286500392000,231238157000,44587023000,277394816000,233625311000,231238157000,357561258000,110322641000,1.31,1.2,0.11,9.1667,5045844348000,1952946750000,1385232810000,8040000000,848638000000,3078233958000,2773288070000,5185875200,148124287000,216067981000,203676992000,486880000000,336800000000,71300000000,-34000,334551356000,482390111104.0,93.02,5185875200
