ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
TTEK,2025-06-30,1369816000,251538000,164985000,None,86977000,113883000,164986000,178683000,13697000,0.43,0.38,0.05,13.1579,4353447000,2611351000,242833000,64109000,862483000,1741940000,1804429000,268113000,1270371000,None,234591000,349598000,4024000,17092000,-25000000,113883000,9641343480.0,35.96,268113000
TTEK,2025-03-31,1322113000,214182000,39603000,None,174579000,5388000,39603000,53479000,13876000,0.33,0.31,0.02,6.4516,4184304000,2610523000,179433000,315870000,764189000,1573658000,1724203000,267439000,1357320000,None,262300000,-5823000,5939000,15351000,-149984000,5412000,7822590750.0,29.25,267439000
TTEK,2024-12-31,1420561000,221477000,22526000,None,198951000,747000,22526000,38589000,16063000,0.35,0.33,0.02,6.0606,4179184000,2487165000,248104000,61184000,888450000,1691897000,1855818000,271886000,1239976000,None,238157000,13063000,3433000,15549000,-25000000,778000,10831938240.0,39.84,271886000
TTEK,2024-09-30,1374474000,245276000,143343000,None,101933000,96154000,150630000,167589000,16959000,0.38,0.37,0.01,2.7027,4192676000,2362263000,232689000,63419000,812634000,1830322000,1870620000,271656000,1203109000,-221263000,197440000,105598000,6811000,15525000,-76000,96154000,12811296960.0,47.16,271656000
TTEK,2024-06-30,1344323000,223172000,128630000,None,94542000,85810000,129130000,148633000,19503000,1.59,1.55,0.04,2.5806,4084905000,2418702000,212321000,65932000,861830000,1666138000,1792121000,270260000,1172314000,None,198341000,140929000,3861000,15522000,-125000,85810000,53462833200.0,197.82,270260000
TTEK,2024-03-31,1251616000,207495000,117683000,None,89812000,76446000,117683000,135414000,17731000,1.4,1.29,0.11,8.5271,4070574000,2485724000,210294000,70793000,951031000,1584794000,1721833000,269375000,1140874000,1,215644000,102935000,4007000,13908000,-111000,76446000,50887631250.0,188.91,269375000
TTEK,2023-12-31,1228267000,190498000,111081000,None,79417000,74972000,111081000,130565000,19484000,1.4,1.34,0.06,4.4776,3950823000,2413136000,198689000,68091000,945319000,1537606000,1659295000,268690000,1129583000,1,207062000,9246000,3456000,13873000,-12670000,74980000,45188284200.0,168.18,268690000
TTEK,2023-09-30,1260612000,212092000,107377000,None,104715000,53649000,107747000,125732000,17985000,1.78,1.44,0.34,23.6111,3825034000,2421528000,168831000,65005000,879529000,1403433000,1598196000,268510000,1093233000,None,173271000,122410000,9579000,13845000,-201000,53658000,40663154400.0,151.44,268510000
TTEK,2023-06-30,1208947000,188846000,97675000,None,89064000,60235000,77975000,97675000,19700000,1.29,1.18,0.11,9.322,3973578000,2520789000,176056000,81060000,906875000,1452716000,1572204000,268265000,1127447000,1,188807000,132930000,7028000,13840000,334000,60238000,43925711100.0,163.74,268265000
TTEK,2023-03-31,1158226000,170846000,109906000,None,82347000,42830000,83289000,100189000,16900000,1.17,1.03,0.14,13.5922,3985036000,2629368000,231388000,78580000,1065000000,1355599000,1525809000,268135000,1111081000,None,235655000,87932000,5298000,12242000,34000,42841000,39391712850.0,146.91,268135000
