ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
TWLO,2025-06-30,1228425000,591329000,37129000,243495000,554200000,22423000,33592000,88776000,55184000,1.19,1.05,0.14,13.3333,9848292000,1804370000,969229000,34342000,991429000,8043922000,-7786089000,159691758,587966000,None,76181000,277084000,13591999,None,-196993000,22423000,19859267024.88,124.36,159691758.0
TWLO,2025-03-31,1172463000,570110000,34773000,254295000,535337000,20017000,26584000,81319000,54735000,1.14,0.96,0.18,18.75,9814715000,1810424000,467094000,31886000,991006000,8004291000,-7631765000,161794287,577624000,None,107707000,191042000,12727000,None,-126256000,20017000,15841278640.17,97.91,161794287.0
TWLO,2024-12-31,1194835000,588088000,13670000,252577000,574418000,-12470000,-13558000,41194000,54752000,-0.08,-0.03,-0.05,-166.6667,9865472000,1912506000,421297000,33685000,990587000,7952966000,-7522010000,165925128,588540000,None,100169000,108446000,14979000,None,-420118000,-12470000,17933187834.239998,108.08,165925128.0
TWLO,2024-09-30,1133649000,566874000,-1200000,260903000,568074000,-9726000,-3651000,51229000,54880000,1.02,0.86,0.16,18.6047,10037257000,1808390000,583969000,41000000,990173000,8228867000,-7094862000,159091110,550901000,None,71320000,204329000,15216000,None,-640583000,-9726000,10375922194.2,65.22,159091110.0
TWLO,2024-06-30,1082502000,543343000,-19347000,242905000,562690000,-31858000,-26243000,25822000,52065000,0.87,0.7,0.17,24.2857,10507652000,1828179000,755065000,47890000,989762000,8679473000,-6446806000,170222104,537313000,1,61831000,213343000,15766000,None,-916799000,-31858000,9660104402.0,56.75,170222104.0
TWLO,2024-03-31,1047050000,530784000,-33558000,250495000,564342000,-55349000,-45161000,8157000,53318000,0.8,0.59,0.21,35.5932,11289289000,1841559000,672595000,54073000,989356000,9447730000,-5508343000,181017726,540932000,1,82194000,190123000,12825000,None,-356900000,-55349000,11304556988.7,62.45,181017726.0
TWLO,2023-12-31,1075950000,513758000,-49537000,234992000,563295000,-365408000,-359654000,-289053000,70601000,0.86,0.58,0.28,48.2759,11609707000,1877155000,655931000,49872000,988953000,9732552000,-5065972000,181786135,562773000,1,119615000,222545000,11690000,None,-119880000,-365408000,12930447782.55,71.13,181786135.0
TWLO,2023-09-30,1033670000,496167000,-102446000,241234000,598613000,-141707000,-139960000,-67380000,72580000,0.58,0.36,0.22,61.1111,11857738000,1878357000,677917000,60472000,988555000,9979381000,-4578962000,181749309,557201000,None,104424000,206427000,11216000,871000,-63750000,-141707000,10512380032.560001,57.84,181749309.0
TWLO,2023-06-30,1037761000,487395000,-112335000,226476000,599730000,-166187000,-165443000,-82948000,82495000,0.54,0.3,0.24,80,11904486000,1927927000,675081000,62630000,988160000,9976559000,-4382293000,183490982,599806000,65667000,93500000,83646000,11718000,24814000,-370128000,-166187000,11673696274.84,63.62,183490982.0
TWLO,2023-03-31,1006564000,470612000,-117388000,238175000,588000000,-342139000,-331672000,-251705000,79967000,0.47,0.21,0.26,123.8095,12298908000,1980042000,634824000,65012000,987769000,10318866000,-3842965000,186403349,575664000,None,121157000,-97866000,16611000,None,-114993000,-342139000,12420055143.869999,66.63,186403349.0
