ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
UBER,2025-06-30,12651000000,5040000000,1450000000,840000000,3590000000,1355000000,1612000000,1793000000,181000000,0.63,0.626,0.004,0.639,55982000000,32352000000,7629000000,1326000000,9578000000,22598000000,-17592000000,2124181000,4406000000,None,1022000000,2564000000,89000000,None,-1363000000,1350000000,198186087300.0,93.3,2124181000.0
UBER,2025-03-31,11533000000,4596000000,1228000000,815000000,3368000000,1776000000,1490000000,1668000000,178000000,0.83,0.5,0.33,66,52822000000,29917000000,6385000000,1327000000,8350000000,21975000000,-18946000000,2122618000,4001000000,None,873000000,2324000000,74000000,None,-1785000000,1774000000,154653947480.0,72.86,2122618000.0
UBER,2024-12-31,11959000000,4725000000,770000000,785000000,3955000000,6883000000,1026000000,1202000000,176000000,3.21,0.48,2.73,568.75,51244000000,28768000000,6438000000,1461000000,8347000000,21558000000,-20726000000,2141426000,3815000000,None,858000000,1750000000,44000000,None,-555000000,6901000000,129170816320.0,60.32,2141426000.0
UBER,2024-09-30,11188000000,4427000000,1061000000,774000000,3366000000,2612000000,2912000000,3098000000,186000000,1.2,0.4,0.8,200,47117000000,30578000000,7083000000,806000000,10986000000,14780000000,-27621000000,2154466000,4187000000,None,802000000,2151000000,42000000,None,-372000000,2599000000,161929664560.0,75.16,2154466000.0
UBER,2024-06-30,10700000000,4212000000,796000000,760000000,3416000000,1015000000,1216000000,1397000000,181000000,0.47,0.31,0.16,51.6129,41514000000,27731000000,5273000000,351000000,9454000000,12350000000,-30233000000,2150019000,4372000000,None,752000000,1820000000,99000000,None,-325000000,1015000000,152866350900.0,71.1,2150019000.0
UBER,2024-03-31,10131000000,3963000000,172000000,790000000,3791000000,-654000000,-506000000,-312000000,194000000,-0.31,0.23,-0.54,-234.7826,39599000000,27100000000,5827000000,337000000,9457000000,11058000000,-31248000000,2080168000,4462000000,None,833000000,1416000000,57000000,None,0,-654000000,158924835200.0,76.4,2080168000.0
UBER,2023-12-31,9936000000,3879000000,652000000,784000000,3227000000,1429000000,1983000000,2186000000,203000000,0.66,0.17,0.49,288.2353,38699000000,26017000000,5485000000,499000000,9459000000,11249000000,-30594000000,2121929000,4121000000,None,790000000,823000000,55000000,None,130000000,1429000000,123878215020.0,58.38,2121929000.0
UBER,2023-09-30,9292000000,3666000000,394000000,797000000,3272000000,221000000,342000000,547000000,205000000,0.1,0.12,-0.02,-16.6667,35949000000,25430000000,5281000000,327000000,9252000000,9358000000,-32309000000,2108479000,3669000000,833000000,799000000,966000000,61000000,None,85000000,219000000,96315320720.0,45.68,2108479000.0
UBER,2023-06-30,9230000000,3715000000,326000000,808000000,3389000000,394000000,599000000,807000000,208000000,0.18,-0.01,0.19,1900,34068000000,24240000000,5904000000,332000000,9255000000,8664000000,-32530000000,2079265000,3235000000,909000000,694000000,1190000000,50000000,None,85000000,394000000,89761870050.0,43.17,2079265000.0
UBER,2023-03-31,8823000000,3564000000,-262000000,775000000,3826000000,-157000000,30000000,237000000,207000000,-0.08,-0.09,0.01,11.1111,32451000000,23779000000,4942000000,370000000,9257000000,7508000000,-32924000000,2009557000,3281000000,897000000,712000000,606000000,57000000,None,None,-157000000,63702956900.0,31.7,2009557000.0
