ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
UI,2025-06-30,759152000,342730000,261402000,47455000,81328000,266705000,261402000,265688000,4286000,3.54,2.23,1.31,58.7444,1466451000,798191000,149727000,261958000,None,668260000,651124000,60545000,244616000,723307000,164793000,130356000,5168000,36294000,-134000,266705000,24923349250.0,411.65,60545000
UI,2025-03-31,664170000,295874000,226861000,44262000,69013000,180435000,226861000,233766000,6905000,3.01,1.97,1.04,52.7919,1298268000,862155000,150967000,352212000,0,436113000,420714000,60545000,229600000,590477000,129621000,123573000,2828000,36295000,-321000,180434000,18777426300.0,310.14,60545000
UI,2024-12-31,599879000,247230000,178812000,39958000,68418000,136795000,178812000,183396000,4584000,2.28,2.14,0.14,6.5421,1183718000,893273000,133088000,37440000,381104000,290445000,276574000,60527000,174392000,537344000,122001000,152431000,1986000,36282000,None,136795000,20090727110.0,331.93,60527000
UI,2024-09-30,550344000,231618000,169206000,37997000,62412000,127988000,169206000,175332000,6126000,2.14,1.63,0.51,31.2883,1157918000,969779000,165175000,37606000,527205000,188139000,176061000,60494000,174501000,446179000,52603000,233667000,2604000,36282000,-323000,127988000,13412729680.0,221.72,60494000
UI,2024-06-30,507461000,204140000,138369000,44076000,65771000,103804000,138369000,142909000,4540000,1.74,1.73,0.01,0.578,1154412000,1059352000,126342000,50232000,669878000,95060000,84355000,60466000,169147000,462032000,51095000,231401000,1866000,36277000,-28000,103804000,8905432480.0,147.28,60466000
UI,2024-03-31,492997000,174100000,111223000,42498000,62877000,76290000,111223000,116293000,5070000,1.28,1.56,-0.28,-17.9487,1223784000,1197911000,102487000,50512000,839005000,25873000,16828000,60463000,187564000,533529000,65305000,163852000,3232000,36277000,-82000,76290000,6961709820.0,115.14,60463000
UI,2023-12-31,464954000,177647000,121102000,36911000,56545000,82116000,121102000,125612000,4510000,1.38,1.64,-0.26,-15.8537,1334913000,1350635000,97601000,50925000,958132000,-15722000,-23185000,60451000,171417000,683593000,92297000,78581000,3852000,36269000,-11000,82116000,8290250139.999999,137.14,60451000
UI,2023-09-30,463078000,183875000,128302000,36283000,55573000,87750000,128044000,133433000,5389000,1.47,1.9,-0.43,-22.6316,1388135000,1451199000,108527000,50786000,1007257000,-63064000,-69032000,60451000,168660000,706508000,124222000,67682000,3025000,36268000,-313000,87750000,8549584930.0,141.43,60451000
UI,2023-06-30,491085000,203327000,143875000,40539000,59452000,103677000,143838000,148003000,4165000,1.73,1.8,-0.07,-3.8889,1406399000,1522132000,114826000,50841000,1041381000,-115733000,-120514000,60449000,167787000,737121000,154157000,14444000,5284000,36265000,23000,103677000,10623911750.0,175.75,60449000
UI,2023-03-31,457773000,188476000,133525000,38210000,54951000,98577000,133525000,138053000,4528000,0.65,1.96,-1.31,-66.8367,1375197000,1559672000,152520000,38252000,1063814000,-184475000,-187926000,60455000,146359000,743397000,159075000,-162205000,2182000,36265000,23000,98577000,16425018950.0,271.69,60455000
