ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
VNET,2025-06-30,2434205000,547735000,173018000,67570000,374717000,-11981000,None,269284000,None,-0.04,0.11,-0.15,-136.3636,39708359000,32088739000,2918345000,3920011000,14653165000,6169872000,-11115339000,268414166,2617801000,None,754367000,170883000,68681000,None,None,-11981000,1852057745.4,6.9,268414166.0
VNET,2025-03-31,2246220000,565341000,248531000,43603000,316810000,-237558000,248531000,675971000,427440000,-0.14,0.09,-0.23,-255.5556,38832661000,31230249000,3949940000,4099237000,14203764000,6176855000,-10990066000,265599000,2410998000,96199000,813337000,195713000,1826003000,None,None,-83727000,2177911800.0,8.2,265599000.0
VNET,2024-12-31,2246389000,504856000,236995000,56098000,267861000,-11096000,236995000,675735000,438740000,-0.06,0.06,-0.12,-200,32357042000,25436223000,1492436000,3472986000,9665128000,6365900000,-10752508000,44674774.17,1992344000,None,709260000,572236000,1492972000,None,None,-11096000,211758429.5658,4.74,44674774.17
VNET,2024-09-30,2120794000,491683000,191410000,53127000,300273000,317626000,828408000,456330000,-372078000,0.3,0.05,0.25,500,29925430000,23064566000,1524819000,2852355000,8875920000,6336491000,-10835688000,290094000,2179447000,None,728361000,355162000,454615000,None,None,419327000,1183583520.0,4.08,290094000.0
VNET,2024-06-30,1993760000,424895000,194622000,61998000,230273000,63675000,219971000,608682000,388711000,0.24,-0.42,0.66,157.1429,29118549000,22573944000,1796105000,2628605000,8449924000,6008484000,-11139653000,261383000,2147980000,None,726827000,405204000,1006083000,None,None,71849000,538448980.0,2.06,261383000.0
VNET,2024-03-31,1898126000,410721000,46416000,75389000,364305000,-187005000,46416000,423502000,377086000,-0.72,-0.14,-0.58,-414.2857,28149214000,21686025000,1782732000,2240248000,8039971000,5935242000,-11203328000,261383000,2265846000,306312000,773845000,267587000,1011333000,None,None,-159026000,431281950.0,1.65,261383000.0
VNET,2023-12-31,1898126000,410721000,46416000,75389000,364305000,-187005000,46416000,423502000,377086000,-15.88,-1.29,-14.59,-1131.0078,28149214000,21686025000,1782732000,2240248000,6883467000,5935242000,-11203328000,43563898,2265846000,306312000,773845000,267587000,1011333000,None,None,-159026000,117622524.60000001,2.7,43563898.0
VNET,2023-09-30,1886924000,306478000,32187000,80673000,274291000,-50462000,32187000,493790000,461603000,-2.88,-0.52,-2.36,-453.8462,29920918000,23042710000,2702523000,5779102000,6364785000,6392274000,-8758547000,148176000,2350719000,320809000,765448000,454313000,964672000,None,None,-39883000,435637440.0,2.94,148176000.0
VNET,2023-06-30,1821744000,342749000,93266000,81126000,249483000,-232879000,93266000,526281000,433015000,-1.56,-0.39,-1.17,-300,28816079000,21908535000,2362999000,5846100000,5473151000,6432188000,-8520454000,148118000,2253398000,253088000,743685000,423476000,404990000,None,None,-237571000,429542200.0,2.9,148118000.0
VNET,2023-03-31,1805782000,352380000,115235000,79750000,237145000,82293000,218419000,650073000,431654000,0.42,-0.64,1.06,165.625,28668107000,21473123000,2916329000,5986718000,5349998000,6726359000,-8287760000,176138000,2252946000,325631000,710251000,455011000,611029000,None,None,103573000,570687120.0,3.24,176138000.0
