ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
VRNT,2025-07-31,208007000,140551000,3349000,39099000,137202000,-1688000,3628000,16711000,13083000,0.33,0.26,0.07,26.9231,2231888000,896447000,174968000,413536000,None,1332661000,49798000,60308000,241990000,14877000,23406000,19111000,31000,8000000,-9233000,-1380000,1283354240.0,21.28,60308000
VRNT,2025-04-30,208097000,138902000,5072000,40641000,133830000,1622000,7031000,20004000,12973000,0.29,0.34,-0.05,-14.7059,2258547000,925700000,180870000,413117000,None,1330130000,59486000,61916000,261167000,14945000,24026000,26323000,6025000,8000000,-41843000,1927000,1092198240.0,17.64,61916000
VRNT,2025-01-31,253546000,186481000,46324000,39481000,140157000,32779000,49106000,61454000,12348000,0.99,1.2714,-0.2814,-22.1331,2290049000,964454000,215707000,105889000,312753000,1323170000,57864000,72239000,294718000,14311000,25457000,59220000,6337000,0,-13724000,32779000,1833425820.0,25.38,72239000
VRNT,2024-10-31,224193000,158627000,21748000,37736000,136879000,28716000,20880000,32728000,11848000,0.54,0.43,0.11,25.5814,2248319000,930181000,182823000,None,412242000,1315402000,33085000,62803000,246944000,13747000,28438000,33647000,7660000,0,-5688000,28716000,1337703900.0,21.3,62803000
VRNT,2024-07-31,210170000,142405000,13870000,35366000,128547000,5531000,12570000,24135000,11565000,0.49,0.53,-0.04,-7.5472,2183706000,908641000,207845000,5571000,411733000,1272363000,4369000,62631000,234828000,15757000,27003000,3863000,7440000,9680000,-15817000,5723000,2263484340.0,36.14,62631000
VRNT,2024-04-30,221277000,154448000,23979000,36751000,130469000,15241000,25925000,37292000,11367000,0.59,0.54,0.05,9.2593,2190012000,934780000,237666000,5167000,411365000,1252722000,8518000,62845000,227393000,16589000,29327000,60717000,6129000,10400000,-37095000,15241000,1902946600.0,30.28,62845000
VRNT,2024-01-31,265109000,188900000,56142000,35859000,132758000,28703000,38129000,51705000,13576000,1.07,0.97,0.1,10.3093,2226424000,947882000,242669000,5492000,410965000,1266370000,-6723000,63080000,257374000,14209000,26301000,68963000,5789000,0,-25027000,28703000,1872845200.0,29.69,63080000
VRNT,2023-10-31,218547000,153009000,26718000,32084000,126291000,12612000,28427000,42922000,14495000,0.65,0.57,0.08,14.0351,2134634000,892948000,209647000,237668000,410461000,1239013000,-35426000,64144000,223930000,13042000,22172000,18347000,7012000,0,-24997000,12865000,1206548640.0,18.81,64144000
VRNT,2023-07-31,210165000,141289000,-7512000,34057000,148801000,-6000000,-5728000,19561000,25289000,0.48,0.57,-0.09,-15.7895,2181353000,918984000,231296000,238738000,409958000,1259949000,-48038000,64294000,197721000,15755000,35365000,3325000,6145000,10400000,-13972000,-5788000,2402666780.0,37.37,64294000
VRNT,2023-04-30,216566000,148163000,8772000,31782000,139391000,3295000,10778000,28281000,17503000,0.53,0.47,0.06,12.766,2238415000,978706000,260719000,7600000,409672000,1257256000,-42038000,64940000,216648000,13553000,33878000,60007000,6791000,10400000,-60294000,3634000,2369011200.0,36.48,64940000
