ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
VRSK,2025-06-30,772600000,543100000,354300000,None,188800000,253300000,363400000,445700000,82300000,1.88,1.77,0.11,6.2147,4794900000,4482300000,628700000,44800000,3213200000,311700000,7513200000,140339539,641500000,None,175600000,244500000,55800000,63000000,-100000000,253300000,43715766398.5,311.5,140339539
VRSK,2025-03-31,753000000,522200000,330100000,None,192100000,232300000,332700000,415900000,83200000,1.73,1.683,0.047,2.7926,5122100000,4998300000,1112100000,546900000,3212600000,123000000,7322900000,140940000,564400000,None,206700000,444700000,53700000,63000000,-200100000,232300000,41946562800.0,297.62,140940000
VRSK,2024-12-31,735600000,505100000,316300000,None,188800000,210300000,309600000,386000000,76400000,1.61,1.5973,0.0127,0.7951,4264700000,4159700000,291200000,540200000,2520000000,100100000,7153400000,141591000,517700000,-1200000,85500000,255400000,55400000,54700000,-282100000,210300000,38998409130.0,275.43,141591000
VRSK,2024-09-30,725300000,501900000,311500000,None,190400000,220000000,317400000,393800000,76400000,1.67,1.6,0.07,4.375,4563200000,4258500000,458000000,542800000,2519500000,299600000,6998100000,142511000,526600000,77000000,282400000,296200000,55500000,55300000,-400000000,220000000,38187247560.0,267.96,142511000
VRSK,2024-06-30,716800000,497400000,318700000,None,178700000,307800000,422100000,499300000,77200000,1.74,1.64,0.1,6.0976,4767900000,4332600000,632100000,543700000,2518800000,430300000,6833300000,143293222,555200000,1,244900000,211700000,57800000,55500000,-150000000,307800000,38418345750.42,268.11,143293222
VRSK,2024-03-31,704000000,476200000,307400000,None,168800000,219600000,304100000,380000000,75900000,1.63,1.53,0.1,6.5359,4498600000,4210800000,352400000,43100000,2832600000,282200000,6580900000,143973534,518800000,1,240700000,372200000,55200000,55800000,-200000000,219400000,33514159244.52,232.78,143973534
VRSK,2023-12-31,677200000,451000000,250500000,207100000,200500000,173800000,270800000,356900000,86100000,1.4,1.44,-0.04,-2.7778,4366100000,4043900000,302700000,47600000,2832200000,310000000,6416900000,145392678,357700000,84500000,158400000,252400000,56300000,48900000,-250000000,173800000,34600549510.439995,237.98,145392678
VRSK,2023-09-30,677600000,460400000,281100000,None,179300000,187400000,279100000,346800000,67700000,1.52,1.47,0.05,3.4014,4363900000,3968700000,416800000,56300000,2854400000,384500000,6291800000,145742519,370000000,89800000,300900000,250100000,54300000,49200000,-49800000,187400000,34446244365.65,236.35,145742519
VRSK,2023-06-30,675000000,458100000,306000000,None,152100000,196900000,299800000,365100000,65300000,1.51,1.41,0.1,7.0922,4315700000,4009900000,308700000,46600000,2842100000,294000000,6153800000,145500121,402100000,91400000,283700000,192900000,58200000,49500000,56500000,196800000,32887392349.63,226.03,145500121
VRSK,2023-03-31,651600000,435400000,294100000,None,141300000,56300000,293000000,355300000,62300000,1.29,1.19,0.1,8.4034,4190000000,4110400000,231900000,38600000,2837900000,68400000,6006700000,152709319,433300000,80100000,257400000,365300000,61200000,49200000,-2000000000,56400000,29298809943.340004,191.86,152709319
VRSK,2022-12-31,229900000,178600000,218200000,None,-39600000,61100000,205500000,273400000,67900000,1.43,1.18,0.25,21.1864,6961100000,5193400000,112500000,1422400000,2341900000,1749300000,5999100000,156974983,334300000,446300000,128700000,249000000,79700000,48000000,-466200000,61200000,27837943485.22,177.34,156974983
VRSK,2022-09-30,610100000,414900000,253600000,None,161300000,189500000,253000000,341300000,88300000,1.46,1.47,-0.01,-0.6803,6974600000,4968600000,276800000,1102900000,2341500000,1989000000,5986100000,157978609,498800000,102400000,312200000,280200000,65800000,48600000,-300000000,189500000,26940092192.77,170.53,157978609
VRSK,2022-06-30,612800000,417300000,247600000,None,169700000,197700000,246700000,336300000,89600000,1.53,1.41,0.12,8.5106,7508900000,5138900000,480700000,1172600000,2341600000,2351900000,5845500000,159123563,553600000,1,276200000,130200000,69200000,49200000,-325000000,197800000,27542697519.670002,173.09,159123563
VRSK,2022-03-31,643600000,414900000,622800000,None,-207900000,505800000,620900000,715100000,94200000,1.34,1.39,-0.05,-3.5971,8159000000,5483100000,397900000,1332200000,2341300000,2658600000,5696900000,161638620,528300000,157200000,251200000,399600000,60000000,49400000,-571300000,505800000,34692497010.6,214.63,161638620
VRSK,2021-12-31,766000000,500800000,193800000,None,307000000,142000000,194400000,291000000,96600000,1.47,1.41,0.06,4.2553,7808100000,4965600000,111900000,1003000000,2341200000,2816500000,5240400000,163079594,341300000,102600000,92200000,188600000,85300000,47200000,-75000000,141800000,37301195535.619995,228.73,163079594
VRSK,2021-09-30,759000000,493700000,288900000,None,204800000,201700000,289000000,378700000,89700000,1.44,1.36,0.08,5.8824,7662500000,4928700000,302100000,807900000,2340900000,2714400000,5145700000,162792794,489000000,102900000,440000000,285200000,61400000,46800000,-150000000,204900000,32602512854.38,200.27,162792794
VRSK,2021-06-30,747500000,482600000,267400000,None,215200000,154000000,266900000,370700000,103800000,1.17,1.33,-0.16,-12.0301,7713600000,4943400000,276300000,442000000,2689900000,2753500000,4991000000,163046541,498200000,98800000,386900000,233200000,62500000,47100000,-153200000,151600000,28487491643.52,174.72,163046541
VRSK,2021-03-31,726100000,463700000,250400000,None,213300000,168600000,252100000,345600000,93500000,1.23,1.25,-0.02,-1.6,7810500000,5039000000,390900000,502300000,2699600000,2756300000,4884100000,164436720,519500000,82900000,380200000,448700000,59200000,47100000,-100000000,168000000,29054324056.8,176.69,164436720
VRSK,2020-12-31,713400000,452900000,250600000,180800000,202300000,176200000,251300000,344500000,93200000,1.27,1.3,-0.03,-2.3077,7561800000,4863600000,218800000,553000000,2689300000,2698200000,4762200000,164436717,457800000,81200000,99300000,249000000,72400000,44000000,-50000000,176200000,34135418082.03,207.59,164436717
VRSK,2020-09-30,702700000,462700000,275400000,None,187300000,185800000,275300000,366200000,90900000,1.32,1.2,0.12,10,7219600000,4798300000,221800000,499600000,2689000000,2421300000,4630400000,165731229,459400000,82300000,369300000,207100000,64800000,43900000,-50000000,185800000,30711654045.99,185.31,165731229
VRSK,2020-06-30,678800000,443000000,259700000,None,183300000,179000000,259000000,345900000,86900000,1.29,1.19,0.1,8.4034,7007900000,4831800000,309400000,490900000,2690700000,2176100000,4488800000,165103091,454500000,81600000,322400000,249500000,56700000,44000000,-75000000,179000000,28100546088.199997,170.2,165103091
VRSK,2020-03-31,689800000,432100000,252300000,None,179800000,171700000,250200000,337300000,87100000,1.17,1.13,0.04,3.5398,6928100000,4847600000,204400000,482700000,2648600000,2080500000,4353400000,165724123,523300000,66600000,315600000,362600000,52900000,43900000,-173800000,171700000,23098628263.739998,139.38,165724123
VRSK,2019-12-31,676800000,417000000,200400000,173000000,216600000,132200000,205200000,290800000,85600000,1.13,1.12,0.01,0.8929,7055200000,4794400000,184600000,540000000,2648300000,2260800000,4228400000,166218624,467500000,75000000,80000000,176400000,64000000,40800000,-100000000,132200000,24823089308.16,149.34,166218624
