ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
VSAT,2025-06-30,1171054000,409438000,46672000,34193000,362766000,-56434000,41220000,383564000,342344000,0.17,-0.01,0.18,1800,14895806000,10293834000,1177492000,119458000,6532615000,4562228000,-381964000,131578000,686185000,284216000,241866000,258460000,198013000,None,-4668000,-47724000,1921038800.0,14.6,131578000
VSAT,2025-03-31,1147082000,365299000,-153785000,33740000,519084000,-246053000,-134261000,202921000,337182000,-0.02,0.04,-0.06,-150,15448784000,10804224000,1612105000,569135000,6532284000,4553831000,-325530000,123026500,539522000,293943000,264300000,298443000,247723000,None,-302000,-240735000,1281936130.0,10.42,123026500
VSAT,2024-12-31,1123767000,361820000,21248000,36701000,340572000,-158413000,-67634000,270121000,337755000,0.11,0.05,0.06,120,15600351000,10754222000,1556489000,568022000,6535803000,4760621000,-79477000,128941000,670462000,320137000,218585000,219459000,252632000,None,-2813000,-146907000,1097287910.0,8.51,128941000
VSAT,2024-09-30,1122262000,347184000,-24678000,33390000,371862000,-137584000,-3982000,350684000,354666000,-0.23,-0.09,-0.14,-155.5556,17754984000,12745504000,3529770000,2447163000,6404920000,4935478000,78936000,128394000,781250000,327008000,246748000,239189000,228808000,None,-980000,-110571000,1533024360.0,11.94,128394000
VSAT,2024-06-30,1126460000,349420000,59735000,38563000,289685000,-32912000,59735000,390939000,331204000,-0.26,-0.46,0.2,43.4783,16087869000,11000216000,1811599000,127572000,7128848000,5029354000,216520000,126580000,876889000,329829000,230882000,151096000,301019000,None,-1415000,-21687000,1592376400.0,12.58,126580000
VSAT,2024-03-31,1150013000,300133000,295000,46492000,299838000,-89841000,23957000,336511000,312554000,-0.8,-0.63,-0.17,-26.9841,16329364000,11256860000,1901033000,129615000,7129235000,5025430000,249432000,125328750,939710000,317878000,287206000,231986000,377895000,None,-493000,-89263000,2151267993.75,17.165,125328750
VSAT,2023-12-31,1128539000,361263000,-43918000,41728000,405181000,-124399000,-22997000,313629000,336626000,-0.99,0.07,-1.06,-1514.2857,16650655000,11504860000,1621228000,137840000,7222580000,5103008000,349695000,125097000,1445846000,353551000,314611000,133568000,420826000,None,-8655000,-119349000,3507719880.0,28.04,125097000
VSAT,2023-09-30,1225415000,459125000,-804667000,33429000,1263792000,-767238000,-772181000,-438416000,333765000,1.07,0.71,0.36,50.7042,17072044000,11844341000,1961583000,128572000,7228329000,5189966000,474094000,124529000,664482000,345602000,388582000,218976000,365738000,9695000,-353000,-765763000,2240276710.0,17.99,124529000
VSAT,2023-06-30,779791000,234880000,-41516000,29004000,276396000,-77004000,-22327000,152252000,174579000,-0.83,-0.35,-0.48,-137.1429,17897606000,11921734000,1958506000,126097000,7218294000,5939510000,1241332000,93106000,630530000,335561000,377638000,103666000,374926000,1334683000,-2212000,-76902000,3841553560.0,41.26,93106000
VSAT,2023-03-31,666099000,174047000,-72692000,32298000,246739000,-58561000,-60637000,66260000,126897000,15.56,9.49,6.07,63.9621,7730337000,3869768000,1348854000,88578000,1689186000,3824310000,1318336000,76912016,419934000,268563000,271548000,50249000,313570000,None,-572000,1199768000,2602702621.44,33.84,76912016
VSAT,2022-12-31,651444000,168411000,-31311000,29444000,199722000,-44745000,-30786000,94207000,124993000,-0.14,-0.14,0,0,6801924000,4179736000,182130000,92888000,2899014000,2588754000,121498000,76138000,368827000,260886000,300115000,89480000,295934000,None,-15089000,-40425000,2457734640.0,32.28,76138000
VSAT,2022-09-30,656683000,218130000,1144000,32416000,216986000,-72677000,8040000,132440000,124400000,-0.64,0.28,-0.92,-328.5714,6510280000,3882089000,149172000,89136000,1687705000,2596560000,163726000,75758000,320249000,244284000,244917000,188495000,283956000,None,-30327000,-47556000,2290164340.0,30.23,75758000
VSAT,2022-06-30,678223000,195837000,-27062000,35763000,222899000,-21039000,-65838000,58249000,124087000,0.14,-0.28,0.42,150,6483355000,3781243000,221520000,91100000,1686965000,2652859000,211966000,74863000,372118000,362007000,246516000,39637000,270857000,None,-505000,-21039000,2293053690.0,30.63,74863000
VSAT,2022-03-31,701704000,204122000,-20787000,40894000,224909000,-21630000,-20803000,105156000,125959000,-0.39,-0.05,-0.34,-680,6389346000,3706752000,310459000,84899000,2451216000,2633866000,233530000,74585000,359269000,341890000,219088000,119263000,278062000,320000000,-804000,-21655000,3639748000.0,48.8,74585000
