ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,revenueGrowthPct,netIncomeMarginPct,epsSurprisePct,freeCashFlow,debtToEquityRatio,totalDebt,cashRatio,rdIntensityPct,buybackRatio,marketCap,peRatio,psRatio
WDAY,2025-07-31,2348000000,1978000000,248000000,660000000,1730000000,228000000,333000000,414000000,81000000,2.21,2.12,0.09,4.2453,17961000000,8789000000,1264000000,110000000.0,2985000000.0,9172000000,-909000000,270180000,1671000000,,100000000,616000000,28000000,,-299000000.0,228000000,5.197132616487465,9.710391822827939,4.245283018867918,644000000,0.9582424771042303,3095000000.0,11.49090909090909,28.109028960817717,1.3114035087719298,50087941589.35547,219.68395433927836,21.33217273822635
WDAY,2025-04-30,2232000000,1695000000,204000000,663000000,1491000000,68000000,132000000,216000000,84000000,2.23,2.01,0.22,10.9453,17212000000,8293000000,972000000,98000000.0,2985000000.0,8919000000,-1137000000,270296000,1426000000,,92000000,457000000,36000000,,-290000000.0,68000000,1.2704174228675091,3.046594982078853,10.945273631840807,493000000,0.9298127592779459,3083000000.0,9.918367346938776,29.70430107526882,4.264705882352941,53165000000.0,781.8382352941177,23.819444444444443
WDAY,2025-01-31,2204000000,1664000000,139000000,673000000,1525000000,94000000,148000000,239000000,91000000,1.92,1.78,0.14,7.8652,17977000000,8943000000,1543000000,99000000.0,2984000000.0,9034000000,-1205000000,270007000,2003000000,,108000000,1112000000,86000000,,-103000000.0,94000000,2.368787738039946,4.26497277676951,7.865168539325837,1198000000,0.9899269426610582,3083000000.0,15.585858585858587,30.535390199637025,1.0957446808510638,56867019470.21484,604.9682922363281,25.801732971966807
WDAY,2024-10-31,2153000000,1623000000,165000000,647000000,1458000000,193000000,256000000,337000000,81000000,1.89,1.76,0.13,7.3864,16424000000,7800000000,1311000000,102000000.0,2983000000.0,8624000000,-1299000000,268549000,1452000000,,74000000,406000000,49000000,,-158000000.0,193000000,3.65912373615791,8.964235949837436,7.38636363636363,455000000,0.9044526901669759,3085000000.0,12.852941176470589,30.051091500232236,0.8186528497409327,54247831192.0166,281.07684555449015,25.196391635864654
WDAY,2024-07-31,2077000000,1566000000,103000000,649000000,1463000000,132000000,196000000,275000000,79000000,1.75,1.65,0.1,6.0606,16234000000,7889000000,1635000000,98000000.0,2982000000.0,8345000000,-1492000000,267949000,1292000000,,87000000,571000000,55000000,,-312000000.0,132000000,4.793138244197781,6.3553201733269145,6.060606060606066,626000000,0.9453565008987418,3080000000.0,16.683673469387756,31.24699085219066,2.3636363636363638,53036970794.677734,401.79523329301315,25.5353735169368
WDAY,2024-04-30,1982000000,1493000000,56000000,656000000,1437000000,107000000,152000000,227000000,75000000,1.74,1.58,0.16,10.1266,15941000000,7778000000,1752000000,95000000.0,2981000000.0,8163000000,-1624000000,270298000,1133000000,,76000000,372000000,81000000,,-128000000.0,107000000,3.81219107099926,5.398587285570131,10.126582278481006,453000000,0.952835967168933,3076000000.0,18.442105263157895,33.097880928355195,1.1962616822429906,48512519470.21484,453.38803243191444,24.476548673165915
WDAY,2024-01-31,1909217000,1448217000,66217000,635000000,1382000000,1188495000,166383000,238383000,72000000,1.57,1.47,0.1,6.8027,16452000000,8370000000,2012000000,89000000.0,2980000000.0,8082000000,-1731000000,268843000,1639000000,,78000000,995645000,46747000,,-139667000.0,1188000000,3.1981297802762043,62.25038851005412,6.80272108843538,1042392000,1.0356347438752784,3069000000.0,22.60674157303371,33.25970803737867,0.11751584987736591,63162191589.35547,53.14468431870178,33.08277246083367
WDAY,2023-10-31,1850050000,1404810000,72230000,618736000,1332580000,113709000,157778000,225778000,68000000,1.53,1.41,0.12,8.5106,13925933000,7301016000,1563939000,98325000.0,2978800000.0,6624917000,-2918829000,266377000,1224818000,207566000.0,79333000,450775000,59224000,,-144686000.0,113709000,4.552133371008749,6.146266317126564,8.51063829787235,509999000,1.1020539578080752,3077125000.0,15.905812356979405,33.444285289586766,1.2724234669199448,58746240264.89258,516.6366801650931,31.75386625490802
WDAY,2023-07-31,1769500000,1321400000,18991000,609677000,1302409000,79000000,110348000,181763000,71415000,1.43,1.26,0.17,13.4921,13735315000,7460762000,1435690000,98810000.0,2977845000.0,6274553000,-3032538000,264435000,1270936000,198677000.0,88814000,425264000,63753000,,-138647000.0,78660000,6.086022304743555,4.464538005086183,13.492063492063485,489017000,1.1890507578786886,3076655000.0,14.529804675640117,34.45476123198644,1.7550253164556961,51457211059.57031,651.3571020198774,29.080085368505404
WDAY,2023-04-30,1667986000,1250542000,-36126000,600457000,1286668000,136000,35455000,105896000,70441000,1.31,1.12,0.19,16.9643,13252796000,7310933000,1443651000,95008000.0,2976889000.0,5941863000,-3111198000,261371000,1089286000,191966000.0,113263000,277316000,68276000,,-2900000.0,136000,2.0259165129842494,0.00815354565326088,16.964285714285708,345592000,1.2304108997464263,3071897000.0,15.195046732906702,35.998923252353435,21.323529411764707,46001831192.0166,338248.758764828,27.579266967478507
WDAY,2023-01-31,1634865000,1181386000,-100353000,615589000,1281739000,-125697000,-49370000,64024000,113394000,0.99,0.91,0.08,8.7912,13486238000,7900670000,1886000000,91343000.0,2975934000.0,5585568000,-3111334000,257322000,1570086000,191054000.0,153751000,694452000,73539000,,-74666000.0,-125697000,2.598691146790366,-7.688524740574911,8.791208791208787,767991000,1.41447924365078,3067277000.0,20.64744972247463,37.65381239429556,-0.5940157680772016,40246990264.89258,-320.190539669941,24.61792885950374
