ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
WIX,2025-06-30,489930000,336590000,50393000,134735000,286197000,57703000,44429000,51774000,7345000,2.28,1.76,0.52,29.5455,1996037000,2113700000,705043000,607275000,None,-117663000,-810073000,59650000,55354000,None,25237000,151761000,2289000,None,-101446000,57703000,9452139000.0,158.46,59650000
WIX,2025-03-31,473651000,321859000,37405000,127497000,284454000,33766000,37405000,45003000,7598000,1.55,1.66,-0.11,-6.6265,1805660000,1974277000,653276000,603043000,None,-168617000,-867776000,60385000,47328000,None,38032000,145491000,3050000,None,-200000000,33766000,9865701300.0,163.38,60385000
WIX,2024-12-31,460455000,316819000,36020000,127186000,280799000,48024000,90970000,98708000,7738000,1.93,1.6085,0.3215,19.9876,1913042000,1991828000,660939000,600787000,None,-78786000,-901542000,60649000,46166000,198000,47077000,133736000,1963000,None,0,48024000,13012242950.0,214.55,60649000
WIX,2024-09-30,444673000,302645000,25846000,124593000,276799000,26778000,25846000,33406000,7560000,1.5,1.43,0.07,4.8951,1714480000,1913787000,439434000,603374000,None,-199307000,-949566000,58167000,50224000,None,30891000,129814000,2053000,None,0,26778000,9723777390.0,167.17,58167000
WIX,2024-06-30,435746000,294072000,28605000,119257000,265467000,39518000,28605000,36497000,7892000,1.67,1.35,0.32,23.7037,1591009000,1913719000,276067000,26815000,571295000,-322710000,-976344000,59526000,55784000,1296000,18379000,120029000,7195000,None,-225000000,39518000,9364630320.0,157.32,59526000
WIX,2024-03-31,419776000,282479000,9675000,124245000,272804000,24002000,9675000,17600000,7925000,1.29,1.03,0.26,25.2427,1692080000,1886286000,514629000,23494000,570504000,-194206000,-1015862000,58647238,56275000,None,34434000,113836000,8125000,None,-241302000,24002000,8058716973.58,137.41,58647238
WIX,2023-12-31,403771000,277658000,4872000,125743000,272786000,2954000,8274000,16488000,8214000,1.22,0.95,0.27,28.4211,1804136000,1858621000,611747000,24981000,569714000,-54485000,-1039864000,59085757,57394000,None,38305000,86646034,9439285,1292420,-58698000,2954000,6972119326.0,118.0,59085757
WIX,2023-09-30,393841000,264798000,-5792000,125117000,266747000,6975000,-1949000,3888000,5837000,1.1,0.67,0.43,64.1791,1744669000,1839410000,504793000,20788000,568925000,-94741000,-1042818000,58497072,54600000,2893000,23184000,64144000,19376000,78765540,1055946,6975000,5308024313.28,90.74,58497072
WIX,2023-06-30,389977000,262083000,12976000,115490000,248777000,33577000,13489000,19475000,5986000,1.26,0.6,0.66,110,1675306000,1852477000,468037000,18461000,568138000,-177171000,-1049793000,62186895,53268000,3219000,41467000,47761000,15751000,841252,-50000000,33577000,4865502664.799999,78.24,62186895
WIX,2023-03-31,355040000,226276000,-32603000,120994000,258879000,-38975000,-31815000,-25095000,6720000,0.91,0.14,0.77,550,1802531000,2019464000,350913000,410299000,567351000,-216933000,-1083370000,56408677,52560000,6525000,49437000,45961000,20932000,11533999,-18319000,-10369000,5629585964.599999,99.8,56408677
WIX,2022-12-31,345805000,217948000,-62311000,120384000,280259000,-47361000,-62311000,-56885000,5426000,0.61,0.09,0.52,577.7778,1758367000,2021609000,244686000,390889000,566566000,-263242000,-1073001000,58189246,42086000,13669000,96071000,53234000,14649000,9958546,-231873000,-38975000,4393869965.46,75.51,58189246
WIX,2022-09-30,345805000,217948000,-62311000,120384000,280259000,-47361000,-62311000,-56885000,5426000,0.06,-0.1,0.16,160,1969711000,2034127000,299940000,390394000,565782000,-64416000,-1034026000,58355542,35796000,1,118788000,267000,22874000,None,0,-47361000,4565154050.66,78.23,58355542
WIX,2022-06-30,345224000,210367000,-75022000,121618000,285389000,-111238000,-74963000,-69361000,5602000,-0.14,-0.34,0.2,58.8235,1958429000,2047993000,241886000,385631000,564998000,-89564000,-986665000,57943140,40800000,1,127113000,-2687000,13217000,None,None,-111238000,3798172827.0,65.55,57943140
WIX,2022-03-31,341597000,206848000,-115417000,119865000,322265000,-227289000,-115417000,-110308000,5109000,-0.72,-0.64,-0.08,-12.5,1935795000,1938278000,386609000,31477000,924275000,-2483000,-875427000,57479429,42016000,27236000,134754000,-13662000,19924000,None,200000000,-227289000,6004301153.339999,104.46,57479429
WIX,2021-12-31,328342000,199543000,-98272000,116329000,297815000,-111019000,-98659000,-94673000,3986000,-0.37,-0.38,0.01,2.6316,2059787000,1914072000,451355000,29201000,922974000,145715000,-648138000,57103278,30367000,27236000,114584000,21041000,13702000,None,-3505600,-111019000,9010326235.619999,157.79,57103278
WIX,2021-09-30,320797000,198268000,-69963000,109323000,268231000,16313000,-69855000,-63215000,6640000,-0.21,-0.42,0.21,50,2055135000,1859381000,287167000,30849000,921676000,195754000,-522602000,60549853,27988000,27236000,89330000,4323000,13030000,None,-200000000,16667000,11865954692.41,195.97,60549853
WIX,2021-06-30,316406000,194987000,-71644000,104199000,266631000,37633000,-71532000,-67308000,4224000,-0.28,-0.38,0.1,26.3158,2116804000,1811959000,362253000,26667000,920379000,304845000,-539269000,64948445,29418000,None,81334000,21833000,7119000,None,-200000000,37957000,18853234614.6,290.28,64948445
WIX,2021-03-31,304112000,188280000,-85655000,95086000,273935000,-121752000,-85655000,-81624000,4031000,-0.54,-0.66,0.12,18.1818,1985209000,1771381000,415843000,22140000,919084000,213828000,-638164000,56280561,29915000,None,77781000,18488000,3849000,None,None,-121752000,15714658242.420002,279.22,56280561
WIX,2020-12-31,282534000,179227000,-55460000,89625000,234687000,-62789000,-57678000,-53270000,4408000,-0.03,-0.11,0.08,72.7273,1893526000,1606335000,168858000,22336000,834440000,287191000,-584456000,55809471,23670000,21992000,79881000,28550000,5380000,None,-19287000,-62789000,13950135371.16,249.96,55809471
WIX,2020-09-30,254180000,174340000,-49740000,84473000,224080000,-56842000,-49715000,-45177000,4538000,-0.14,-0.15,0.01,6.6667,1795125000,1527628000,158456000,19111000,824248000,267497000,-558516000,55356961,23159000,21992000,70346000,24514000,5134000,None,-19287000,-56842000,14107721510.85,254.85,55356961
WIX,2020-06-30,236059000,165577000,-53751000,75464000,219328000,-57736000,-53751000,-49648000,4103000,-0.26,0.24,-0.5,-208.3333,1241251000,1036412000,173950000,17372000,370883000,204839000,-501674000,54695477,18830000,1,73059000,49958000,3264000,None,12312000,-57736000,14014075116.940002,256.22,54695477
WIX,2020-03-31,215987000,153917000,-38391000,70716000,192308000,-39153000,-38391000,-34253000,4138000,-0.01,-0.03,0.02,66.6667,1164816000,953892000,191258000,15944000,365367000,210924000,-443938000,51838314,17065000,1,46639000,45027000,6575000,None,7853000,-39153000,5226338817.48,100.82,51838314
WIX,2019-12-31,204588000,147353000,-17692000,66634000,165045000,-21573000,-17692000,-11960000,5732000,0.39,0.31,0.08,25.8065,1099667000,891918000,268103000,18949000,359934000,207749000,-404785000,51321155,16987000,12730000,37687000,41237000,3766000,None,-23642000,-21573000,6280682948.9,122.38,51321155
WIX,2019-09-30,196791000,143496000,-20605000,64488000,164101000,-17367000,-20605000,-16678000,3927000,0.41,0.33,0.08,24.2424,1036139000,837372000,283158000,14267000,354581000,198767000,-383212000,50862253,16201000,12730000,48214000,36073000,6846000,None,-23642000,-17367000,5937659415.219999,116.74,50862253
WIX,2019-06-30,185419000,138757000,-14161000,61486000,152918000,-16734000,-14153000,-10488000,3665000,0.34,0.18,0.16,88.8889,997074000,824446000,351462000,15259000,349308000,172628000,-365845000,50273017,18230000,None,46074000,37180000,6426000,None,7512000,-16734000,7190046891.34,143.02,50273017
WIX,2019-03-31,174290000,134575000,-27792000,58183000,162367000,-30740000,-27768000,-24378000,3390000,0.03,0.05,-0.02,-40,844750000,692485000,331057000,65004000,344114000,152265000,-318371000,49053599,13528000,9016000,45567000,35074000,5028000,None,4923000,-30740000,5844736320.85,119.15,49053599
