ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
YELP,2025-06-30,370394000,334947000,53290000,78362000,281657000,44089000,58985000,71350000,12365000,1.07,0.88,0.19,21.5909,980175000,233771000,197687000,9832000,None,746404000,-1203783000,65683000,155996000,None,11881000,58034000,13024000,None,-65950000,44089000,2250956410.0,34.27,65683000
YELP,2025-03-31,358534000,323706000,29460000,83905000,294246000,24391000,35231000,51021000,15790000,0.81,0.78,0.03,3.8462,985203000,257185000,222028000,13107000,None,728018000,-1181092000,67324000,158178000,None,12739000,97995000,10531000,None,-62500000,24391000,2493007720.0,37.03,67324000
YELP,2024-12-31,361952000,328682000,53429000,74937000,275253000,42220000,60067000,75364000,15297000,0.99,0.95,0.04,4.2105,983567000,239598000,217325000,41358000,None,743969000,-1140289000,67989000,155325000,None,11904000,70973000,11010000,None,-62782000,42220000,2631174300.0,38.7,67989000
YELP,2024-09-30,360344000,327962000,46652000,77748000,281310000,38440000,46652000,59679000,13027000,0.56,0.42,0.14,33.3333,980208000,240668000,261588000,28022000,None,739540000,-1120696000,69163000,155131000,None,6903000,102298000,9763000,None,-65742000,38440000,2426238040.0,35.08,69163000
YELP,2024-06-30,357016000,316754000,39747000,82080000,286592000,38036000,39747000,53133000,13386000,0.99,0.71,0.28,39.4366,964978000,229631000,252435000,35082000,None,735347000,-1098390000,70444000,153869000,None,12470000,39689000,9587000,None,-60157000,38036000,2547959480.0,36.17,70444000
YELP,2024-03-31,332752000,295467000,11217000,91227000,294180000,14154000,11217000,25008000,13791000,0.2,0.06,0.14,233.3333,993477000,271504000,296045000,78730000,None,721973000,-1065278000,72247000,147685000,1,6083000,72855000,6987000,None,-62500000,14154000,2866038490.0,39.67,72247000
YELP,2023-12-31,342376000,302457000,25015000,78323000,287745000,27406000,25015000,40554000,15539000,0.37,0.38,-0.01,-2.6316,1014723000,265189000,313911000,76455000,None,749534000,-1024649000,73159000,150254000,None,11868000,79170000,5997000,1049000,-50000000,27406000,3392382830.0,46.37,73159000
YELP,2023-09-30,345122000,316752000,41873000,81020000,274879000,58216000,41873000,59483000,17610000,1.39,0.79,0.6,75.9494,1027318000,287744000,305103000,77466000,None,739574000,-1002055000,73566000,164199000,1,6673000,104859000,5697000,None,-49999000,58216000,3092714640.0,42.04,73566000
YELP,2023-06-30,337126000,306942000,18742000,85030000,288200000,14729000,18742000,37157000,18415000,0.66,0.62,0.04,6.4516,1033288000,324686000,270256000,76492000,None,708602000,-1010272000,71238000,156037000,None,11981000,48007000,7635000,None,-50001000,14729000,2593775579.9999995,36.41,71238000
YELP,2023-03-31,312438000,286379000,-6587000,88197000,292966000,-1178000,-6587000,12117000,18704000,0.59,0.4,0.19,47.5,1021682000,317554000,289298000,78046000,None,704128000,-975000000,69821000,144393000,None,18248000,74244000,7518000,None,-49999000,-1178000,2143504700.0,30.7,69821000
YELP,2022-12-31,309103000,280620000,33384000,72225000,247236000,20145000,20186000,44071000,23885000,0.69,0.67,0.02,2.9851,1015922000,305598000,306379000,39674000,None,710324000,-923823000,71607000,163240000,2,14525000,44473000,11875000,None,-50000000,20145000,1985662110.0,27.73,71607000
YELP,2022-09-30,308891000,282086000,13424000,75803000,268662000,9108000,2959000,27532000,24573000,0.51,0.58,-0.07,-12.069,1030334000,328956000,330970000,80354000,None,701378000,-893968000,72658000,127232000,26482000,10388000,69604000,5606000,None,-50000000,9108000,2463832779.9999995,33.91,72658000
YELP,2022-06-30,298884000,271896000,16001000,76848000,255895000,8009000,4516000,28586000,24070000,0.36,0.46,-0.1,-21.7391,1023168000,304564000,421162000,82354000,None,718604000,-849938000,72835000,124690000,14538000,17485000,18329000,7862000,None,-50000000,8009000,2022627950.0,27.77,72835000
YELP,2022-03-31,276628000,253199000,-4527000,80685000,257655000,-915000,-16927000,7034000,23961000,0.14,0.34,-0.2,-58.8235,1044906000,320557000,465121000,82260000,None,724349000,-808199000,71639000,111762000,15811000,11386000,59903000,6636000,None,-50006000,-915000,2443606290.0,34.11,71639000
YELP,2021-12-31,273400000,249355000,19593000,70384000,229762000,23190000,6960000,36733000,29773000,0.3,0.14,0.16,114.2857,1050528000,299210000,479783000,40237000,None,751318000,-760164000,76054000,136233000,None,16127000,44920000,6682000,None,-85096000,23190000,2756196960.0,36.24,76054000
YELP,2021-09-30,269155000,247970000,21645000,69402000,226325000,18065000,7875000,34272000,26397000,0.62,0.48,0.14,29.1667,1079068000,297245000,531620000,79250000,None,781823000,-694088000,77422000,105843000,1,17815000,58628000,8314000,None,-63675000,18065000,2883195280.0,37.24,77422000
YELP,2021-06-30,257188000,239195000,-1081000,68695000,240264000,4212000,-13921000,12294000,26215000,0.05,-0.09,0.14,155.5556,1105244000,301780000,558227000,95716000,None,803464000,-648398000,78983000,101542000,12026000,14373000,50176000,7281000,None,-64629000,4212000,3156160680.0,39.96,78983000
YELP,2021-03-31,232096000,217222000,-8643000,67992000,225845000,-5796000,-22783000,4460000,27243000,0.3,0.17,0.13,76.4706,1135378000,308278000,588592000,107128000,None,827100000,-588918000,75245000,88750000,10343000,5255000,58931000,6005000,None,-49528000,-5796000,2934555000.0,39.0,75245000
YELP,2020-12-31,233195000,217874000,14479000,58457000,203380000,21089000,14494000,27619000,13125000,0.69,0.32,0.37,115.625,1154947000,300413000,595875000,102322000,None,854534000,-533943000,76971000,88400000,None,8853000,48316000,14059000,None,-24396000,21089000,2514642570.0,32.67,76971000
