ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
YRD,2025-06-30,1674453000,1513594000,744822000,107693000,1132093000,357540000,None,381501000,None,0.5678,None,0,None,14449399000,4467005000,4098851000,None,None,9982394000,4900245000,43525500,5306908000,None,61580000,411224000,0,None,None,357540000,255494685.0,5.87,43525500.0
YRD,2025-03-31,1554526000,1329788000,307477000,85954000,1022311000,247506000,None,307477000,None,2.85,None,0,None,13273959000,3520202000,4043590000,0,None,9753757000,4681618000,43484000,4824894000,None,79882000,478650000,0,None,None,247506000,299169920.0,6.88,43484000.0
YRD,2024-12-31,1452193000,1254961000,295787000,164703000,1156406000,331446000,None,None,None,3.81,None,0,None,12982696000,3440266000,3841284000,0,None,9542430000,4435036000,191165770,566541000,None,43167000,1424082000,0,None,None,331446000,917595696.0,4.8,191165770.0
YRD,2024-09-30,1479088000,1273175000,339272000,150840000,933903000,355442000,336871000,339272000,2401000,0.5634,None,0,None,12457945000,3173092000,3705866000,0,None,9284853000,4225758000,44009000,4842647000,None,42712000,1051044000,0,None,None,355442000,250411210.00000003,5.69,44009000.0
YRD,2024-06-30,1496536000,1249994000,717126000,55812000,532868000,409528000,436175000,438201000,2026000,0.6473,None,0,None,11815769000,2851866000,5496932000,None,None,8963903000,3879702000,86934543,654698000,228412000,43710000,368908000,0,None,None,409528000,408592352.1,4.7,86934543.0
YRD,2024-03-31,1378084000,1144814000,573804000,40521000,571010000,485883000,573226864,573804000,577136,1.6823,None,0,None,10987025000,2385978000,5903995000,18976000,None,8601047000,3470748000,44050643,2102964000,-734070000,41484000,631743000,0,None,None,485883000,214526631.41,4.87,44050643.0
YRD,2023-12-31,1274310000,1089610000,687096000,47586000,407404000,571268000,685290000,687096000,1806000,0.8924,6.45,-5.5576,-86.1643,10276916000,2191367000,5791333000,14414000,None,8085549000,2985369000,44276576,2174345000,-76053000,30902000,631743000,0,None,None,571268000,158952907.84,3.59,44276576.0
YRD,2023-09-30,1310774000,1065414000,693444000,38981000,371970000,554415000,691666000,693444000,1778000,6.2,6.22,-0.02,-0.3215,9351241000,1822235000,5437972000,14414000,None,7529006000,2414683000,44591641,2070394000,-74185000,38025000,459235,0,None,None,554415000,111033186.09,2.49,44591641.0
YRD,2023-06-30,1324206000,977839000,671311000,33018000,306528000,527348000,669533000,671311000,1778000,2.94,2.94,0,0,9370732000,2384191000,5808775000,27664000,392100000,6986541000,1860945000,44781008,2254111000,-709407000,66738000,718058000,0,None,None,527348000,101876793.2,2.275,44781008.0
YRD,2023-03-31,986343000,786598000,542931000,29169000,243667000,427166000,541063000,542931000,1868000,2.37,2.37,0,0,9370732000,2384191000,5808775000,338779000,392100000,6986541000,1860945000,89562016,2254111000,-709407000,66738000,390307000,882000,None,-569819,427166000,190767094.07999998,2.13,89562016.0
YRD,2022-12-31,1088076000,876485000,616145000,32937000,244433000,485235000,588723000,591260000,2537000,0.03,0.24,-0.21,-87.5,8600198000,2153608000,5077211000,247717000,767900000,6446590000,1334804000,90090488,2148395000,1,19887000,471890000,882000,None,-3837000,485235000,136036636.88,1.51,90090488.0
YRD,2022-09-30,840655000,617033000,335606000,33422000,281427000,270320000,327092000,335606000,8514000,0.03,0.24,-0.21,-87.5,7986462000,2438796000,3612972000,0,767900000,5547666000,424249000,44960266,2123881000,1,31711000,342888000,882000,None,None,270320000,48107484.620000005,1.07,44960266.0
YRD,2022-06-30,801124000,612437000,312620000,None,335497000,254488000,303501000,312620000,9119000,1.93,1.5,0.43,28.6667,7739440000,2918008000,2864543000,1036722000,869300000,4821432000,-247833000,85585976,2955970000,-249470000,19065000,666901000,13722000,None,None,254488000,154054756.8,1.8,85585976.0
YRD,2022-03-31,704765000,551824000,227266000,None,324558000,184828000,221006000,227266000,6260000,0.3404,1.22,-0.8796,-72.0984,None,None,-3078395000,None,None,4821432000,None,42767857,None,None,None,367751000,0,None,None,184828000,108630356.78,2.54,42767857.0
YRD,2021-12-31,1020940000,804189000,328800000,None,475389000,330765000,321334000,328800000,7466000,,,,,7739440000,2918008000,2864543000,1036722000,1028600000,4821432000,-247833000,85585976,2955970000,-249470000,19065000,189377000,9404000,None,-2750000,330765000,244775891.35999998,2.86,85585976.0
YRD,2021-09-30,1231991000,1045076000,415005000,None,630071000,320925000,406556000,415005000,8449000,0.4369,1.83,-1.3931,-76.1257,7556413000,3064959000,2328380000,0,1038600000,4491454000,-577603000,42892848,3079305000,-249470000,36799000,323819000,9404000,None,-2750000,320925000,129107472.47999999,3.01,42892848.0
YRD,2021-06-30,1125035000,942368000,284363000,None,658005000,200080000,269212000,284363000,15151000,1.18,1.31,-0.13,-9.9237,7200158000,3037319000,2192500000,0,968600000,4162839000,-878452000,42293401,4095469000,1,64469000,-212993000,9404000,None,None,200080000,254183340.01,6.01,42293401.0
YRD,2021-03-31,1099963000,925438000,259165000,None,666273000,181214000,236222000,259165000,22943000,-6.66,0.52,-7.18,-1380.7692,6702253000,2924589000,2469909000,876519000,799200000,3777664000,-1257594000,83982020,2452398000,-89087000,9903000,-219069000,13722000,None,None,181214000,425788841.40000004,5.07,83982020.0
YRD,2020-12-31,1160851000,563925000,84996000,None,478929000,-559609000,68167000,84996000,16829000,0.327,0,0.327,None,6702253000,2924589000,2469909000,876519000,500500000,3777664000,-1257594000,83982020,2452398000,-89087000,9903000,-219069000,13722000,None,-3050000,-559609000,280499946.8,3.34,83982020.0
YRD,2020-09-30,1022762000,783107000,113366000,None,669741000,79837000,89962000,113366000,23404000,2.45,0.57,1.88,329.8246,8371355000,4030320000,2836229000,None,None,4341035000,-697063000,45682723,368595000,-89087000,24757000,3098000,13722000,None,-3050000,79837000,134307205.62,2.94,45682723.0
