ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
ZBRA,2025-06-30,1293000000,616000000,183000000,144000000,433000000,112000000,163000000,206000000,43000000,3.61,3.33,0.28,8.4084,7938000000,4321000000,872000000,116000000,2128000000,3617000000,5108000000,51807000,684000000,686000000,569000000,147000000,17000000,None,-125000000,112000000,15975206520.0,308.36,51807000
ZBRA,2025-03-31,1308000000,645000000,195000000,151000000,450000000,136000000,188000000,229000000,41000000,4.02,3.6174,0.4026,11.1295,7899000000,4273000000,879000000,105000000,2103000000,3626000000,4996000000,51807000,637000000,681000000,559000000,178000000,20000000,None,-125000000,136000000,14638585920.0,282.56,51807000
ZBRA,2024-12-31,1334000000,648000000,225000000,138000000,423000000,163000000,267000000,309000000,42000000,4,3.9413,0.0587,1.4894,7968000000,4382000000,901000000,115000000,2092000000,3586000000,4860000000,51918000,712000000,693000000,633000000,306000000,18000000,None,-31000000,163000000,20051769960.0,386.22,51918000
ZBRA,2024-09-30,1255000000,613000000,191000000,141000000,422000000,137000000,180000000,225000000,45000000,3.49,3.24,0.25,7.716,7690000000,4269000000,676000000,129000000,2080000000,3421000000,4697000000,51918000,709000000,639000000,533000000,294000000,17000000,None,-16000000,137000000,19226273760.0,370.32,51918000
ZBRA,2024-06-30,1212000000,559000000,167000000,146000000,393000000,113000000,171000000,213000000,42000000,3.18,2.81,0.37,13.1673,7490000000,4203000000,411000000,130000000,2080000000,3287000000,4560000000,51830245,742000000,678000000,551000000,288000000,10000000,None,0,113000000,15870939321.449999,306.21,51830245
ZBRA,2024-03-31,1174000000,536000000,159000000,138000000,404000000,115000000,179000000,222000000,43000000,2.84,2.45,0.39,15.9184,7259000000,4090000000,127000000,313000000,1815000000,3169000000,4447000000,51790501,599000000,705000000,467000000,125000000,14000000,None,0,115000000,15588940801.0,301.0,51790501
ZBRA,2023-12-31,1008000000,421000000,74000000,116000000,330000000,17000000,41000000,85000000,44000000,1.71,1.66,0.05,3.012,7306000000,4270000000,137000000,215000000,2047000000,3036000000,4332000000,51687374,584000000,804000000,456000000,141000000,39000000,None,52000000,17000000,13851182484.52,267.98,51687374
ZBRA,2023-09-30,956000000,427000000,-12000000,127000000,439000000,-15000000,15000000,59000000,44000000,0.87,0.81,0.06,7.4074,7331000000,4318000000,61000000,190000000,2121000000,3013000000,4315000000,51336645,538000000,848000000,433000000,-35000000,14000000,None,0,-15000000,11993780371.35,233.63,51336645
ZBRA,2023-06-30,1214000000,581000000,194000000,130000000,371000000,144000000,205000000,249000000,44000000,3.29,3.28,0.01,0.3049,7456000000,4464000000,68000000,205000000,2042000000,2992000000,4330000000,51707460,683000000,864000000,562000000,-34000000,18000000,None,-37000000,144000000,15296617891.8,295.83,51707460
ZBRA,2023-03-31,1405000000,667000000,225000000,146000000,432000000,150000000,215000000,259000000,44000000,3.94,3.92,0.02,0.5102,7474000000,4583000000,85000000,251000000,1880000000,2891000000,4186000000,51748069,758000000,835000000,602000000,-76000000,16000000,None,-15000000,150000000,16455885942.0,318.0,51748069
ZBRA,2022-12-31,1503000000,685000000,260000000,142000000,413000000,186000000,249000000,294000000,45000000,4.75,4.59,0.16,3.4858,7529000000,4796000000,105000000,251000000,1809000000,2733000000,4036000000,51942060,794000000,860000000,811000000,267000000,24000000,None,-96000000,186000000,13515324012.0,260.2,51942060
ZBRA,2022-09-30,1378000000,628000000,202000000,143000000,426000000,170000000,243000000,298000000,55000000,4.12,4.54,-0.42,-9.2511,7448000000,4791000000,81000000,179000000,2017000000,2657000000,3850000000,52157852,815000000,814000000,835000000,67000000,20000000,None,-50000000,170000000,13665878802.52,262.01,52157852
ZBRA,2022-06-30,1468000000,674000000,-145000000,148000000,819000000,-98000000,-156000000,-105000000,51000000,4.61,4.21,0.4,9.5012,7385000000,4872000000,98000000,183000000,2017000000,2513000000,3680000000,52138470,945000000,632000000,827000000,100000000,17000000,None,-300000000,-98000000,15326103256.5,293.95,52138470
ZBRA,2022-03-31,1432000000,637000000,212000000,137000000,425000000,205000000,280000000,332000000,52000000,4.01,3.87,0.14,3.6176,6129000000,3223000000,141000000,216000000,913000000,2906000000,3778000000,53446740,822000000,469000000,691000000,54000000,14000000,None,-305000000,205000000,22110916338.0,413.7,53446740
ZBRA,2021-12-31,1467000000,669000000,223000000,145000000,457000000,191000000,221000000,272000000,51000000,4.54,4.4,0.14,3.1818,6215000000,3231000000,332000000,102000000,922000000,2984000000,3573000000,53877621,760000000,491000000,700000000,233000000,21000000,None,-32000000,191000000,32067960019.2,595.2,53877621
ZBRA,2021-09-30,1436000000,646000000,237000000,141000000,403000000,199000000,243000000,291000000,48000000,4.55,4.06,0.49,12.069,5865000000,3049000000,307000000,51000000,940000000,2816000000,3382000000,53866559,685000000,438000000,609000000,297000000,13000000,None,0,199000000,27763901839.78,515.42,53866559
