ticker,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,researchAndDevelopment,operatingExpenses,netIncome,ebit,ebitda,depreciationAndAmortization,reportedEPS,estimatedEPS,surprise,surprisePercentage,totalAssets,totalLiabilities,cashAndCashEquivalentsAtCarryingValue,shortTermDebt,longTermDebt,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,currentNetReceivables,inventory,currentAccountsPayable,operatingCashflow,capitalExpenditures,dividendPayout,proceedsFromRepurchaseOfEquity,cashflowNetIncome,marketCap,stockPrice,sharesOutstanding
ZS,2025-07-31,719226000,547623000,-32242000,177606000,579228000,-17578000,17187999,34697999,17510000,0.89,0.8,0.09,11.25,6419888000,4620615000,2389023000,52497000,1700727000,1799273000,-1189558000,156496000,992181000,None,46906000,254897000,78683000,None,None,-17578000,44688997760.0,285.56,156496000.0
ZS,2025-04-30,678034000,522178000,-22429000,169293000,544607000,-4125000,6532000,38987000,32455000,0.84,0.76,0.08,10.5263,5339628000,3534689000,1990890000,1196112000,None,1804939000,-1171980000,154909000,615787000,None,54609000,211081000,91618000,None,None,-4125000,35035768530.0,226.17,154909000.0
ZS,2025-01-31,647900000,499485000,-36986000,170508000,536471000,-7724000,-14256000,14477000,28733000,0.78,0.69,0.09,13.0435,5005968000,3398622000,1758506000,1197430000,None,1607346000,-1167855000,153672000,514314000,None,24600000,179433000,36005000,None,22344000,-7724000,31132410480.0,202.59,153672000.0
ZS,2024-10-31,627955000,485651000,-31875000,154275000,517525999,-12051000,-1413000,24250000,25663000,0.77,0.63,0.14,22.2222,4709002000,3280457000,1553645000,1195399000,None,1428545000,-1160131000,152557000,424573000,None,25368000,331335000,39454000,None,None,-12051000,27580780030.0,180.79,152557000.0
ZS,2024-07-31,592868000,462086000,-25675000,139031000,487761000,-14878000,-1371000,23028000,24399000,0.88,0.69,0.19,27.5362,4704968000,3430866000,1423080000,1193141000,None,1274102000,-1148080000,151497000,736529000,None,23309000,203557000,67239000,None,None,-14878000,27170986950.0,179.35,151497000.0
ZS,2024-04-30,553201000,434099000,-4423000,125015000,438522000,19124000,23250000,44303000,21053000,0.88,0.65,0.23,35.3846,4198751000,3105612000,1259197000,50857000,1137687000,1093139000,-1133202000,154081000,506284000,None,28030000,173414000,50288000,None,None,19124000,26646768140.0,172.94,154081000.0
ZS,2024-01-31,524999000,407113000,-47068000,122164000,454181000,-28469000,-16676000,1806000,18482000,0.76,0.58,0.18,31.0345,3934226000,2975370000,1438586000,44773000,1141011000,958856000,-1152326000,148951000,479611000,None,17137000,142069000,41281000,None,None,-28469000,35103282170.0,235.67,148951000.0
ZS,2023-10-31,496703000,384814000,-46711000,113538000,431525000,-33483000,-21343000,5558000,26901000,0.67,0.49,0.18,36.7347,3635584000,2828059000,1361723000,38138000,1134026000,807525000,-1123857000,147625000,366843000,119417000,23234000,260806000,36088000,None,None,-33483000,23426611250.0,158.69,147625000.0
ZS,2023-07-31,455006000,352282000,-41955000,96200000,394237000,-30674000,-23308000,4553000,27861000,0.64,0.49,0.15,30.6122,3608317000,2883205000,1262206000,34469000,1134159000,725112000,-1090374000,146424000,582636000,115827000,18481000,135936000,34635000,None,42263000,-30674000,23483481120.0,160.38,146424000.0
ZS,2023-04-30,418800000,322918000,-48144000,92285000,371062000,-46046000,-37924000,-12089000,25835000,0.48,0.43,0.05,11.6279,3200712000,2599438000,1275297000,31054000,1140840000,601274000,-1059700000,145354000,376339000,103896000,24783000,108469000,34583000,None,1090000,-46046000,12898713960.0,88.74,145354000.0
