ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,revenue,revenue_millions,gross_profit,net_income,operating_income,ebitda,ps_ratio,current_pe,forward_pe,current_ps,current_pb,peg_ratio,revenue_qoq_pct,revenue_yoy_pct,market_cap_yoy_pct,sector,industry,country,employees,year_quarter
2353 TT,ACER INC,2015-01-01 00:00:00+08:00,2015,1,1,13.557913780212402,13.843326882035479,13.919021200680652,13.131151603553747,271824000,3006208000,40757908869.384766,40.757908869384764,,,,,,,,19.966667,12.584033,0.33774227,1.3152695,,,,,Technology,Computer Hardware,Taiwan,,2015-Q1
2353 TT,ACER INC,2015-02-01 00:00:00+08:00,2015,1,2,13.492255210876465,13.525083835024923,13.656394574766855,12.967009747340803,187965000,3006208000,40560525552.978516,40.56052555297852,,,,,,,,19.966667,12.584033,0.33774227,1.3152695,,,,,Technology,Computer Hardware,Taiwan,,2015-Q1
2353 TT,ACER INC,2015-03-01 00:00:00+08:00,2015,1,3,13.26246166229248,13.59074040391077,14.542748003233397,13.22963303676024,362021000,3006208000,39869718348.87695,39.86971834887695,,,,,,,,19.966667,12.584033,0.33774227,1.3152695,,,,,Technology,Computer Hardware,Taiwan,,2015-Q1
2353 TT,ACER INC,2015-04-01 00:00:00+08:00,2015,2,4,13.196805953979492,13.26246195420507,13.72205145121603,12.967010579331989,195832000,3006208000,39672343633.30078,39.672343633300784,,,,,,,,19.966667,12.584033,0.33774227,1.3152695,,,,,Technology,Computer Hardware,Taiwan,,2015-Q2
2353 TT,ACER INC,2015-05-01 00:00:00+08:00,2015,2,5,12.047830581665039,13.196806226330672,13.328116977207731,11.55541244823691,204442000,3006208000,36218284677.24609,36.218284677246096,,,,,,,,19.966667,12.584033,0.33774227,1.3152695,,,,,Technology,Computer Hardware,Taiwan,,2015-Q2
2353 TT,ACER INC,2015-06-01 00:00:00+08:00,2015,2,6,9.815534591674805,12.015001861583283,12.015001861583283,9.684223215673736,320412000,3006208000,29507538613.76953,29.50753861376953,,,,,,,,19.966667,12.584033,0.33774227,1.3152695,,,,,Technology,Computer Hardware,Taiwan,,2015-Q2
2353 TT,ACER INC,2015-07-01 00:00:00+08:00,2015,3,7,8.60090446472168,9.848363604120047,10.30795378041723,8.436765071319678,272876000,3006208000,25856107809.08203,25.85610780908203,,,,,,,,19.966667,12.584033,0.33774227,1.3152695,,,,,Technology,Computer Hardware,Taiwan,,2015-Q3
2353 TT,ACER INC,2015-08-01 00:00:00+08:00,2015,3,8,7.878688812255859,8.699385563532513,8.797868923228938,6.112549679010954,390293000,3006208000,23684977336.914062,23.684977336914063,,,,,,,,19.966667,12.584033,0.33774227,1.3152695,,,,,Technology,Computer Hardware,Taiwan,,2015-Q3
2353 TT,ACER INC,2015-09-01 00:00:00+08:00,2015,3,9,8.469592094421387,7.878690553375083,9.355945032132912,7.878690553375083,341025000,3006208000,25461355510.98633,25.46135551098633,,,,,,,,19.966667,12.584033,0.33774227,1.3152695,,,,,Technology,Computer Hardware,Taiwan,,2015-Q3
2353 TT,ACER INC,2015-10-01 00:00:00+08:00,2015,4,10,9.060494422912598,8.53524825144162,9.749879983834376,8.436764868227971,237153000,3006208000,27237730818.115234,27.237730818115235,,,,,,,,19.966667,12.584033,0.33774227,1.3152695,,,,,Technology,Computer Hardware,Taiwan,,2015-Q4
