ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,current_pe,forward_pe,current_ps,current_pb,peg_ratio,market_cap_yoy_pct,sector,industry,country,employees,year_quarter
3690 HK,MEITUAN DIANPING-CLASS B,2018-09-01 00:00:00+08:00,2018,3,9,68.75,72.9000015258789,74.0,65.05000305175781,316181334,5527428787,380010729106.25,380.01072910625,20.234375,11.297709,1.7551672,3.4059901,,,Consumer Cyclical,Internet Retail,China,108900,2018-Q3
3690 HK,MEITUAN DIANPING-CLASS B,2018-10-01 00:00:00+08:00,2018,4,10,50.70000076293945,68.75,69.30000305175781,49.45000076293945,254747112,5527428787,280240643717.99347,280.24064371799346,20.234375,11.297709,1.7551672,3.4059901,,,Consumer Cyclical,Internet Retail,China,108900,2018-Q4
3690 HK,MEITUAN DIANPING-CLASS B,2018-11-01 00:00:00+08:00,2018,4,11,52.45000076293945,52.45000076293945,64.4000015258789,49.650001525878906,190111754,5527428787,289913644095.24347,289.91364409524346,20.234375,11.297709,1.7551672,3.4059901,,,Consumer Cyclical,Internet Retail,China,108900,2018-Q4
3690 HK,MEITUAN DIANPING-CLASS B,2018-12-01 00:00:00+08:00,2018,4,12,43.900001525878906,55.04999923706055,55.54999923706055,43.099998474121094,120639963,5527428787,242654132183.487,242.654132183487,20.234375,11.297709,1.7551672,3.4059901,,,Consumer Cyclical,Internet Retail,China,108900,2018-Q4
3690 HK,MEITUAN DIANPING-CLASS B,2019-01-01 00:00:00+08:00,2019,1,1,53.29999923706055,43.900001525878906,53.95000076293945,40.25,155358056,5527428787,294611950130.00653,294.6119501300065,20.234375,11.297709,1.7551672,3.4059901,,,Consumer Cyclical,Internet Retail,China,108900,2019-Q1
3690 HK,MEITUAN DIANPING-CLASS B,2019-02-01 00:00:00+08:00,2019,1,2,60.900001525878906,54.0,64.19999694824219,51.70000076293945,131813791,5527428787,336620421562.487,336.620421562487,20.234375,11.297709,1.7551672,3.4059901,,,Consumer Cyclical,Internet Retail,China,108900,2019-Q1
3690 HK,MEITUAN DIANPING-CLASS B,2019-03-01 00:00:00+08:00,2019,1,3,52.900001525878906,60.900001525878906,62.0,47.0,308700157,5527428787,292400991266.487,292.400991266487,20.234375,11.297709,1.7551672,3.4059901,,,Consumer Cyclical,Internet Retail,China,108900,2019-Q1
3690 HK,MEITUAN DIANPING-CLASS B,2019-04-01 00:00:00+08:00,2019,2,4,57.0,53.599998474121094,57.900001525878906,50.20000076293945,334236252,5527428787,315063440859.0,315.063440859,20.234375,11.297709,1.7551672,3.4059901,,,Consumer Cyclical,Internet Retail,China,108900,2019-Q2
3690 HK,MEITUAN DIANPING-CLASS B,2019-05-01 00:00:00+08:00,2019,2,5,60.54999923706055,57.0,64.5999984741211,52.5,578012958,5527428787,334685808835.75653,334.6858088357565,20.234375,11.297709,1.7551672,3.4059901,,,Consumer Cyclical,Internet Retail,China,108900,2019-Q2
3690 HK,MEITUAN DIANPING-CLASS B,2019-06-01 00:00:00+08:00,2019,2,6,68.5,60.20000076293945,69.3499984741211,57.0,495663263,5527428787,378628871909.5,378.6288719095,20.234375,11.297709,1.7551672,3.4059901,,,Consumer Cyclical,Internet Retail,China,108900,2019-Q2
