ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,revenue,revenue_millions,gross_profit,net_income,operating_income,ebitda,ps_ratio,current_pe,forward_pe,current_ps,current_pb,peg_ratio,revenue_qoq_pct,revenue_yoy_pct,market_cap_yoy_pct,sector,industry,country,employees,year_quarter
BBAI,"BigBear.ai Holdings, Inc.",2021-04-01 00:00:00-04:00,2021,2,4,9.710000038146973,10.0,10.0,9.5600004196167,1443200,436518932,4238598846.371876,4.238598846371875,,,,,,,,,-35.25,20.17199,9.764544,,,,,Technology,Information Technology Services,United States,630,2021-Q2
BBAI,"BigBear.ai Holdings, Inc.",2021-05-01 00:00:00-04:00,2021,2,5,9.680000305175781,9.729999542236328,9.729999542236328,9.609999656677246,900000,436518932,4225503394.975006,4.225503394975006,,,,,,,,,-35.25,20.17199,9.764544,,,,,Technology,Information Technology Services,United States,630,2021-Q2
BBAI,"BigBear.ai Holdings, Inc.",2021-06-01 00:00:00-04:00,2021,2,6,9.850000381469727,9.710000038146973,9.892000198364258,9.65999984741211,11521500,436518932,4299711646.718758,4.299711646718758,,,,,,,,,-35.25,20.17199,9.764544,,,,,Technology,Information Technology Services,United States,630,2021-Q2
BBAI,"BigBear.ai Holdings, Inc.",2021-07-01 00:00:00-04:00,2021,3,7,9.779999732971191,9.850000381469727,9.85200023651123,9.760000228881836,2223900,436518932,4269155038.3968697,4.269155038396869,,,,,,,,,-35.25,20.17199,9.764544,,,,,Technology,Information Technology Services,United States,630,2021-Q3
BBAI,"BigBear.ai Holdings, Inc.",2021-08-01 00:00:00-04:00,2021,3,8,9.880000114440918,9.770000457763672,9.880000114440918,9.729999542236328,2467800,436518932,4312807098.115627,4.312807098115627,,,,,,,,,-35.25,20.17199,9.764544,,,,,Technology,Information Technology Services,United States,630,2021-Q3
BBAI,"BigBear.ai Holdings, Inc.",2021-09-01 00:00:00-04:00,2021,3,9,9.859999656677246,9.829999923706055,9.90999984741211,9.819999694824219,2744500,436518932,4304076519.653118,4.304076519653118,,,,,,,,,-35.25,20.17199,9.764544,,,,,Technology,Information Technology Services,United States,630,2021-Q3
BBAI,"BigBear.ai Holdings, Inc.",2021-10-01 00:00:00-04:00,2021,4,10,9.970000267028809,9.890000343322754,9.970000267028809,9.829999923706055,3911900,436518932,4352093868.60313,4.352093868603131,,,,,,,,,-35.25,20.17199,9.764544,,,,,Technology,Information Technology Services,United States,630,2021-Q4
BBAI,"BigBear.ai Holdings, Inc.",2021-11-01 00:00:00-04:00,2021,4,11,10.0,9.970000267028809,10.010000228881836,9.930000305175781,20105800,436518932,4365189320.0,4.36518932,,,,,,,,,-35.25,20.17199,9.764544,,,,,Technology,Information Technology Services,United States,630,2021-Q4
BBAI,"BigBear.ai Holdings, Inc.",2021-12-01 00:00:00-05:00,2021,4,12,5.659999847412109,10.010000228881836,10.210000038146973,5.519999980926514,7564100,436518932,2470697088.512497,2.470697088512497,,,,,,,,,-35.25,20.17199,9.764544,,,,,Technology,Information Technology Services,United States,630,2021-Q4
BBAI,"BigBear.ai Holdings, Inc.",2022-01-01 00:00:00-05:00,2022,1,1,5.110000133514404,5.659999847412109,6.091000080108643,4.449999809265137,1908700,436518932,2230611800.801565,2.230611800801565,,,,,,,,,-35.25,20.17199,9.764544,,,,,Technology,Information Technology Services,United States,630,2022-Q1
BBAI,"BigBear.ai Holdings, Inc.",2022-02-01 00:00:00-05:00,2022,1,2,5.78000020980835,5.150000095367432,6.639999866485596,4.53000020980835,2591500,436518932,2523079518.5453167,2.5230795185453165,,,,,,,,,-35.25,20.17199,9.764544,,,,,Technology,Information Technology Services,United States,630,2022-Q1
BBAI,"BigBear.ai Holdings, Inc.",2022-03-01 00:00:00-05:00,2022,1,3,8.239999771118164,5.78000020980835,10.5,5.690000057220459,12081400,436518932,3596915899.7687454,3.5969158997687454,,,,,,,,,-35.25,20.17199,9.764544,,,,,Technology,Information Technology Services,United States,630,2022-Q1
BBAI,"BigBear.ai Holdings, Inc.",2022-04-01 00:00:00-04:00,2022,2,4,10.010000228881836,8.819999694824219,16.1200008392334,8.039999961853027,38037500,436518932,4369554609.231255,4.369554609231255,,,,,,,,,-35.25,20.17199,9.764544,,,,3.08960030439005,Technology,Information Technology Services,United States,630,2022-Q2
BBAI,"BigBear.ai Holdings, Inc.",2022-05-01 00:00:00-04:00,2022,2,5,5.329999923706055,9.8100004196167,11.609999656677246,5.079999923706055,7148900,436518932,2326645874.2562485,2.3266458742562484,,,,,,,,,-35.25,20.17199,9.764544,,,,-44.93801905299355,Technology,Information Technology Services,United States,630,2022-Q2
BBAI,"BigBear.ai Holdings, Inc.",2022-06-01 00:00:00-04:00,2022,2,6,3.680000066757202,5.28000020980835,5.690000057220459,3.569999933242798,4550800,436518932,1606389698.9007826,1.6063896989007826,,,,,,,,,-35.25,20.17199,9.764544,,,,-62.639594677781055,Technology,Information Technology Services,United States,630,2022-Q2
BBAI,"BigBear.ai Holdings, Inc.",2022-07-01 00:00:00-04:00,2022,3,7,2.5399999618530273,3.6700000762939453,3.8399999141693115,2.440000057220459,3004100,436518932,1108758070.6281242,1.1087580706281241,,,,,,,,,-35.25,20.17199,9.764544,,,,-74.0286295377907,Technology,Information Technology Services,United States,630,2022-Q3
BBAI,"BigBear.ai Holdings, Inc.",2022-08-01 00:00:00-04:00,2022,3,8,1.5399999618530273,2.5899999141693115,4.340000152587891,1.3700000047683716,22075800,436518932,672239138.6281242,0.6722391386281242,,,,,,,,,-35.25,20.17199,9.764544,,,,-84.41295603223612,Technology,Information Technology Services,United States,630,2022-Q3
