ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,current_pe,forward_pe,current_ps,current_pb,peg_ratio,market_cap_yoy_pct,sector,industry,country,employees,year_quarter
EXPN LN,EXPERIAN PLC,2015-01-01 00:00:00+00:00,2015,1,1,1170.857177734375,1086.012454710145,1219.7676651248137,1042.0928333799552,54024435,913159452,1069179298790.1885,1069.1792987901886,37.80851,25.753624,4.313929,642.5601,,,Industrials,Consulting Services,Ireland,23300,2015-Q1
EXPN LN,EXPERIAN PLC,2015-02-01 00:00:00+00:00,2015,1,2,1195.900390625,1168.9477107027337,1213.8688439065108,1154.9722470393365,33505908,913159452,1092047745349.7109,1092.047745349711,37.80851,25.753624,4.313929,642.5601,,,Industrials,Consulting Services,Ireland,23300,2015-Q1
EXPN LN,EXPERIAN PLC,2015-03-01 00:00:00+00:00,2015,1,3,1115.0423583984375,1192.9056564781852,1209.875862469925,1098.0721524066976,49528463,913159452,1018211468951.9048,1018.2114689519047,37.80851,25.753624,4.313929,642.5601,,,Industrials,Consulting Services,Ireland,23300,2015-Q1
EXPN LN,EXPERIAN PLC,2015-04-01 00:00:00+01:00,2015,2,4,1165.9527587890625,1114.0439030895493,1214.8668728136035,1094.0789585897367,46953973,913159452,1064700782273.7085,1064.7007822737085,37.80851,25.753624,4.313929,642.5601,,,Industrials,Consulting Services,Ireland,23300,2015-Q2
EXPN LN,EXPERIAN PLC,2015-05-01 00:00:00+01:00,2015,2,5,1243.8160400390625,1153.973789955984,1261.7844900556781,1117.0386426996074,47577406,913159452,1135802373510.8804,1135.8023735108804,37.80851,25.753624,4.313929,642.5601,,,Industrials,Consulting Services,Ireland,23300,2015-Q2
EXPN LN,EXPERIAN PLC,2015-06-01 00:00:00+01:00,2015,2,6,1156.968505859375,1245.8125067407248,1258.7897203526072,1152.975517055719,54078088,913159452,1056496726791.8057,1056.4967267918057,37.80851,25.753624,4.313929,642.5601,,,Industrials,Consulting Services,Ireland,23300,2015-Q2
EXPN LN,EXPERIAN PLC,2015-07-01 00:00:00+01:00,2015,3,7,1199.06640625,1166.119535803497,1229.0181066559119,1126.1839352622815,51257492,913159452,1094938822442.8594,1094.9388224428594,37.80851,25.753624,4.313929,642.5601,,,Industrials,Consulting Services,Ireland,23300,2015-Q3
EXPN LN,EXPERIAN PLC,2015-08-01 00:00:00+01:00,2015,3,8,1107.2147216796875,1193.0762780948842,1216.039252484995,1021.3531652644908,40260748,913159452,1011063588495.356,1011.0635884953559,37.80851,25.753624,4.313929,642.5601,,,Industrials,Consulting Services,Ireland,23300,2015-Q3
EXPN LN,EXPERIAN PLC,2015-09-01 00:00:00+01:00,2015,3,9,1056.2967529296875,1086.2484566989604,1099.227528332312,1018.3579281552753,55462660,913159452,964567364054.6528,964.5673640546528,37.80851,25.753624,4.313929,642.5601,,,Industrials,Consulting Services,Ireland,23300,2015-Q3
EXPN LN,EXPERIAN PLC,2015-10-01 00:00:00+01:00,2015,4,10,1106.216064453125,1071.2724162077645,1141.1597126984855,1015.3625790151879,45433211,913159452,1010151655209.6123,1010.1516552096123,37.80851,25.753624,4.313929,642.5601,,,Industrials,Consulting Services,Ireland,23300,2015-Q4
EXPN LN,EXPERIAN PLC,2015-11-01 00:00:00+00:00,2015,4,11,1229.0179443359375,1101.2240394821602,1240.000233034309,1097.2304799554795,44814830,913159452,1122289352547.9712,1122.2893525479712,37.80851,25.753624,4.313929,642.5601,,,Industrials,Consulting Services,Ireland,23300,2015-Q4
EXPN LN,EXPERIAN PLC,2015-12-01 00:00:00+00:00,2015,4,12,1199.06640625,1233.0116667100333,1257.971417048293,1119.1952051675687,36840326,913159452,1094938822442.8594,1094.9388224428594,37.80851,25.753624,4.313929,642.5601,,,Industrials,Consulting Services,Ireland,23300,2015-Q4
EXPN LN,EXPERIAN PLC,2016-01-01 00:00:00+00:00,2016,1,1,1188.167724609375,1199.1507876099658,1199.1507876099658,1094.3124589679621,47457427,913159452,1084986588288.3838,1084.9865882883837,37.80851,25.753624,4.313929,642.5601,,1.4784507627562338,Industrials,Consulting Services,Ireland,23300,2016-Q1
EXPN LN,EXPERIAN PLC,2016-02-01 00:00:00+00:00,2016,1,2,1181.1788330078125,1188.168056871764,1196.1557412877087,1062.3620273206361,40011483,913159452,1078604615863.4136,1078.6046158634135,37.80851,25.753624,4.313929,642.5601,,-1.2310019908508996,Industrials,Consulting Services,Ireland,23300,2016-Q1
EXPN LN,EXPERIAN PLC,2016-03-01 00:00:00+00:00,2016,1,3,1243.0831298828125,1179.181667784419,1246.0785109186747,1174.8483840129343,37431109,913159452,1135133109674.234,1135.133109674234,37.80851,25.753624,4.313929,642.5601,,11.48304102709452,Industrials,Consulting Services,Ireland,23300,2016-Q1
EXPN LN,EXPERIAN PLC,2016-04-01 00:00:00+01:00,2016,2,4,1249.0738525390625,1234.096947832359,1292.0076460316122,1218.1215828118754,34459180,913159452,1140603594692.099,1140.603594692099,37.80851,25.753624,4.313929,642.5601,,7.129027580528047,Industrials,Consulting Services,Ireland,23300,2016-Q2
EXPN LN,EXPERIAN PLC,2016-05-01 00:00:00+01:00,2016,2,5,1303.9893798828125,1249.0740537774873,1303.9893798828125,1237.09252808178,39121045,913159452,1190750227547.609,1190.7502275476088,37.80851,25.753624,4.313929,642.5601,,4.837800599665876,Industrials,Consulting Services,Ireland,23300,2016-Q2
EXPN LN,EXPERIAN PLC,2016-06-01 00:00:00+01:00,2016,2,6,1409.826171875,1297.9986001682012,1409.826171875,1222.1156050814448,53852150,913159452,1287396094524.6328,1287.3960945246329,37.80851,25.753624,4.313929,642.5601,,21.855190070866005,Industrials,Consulting Services,Ireland,23300,2016-Q2
