ticker,name,records,has_users
000660 KS,SK HYNIX INC,130,False
005930 KS,SAMSUNG ELECTRON,130,False
2337 TT,MACRONIX INTERNATIONAL,130,False
2344 TT,WINBOND ELECTRONICS CORP,130,False
2353 TT,ACER INC,130,False
2395 TT,ADVANTECH CO LTD,130,False
3443 TT,GLOBAL UNICHIP CORP,130,False
3661 TT,ALCHIP TECHNOLOGIES LTD,130,False
3665 TT,BIZLINK HOLDING INC,130,False
4488 JP,AI INSIDE INC,71,False
4755 JP,RAKUTEN GROUP INC,130,False
5803 JP,FUJIKURA LTD,130,False
6526 JP,SOCIONEXT INC,37,False
6588 JP,TOSHIBA TEC CORP,130,False
6701 JP,NEC CORP,130,False
6702 JP,FUJITSU LIMITED,130,False
6954 JP,FANUC CORP,130,False
AAPL,APPLE INC,130,False
ACN,ACCENTURE PLC-CL A,130,False
ADBE,ADOBE INC,130,True
AFYA,AFYA LTD-CLASS A,76,False
AI,C3.AI INC-A,59,False
AMBA,AMBARELLA INC,130,False
AMD,ADVANCED MICRO DEVICES,130,False
AMP IM,AMPLIFON SPA,130,False
AMZN,AMAZON.COM INC,130,False
APP,APPLOVIN CORP-CLASS A,55,False
AVGO,BROADCOM INC,130,False
BABA,ALIBABA GRP-ADR,130,False
BAH,BOOZ ALLEN HAMIL,130,False
BB,BLACKBERRY LTD,130,False
BIDU,BAIDU INC - SPON ADR,130,False
BZ,KANZHUN LTD - ADR,53,False
CAN,CANAAN INC,72,False
CCCS,CCC INTELLIGENT,61,False
CDNS,CADENCE DESIGN SYS INC,130,False
CGNT,COGNYTE SOFTWARE LTD,57,False
CGNX,COGNEX CORP,130,False
CLS,CELESTICA INC,130,False
CRM,SALESFORCE.COM INC,130,False
CRWD,CROWDSTRIKE HO-A,77,False
CRWV,COREWEAVE INC-CL A,8,False
CSCO,CISCO SYSTEMS INC,130,False
CYBR,CYBERARK SOFTWAR,130,False
DDOG,DATADOG INC - CLASS A,74,False
DOCU,DOCUSIGN INC,91,True
DXC,DXC TECHNOLOGY CO,130,False
EBAY,EBAY INC,130,False
ENR GR,SIEMENS ENERGY AG NPV,62,False
ERIC,ERICSSON (LM) TEL-SP ADR,130,False
FICO,FAIR ISAAC CORP,130,False
FRSH,FRESHWORKS INC-CL A,50,False
FTNT,FORTINET INC,130,True
G,GENPACT LTD,130,False
GEHC,GE HEALTHCARE TECHNOLOGY,35,False
GOOGL,ALPHABET INC-CL A,130,False
HPE,HEWLETT PACKA,121,False
HUBB,HUBBELL INC,130,True
HUBS,HUBSPOT INC,130,False
HUT,HUT 8 CORP,92,True
IBM,IBM,130,False
IFX GR,INFINEON TECHNOLOGIES AG,130,False
INFA,INFORMATICA INC - CLASS A,49,False
INTC,INTEL CORP,130,False
IONQ,IONQ INC,58,False
LPSN,LIVEPERSON INC,130,False
LSCC,LATTICE SEMICOND,130,False
MCHP,MICROCHIP TECHNOLOGY INC,130,False
META,META PLATFORMS INC,130,False
MRVL,MARVELL TECHNOLOGY INC,130,False
MSFT,MICROSOFT CORP,130,True
MU,MICRON TECHNOLOGY INC,130,False
NFLX,NETFLIX INC,130,True
NICE,NICE LTD - SPON ADR,130,False
NOC,NORTHROP GRUMMAN CORP,130,False
NOW,SERVICENOW INC,130,False
NTAP,NETAPP INC,130,False
NVDA,NVIDIA CORP,130,False
NXPI,NXP SEMICONDUCTORS NV,130,False
OKTA,OKTA INC,103,False
ORCL,ORACLE CORP,130,False
OTEX CN,OPEN TEXT CORP,130,False
PATH,UIPATH INC - CLASS A,55,False
PCOR,PROCORE TECHNOLOGIES INC,54,False
PEGA,PEGASYSTEMS INC,130,False
PLTR,PALANTIR TECHN-A,62,False
PONY,PONY AI INC,12,False
PRO,PROS HOLDINGS INC,130,False
PSTG,PURE STORAGE-A,121,False
PTC,PTC INC,130,False
QCOM,QUALCOMM INC,130,True
QUBT,QUANTUM COMPUTING INC,130,False
ROK,ROCKWELL AUTOMATION INC,130,False
SHOP,SHOPIFY INC - CLASS A,126,False
SIE GR,SIEMENS AG-REG,130,False
SMCI,SUPER MICRO COMPUTER INC,130,False
SNAP,SNAP INC - A,104,False
SNOW,SNOWFLAKE INC-CLASS A,62,False
SNPS,SYNOPSYS INC,130,False
SOUN,SOUNDHOUND AI INC-A,43,False
STMMI IM,STMICROELECTRONICS NV,130,False
STNE,STONECO LTD-A,85,False
STX,SEAGATE TECHNOLOGY,130,True
TDC,TERADATA CORP,130,False
TEMN SW,TEMENOS AG - REG,7,False
TIETO FH,TIETOEVRY OYJ,130,False
TME,TENCENT MUSI-ADR,83,False
TRI,THOMSON REUTERS CORP,130,False
TSEM,TOWER SEMICONDUCTOR LTD,130,False
TSLA,TESLA INC,130,False
TSM,TAIWAN SEMIC-ADR,130,False
TTD,TRADE DESK INC-A,110,False
TWLO,TWILIO INC - A,113,False
UBER,UBER TECHNOLOGIES INC,78,False
UI,UBIQUITI INC,130,False
UPST,UPSTART HOLDINGS INC,59,False
VNET,21VIANET GROUP INC-ADR,130,False
VRNT,VERINT SYSTEMS INC,130,True
VRSK,VERISK ANALYTICS INC,130,False
VSAT,VIASAT INC,130,False
WDAY,WORKDAY INC-CLASS A,130,False
WIX,WIX.COM LTD,130,False
WRD,WERIDE INC-ADR,13,False
YELP,YELP INC,130,False
ZBRA,ZEBRA TECH CORP,130,False
ZS,ZSCALER INC,92,False
