ticker,name,records,has_users
ASML,ASML Holding N.V.,130,False
ISRG,"Intuitive Surgical, Inc.",130,False
ANET,Arista Networks Inc,130,False
ARM,Arm Holdings plc,26,False
KLAC,KLA Corporation,130,False
PANW,"Palo Alto Networks, Inc.",130,False
TEAM,Atlassian Corporation,119,False
SYM,Symbotic Inc.,56,False
IRM,Iron Mountain Incorporated,130,False
ALAB,"Astera Labs, Inc.",20,False
TER,"Teradyne, Inc.",130,False
AVAV,"AeroVironment, Inc.",130,False
EPAM,"EPAM Systems, Inc.",130,False
TTEK,"Tetra Tech, Inc.",130,False
BBAI,"BigBear.ai Holdings, Inc.",55,False
RXRX,"Recursion Pharmaceuticals, Inc.",55,False
SSTK,"Shutterstock, Inc.",130,False
SPT,"Sprout Social, Inc.",71,True
YRD,Yiren Digital Ltd.,119,False
REKR,"Rekor Systems, Inc.",99,True
PDYN,Palladyne AI Corp.,50,False
IRBT,iRobot Corporation,130,False
AISP,"Airship AI Holdings, Inc.",54,True
OSS,"One Stop Systems, Inc.",93,False
KSCP,"Knightscope, Inc.",46,False
MDAI,"Spectral AI, Inc.",55,False
NMTC,NeuroOne Medical Technologies Corporation,92,False
RBOT,Vicarious Surgical Inc.,62,False
KITT,"Nauticus Robotics, Inc.",51,False
ZPTA,Zapata Computing Holdings Inc.,19,False
OTRK,"Ontrak, Inc.",130,True
