ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,revenue,revenue_millions,gross_profit,net_income,operating_income,ebitda,ps_ratio,current_pe,forward_pe,current_ps,current_pb,peg_ratio,revenue_qoq_pct,revenue_yoy_pct,market_cap_yoy_pct,sector,industry,country,employees,year_quarter
GEHC,GE HEALTHCARE TECHNOLOGY,2022-12-01 00:00:00-05:00,2022,4,12,58.144622802734375,62.74599468229381,66.01276906266988,52.78631298669162,8702000,456562037,26546627427.413055,26.546627427413057,,,,,,,,15.395491,16.087793,1.7179098,3.5318727,,,,,Healthcare,Health Information Services,United States,53000,2022-Q4
GEHC,GE HEALTHCARE TECHNOLOGY,2023-01-01 00:00:00-05:00,2023,1,1,69.23970031738281,60.43534578921909,73.65183939027612,53.28429438797207,114969000,456562037,31612218618.173843,31.612218618173845,,,,,,,,15.395491,16.087793,1.7179098,3.5318727,,,,,Healthcare,Health Information Services,United States,53000,2023-Q1
GEHC,GE HEALTHCARE TECHNOLOGY,2023-02-01 00:00:00-05:00,2023,1,2,75.69359588623047,68.72181731776188,76.66964822921574,67.25774260260177,43608700,456562037,34558822325.6722,34.5588223256722,,,,,,,,15.395491,16.087793,1.7179098,3.5318727,,,,,Healthcare,Health Information Services,United States,53000,2023-Q1
GEHC,GE HEALTHCARE TECHNOLOGY,2023-03-01 00:00:00-05:00,2023,1,3,81.69927215576172,75.06612773871719,82.25701192934392,73.74148817782495,45387100,456562037,37300786116.85195,37.30078611685195,,,,,,,,15.395491,16.087793,1.7179098,3.5318727,,,,,Healthcare,Health Information Services,United States,53000,2023-Q1
GEHC,GE HEALTHCARE TECHNOLOGY,2023-04-01 00:00:00-04:00,2023,2,4,81.01205444335938,81.66939714086223,87.47589390759832,77.24729564459875,37567400,456562037,36987028598.21506,36.987028598215055,,,,,,,,15.395491,16.087793,1.7179098,3.5318727,,,,,Healthcare,Health Information Services,United States,53000,2023-Q2
GEHC,GE HEALTHCARE TECHNOLOGY,2023-05-01 00:00:00-04:00,2023,2,5,79.18942260742188,80.75309215825322,81.39946989762657,73.97054450008123,43219800,456562037,36154884094.49838,36.154884094498385,,,,,,,,15.395491,16.087793,1.7179098,3.5318727,,,,,Healthcare,Health Information Services,United States,53000,2023-Q2
GEHC,GE HEALTHCARE TECHNOLOGY,2023-06-01 00:00:00-04:00,2023,2,6,80.94306182861328,79.43858642312837,82.87597346932662,75.91351597369108,105631400,456562037,36955529189.488625,36.95552918948862,,,,,,,,15.395491,16.087793,1.7179098,3.5318727,,,,,Healthcare,Health Information Services,United States,53000,2023-Q2
GEHC,GE HEALTHCARE TECHNOLOGY,2023-07-01 00:00:00-04:00,2023,3,7,77.71488952636719,81.11242873002536,82.84107985623174,75.97128623571152,60744500,456562037,35481668267.38817,35.481668267388166,,,,,,,,15.395491,16.087793,1.7179098,3.5318727,,,,,Healthcare,Health Information Services,United States,53000,2023-Q3
GEHC,GE HEALTHCARE TECHNOLOGY,2023-08-01 00:00:00-04:00,2023,3,8,70.21827697753906,77.58396961748922,77.77833553513008,67.38762178793402,60771000,456562037,32058999571.495438,32.058999571495434,,,,,,,,15.395491,16.087793,1.7179098,3.5318727,,,,,Healthcare,Health Information Services,United States,53000,2023-Q3
GEHC,GE HEALTHCARE TECHNOLOGY,2023-09-01 00:00:00-04:00,2023,3,9,67.81620788574219,70.4375547122679,70.78640199271042,63.526363488899385,68112900,456562037,30962306013.929916,30.962306013929915,,,,,,,,15.395491,16.087793,1.7179098,3.5318727,,,,,Healthcare,Health Information Services,United States,53000,2023-Q3
GEHC,GE HEALTHCARE TECHNOLOGY,2023-10-01 00:00:00-04:00,2023,4,10,66.35102081298828,67.7763171994426,68.76305851181928,62.14490108774696,56988500,456562037,30293357219.407326,30.293357219407326,,,,,,,,15.395491,16.087793,1.7179098,3.5318727,,,,,Healthcare,Health Information Services,United States,53000,2023-Q4
GEHC,GE HEALTHCARE TECHNOLOGY,2023-11-01 00:00:00-04:00,2023,4,11,68.2662124633789,66.56105379592472,73.9700223354984,65.81317678698176,57464300,456562037,31167761020.55506,31.167761020555062,,,,,,,,15.395491,16.087793,1.7179098,3.5318727,,,,,Healthcare,Health Information Services,United States,53000,2023-Q4
