ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,revenue,revenue_millions,gross_profit,net_income,operating_income,ebitda,ps_ratio,current_pe,forward_pe,current_ps,current_pb,peg_ratio,revenue_qoq_pct,revenue_yoy_pct,market_cap_yoy_pct,sector,industry,country,employees,year_quarter
NXPI,NXP SEMICONDUCTORS NV,2015-01-01 00:00:00-05:00,2015,1,1,70.8205795288086,68.33909309413933,73.87334993226074,64.44726319467671,69355200,252114595,17854901725.57087,17.85490172557087,,,,,,,,26.121572,16.768171,4.558112,5.774206,,,,,Technology,Semiconductors,Netherlands,33100,2015-Q1
NXPI,NXP SEMICONDUCTORS NV,2015-02-01 00:00:00-05:00,2015,1,2,75.7835464477539,71.3472176893882,77.21173910382743,67.99095983999558,57378300,252114595,19106138120.339165,19.106138120339164,,,,,,,,26.121572,16.768171,4.558112,5.774206,,,,,Technology,Semiconductors,Netherlands,33100,2015-Q1
NXPI,NXP SEMICONDUCTORS NV,2015-03-01 00:00:00-05:00,2015,1,3,89.58344268798828,84.88825439540177,96.84937696825988,83.05838546043708,108675400,252114595,22585293371.987877,22.585293371987877,,,,,,,,26.121572,16.768171,4.558112,5.774206,,,,,Technology,Semiconductors,Netherlands,33100,2015-Q1
NXPI,NXP SEMICONDUCTORS NV,2015-04-01 00:00:00-04:00,2015,2,4,85.79873657226562,89.26210374595165,92.04708383448224,83.41543322652859,57758000,252114595,21631113722.428436,21.631113722428438,,,,,,,,26.121572,16.768171,4.558112,5.774206,,,,,Technology,Semiconductors,Netherlands,33100,2015-Q2
NXPI,NXP SEMICONDUCTORS NV,2015-05-01 00:00:00-04:00,2015,2,5,100.19672393798828,85.63807518246328,100.69658960199155,85.51310876646248,60479800,252114595,25261056475.95272,25.26105647595272,,,,,,,,26.121572,16.768171,4.558112,5.774206,,,,,Technology,Semiconductors,Netherlands,33100,2015-Q2
NXPI,NXP SEMICONDUCTORS NV,2015-06-01 00:00:00-04:00,2015,2,6,87.65538787841797,101.07148851499275,101.75880375440808,85.50417460348874,56150600,252114595,22099202614.535255,22.099202614535255,,,,,,,,26.121572,16.768171,4.558112,5.774206,,,,,Technology,Semiconductors,Netherlands,33100,2015-Q2
NXPI,NXP SEMICONDUCTORS NV,2015-07-01 00:00:00-04:00,2015,3,7,86.5753173828125,89.6816417642498,90.30647380153047,76.51548072164294,93196200,252114595,21826901078.964233,21.826901078964234,,,,,,,,26.121572,16.768171,4.558112,5.774206,,,,,Technology,Semiconductors,Netherlands,33100,2015-Q3
NXPI,NXP SEMICONDUCTORS NV,2015-08-01 00:00:00-04:00,2015,3,8,75.56037902832031,86.11116037452626,88.78902372950401,64.31335429944554,94428600,252114595,19049874356.77147,19.04987435677147,,,,,,,,26.121572,16.768171,4.558112,5.774206,,,,,Technology,Semiconductors,Netherlands,33100,2015-Q3
NXPI,NXP SEMICONDUCTORS NV,2015-09-01 00:00:00-04:00,2015,3,9,77.72051239013672,73.2574072642298,84.70973665174486,72.1148534416229,68420700,252114595,19594475504.4318,19.594475504431802,,,,,,,,26.121572,16.768171,4.558112,5.774206,,,,,Technology,Semiconductors,Netherlands,33100,2015-Q3
NXPI,NXP SEMICONDUCTORS NV,2015-10-01 00:00:00-04:00,2015,4,10,69.93684387207031,76.84572750590219,87.5571779565623,64.74179067590643,126563600,252114595,17632099068.38524,17.632099068385237,,,,,,,,26.121572,16.768171,4.558112,5.774206,,,,,Technology,Semiconductors,Netherlands,33100,2015-Q4
NXPI,NXP SEMICONDUCTORS NV,2015-11-01 00:00:00-04:00,2015,4,11,83.42437744140625,69.3031101763479,83.42437744140625,67.74995117831335,97853100,252114595,21032503131.767273,21.032503131767275,,,,,,,,26.121572,16.768171,4.558112,5.774206,,,,,Technology,Semiconductors,Netherlands,33100,2015-Q4
NXPI,NXP SEMICONDUCTORS NV,2015-12-01 00:00:00-05:00,2015,4,12,75.20331573486328,82.76381634109728,84.09381966208639,73.06102407296625,82649100,252114595,18959853489.152184,18.959853489152184,,,,,,,,26.121572,16.768171,4.558112,5.774206,,,,,Technology,Semiconductors,Netherlands,33100,2015-Q4
NXPI,NXP SEMICONDUCTORS NV,2016-01-01 00:00:00-05:00,2016,1,1,66.75019836425781,73.19492317756635,76.55118009840629,59.74312476355895,88511500,252114595,16828699226.77452,16.82869922677452,,,,,,,,26.121572,16.768171,4.558112,5.774206,,,,-5.747455318259598,Technology,Semiconductors,Netherlands,33100,2016-Q1
NXPI,NXP SEMICONDUCTORS NV,2016-02-01 00:00:00-05:00,2016,1,2,63.59031677246094,66.00039750698511,68.7318155292882,54.994379178052164,91687100,252114595,16032046959.010696,16.032046959010696,,,,,,,,26.121572,16.768171,4.558112,5.774206,,,,-16.08954746357658,Technology,Semiconductors,Netherlands,33100,2016-Q1
NXPI,NXP SEMICONDUCTORS NV,2016-03-01 00:00:00-05:00,2016,1,3,72.36480712890625,64.26873236578896,74.62313788491186,63.46537184918461,70397400,252114595,18244224041.557312,18.244224041557313,,,,,,,,26.121572,16.768171,4.558112,5.774206,,,,-19.22077902169167,Technology,Semiconductors,Netherlands,33100,2016-Q1
NXPI,NXP SEMICONDUCTORS NV,2016-04-01 00:00:00-04:00,2016,2,4,76.12271118164062,71.59712337694421,81.38917598645428,71.45430757062508,91032200,252114595,19191646499.861298,19.191646499861296,,,,,,,,26.121572,16.768171,4.558112,5.774206,,,,-11.277584935618702,Technology,Semiconductors,Netherlands,33100,2016-Q2
