ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,revenue,revenue_millions,gross_profit,net_income,operating_income,ebitda,ps_ratio,current_pe,forward_pe,current_ps,current_pb,peg_ratio,revenue_qoq_pct,revenue_yoy_pct,market_cap_yoy_pct,user_subscribers_millions,sector,industry,country,employees,year_quarter
OTRK,"Ontrak, Inc.",2015-01-01 00:00:00-05:00,2015,1,1,1214.99755859375,1133.9976806640625,1322.997314453125,1052.9979248046875,144,7084540,8607698803.759766,8.607698803759765,,,,,,,,,-0.014241707,0.041812826,0.054537207,,,,,,Healthcare,Health Information Services,United States,104,2015-Q1
OTRK,"Ontrak, Inc.",2015-02-01 00:00:00-05:00,2015,1,2,1204.197509765625,1214.99755859375,1258.197509765625,928.798095703125,134,7084540,8531185425.834961,8.53118542583496,,,,,,,,,-0.014241707,0.041812826,0.054537207,,,,,,Healthcare,Health Information Services,United States,104,2015-Q1
OTRK,"Ontrak, Inc.",2015-03-01 00:00:00-05:00,2015,1,3,1079.997802734375,1150.1976318359375,1247.3974609375,977.3980102539062,265,7084540,7651287633.383789,7.651287633383789,,,,,,,,,-0.014241707,0.041812826,0.054537207,,,,,,Healthcare,Health Information Services,United States,104,2015-Q1
OTRK,"Ontrak, Inc.",2015-04-01 00:00:00-04:00,2015,2,4,1079.997802734375,1085.3978271484375,1101.5977783203125,901.7981567382812,91,7084540,7651287633.383789,7.651287633383789,,,,,,,,,-0.014241707,0.041812826,0.054537207,,,,,,Healthcare,Health Information Services,United States,104,2015-Q2
OTRK,"Ontrak, Inc.",2015-05-01 00:00:00-04:00,2015,2,5,755.9984741210938,1052.9979248046875,1133.9976806640625,512.9989624023438,2001,7084540,5355901429.8498535,5.355901429849854,,,,,,,,,-0.014241707,0.041812826,0.054537207,,,,,,Healthcare,Health Information Services,United States,104,2015-Q2
OTRK,"Ontrak, Inc.",2015-06-01 00:00:00-04:00,2015,2,6,728.99853515625,772.1984252929688,777.5984497070312,620.9987182617188,187,7084540,5164619282.255859,5.16461928225586,,,,,,,,,-0.014241707,0.041812826,0.054537207,,,,,,Healthcare,Health Information Services,United States,104,2015-Q2
OTRK,"Ontrak, Inc.",2015-07-01 00:00:00-04:00,2015,3,7,869.3982543945312,728.99853515625,912.59814453125,718.1985473632812,617,7084540,6159286709.188232,6.159286709188232,,,,,,,,,-0.014241707,0.041812826,0.054537207,,,,,,Healthcare,Health Information Services,United States,104,2015-Q3
OTRK,"Ontrak, Inc.",2015-08-01 00:00:00-04:00,2015,3,8,539.9989013671875,869.3982543945312,890.9981689453125,464.3990478515625,212,7084540,3825643816.6918945,3.8256438166918945,,,,,,,,,-0.014241707,0.041812826,0.054537207,,,,,,Healthcare,Health Information Services,United States,104,2015-Q3
OTRK,"Ontrak, Inc.",2015-09-01 00:00:00-04:00,2015,3,9,426.59912109375,539.9989013671875,539.9989013671875,329.3993225097656,250,7084540,3022258537.3535156,3.022258537353516,,,,,,,,,-0.014241707,0.041812826,0.054537207,,,,,,Healthcare,Health Information Services,United States,104,2015-Q3
OTRK,"Ontrak, Inc.",2015-10-01 00:00:00-04:00,2015,4,10,269.99945068359375,426.59912109375,426.59912109375,156.5996856689453,1890,7084540,1912821908.3459473,1.9128219083459472,,,,,,,,,-0.014241707,0.041812826,0.054537207,,,,,,Healthcare,Health Information Services,United States,104,2015-Q4
