ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,revenue,revenue_millions,gross_profit,net_income,operating_income,ebitda,ps_ratio,current_pe,forward_pe,current_ps,current_pb,peg_ratio,revenue_qoq_pct,revenue_yoy_pct,market_cap_yoy_pct,sector,industry,country,employees,year_quarter
PATH,UIPATH INC - CLASS A,2021-04-01 00:00:00-04:00,2021,2,4,72.0,65.5,83.4000015258789,64.83999633789062,50376400,453568899,32656960728.0,32.656960728,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,,Technology,Software - Infrastructure,United States,3868,2021-Q2
PATH,UIPATH INC - CLASS A,2021-05-01 00:00:00-04:00,2021,2,5,79.81999969482422,72.33000183105469,90.0,61.5,46729800,453568899,36203869379.76176,36.203869379761755,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,,Technology,Software - Infrastructure,United States,3868,2021-Q2
PATH,UIPATH INC - CLASS A,2021-06-01 00:00:00-04:00,2021,2,6,67.93000030517578,80.7300033569336,83.10900115966797,66.0,85320700,453568899,30810935447.488243,30.810935447488244,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,,Technology,Software - Infrastructure,United States,3868,2021-Q2
PATH,UIPATH INC - CLASS A,2021-07-01 00:00:00-04:00,2021,3,7,62.560001373291016,67.98999786376953,69.5999984741211,57.0099983215332,54259200,453568899,28375270944.322094,28.375270944322093,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,,Technology,Software - Infrastructure,United States,3868,2021-Q3
PATH,UIPATH INC - CLASS A,2021-08-01 00:00:00-04:00,2021,3,8,63.20000076293945,61.97999954223633,66.06999969482422,58.529998779296875,48183200,453568899,28665554762.845608,28.66555476284561,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,,Technology,Software - Infrastructure,United States,3868,2021-Q3
PATH,UIPATH INC - CLASS A,2021-09-01 00:00:00-04:00,2021,3,9,52.61000061035156,63.5,65.0,51.0099983215332,203479400,453568899,23862260053.226486,23.862260053226485,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,,Technology,Software - Infrastructure,United States,3868,2021-Q3
PATH,UIPATH INC - CLASS A,2021-10-01 00:00:00-04:00,2021,4,10,50.25,52.75,55.369998931884766,47.20000076293945,83005800,453568899,22791837174.75,22.79183717475,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,,Technology,Software - Infrastructure,United States,3868,2021-Q4
PATH,UIPATH INC - CLASS A,2021-11-01 00:00:00-04:00,2021,4,11,48.25,50.16999816894531,59.56999969482422,46.65999984741211,89699700,453568899,21884699376.75,21.88469937675,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,,Technology,Software - Infrastructure,United States,3868,2021-Q4
PATH,UIPATH INC - CLASS A,2021-12-01 00:00:00-05:00,2021,4,12,43.130001068115234,48.38999938964844,48.93000030517578,39.29999923706055,120258600,453568899,19562427098.33385,19.562427098333853,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,,Technology,Software - Infrastructure,United States,3868,2021-Q4
PATH,UIPATH INC - CLASS A,2022-01-01 00:00:00-05:00,2022,1,1,36.529998779296875,43.810001373291016,44.130001068115234,31.469999313354492,89886100,453568899,16568871326.797028,16.568871326797026,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,,Technology,Software - Infrastructure,United States,3868,2022-Q1
PATH,UIPATH INC - CLASS A,2022-02-01 00:00:00-05:00,2022,1,2,34.709999084472656,37.290000915527344,39.0,28.799999237060547,83282000,453568899,15743376069.03527,15.743376069035271,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,,Technology,Software - Infrastructure,United States,3868,2022-Q1
PATH,UIPATH INC - CLASS A,2022-03-01 00:00:00-05:00,2022,1,3,21.59000015258789,35.0,35.63999938964844,20.530000686645508,174941500,453568899,9792552598.619122,9.792552598619121,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,,Technology,Software - Infrastructure,United States,3868,2022-Q1
PATH,UIPATH INC - CLASS A,2022-04-01 00:00:00-04:00,2022,2,4,17.829999923706055,21.520000457763672,23.280000686645508,17.610000610351562,176705500,453568899,8087133434.565439,8.08713343456544,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,-75.23611121707492,Technology,Software - Infrastructure,United States,3868,2022-Q2
PATH,UIPATH INC - CLASS A,2022-05-01 00:00:00-04:00,2022,2,5,17.06999969482422,18.0,19.190000534057617,13.65999984741211,146659900,453568899,7742420967.511757,7.742420967511757,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,-78.61438266087704,Technology,Software - Infrastructure,United States,3868,2022-Q2
PATH,UIPATH INC - CLASS A,2022-06-01 00:00:00-04:00,2022,2,6,18.190000534057617,17.170000076293945,22.299999237060547,16.25,192540700,453568899,8250418515.041925,8.250418515041925,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,-73.22243419352425,Technology,Software - Infrastructure,United States,3868,2022-Q2
PATH,UIPATH INC - CLASS A,2022-07-01 00:00:00-04:00,2022,3,7,18.329999923706055,18.139999389648438,21.639999389648438,17.165000915527344,85988300,453568899,8313917884.065439,8.31391788406544,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,-70.70012864236965,Technology,Software - Infrastructure,United States,3868,2022-Q3
PATH,UIPATH INC - CLASS A,2022-08-01 00:00:00-04:00,2022,3,8,16.450000762939453,18.020000457763672,22.190000534057617,16.280000686645508,98566700,453568899,7461208734.595608,7.4612087345956075,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,-73.97151809437041,Technology,Software - Infrastructure,United States,3868,2022-Q3
PATH,UIPATH INC - CLASS A,2022-09-01 00:00:00-04:00,2022,3,9,12.609999656677246,16.09000015258789,16.920000076293945,12.119999885559082,231349100,453568899,5719503660.6694765,5.719503660669477,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,-76.03117371149375,Technology,Software - Infrastructure,United States,3868,2022-Q3
PATH,UIPATH INC - CLASS A,2022-10-01 00:00:00-04:00,2022,4,10,12.649999618530273,12.75,14.029999732971191,11.09000015258789,125282100,453568899,5737646399.327196,5.737646399327196,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,-74.82587140590991,Technology,Software - Infrastructure,United States,3868,2022-Q4
PATH,UIPATH INC - CLASS A,2022-11-01 00:00:00-04:00,2022,4,11,12.470000267028809,13.069999694824219,14.045000076293945,10.395999908447266,134711400,453568899,5656004291.645963,5.656004291645963,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,-74.1554398610802,Technology,Software - Infrastructure,United States,3868,2022-Q4
PATH,UIPATH INC - CLASS A,2022-12-01 00:00:00-05:00,2022,4,12,12.710000038146973,12.380000114440918,14.920000076293945,11.59000015258789,135074900,453568899,5764860723.59228,5.76486072359228,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,-70.53095357434826,Technology,Software - Infrastructure,United States,3868,2022-Q4
PATH,UIPATH INC - CLASS A,2023-01-01 00:00:00-05:00,2023,1,1,15.359999656677246,12.979999542236328,15.739999771118164,10.979999542236328,111725400,453568899,6966818132.9194765,6.966818132919476,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,-57.95236745153569,Technology,Software - Infrastructure,United States,3868,2023-Q1
PATH,UIPATH INC - CLASS A,2023-02-01 00:00:00-05:00,2023,1,2,14.84000015258789,15.529999732971191,18.34000015258789,14.449999809265137,100841400,453568899,6730962530.369122,6.730962530369122,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,-57.24574893686329,Technology,Software - Infrastructure,United States,3868,2023-Q1
PATH,UIPATH INC - CLASS A,2023-03-01 00:00:00-05:00,2023,1,3,17.559999465942383,14.869999885559082,18.1200008392334,13.260000228881836,179481700,453568899,7964669624.208075,7.964669624208074,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,-18.666052145268054,Technology,Software - Infrastructure,United States,3868,2023-Q1
PATH,UIPATH INC - CLASS A,2023-04-01 00:00:00-04:00,2023,2,4,14.079999923706055,17.209999084472656,17.559999465942383,13.762999534606934,83837100,453568899,6386250063.315439,6.3862500633154395,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,-21.031968682255297,Technology,Software - Infrastructure,United States,3868,2023-Q2
PATH,UIPATH INC - CLASS A,2023-05-01 00:00:00-04:00,2023,2,5,17.889999389648438,13.970000267028809,17.899999618530273,12.375,256613100,453568899,8114347326.273514,8.114347326273514,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,4.8037475658119,Technology,Software - Infrastructure,United States,3868,2023-Q2
PATH,UIPATH INC - CLASS A,2023-06-01 00:00:00-04:00,2023,2,6,16.56999969482422,17.270000457763672,19.940000534057617,15.600000381469727,256653500,453568899,7515636518.011757,7.515636518011757,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,-8.905996655691284,Technology,Software - Infrastructure,United States,3868,2023-Q2
PATH,UIPATH INC - CLASS A,2023-07-01 00:00:00-04:00,2023,3,7,18.079999923706055,16.549999237060547,19.02899932861328,15.850000381469727,152094800,453568899,8200525659.315439,8.200525659315439,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,-1.363884348284572,Technology,Software - Infrastructure,United States,3868,2023-Q3
PATH,UIPATH INC - CLASS A,2023-08-01 00:00:00-04:00,2023,3,8,15.8100004196167,17.860000610351562,17.8700008392334,14.119999885559082,134452600,453568899,7170924483.515084,7.170924483515084,,,,,,,,549.3333,37.454544,5.8472123,5.2517524,,,,-3.8905794142248595,Technology,Software - Infrastructure,United States,3868,2023-Q3
