ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,current_pe,forward_pe,current_ps,current_pb,peg_ratio,market_cap_yoy_pct,sector,industry,country,employees,year_quarter
WKL NA,WOLTERS KLUWER,2015-01-01 00:00:00+01:00,2015,1,1,21.47492790222168,20.508172120877948,21.863247944903847,19.986366195560027,30559735,229140423,4920774063.409578,4.920774063409579,23.224789,20.472223,4.1684175,28.84164,,,Industrials,Specialty Business Services,Netherlands,21467,2015-Q1
WKL NA,WOLTERS KLUWER,2015-02-01 00:00:00+01:00,2015,1,2,23.448890686035156,21.503243040236953,23.784625244347367,20.900536713781005,28621233,229140423,5373088730.678856,5.373088730678856,23.224789,20.472223,4.1684175,28.84164,,,Industrials,Specialty Business Services,Netherlands,21467,2015-Q1
WKL NA,WOLTERS KLUWER,2015-03-01 00:00:00+01:00,2015,1,3,24.5936279296875,23.578332442869463,25.33790884598941,23.141471200605665,34097244,229140423,5635394306.913208,5.635394306913208,23.224789,20.472223,4.1684175,28.84164,,,Industrials,Specialty Business Services,Netherlands,21467,2015-Q1
WKL NA,WOLTERS KLUWER,2015-04-01 00:00:00+02:00,2015,2,4,23.39630126953125,24.50058708535668,25.85970856423304,22.830000138983955,26582955,229140423,5361038369.535828,5.3610383695358275,23.224789,20.472223,4.1684175,28.84164,,,Industrials,Specialty Business Services,Netherlands,21467,2015-Q2
WKL NA,WOLTERS KLUWER,2015-05-01 00:00:00+02:00,2015,2,5,23.463390350341797,23.94781269267255,24.452936493522387,22.643600273509797,23778462,229140423,5376411189.891438,5.376411189891438,23.224789,20.472223,4.1684175,28.84164,,,Industrials,Specialty Business Services,Netherlands,21467,2015-Q2
WKL NA,WOLTERS KLUWER,2015-06-01 00:00:00+02:00,2015,2,6,22.06395149230957,23.674549284836697,24.047181855090805,22.06395149230957,29836141,229140423,5055743177.999296,5.055743177999296,23.224789,20.472223,4.1684175,28.84164,,,Industrials,Specialty Business Services,Netherlands,21467,2015-Q2
WKL NA,WOLTERS KLUWER,2015-07-01 00:00:00+02:00,2015,3,7,24.991180419921875,22.20472198577177,24.991180419921875,21.11994795200058,28693725,229140423,5726489652.690216,5.7264896526902165,23.224789,20.472223,4.1684175,28.84164,,,Industrials,Specialty Business Services,Netherlands,21467,2015-Q3
WKL NA,WOLTERS KLUWER,2015-08-01 00:00:00+02:00,2015,3,8,23.393003463745117,24.916654081188657,25.64949703409655,21.31040560769688,22854184,229140423,5360282708.923021,5.360282708923021,23.224789,20.472223,4.1684175,28.84164,,,Industrials,Specialty Business Services,Netherlands,21467,2015-Q3
WKL NA,WOLTERS KLUWER,2015-09-01 00:00:00+02:00,2015,3,9,22.78023338317871,23.05763640985795,24.6268313327924,21.943881484248635,23962796,229140423,5219872313.460291,5.219872313460291,23.224789,20.472223,4.1684175,28.84164,,,Industrials,Specialty Business Services,Netherlands,21467,2015-Q3
WKL NA,WOLTERS KLUWER,2015-10-01 00:00:00+02:00,2015,4,10,25.66472625732422,23.160343056366447,25.9480842966812,22.622796047327906,23331793,229140423,5880826230.782478,5.880826230782478,23.224789,20.472223,4.1684175,28.84164,,,Industrials,Specialty Business Services,Netherlands,21467,2015-Q4
WKL NA,WOLTERS KLUWER,2015-11-01 00:00:00+01:00,2015,4,11,27.25653839111328,25.418877064228745,27.531560653710944,25.414710734623807,19863733,229140423,6245574736.455437,6.245574736455437,23.224789,20.472223,4.1684175,28.84164,,,Industrials,Specialty Business Services,Netherlands,21467,2015-Q4
WKL NA,WOLTERS KLUWER,2015-12-01 00:00:00+01:00,2015,4,12,26.135602951049805,27.335706000323984,27.96909610516705,24.973001631819944,22580950,229140423,5988723115.563601,5.988723115563601,23.224789,20.472223,4.1684175,28.84164,,,Industrials,Specialty Business Services,Netherlands,21467,2015-Q4
WKL NA,WOLTERS KLUWER,2016-01-01 00:00:00+01:00,2016,1,1,26.118934631347656,26.135603126765112,26.135603126765112,23.531210327608676,22125731,229140423,5984903729.736351,5.984903729736351,23.224789,20.472223,4.1684175,28.84164,,21.625249454949437,Industrials,Specialty Business Services,Netherlands,21467,2016-Q1
WKL NA,WOLTERS KLUWER,2016-02-01 00:00:00+01:00,2016,1,2,28.998348236083984,26.218941140012546,29.07335487219221,23.656219704965398,27169917,229140423,6644693781.117588,6.644693781117588,23.224789,20.472223,4.1684175,28.84164,,23.666183719956415,Industrials,Specialty Business Services,Netherlands,21467,2016-Q1
WKL NA,WOLTERS KLUWER,2016-03-01 00:00:00+01:00,2016,1,3,29.235872268676758,28.95667895457898,29.89426032816788,28.002429086178996,21404890,229140423,6699120138.418562,6.699120138418562,23.224789,20.472223,4.1684175,28.84164,,18.875801293982764,Industrials,Specialty Business Services,Netherlands,21467,2016-Q1
WKL NA,WOLTERS KLUWER,2016-04-01 00:00:00+02:00,2016,2,4,27.6982421875,28.935850305409637,30.090115936058048,27.38571501344972,19165721,229140423,6346786931.200195,6.346786931200195,23.224789,20.472223,4.1684175,28.84164,,18.387269288462793,Industrials,Specialty Business Services,Netherlands,21467,2016-Q2
WKL NA,WOLTERS KLUWER,2016-05-01 00:00:00+02:00,2016,2,5,30.361980438232422,28.243210041049238,30.645894895538074,27.68385478551236,17474265,229140423,6957157040.7343025,6.957157040734303,23.224789,20.472223,4.1684175,28.84164,,29.40150585607988,Industrials,Specialty Business Services,Netherlands,21467,2016-Q2
WKL NA,WOLTERS KLUWER,2016-06-01 00:00:00+02:00,2016,2,6,30.98489761352539,30.36197863644189,31.095071339890126,27.416886019337568,23468172,229140423,7099892545.774899,7.099892545774899,23.224789,20.472223,4.1684175,28.84164,,40.43222323220404,Industrials,Specialty Business Services,Netherlands,21467,2016-Q2
