ticker,title,url,time_published,source,summary,sentiment_score,sentiment_label,ticker_sentiment_score,ticker_sentiment_label,relevance_score,category,ai_keywords_found
ADBE,Adobe  ( ADBE )  Unveils AI-Aided Features to Attract Creators,https://www.zacks.com/stock/news/1994450/adobe-adbe-unveils-ai-aided-features-to-attract-creators,20221019T175800,Zacks Commentary,Adobe (ADBE) launches advanced AI-enabled capabilities in Adobe Express and Creative Cloud to automate and streamline the work of creative users.,0.446262,Bullish,0.969608,Bullish,0,focused,"AI, ML"
ADBE,Adobe Whale Trades Spotted - Adobe  ( NASDAQ:ADBE ) ,https://www.benzinga.com/markets/options/22/10/29324953/adobe-whale-trades-spotted,20221019T140945,Benzinga,"Someone with a lot of money to spend has taken a bearish stance on Adobe ADBE. We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga. Whether this is an institution or just a wealthy individual, we don't know.",0.094177,Neutral,0.891493,Somewhat-Bullish,0,focused,AI
ADBE,What's Going On With Adobe Shares - Adobe  ( NASDAQ:ADBE ) ,https://www.benzinga.com/trading-ideas/movers/22/10/29322781/whats-going-on-with-adobe-shares,20221019T125523,Benzinga,Adobe Inc ADBE shares are trading marginally higher by 1.71% to $302.59 during Wednesday's pre-market session after the company during Tuesday's after-hours session reaffirmed its current fourth quarter fiscal year 2022 financial targets and provided preliminary financial targets for fiscal year ...,0.23371,Somewhat-Bullish,0.866386,Bullish,0,broad,
ADBE,"Stocks making the biggest moves premarket: Procter & Gamble, Travelers, Nasdaq and more",https://www.cnbc.com/2022/10/19/stocks-making-the-biggest-moves-premarket-procter-gamble-travelers-nasdaq-and-more.html,20221019T115001,CNBC,These are the stocks posting the largest moves before the bell.,0.111012,Neutral,0.160633,Neutral,0,broad,
ADBE,"Digital Publishing Market Size, Share & Forecast [2029] | Global Industry Growth Rate, Key Players, Type & Application, Expansion Plans, Recent Developments, Revenue, Challenges, Restraints Analysis",https://www.benzinga.com/pressreleases/22/10/g29319534/digital-publishing-market-size-share-forecast-2029-global-industry-growth-rate-key-players-type-ap,20221019T102203,Benzinga,"Pune, India, Oct. 19, 2022 ( GLOBE NEWSWIRE ) -- The global digital publishing market size is set to gain traction due to the increasing digitization of books and educational information. Fortune Business InsightsTM has presented this information in its report titled ""Digital Publishing Market ...",0.233785,Somewhat-Bullish,0.098456,Neutral,0,focused,AI
ADBE,"Zacks Investment Ideas feature highlights: Nvidia, Adobe and Alphabet",https://www.zacks.com/stock/news/1993918/zacks-investment-ideas-feature-highlights-nvidia-adobe-and-alphabet,20221019T101700,Zacks Commentary,"Nvidia, Adobe and Alphabet have been highlighted in this Investment Ideas article.",0.311844,Somewhat-Bullish,0.353418,Bullish,0,broad,
ADBE,Adobe stock rises as outlook confirmed ahead of earnings,https://www.marketwatch.com/story/adobe-stock-rises-as-outlook-confirmed-ahead-of-earnings-11666129530,20221018T214500,MarketWatch,Adobe Inc. shares rose in the extended session Tuesday after the software company did what many tech companies have not this earnings season: Stick to its forecast.,0.168091,Somewhat-Bullish,0.912237,Somewhat-Bullish,0,broad,
ADBE,Why Adobe Shares Are Rising During Tuesday's After-Hours Session - Adobe  ( NASDAQ:ADBE ) ,https://www.benzinga.com/after-hours-center/22/10/29315921/why-adobe-shares-are-rising-during-tuesdays-after-hours-session,20221018T212602,Benzinga,Adobe Inc ADBE shares are trading higher by 3.28% to $302.59 during Tuesday's after-hours session after the company reaffirmed its current fourth quarter fiscal year 2022 financial targets and provided preliminary financial targets for fiscal year 2023.,0.240662,Somewhat-Bullish,0.879272,Bullish,0,broad,
ADBE,3 Beaten-Down Tech Stocks Trading at a Discount,https://www.zacks.com/commentary/1993738/3-beaten-down-tech-stocks-trading-at-a-discount,20221018T190900,Zacks Commentary,"Despite all the negativity surrounding tech in 2022, one major positive is that long-term investors have been presented with a buying opportunity not seen in some time.",0.324521,Somewhat-Bullish,0.338251,Bullish,0,broad,
ADBE,Looking Into Adobe's Recent Short Interest - Adobe  ( NASDAQ:ADBE ) ,https://www.benzinga.com/short-sellers/22/10/29312516/looking-into-adobes-recent-short-interest,20221018T180424,Benzinga,"Adobe's ADBE short percent of float has risen 10.1% since its last report. The company recently reported that it has 5.05 million shares sold short, which is 1.09% of all regular shares that are available for trading. Based on its trading volume, it would take traders 1.4 days to cover their ...",0.267375,Somewhat-Bullish,0.224903,Somewhat-Bullish,0,focused,AI
ADBE,"Adobe Adds AI, Collaboration, Metaverse Tools To Digital Media Products",https://www.investors.com/news/technology/adbe-stock-adobe-adds-ai-collaboration-metaverse-tools/,20221018T145200,Investors Business Daily,"ADBE Stock: Adobe Adds AI, Collaboration, Metaverse Tools | Investor's Business Daily Investor's Business Daily ...",0.158994,Somewhat-Bullish,0.858597,Neutral,0,focused,AI
ADBE,"With 23.7% CAGR, Demand Side Platform Market Size Worth USD 92.12 Billion In 2029",https://www.benzinga.com/pressreleases/22/10/g29300804/with-23-7-cagr-demand-side-platform-market-size-worth-usd-92-12-billion-in-2029,20221018T093601,Benzinga,"Pune, India, Oct. 18, 2022 ( GLOBE NEWSWIRE ) -- The global Demand Side Platform Market Size was valued at USD 16.94 billion in 2021. The market is projected to grow from USD 20.77 billion in 2022 to USD 92.12 billion by 2029, exhibiting a CAGR of 23.7% during the forecast period.",0.261608,Somewhat-Bullish,0.049424,Neutral,0,broad,
ADBE,These 11 stocks can lead your portfolio's rebound after the S&P 500 'earnings recession' and a market bottom next year,https://www.marketwatch.com/story/these-11-stocks-can-lead-your-portfolios-rebound-after-the-s-p-500-earnings-recession-and-a-market-bottom-next-year-11666029117,20221017T175100,MarketWatch,"Ken Laudan of Buffalo Funds believes Wall Street analysts are wrong about 2023, but that an earnings decline for the S&P 500 will set up a rebound for stocks.",-0.036193,Neutral,0.119235,Neutral,0,broad,
ADBE,"Boston Beer To Surge Over 15%? Plus This Analyst Predicts $45 For Dell - Adobe  ( NASDAQ:ADBE ) , AutoNation  ( NYSE:AN ) ",https://www.benzinga.com/news/22/10/29285825/boston-beer-to-surge-over-15-plus-this-analyst-predicts-45-for-dell,20221017T120218,Benzinga,"Credit Suisse boosted the price target on The Boston Beer Company, Inc. SAM from $385 to $405. Boston Beer shares fell 5.5% to close at $350.68 on Friday. Morgan Stanley cut the price target for Dell Technologies Inc. DELL from $54 to $45. Dell Technologies shares rose 1.5% to $34.76 in ...",0.074987,Neutral,0.739411,Neutral,0,broad,
ADBE,"US Stock Futures Signal Higher Start On Wall Street; Bank of America Earnings In Focus - Bank of America  ( NYSE:BAC ) , Adobe  ( NASDAQ:ADBE ) ",https://www.benzinga.com/news/earnings/22/10/29283504/us-stock-futures-signal-higher-start-on-wall-street-bank-of-america-earnings-in-focus,20221017T100009,Benzinga,"U.S. stock futures traded higher in early pre-market trade on Monday after closing lower in the previous session. The Dow Jones dropped by more than 400 points in the previous session, while the Nasdaq tumbled over 300 points. For the week, the Dow added 1.15%, while the S&P 500 declined around ...",-0.076023,Neutral,0.215574,Somewhat-Bearish,0,broad,
ADBE,"Answering Investors' Questions About Diversification, REITs, Luxury Brands, and More",https://www.fool.com/investing/2022/10/15/answering-investors-questions-about-diversificatio/,20221015T124500,Motley Fool,Investors have lots of questions. The Motley Fool has answers.,0.154399,Somewhat-Bullish,0.125635,Neutral,0,broad,
ADBE,"Got $2,000? Here Are 3 Smart Stocks to Buy Now",https://www.fool.com/investing/2022/10/15/got-2000-here-are-3-smart-stocks-to-buy-now/,20221015T104300,Motley Fool,"All three companies have strong growth track records, and their shares are down sharply.",0.214117,Somewhat-Bullish,0.26224,Somewhat-Bullish,0,focused,smart
ADBE,What Are Whales Doing With Adobe - Adobe  ( NASDAQ:ADBE ) ,https://www.benzinga.com/markets/options/22/10/29273308/what-are-whales-doing-with-adobe,20221014T200954,Benzinga,"Someone with a lot of money to spend has taken a bullish stance on Adobe ADBE. We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga. Whether this is an institution or just a wealthy individual, we don't know.",0.16096,Somewhat-Bullish,0.839757,Bullish,0,focused,AI
ADBE,The holiday-shopping season has a different problem this year than supply gaps --- and it could lead to some deals,https://www.marketwatch.com/story/the-holiday-shopping-season-has-a-different-problem-this-year-than-supply-gaps-and-it-could-lead-to-some-deals-11665758299,20221014T143800,MarketWatch,"In 2021, retailers were worried about not having enough merchandise in stores for the holidays. A year later, they're worried about having too much.",0.019348,Neutral,0.11262,Neutral,0,focused,AI
ADBE,'It's a double whammy': September inflation does not bode well for the holiday shopping season,https://www.marketwatch.com/story/its-a-double-whammy-september-inflation-does-not-bode-well-for-the-holiday-shopping-season-11665691644,20221014T134000,MarketWatch,There are early signs that holiday shoppers are already dialing down their spending.,-0.021968,Neutral,0.146618,Somewhat-Bullish,0,broad,
