ticker,title,url,time_published,source,summary,sentiment_score,sentiment_label,ticker_sentiment_score,ticker_sentiment_label,relevance_score,category,ai_keywords_found
BIDU,"Before The Bell: Most Effective Covid-19 Vaccine, Google's Hiring Slowdown, Panasonic's New EV Battery And Other Top Financial Stories Wednesday, July 13",https://www.benzinga.com/news/22/07/28047560/benzinga-before-the-bell-and-other-top-financial-stories-wednesday-july-13,20220713T121316,Benzinga,"Bankrupt crypto hedge fund Three Arrows Capital's ( 3AC ) assets have been frozen by the New York bankruptcy court after a ruling from a federal judge on Tuesday. Judge Martin Glenn of the Southern District of New York granted an emergency motion to freeze 3AC's assets, according to a report ...",0.067062,Neutral,0.068209,Neutral,0,broad,
BIDU,"Alibaba, Nio Go Up As Hang Seng Index Outlook Brightens",https://www.benzinga.com/markets/asia/22/07/28043878/alibaba-nio-spike-in-hong-kong-as-hopes-of-quarantine-free-travel-brightens-outlook,20220713T035719,Benzinga,"Shares of U.S.-listed Chinese companies traded mostly higher in Hong Kong on Wednesday, snapping a two-day losing streak. Major tech stocks like Alibaba Group Holdings BABA, Baidu Inc BIDU, and JD.com Inc JD gained around 0.46% to nearly 5%. At the same time, Tencent Holdings TCEHY traded on a ...",0.059449,Neutral,0.211191,Somewhat-Bullish,0,focused,AI
BIDU,"ByteDance trails Tencent, Alibaba on climate goals, green energy: Greenpeace",https://www.scmp.com/business/companies/article/3185019/bytedance-trails-tencent-and-alibaba-climate-goals-and-renewable,20220713T030022,South China Morning Post,ByteDance came seventh in Greenpeace East Asia's latest climate ranking of China's nine cloud providers. The non-profit group noted that Chinese technology firms can do more to cut carbon emissions.,0.15773,Somewhat-Bullish,0.058615,Neutral,0,focused,AI
BIDU,"Penny Stocks To Watch: Why GRAB, BHAT, SVRE & GOEV Stock Are Moving",https://pennystocks.com/featured/2022/07/12/penny-stocks-to-watch-why-grab-bhat-svre-goev-stock-are-moving/,20220712T153240,PennyStocks.com,"Penny stocks, by definition, are shares of companies that trade for less than $5. These cheap stocks have given investors and traders a way to speculative bet on the potential of small companies using less capital. While they're known for being higher-risk, the rewards can be incredible.",0.197662,Somewhat-Bullish,0.032425,Neutral,0,broad,
BIDU,Synopsys  ( SSYS )  & Ansys Jointly Develop New RF Design Flow,https://www.zacks.com/stock/news/1951211/synopsys-ssys-ansys-jointly-develop-new-rf-design-flow,20220712T143700,Zacks Commentary,"In collaboration with Ansys, Synopsys (SNPS) designs integrated RF Design Reference Flow on Samsung Foundry's 8nm RF low-power FinFET process to accelerate 5G performance and power efficiency.",0.317587,Somewhat-Bullish,0.176287,Neutral,0,broad,
BIDU,"$1000 Invested In This Stock 15 Years Ago Would Be Worth $13,000 Today",https://www.benzinga.com/news/earnings/22/07/28035247/1000-invested-in-this-stock-15-years-ago-would-be-worth-13-000-today,20220712T143232,Benzinga,"Baidu BIDU has outperformed the market over the past 15 years by 13.06% on an annualized basis producing an average annual return of 19.31%. Currently, Baidu has a market capitalization of $48.84 billion.",0.160819,Somewhat-Bullish,0.983605,Bullish,0,focused,AI
BIDU,"The Zacks Analyst Blog Highlights Broadcom, Pinduoduo and Baidu",https://www.zacks.com/stock/news/1950893/the-zacks-analyst-blog-highlights-broadcom-pinduoduo-and-baidu,20220712T103600,Zacks Commentary,"Broadcom, Pinduoduo and Baidu are part of Zacks top Analyst Blog.",-0.009718,Neutral,0.107335,Somewhat-Bullish,0,focused,AI
BIDU,China tries to stem growing anger over frozen bank deposits,https://www.cnn.com/2022/07/12/economy/china-bank-crisis-frozen-deposits-intl-hnk/index.html,20220712T103249,CNN,"Hong Kong ( CNN Business ) Chinese authorities will start refunding bank customers whose accounts have been frozen for months, following some of the biggest protests the country has seen since the start of the pandemic.",-0.164971,Somewhat-Bearish,0.07887,Neutral,0,broad,
BIDU,"Alibaba, Nio Stocks Slide: Hang Seng Index Today",https://www.benzinga.com/markets/asia/22/07/28027032/alibaba-nio-lead-hang-seng-losses-amid-chinas-rising-covid-cases-and-renewed-curbs,20220712T034715,Benzinga,"Shares of U.S.-listed Chinese companies traded mostly lower in Hong Kong on Tuesday, with major tech stocks like Alibaba Group Holdings BABA, Tencent Holdings TCEHY, Baidu Inc BIDU, and JD.com Inc JD deep in the red.",-0.021825,Neutral,0.205807,Neutral,0,focused,AI
BIDU,UPDATE - Inuitive Partners With Arteris IP for the Next Generation of Vision Processing for Edge Devices,https://www.globenewswire.com/news-release/2022/07/11/2477690/0/en/UPDATE-Inuitive-Partners-With-Arteris-IP-for-the-Next-Generation-of-Vision-Processing-for-Edge-Devices.html,20220711T225900,GlobeNewswire,"Arteris FlexNoC® IP delivers superior performance, predictable timing closure and flexibility when deployed in advanced platforms. Arteris FlexNoC® IP delivers superior performance, predictable timing closure and flexibility when deployed in advanced platforms.",0.348219,Somewhat-Bullish,0.055236,Neutral,0,broad,
