ticker,title,url,time_published,source,summary,sentiment_score,sentiment_label,ticker_sentiment_score,ticker_sentiment_label,relevance_score,category,ai_keywords_found
CDNS,"Progyny Celebrates More Than 30,000 Amazonians Supported on Their Family Building Journeys",https://www.globenewswire.com/news-release/2023/08/22/2729835/0/en/Progyny-Celebrates-More-Than-30-000-Amazonians-Supported-on-Their-Family-Building-Journeys.html,20230822T155600,GlobeNewswire,Amazon's comprehensive family building benefit offered through Progyny to be recognized at RESOLVE's Night of Hope Gala Amazon's comprehensive family building benefit offered through Progyny to be recognized at RESOLVE's Night of Hope Gala ...,0.614535,Bullish,0.047371,Bullish,0,broad,
CDNS,Stocks Showing Rising Market Leadership: Appian Cl A Earns 83 RS Rating,https://www.investors.com/ibd-data-stories/stocks-showing-rising-market-leadership-appian-cl-a-earns-83-rs-rating/,20230821T070000,Investors Business Daily,Stocks Showing Rising Market Leadership: Appian Cl A Earns 83 ... Investor's Business Daily ...,0.306195,Somewhat-Bullish,0.345674,Neutral,0,focused,AI
CDNS,"Bentley Systems Clears Technical Benchmark, Hitting 80-Plus RS Rating",https://www.investors.com/ibd-data-stories/bentley-systems-clears-technical-benchmark-hitting-80-plus-rs-rating/,20230821T070000,Investors Business Daily,"Bentley Systems Clears Technical Benchmark, Hitting 80-Plus RS ... Investor's Business Daily ...",0.333358,Somewhat-Bullish,0.318897,Neutral,0,focused,AI
CDNS,Synopsys Earns Membership In 95-Plus Composite Rating Club,https://www.investors.com/ibd-data-stories/synopsys-earns-membership-in-95-plus-composite-rating-club-3/,20230818T070000,Investors Business Daily,"The IBD SmartSelect Composite Rating for Synopsys ( SNPS ) increased from 93 to 96 Friday. The new score indicates the company is now outperforming 96% of all stocks in terms of the most important fundamental and technical stock-picking criteria. Synopsys is currently forming a flat base, with ...",0.273,Somewhat-Bullish,0.350564,Neutral,0,focused,smart
CDNS,"Cadence Design Systems: Powering semiconductors, behind the scenes",https://www.business-standard.com/technology/tech-news/cadence-design-systems-powering-semiconductors-behind-the-scenes-123081600496_1.html,20230816T110642,Business Standard,"Ever wondered how a small chip sitting in our phones makes the hardware so intelligent? Or how cars that have hundreds of chips are designed, especially when the chip size is getting smaller, but its complexity is only increasing?",0.112818,Neutral,0.495015,Neutral,0,focused,intelligent
CDNS,Synopsys  ( SNPS )  to Report Q3 Earnings: What's in Store?,https://www.zacks.com/stock/news/2136108/synopsys-snps-to-report-q3-earnings-whats-in-store,20230814T112400,Zacks Commentary,"The increasing demand for advanced technology, design, IP and security solutions is likely to have boosted Synopsys' (SNPS) Q3 performance.",0.262316,Somewhat-Bullish,0.044885,Neutral,0,broad,
CDNS,Cadence  ( CDNS )  Stock Gains 40.7% YTD: Will the Uptrend Last?,https://www.zacks.com/stock/news/2136135/cadence-cdns-stock-gains-407-ytd-will-the-uptrend-last,20230814T112400,Zacks Commentary,Cadence (CDNS) is benefitting from strong demand for its diversified portfolio across all segments.,0.320656,Somewhat-Bullish,0.427726,Bullish,0,focused,AI
CDNS,Best Technology Stocks To Buy For The Long Term,https://www.forbes.com/sites/investor-hub/article/best-technology-stocks-to-buy-now/,20230809T225117,Forbes,"Technology is one of the most attractive sectors of the stock market, presenting the potential for high growth, thanks to the ever-growing digital economy.",0.359398,Bullish,0.178459,Somewhat-Bullish,0,broad,
CDNS,"The Zacks Analyst Blog Highlights Berkshire Hathaway, Booking Holdings, Cadence Design, ICICI Bank and Cintas",https://www.zacks.com/stock/news/2134157/the-zacks-analyst-blog-highlights-berkshire-hathaway-booking-holdings-cadence-design-icici-bank-and-cintas,20230809T085400,Zacks Commentary,"Berkshire Hathaway, Booking Holdings, Cadence Design, ICICI Bank and Cintas are included in this Analyst Blog.",0.308175,Somewhat-Bullish,0.258351,Somewhat-Bullish,0,broad,
CDNS,"Top Analyst Reports for Berkshire Hathaway, Booking Holdings & Cadence Design Systems",https://www.zacks.com/research-daily/2133644/top-analyst-reports-for-berkshire-hathaway-booking-holdings-cadence-design-systems,20230808T191800,Zacks Commentary,"Today's Research Daily features new research reports on 16 major stocks, including Berkshire Hathaway Inc. (BRK.B), Booking Holdings Inc. (BKNG) and Cadence Design Systems, Inc. (CDNS).",0.372038,Bullish,0.089797,Somewhat-Bullish,0,focused,AI
CDNS,PTC Earns IBD Stock Rating Upgrade,https://www.investors.com/ibd-data-stories/ptc-earns-ibd-stock-rating-upgrade/,20230808T070000,Investors Business Daily,The IBD SmartSelect Composite Rating for PTC ( PTC ) rose from 94 to 96 Tuesday. X The new score means the company is now outperforming 96% of all stocks in terms of the most important fundamental and technical stock-picking criteria.,0.284848,Somewhat-Bullish,0.338582,Neutral,0,focused,smart
CDNS,NVIDIA and MicroStrategy have been highlighted as Zacks Bull and Bear of the Day,https://www.zacks.com/stock/news/2133046/nvidia-and-microstrategy-have-been-highlighted-as-zacks-bull-and-bear-of-the-day,20230807T123400,Zacks Commentary,"Chicago, IL - August 7, 2023 - Zacks Equity Research shares NVIDIA ( NVDA Quick QuoteNVDA - ) as the Bull of the Day and MicroStrategy ( MSTR Quick QuoteMSTR - ) as the Bear of the Day.",0.196551,Somewhat-Bullish,0.036954,Neutral,0,broad,
CDNS,Bull of the Day: NVIDIA  ( NVDA ) ,https://www.zacks.com/commentary/2132907/bull-of-the-day-nvidia-nvda,20230807T092000,Zacks Commentary,"Shares have ramped, but analysts still underestimate the King of AI and its new paradigm ...",0.233359,Somewhat-Bullish,0.168884,Neutral,0,focused,AI
CDNS,"Here are the 9 smartest ways to invest in artificial intelligence right now, according to Bank of America, Morgan Stanley, and UBS",https://www.businessinsider.com/ai-artificial-intelligence-stocks-to-buy-bofa-morgan-stanley-ubs-2023-8,20230802T093000,Business Insider,"9 Top AI Investments to Buy Now: BofA, Morgan Stanley, UBS - Business Insider ...",0.236384,Somewhat-Bullish,0.072876,Somewhat-Bullish,0,focused,"artificial intelligence, AI, smart"
CDNS,Stocks To Watch: Appian Cl A Sees RS Rating Jump To 82,https://www.investors.com/ibd-data-stories/stocks-to-watch-appian-cl-a-sees-rs-rating-jump-to-82/,20230731T070000,Investors Business Daily,"One important metric to look for in a stock is an 80 or higher Relative Strength Rating. Appian Cl A ( APPN ) cleared that benchmark Monday, with a jump from 79 to 82 Monday. When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.",0.299213,Somewhat-Bullish,0.33628,Neutral,0,broad,
CDNS,Semiconductor and AI System Development Is Booming -- Here's 1 Stock to Bet on the Long-Term Trend,https://www.fool.com/investing/2023/07/30/semiconductor-and-ai-system-development-is-booming/,20230730T105300,Motley Fool,Cadence Design Systems is a little-known business powering the world of computing technology.,0.231595,Somewhat-Bullish,0.168884,Somewhat-Bullish,0,focused,AI
CDNS,PTC Earns Membership In 95-Plus Composite Rating Club,https://www.investors.com/ibd-data-stories/ptc-earns-membership-in-95-plus-composite-rating-club/,20230728T070000,Investors Business Daily,The IBD SmartSelect Composite Rating for PTC ( PTC ) increased from 91 to 97 Friday. The new rating shows the stock is outpacing 97% of all stocks when it comes to the most important stock-picking criteria.,0.372728,Bullish,0.353059,Neutral,0,focused,smart
CDNS,Should Vanguard Mid-Cap Growth ETF  ( VOT )  Be on Your Investing Radar?,https://www.zacks.com/stock/news/2127495/should-vanguard-mid-cap-growth-etf-vot-be-on-your-investing-radar,20230726T102007,Zacks Commentary,Style Box ETF report for ...,0.308426,Somewhat-Bullish,0.116914,Neutral,0,broad,
CDNS,SemiconIndia 2023 to kick start on July 28,https://www.financialexpress.com/industry/semiconindia-2023-to-kick-start-on-july-28/3187153/,20230726T043402,The Financial Express,"Building on the success of SemiconIndia 2022, India Semiconductor Mission, an independent business division of the Digital India Corporation is all set to organise its flagship SemiconIndia 2023 in Gandhinagar from July 28 - 30.",0.318031,Somewhat-Bullish,0.09989,Neutral,0,broad,
CDNS,How to Find Top-Ranked Stocks to Buy Heading into August,https://www.zacks.com/commentary/2127242/how-to-find-top-ranked-stocks-to-buy-heading-into-august,20230725T173600,Zacks Commentary,Investors can utilize the Filtered Zacks Rank 5 Stock Screen to help find potentially winning stocks heading into August and beyond that have boosted their earnings guidance as the bulls push stocks higher.,0.291896,Somewhat-Bullish,0.202366,Somewhat-Bullish,0,broad,
CDNS,How AI Energized Cadence Design Systems' Latest Earnings,https://www.fool.com/investing/2023/07/25/how-ai-energized-cadence-design-systems-latest-ear/,20230725T160549,Motley Fool,AI is creating two growth opportunities for Cadence Design Systems. The first is the improvement of its software solutions.,0.115113,Neutral,0.939207,Somewhat-Bullish,0,focused,AI
