ticker,title,url,time_published,source,summary,sentiment_score,sentiment_label,ticker_sentiment_score,ticker_sentiment_label,relevance_score,category,ai_keywords_found
CGNT,"GitLab Eyes Catch-Up Rally; Cognyte Builds Confidence With $40 Million In Contracts - GitLab  ( NASDAQ:GTLB ) , Cognyte Software  ( NASDAQ:CGNT ) ",https://www.benzinga.com/analyst-stock-ratings/reiteration/25/06/45844429/gitlab-eyes-catch-up-rally-cognyte-builds-confidence-with-40-million-in-contrac,20250609T175444,Benzinga,"GitLab sees rebound on strong execution, with analyst projecting revenue outperformance and margin gains. Cognyte backed by large deals and margin discipline; analyst sees upside despite lower revenue visibility. Ready to turn the market's comeback into steady cash flow?",0.226363,Somewhat-Bullish,0.187221,Neutral,0,focused,AI
CGNT,"Cognyte Software Posts Upbeat Results, Joins AngioDynamics, Allegiant Travel And Other Big Stocks Moving Higher On Wednesday - Arcellx  ( NASDAQ:ACLX ) , Allegiant Travel  ( NASDAQ:ALGT ) ",https://www.benzinga.com/25/04/44607975/cognyte-software-posts-upbeat-results-joins-angiodynamics-allegiant-travel-and-other-big-stocks-moving-higher-on-,20250402T141346,Benzinga,"U.S. stocks were lower, with the Dow Jones index falling over 100 points on Wednesday. Shares of Cognyte Software Ltd. CGNT rose sharply during Wednesday's session after the company reported better-than-expected fourth-quarter financial results.",0.37564,Bullish,0.495015,Bullish,0,broad,
CGNT,Cognyte Software Ltd.  ( CGNT )  Surpasses Q3 Earnings and Revenue Estimates,https://www.zacks.com/stock/news/2381966/cognyte-software-ltd-cgnt-surpasses-q3-earnings-and-revenue-estimates,20241211T131003,Zacks Commentary,"Cognyte Software (CGNT) delivered earnings and revenue surprises of 300% and 2.54%, respectively, for the quarter ended October 2024. Do the numbers hold clues to what lies ahead for the stock?",0.153359,Somewhat-Bullish,0.397098,Somewhat-Bullish,0,broad,
CGNT,"Planet Labs PBC  ( PL )  Reports Q3 Loss, Misses Revenue Estimates",https://www.zacks.com/stock/news/2381171/planet-labs-pbc-pl-reports-q3-loss-misses-revenue-estimates,20241209T223502,Zacks Commentary,"Planet Labs PBC (PL) delivered earnings and revenue surprises of 60% and 2.69%, respectively, for the quarter ended October 2024. Do the numbers hold clues to what lies ahead for the stock?",0.107875,Neutral,0.2035,Neutral,0,broad,
CGNT,DocuSign  ( DOCU )  Q3 Earnings and Revenues Beat Estimates,https://www.zacks.com/stock/news/2379838/docusign-docu-q3-earnings-and-revenues-beat-estimates,20241205T221505,Zacks Commentary,"DocuSign (DOCU) delivered earnings and revenue surprises of 4.65% and 1.41%, respectively, for the quarter ended October 2024. Do the numbers hold clues to what lies ahead for the stock?",0.168723,Somewhat-Bullish,0.207571,Neutral,0,broad,
CGNT,MongoDB Shares Fall 20% Year to Date: How Should You Play the Stock?,https://www.zacks.com/stock/news/2377128/mongodb-shares-fall-20-year-to-date-how-should-you-play-the-stock,20241129T153300,Zacks Commentary,"MDB's prospects improve due to expanding partnerships and product portfolio. However, stretched valuation remains a concern for investors.",0.234937,Somewhat-Bullish,0.193723,Somewhat-Bullish,0,focused,AI
CGNT,Cognyte Software  ( CGNT )  Surges 9.0%: Is This an Indication of Further Gains?,https://www.zacks.com/stock/news/2374277/cognyte-software-cgnt-surges-90-is-this-an-indication-of-further-gains,20241122T165900,Zacks Commentary,Cognyte Software (CGNT) witnessed a jump in share price last session on above-average trading volume. The latest trend in earnings estimate revisions for the stock doesn't suggest further strength down the road.,0.322304,Somewhat-Bullish,0.641573,Bullish,0,focused,AI
CGNT,MongoDB Shares Down 38% Year to Date: Should Investors Buy the Dip?,https://www.zacks.com/stock/news/2346123/mongodb-shares-down-38-year-to-date-should-investors-buy-the-dip,20241004T142600,Zacks Commentary,"MDB's prospects improve due to strengthening GenAI and predictive AI applications. However, stretched valuation remains a concern for investors.",0.287301,Somewhat-Bullish,0.264658,Somewhat-Bullish,0,focused,AI
CGNT,Crude Oil Dips Over 4%; OPEC Cuts Global Oil Demand Outlook - Avid Bioservices  ( NASDAQ:CDMO ) ,https://www.benzinga.com/markets/equities/24/09/40801588/crude-oil-dips-over-4-opec-cuts-global-oil-demand-outlook,20240910T182045,Benzinga,"U.S. stocks traded mixed toward the end of trading, with the Nasdaq Composite gaining over 100 points on Tuesday. The Dow traded down 0.39% to 40,671.23 while the NASDAQ rose 0.68% to 16,999.00. The S&P 500 also rose, gaining, 0.24% to 5,484.05. Real estate shares surged by 0.9% on Tuesday.",0.069255,Neutral,0.151539,Somewhat-Bullish,0,focused,AI
CGNT,Dow Dips Around 1%; US Small Business Optimism Falls In August - Mission Produce  ( NASDAQ:AVO ) ,https://www.benzinga.com/markets/cryptocurrency/24/09/40799062/dow-dips-around-1-us-small-business-optimism-falls-in-august,20240910T161930,Benzinga,"U.S. stocks traded lower midway through trading, with the Dow Jones falling around 1% on Tuesday. The Dow traded down 0.96% to 40,436.70 while the NASDAQ fell 0.33% to 16,829.42. The S&P 500 also fell, dropping, 0.44% to 5,447.01. Consumer discretionary shares surged by 0.6% on Tuesday.",0.089157,Neutral,0.16171,Somewhat-Bullish,0,broad,
