ticker,title,url,time_published,source,summary,sentiment_score,sentiment_label,ticker_sentiment_score,ticker_sentiment_label,relevance_score,category,ai_keywords_found
CRM,"Got $3,000? 3 Growth Stocks to Double Up On Right Now",https://www.fool.com/investing/2022/05/07/got-3000-3-growth-stocks-to-double-up-on-right-now/,20220507T102600,Motley Fool,Buying the dip in top growth stocks or when they're on the verge of exploding is a proven way to build wealth.,-0.044824,Neutral,0.371025,Somewhat-Bullish,0,broad,
CRM,"PR Agency Tells Blue-Chip Clients Like AT&T, Coca-Cola, Netflix And More To Avoid Media Inquiries On Abortion Debate",https://www.benzinga.com/news/22/05/27053611/pr-agency-tells-blue-chip-clients-to-avoid-media-inquiries-on-abortion-debate,20220506T173016,Benzinga,"A prominent public relations agency is warning its publicly traded clients to avoid making any comments on the Roe v. Wade controversy that erupted following a leaked draft of a possible Supreme Court ruling overturning the 1973 decision.
What Happened: The Popular Information news site obtained an ",-0.067291,Neutral,0.243133,Neutral,0,focused,AI
CRM,Stocks That Hit 52-Week Lows On Friday,https://www.benzinga.com/markets/options/22/05/27050916/52-weeks-high-and-low-article,20220506T160650,Benzinga,"On Friday, 1043 companies hit new 52-week lows.
Interesting Points From Today's 52-Week Lows:
The largest company by market cap to set a new 52-week low was Amazon.com  ( NASDAQ:AMZN ) .
The smallest company by market cap to set a new 52-week low was Digital Brands Group  ( NASDAQ:DBGI ) .
Digital B",-0.018654,Neutral,0.005467,Neutral,0,broad,
CRM,Shopify Stock: Bull vs. Bear,https://www.fool.com/investing/2022/05/06/shopify-stock-bull-vs-bear/,20220506T103000,Motley Fool,"Down over 75% from its all-time high, the stock has become a polarizing name in the market.",-0.060216,Neutral,0.075125,Bearish,0,broad,
CRM,"BrightView Holdings, Inc.  ( BV )  Q2 2022 Earnings Call Transcript",https://www.fool.com/earnings/call-transcripts/2022/05/05/brightview-holdings-inc-bv-q2-2022-earnings-call-t/,20220506T013052,Motley Fool,"BV earnings call for the period ending March 31, 2022.",0.290366,Somewhat-Bullish,0.011261,Bullish,0,broad,
CRM,Here Are The 10 Stocks That Pummeled The Dow The Most,https://www.investors.com/etfs-and-funds/sectors/dow-jones-here-are-the-10-stocks-that-pummeled-the-dow-the-most/,20220505T205900,Investors Business Daily,Here Are The 10 Stocks That Pummeled The Dow The Most Investor's Business Daily,-0.578778,Bearish,0.362858,Bearish,0,focused,AI
CRM,Why Upstart Stock Is Up 18% This Week,https://www.fool.com/investing/2022/05/05/why-upstart-stock-is-up-18-this-week/,20220505T201400,Motley Fool,The financial technology company announced two new partnerships this week.,0.146723,Neutral,0.373751,Somewhat-Bullish,0,broad,
CRM,"Why Apple, Meta Platforms, and Salesforce.com Plunged Today",https://www.fool.com/investing/2022/05/05/why-apple-meta-platforms-and-salesforcecom-plunged/,20220505T194500,Motley Fool,"Thursday saw indiscriminate selling of technology stocks, even large-cap, profitable ones.",-0.243115,Somewhat-Bearish,0.187681,Somewhat-Bearish,0,broad,
CRM,"Dow Jones Plunges; Tesla Dives On This Elon Musk Twitter Move; Apple, Microsoft Fall As Tech Tumbles",https://www.investors.com/market-trend/stock-market-today/dow-jones-plunges-tesla-stock-dives-on-this-elon-musk-twitter-move-apple-stock-microsoft-stock-fall-as-tech-tumbles/,20220505T174400,Investors Business Daily,"Dow Jones Plunges; Tesla Dives On This Elon Musk Twitter Move; Apple, Microsoft Fall As Tech Tumbles Investor's Business Daily",-0.414836,Bearish,0.097496,Bearish,0,focused,AI
CRM,Companies confront a new climate challenge: home offices,https://www.reuters.com/business/sustainable-business/companies-confront-new-climate-challenge-home-offices-2022-05-05/,20220505T103800,Reuters,"The Google logo is spelled out in heliostats  ( mirrors that track the sun and reflect the sunlight onto a central receiving point )  during a tour of the Ivanpah Solar Electric Generating System in the Mojave Desert near the California-Nevada border February 13, 2014. REUTERS/Steve Marcus/File Photo",-0.167885,Somewhat-Bearish,0.039719,Neutral,0,broad,
CRM,Factbox: How companies account for remote work in their carbon footprints,https://www.reuters.com/business/sustainable-business/how-companies-account-remote-work-their-carbon-footprints-2022-05-05/,20220505T102500,Reuters,"An exhaust emits fumes as a car is driven through Richmond in London, Britain December 2, 2016. REUTERS/Peter Nicholls",-0.006294,Neutral,0.045909,Neutral,0,focused,AI
CRM,Open Text  ( OTEX )  Q3 2022 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/05/05/open-text-otex-q3-2022-earnings-call-transcript/,20220505T080051,Motley Fool,"OTEX earnings call for the period ending March 31, 2022.",0.25179,Somewhat-Bullish,0.012381,Somewhat-Bullish,0,broad,
CRM,Why Upstart Is Rising Today,https://www.fool.com/investing/2022/05/04/why-upstart-is-rising-today/,20220504T175723,Motley Fool,The artificial-intelligence-focused lender announced a new partnership with Salesforce.,0.114064,Neutral,0.603069,Somewhat-Bullish,0,broad,
CRM,Analytics Market to observe USD 172.77 Bn incremental growth | Driven by growing availability and complexity of data | Technavio,https://www.prnewswire.com/news-releases/analytics-market-to-observe-usd-172-77-bn-incremental-growth--driven-by-growing-availability-and-complexity-of-data--technavio-301536967.html,20220504T124500,PR Newswire,"The global analytics market is fragmented due to the presence of several established players. Vendors in the market are adopting several organic and inorganic growth strategies such as new product launches and M&A activities to remain competitive and gain an edge over their rivals. For instance, in April 2021, QlikTech international AB expanded its relationship with Amazon Web Services  ( AWS )  with the launch of a collaborative solution that would help enterprises drive more value from SAP data with cloud analytics.",0.019205,Neutral,0.056728,Neutral,0,focused,AI
CRM,Why ServiceNow Stock Slipped 14% in April,https://www.fool.com/investing/2022/05/04/why-servicenow-stock-slipped-14-in-april/,20220504T045410,Motley Fool,A strong earnings report wasn't enough to buck the macro headwinds.,0.122316,Neutral,0.099394,Bullish,0,broad,
CRM,Freshworks Inc.  ( FRSH )  Q1 2022 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/05/04/freshworks-inc-frsh-q1-2022-earnings-call-transcri/,20220504T040045,Motley Fool,"FRSH earnings call for the period ending March 31, 2022.",0.301167,Somewhat-Bullish,0.112812,Somewhat-Bullish,0,broad,
CRM,Why Is A Man Climbing The Salesforce HQ Tower?,https://www.benzinga.com/news/22/05/26975407/why-is-a-man-climbing-the-salesforce-hq-tower,20220503T202555,Benzinga,"A man climbing the Salesforce Inc  ( NYSE: CRM )  tower in San Francisco without any safety harnesses on Tuesday morning was detained after reaching the top of the building.
What To Know: Maison Des Champs, a rock climber from Las Vegas, successfully scaled the 60-floor Salesforce tower in an anti-a",-0.108436,Neutral,0.633511,Neutral,0,focused,AI
CRM,"The Global Cloud Computing Market is expected to reach a value of USD 750,100 Million by 2027, at a CAGR of 30.10% over the forecast period  ( 2021 - 2027 )  - SkyQuest Technology",https://www.benzinga.com/pressreleases/22/05/g26971870/the-global-cloud-computing-market-is-expected-to-reach-a-value-of-usd-750-100-million-by-2027-at-a,20220503T174116,Benzinga,"Westford, USA, May  03, 2022   ( GLOBE NEWSWIRE )  -- The need to reduce risks, achieve scalability and flexibility in moving and storing data, reduce storage and infrastructure complexities, and increase business efficiency drives the cloud computing market's growth.
Enterprises are concerned about",0.016962,Neutral,0.099877,Neutral,0,broad,
CRM,McKinsey & Company Acquires S4G Consulting to Accelerate Clients' End-to-End Growth Transformations,https://www.benzinga.com/pressreleases/22/05/g26955554/mckinsey-company-acquires-s4g-consulting-to-accelerate-clients-end-to-end-growth-transformations,20220503T110000,Benzinga,"NEW YORK and MADRID, Spain, May  03, 2022   ( GLOBE NEWSWIRE )  -- McKinsey & Company announced today it has acquired Madrid-based S4G Consulting. As a top Salesforce Platinum Partner, S4G specializes in helping companies of all sizes extend the power of Salesforce's customer relationship management",0.131214,Neutral,0.526897,Neutral,0,focused,AI
CRM,"Low Code Development Platform Market Expected to Garner 73,820.4 Million by 2027, Registering a CAGR of 26.5% - Report by Market Research Future  ( MRFR ) ",https://www.benzinga.com/pressreleases/22/05/g26954323/low-code-development-platform-market-expected-to-garner-73-820-4-million-by-2027-registering-a-cag,20220503T100500,Benzinga,"New York, US, May  03, 2022   ( GLOBE NEWSWIRE )  -- Market Overview: According to a comprehensive research report by Market Research Future  ( MRFR ) , ""Low Code Development Platform Market"" information by Type, by Components, by Deployment, by Organization Size and Region - Forecast to 2027"" marke",0.013484,Neutral,0.053515,Neutral,0,broad,
CRM,3 Dow Stocks That Are Screaming Buys in May,https://www.fool.com/investing/2022/05/03/3-dow-stocks-that-are-screaming-buys-in-may/,20220503T095100,Motley Fool,The Dow Jones Industrial Average is housing a trio of incredible bargains in plain sight.,0.043725,Neutral,0.390202,Somewhat-Bullish,0,focused,AI
CRM,Enterprise Application Market revenue to cross USD 350 Bn by 2028: Global Market Insights Inc.,https://www.prnewswire.com/news-releases/enterprise-application-market-revenue-to-cross-usd-350-bn-by-2028-global-market-insights-inc-301537059.html,20220503T061500,PR Newswire,Request for a sample of this research report at https://www.gminsights.com/request-sample/detail/701,0.010375,Neutral,0.104614,Neutral,0,focused,AI
CRM,Varonis Systems  ( VRNS )  Q1 2022 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2022/05/02/varonis-systems-vrns-q1-2022-earnings-call-transcr/,20220503T020021,Motley Fool,"VRNS earnings call for the period ending March 31, 2022.",0.120646,Neutral,0.007089,Bullish,0,broad,
CRM,Dan Ives Makes Cathie Wood Seem Squeamish,https://www.thestreet.com/investing/dan-ives-has-seen-this-tech-wreck-movie-before,20220503T005100,The Street,Veteran tech analyst offers tweets of comfort amid big selloff in Wall Street's big tech glamor stocks.,0.036378,Neutral,0.223111,Neutral,0,broad,
CRM,Salesforce.com  ( CRM )  Outpaces Stock Market Gains: What You Should Know,https://www.zacks.com/stock/news/1913802/salesforcecom-crm-outpaces-stock-market-gains-what-you-should-know,20220502T214514,Zacks Commentary,"In the latest trading session, Salesforce.com (CRM) closed at $177.57, marking a +0.93% move from the previous day.",0.020852,Neutral,0.513895,Neutral,0,focused,AI
CRM,CRM: 3 Worst Performing Dow Jones Stocks in April,https://stocknews.com/news/crm-dis-ba-3-worst-performing-dow-jones-stocks-in-april/,20220502T164434,Stocknews.com,"2022, thus far, has been a rocky year for the stock market. The recent macroeconomic concerns have pushed the major U.S. indices significantly, with the Dow Jones Industrial Average plunging 5.3% in APril. Two weeks ago, Fed Chairman Jerome Powell warned of a potential interest rate hike of 50 basis points in May to combat surging inflation. Also, the resurgence of COVID-19 cases in China led to economic shutdowns because of strict lockdown measures and further added to the fears of economic slowdown.",-0.197594,Somewhat-Bearish,0.17436,Somewhat-Bearish,0,focused,AI
CRM,What Are Whales Doing With Salesforce,https://www.benzinga.com/markets/options/22/05/26938297/what-are-whales-doing-with-salesforce,20220502T161606,Benzinga,"Someone with a lot of money to spend has taken a bearish stance on Salesforce  ( NYSE:CRM ) .
And retail traders should know.
We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga.
Whether this is an institution or just a wealthy i",-0.035121,Neutral,0.738815,Neutral,0,focused,AI
CRM,"Software Growth Stocks To Buy, Watch Or Sell Amid Nasdaq Volatility",https://www.investors.com/news/technology/software-stocks-software-growth-stocks/,20220502T141100,Investors Business Daily,Software Growth Stocks To Buy As Digital Transformation Drives Growth Investor's Business Daily,-0.022535,Neutral,0.146336,Neutral,0,focused,AI
CRM,Investors Heavily Search Salesforce Inc.  ( CRM ) : Here is What You Need to Know,https://www.zacks.com/stock/news/1913230/investors-heavily-search-salesforce-inc-crm-here-is-what-you-need-to-know,20220502T130007,Zacks Commentary,"Salesforce.com (CRM) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.",0.03462,Neutral,0.44879,Neutral,0,broad,
CRM,"Global Cloud Computing in Higher Education Market Size Expected to Reach USD 15,180.1 Million by 2030, at 22% CAGR: Astute Analytica",https://www.prnewswire.com/news-releases/global-cloud-computing-in-higher-education-market-size-expected-to-reach-usd-15-180-1-million-by-2030--at-22-cagr-astute-analytica-301536843.html,20220502T113000,PR Newswire,"Global Cloud Computing in Higher Education Market Size Expected to Reach USD 15,180.1 Million by 2030, at 22% CAGR: Astute Analytica USA - English - USA PR Newswire",0.023671,Neutral,0.073217,Neutral,0,broad,
CRM,"Global Cloud Computing in Higher Education Market Size Expected to Reach USD 15,180.1 Million by 2030, at 22% CAGR: Astute Analytica",https://www.prnewswire.com/in/news-releases/global-cloud-computing-in-higher-education-market-size-expected-to-reach-usd-15-180-1-million-by-2030-at-22-cagr-astute-analytica-872314206.html,20220502T113000,PR Newswire,"Global Cloud Computing in Higher Education Market Size Expected to Reach USD 15180.1 Million by 2030, at 22% CAGR: Astute Analytica USA - English PR Newswire",0.023671,Neutral,0.073217,Neutral,0,broad,
CRM,Should You Invest in the iShares Expanded TechSoftware Sector ETF  ( IGV ) ?,https://www.zacks.com/stock/news/1913092/should-you-invest-in-the-ishares-expanded-techsoftware-sector-etf-igv,20220502T102006,Zacks Commentary,Sector ETF report for IGV,0.045915,Neutral,0.128375,Neutral,0,broad,
CRM,Artificial Intelligence in Manufacturing and Supply Chain Market in Japan to record USD 1.79 Bn growth | Automotive segment to account for maximum market share | Technavio,https://www.prnewswire.com/news-releases/artificial-intelligence-in-manufacturing-and-supply-chain-market-in-japan-to-record-usd-1-79-bn-growth--automotive-segment-to-account-for-maximum-market-share--technavio-301536642.html,20220502T091000,PR Newswire,"The artificial intelligence in manufacturing and supply chain market in Japan is fragmented due to the presence of several vendors. Technavio identifies Alphabet Inc., General Electric Co., Intel Corp., International Business Machines Corp., Microsoft Corp., NVIDIA Corp., RapidMiner Inc., Salesforce.com Inc., Samsung Electronics Co. Ltd., and Siemens AG as some of the major market participants.",0.013053,Neutral,0.055531,Neutral,0,focused,"artificial intelligence, AI"
CRM,Beyond Stock Splits: 3 Top Growth Stocks to Buy Now,https://www.fool.com/investing/2022/05/01/beyond-stock-splits-3-top-growth-stocks-to-buy-now/,20220501T125800,Motley Fool,"Amid the focus on stock splits, many growth stocks with lower prices offer the potential for considerable returns.",0.090223,Neutral,0.085487,Neutral,0,broad,
CRM,"The Nasdaq, S&P 500 And Dow Took A Big Dive In April",https://www.benzinga.com/after-hours-center/22/04/26911978/nasdaq-s-p-500-and-dia-dive-x-y-and-z-in-april,20220429T201505,Benzinga,"Markets finished off the month of April down big amid a mixed first-quarter earnings season. For the month, the Nasdaq fell 15%, the S&P 500 fell 10.2% and the Dow fell 6.4%.
On Thursday, the Commerce Department reported first-quarter U.S. GDP fell 1.4%, well short of economists' expectations of 1% ",-0.185731,Somewhat-Bearish,0.159516,Somewhat-Bearish,0,broad,
CRM,Salesforce extends 'Silenced No More Act' protections to all U.S. employees,https://www.marketwatch.com/story/salesforce-extends-silenced-no-more-act-protections-to-all-u-s-employees-11651261757,20220429T194900,MarketWatch,It's another victory for a coalition that this proxy season set out to urge tech companies to adopt transparency in their employment contracts and essentially free employees from nondisclosure agreements.,0.019361,Neutral,0.202535,Neutral,0,broad,
CRM,Is It Time to Buy the Dow Jones' 3 Worst-Performing April Stocks?,https://www.fool.com/investing/2022/04/29/time-buy-dow-jones-worst-performing-april-stock/,20220429T142427,Motley Fool,Which of these beaten-down Dow components is worth pouncing on?,-0.348018,Somewhat-Bearish,0.269132,Neutral,0,broad,
CRM,3 Reasons for Long-Term Investors to Love Salesforce,https://www.fool.com/investing/2022/04/29/3-reasons-why-long-term-investors-love-salesforce/,20220429T124900,Motley Fool,"When the market turns around, you'll wish you owned shares of the leader in marketing and sales cloud software.",0.039422,Neutral,0.784165,Neutral,0,broad,
CRM,5 Growth Stocks Rocketing Up My Prospective Buy List,https://www.fool.com/investing/2022/04/29/5-growth-stocks-rocketing-up-my-buy-list/,20220429T090600,Motley Fool,The market sell-off has made these previously pricey stocks potentially too attractive to pass up.,0.042053,Neutral,0.330232,Neutral,0,broad,
CRM,Markets Surge Despite Drop In US GDP,https://www.benzinga.com/after-hours-center/22/04/26882738/markets-surge-higher-despite-marked-drop-in-us-gdp,20220428T201006,Benzinga,"U.S. indices traded higher Thursday despite a drop in U.S. GDP. Strength in stocks is possibly due to better-than-expected quarterly earnings from multiple companies as well as a rebound following a selloff earlier in the week.
U.S. GDP unexpectedly declined 1.4% in the first quarter, falling well s",-0.274193,Somewhat-Bearish,0.262947,Neutral,0,broad,
CRM,Indexes Charge Higher; Meta Platforms Pops On Earnings; Apple Earnings On Deck,https://www.investors.com/market-trend/stock-market-today/indexes-charge-higher-meta-platforms-pops-on-earnings-apple-earnings-on-deck/,20220428T192900,Investors Business Daily,Indexes Charge Higher; Meta Platforms Pops On Earnings; Apple Earnings On Deck Investor's Business Daily,-0.165926,Somewhat-Bearish,0.152066,Neutral,0,focused,AI
CRM,Dow Jones Rallies; Mark Zuckerberg Says This As Facebook Parent Surges; Apple Earnings Due,https://www.investors.com/market-trend/stock-market-today/dow-jones-updow-jones-up-mark-zuckerberg-says-this-as-facebook-surges-apple-earnings-duemark-zuckerberg-says-this-as-facebook-surges-3-stocks-form-bases/,20220428T180500,Investors Business Daily,Dow Jones Rallies; Mark Zuckerberg Says This As Facebook Parent Surges; Apple Earnings Due Investor's Business Daily,-0.02935,Neutral,0.084587,Bullish,0,focused,AI
CRM,"Netflix, Tesla, Twitter. Investors Have a Lot to Talk About.",https://www.fool.com/investing/2022/04/28/netflix-tesla-twitter-investors-have-a-lot-to-talk/,20220428T162910,Motley Fool,Plus a look at real estate investing.,0.066616,Neutral,0.006142,Bullish,0,broad,
CRM,Marketing Automation Market worth $9.5 billion by 2027 - Exclusive Report by MarketsandMarkets™,https://www.prnewswire.com/news-releases/marketing-automation-market-worth-9-5-billion-by-2027--exclusive-report-by-marketsandmarkets-301535061.html,20220428T150000,PR Newswire,"CHICAGO, April 28, 2022 /PRNewswire/ -- According to a research report ""Marketing Automation Market with COVID-19 Impact Analysis, by Component  ( Software, Services ) , Application  ( Social Media Marketing, Email Marketing, Inbound Marketing ) , Deployment Type, Organization Size, Vertical and Region - Global Forecast to 2027"", published by MarketsandMarkets™, the Marketing Automation Market size is expected to grow from USD 5.2 billion in 2022 to USD 9.5 billion by 2027, at a Compound Annual Growth Rate  ( CAGR )  of 12.8% during the forecast period. The rising adoption of SMAC technologies, need for personalized marketing to maximize returns by reaching target audience are a few factors driving the growth of the marketing automation market.",0.011158,Neutral,0.063797,Neutral,0,focused,"AI, automation"
CRM,LeanIX Joins the MuleSoft Technology Partner Program,https://www.prnewswire.com/in/news-releases/leanix-joins-the-mulesoft-technology-partner-program-883651605.html,20220428T120000,PR Newswire,LeanIX now integrates with MuleSoft's Anypoint Exchange to enable organizations to build reliable digital products faster,0.024281,Neutral,0.125887,Neutral,0,broad,
CRM,LeanIX Joins the MuleSoft Technology Partner Program,https://www.newswire.ca/news-releases/leanix-joins-the-mulesoft-technology-partner-program-898980202.html,20220428T120000,Canada Newswire,LeanIX now integrates with MuleSoft's Anypoint Exchange to enable organizations to build reliable digital products faster,0.024281,Neutral,0.126119,Neutral,0,broad,
CRM,LeanIX Joins the MuleSoft Technology Partner Program,https://www.prnewswire.com/news-releases/leanix-joins-the-mulesoft-technology-partner-program-301535039.html,20220428T120000,PR Newswire,LeanIX Joins the MuleSoft Technology Partner Program USA - English - USA PR Newswire,0.024281,Neutral,0.125887,Neutral,0,broad,
