ticker,title,url,time_published,source,summary,sentiment_score,sentiment_label,ticker_sentiment_score,ticker_sentiment_label,relevance_score,category,ai_keywords_found
ORCL,"Smart and Mobile Supply Chain Solutions Market Outlook To [2028] | Industry Growing At A CAGR of 6.0% By 2028 | Consumer-Demands, Future Prospects, Innovations, Trends, Growth Plans, Business Challenges, Opportunities and Key Suppliers",https://www.benzinga.com/pressreleases/22/08/g28546936/smart-and-mobile-supply-chain-solutions-market-outlook-to-2028-industry-growing-at-a-cagr-of-6-0-b,20220818T103442,Benzinga,"Pune, Aug. 18, 2022 ( GLOBE NEWSWIRE ) -- Global ""Smart and Mobile Supply Chain Solutions Market"" 2022-2028 report discovers comprehensive insights on key manufacturers with share information, market size and projection, key dynamics, growth factors, and new company profiles.",0.425939,Bullish,0.081368,Somewhat-Bullish,0,focused,"AI, smart"
ORCL,"The Zacks Analyst Blog Highlights Coca-Cola, Oracle, Morgan Stanley, Amgen and TotalEnergies",https://www.zacks.com/stock/news/1968927/the-zacks-analyst-blog-highlights-coca-cola-oracle-morgan-stanley-amgen-and-totalenergies,20220817T093500,Zacks Commentary,"Coca-Cola, Oracle, Morgan Stanley, Amgen and TotalEnergies are included in this Analyst Blog.",0.220206,Somewhat-Bullish,0.330496,Somewhat-Bullish,0,broad,
ORCL,"With 10.3% CAGR, Higher Education Technology Market Size to Reach USD 169.72 Billion [2022-2028]",https://www.benzinga.com/pressreleases/22/08/g28529859/with-10-3-cagr-higher-education-technology-market-size-to-reach-usd-169-72-billion-2022-2028,20220817T091852,Benzinga,"Pune, India, Aug. 17, 2022 ( GLOBE NEWSWIRE ) -- The global Higher Education Technology Market size is expected to gain momentum by reaching USD 169.72 billion by 2028 while exhibiting a CAGR of 10.3% between 2022 to 2028.",0.258332,Somewhat-Bullish,0.027571,Bullish,0,focused,AI
ORCL,Here's How Much You Would Have Made Owning Oracle Stock In The Last 15 Years,https://www.benzinga.com/news/earnings/22/08/28523499/heres-how-much-you-would-have-made-owning-oracle-stock-in-the-last-15-years,20220816T185209,Benzinga,"Oracle ORCL has outperformed the market over the past 15 years by 2.44% on an annualized basis producing an average annual return of 9.9%. Currently, Oracle has a market capitalization of $212.23 billion.",0.171182,Somewhat-Bullish,0.570165,Somewhat-Bullish,0,broad,
ORCL,"Retail Scorecard and Analyst Reports for Coca-Cola, Oracle & Morgan Stanley",https://www.zacks.com/research-daily/1968696/retail-scorecard-and-analyst-reports-for-coca-cola-oracle-morgan-stanley,20220816T172300,Zacks Commentary,"Today's Research Daily features update on the Q2 earnings season and new research reports on The Coca-Cola Company (KO), Oracle (ORCL) and Morgan Stanley (MS).",0.195379,Somewhat-Bullish,0.270373,Somewhat-Bullish,0,focused,AI
ORCL,"Big Data in Healthcare Market Size is projected to reach USD 105.73 Billion by 2030, growing at a CAGR of 13.85%: Straits Research",https://www.benzinga.com/pressreleases/22/08/g28521722/big-data-in-healthcare-market-size-is-projected-to-reach-usd-105-73-billion-by-2030-growing-at-a-c,20220816T164000,Benzinga,"New York, United States, Aug. 16, 2022 ( GLOBE NEWSWIRE ) -- Big Data analysis in healthcare identifies hidden patterns, market trends, unknown relationships, and customer preferences to inform clinical and business decisions.",0.291377,Somewhat-Bullish,0.022243,Somewhat-Bullish,0,focused,AI
ORCL,"Virtual Desktop Infrastructure Market Size is projected to reach USD 57 billion by 2030, growing at a CAGR of 19.2%: Straits Research",https://www.benzinga.com/pressreleases/22/08/g28520619/virtual-desktop-infrastructure-market-size-is-projected-to-reach-usd-57-billion-by-2030-growing-at,20220816T154000,Benzinga,"New York, United States, Aug. 16, 2022 ( GLOBE NEWSWIRE ) -- A data center can run and maintain a desktop operating system using Virtual Desktop Infrastructure, a desktop virtualization technology.",0.290914,Somewhat-Bullish,0.030178,Neutral,0,focused,AI
ORCL,Apple lays off 100 recruiters as part of hiring slowdown; here's what it said to fired employees | The Financial Express,https://www.financialexpress.com/industry/apple-lays-off-100-recruiters-as-part-of-hiring-slowdown-heres-what-it-said-to-fired-employees/2632422/,20220816T140203,The Financial Express,Apple lays off 100 recruiters as part of hiring slowdown. here's what it said to fired employees The Financial Express ...,-0.073506,Neutral,0.078099,Neutral,0,focused,AI
ORCL,"With 14.5% CAGR, Identity and Access Management Market Worth USD 34.52 Billion by 2028",https://www.benzinga.com/pressreleases/22/08/g28514088/with-14-5-cagr-identity-and-access-management-market-worth-usd-34-52-billion-by-2028,20220816T122624,Benzinga,"Pune, India, Aug. 16, 2022 ( GLOBE NEWSWIRE ) -- The global identity and access management market size is projected to rise from USD 13.41 billion in 2021 to USD 34.52 billion by 2028 at 14.5% CAGR during the forecast period.",0.132787,Neutral,0.024421,Neutral,0,broad,
ORCL,Apple lays off recruiters in a push to rein in hiring and spending,https://www.business-standard.com/article/international/apple-lays-off-recruiters-in-a-push-to-rein-in-hiring-and-spending-122081600189_1.html,20220816T044000,Business Standard,"About 100 contract workers were let go in a rare move for Apple, the world's most valuable company ...",-0.06651,Neutral,0.085324,Neutral,0,broad,
ORCL,Oracle  ( ORCL )  Stock Sinks As Market Gains: What You Should Know,https://www.zacks.com/stock/news/1968328/oracle-orcl-stock-sinks-as-market-gains-what-you-should-know,20220815T220004,Zacks Commentary,"Oracle (ORCL) closed the most recent trading day at $79.11, moving -0.05% from the previous trading session.",0.199841,Somewhat-Bullish,0.561606,Somewhat-Bullish,0,focused,AI
ORCL,Here's How Investors Can Find Strong Computer and Technology Stocks with the Zacks ESP Screener,https://www.zacks.com/stock/news/1968071/heres-how-investors-can-find-strong-computer-and-technology-stocks-with-the-zacks-esp-screener,20220815T125003,Zacks Commentary,The Zacks Earnings ESP is a great way to find potential earnings surprises. Why investors should take advantage now.,0.370232,Bullish,0.369685,Bullish,0,broad,
ORCL,MSFT: These 2 Meme Stocks Make Great Long-Term Picks,https://stocknews.com/news/msft-nok-these-2-meme-stocks-make-great-long-term-picks/,20220812T191244,Stocknews.com,Meme stocks gained massive popularity last year due to their short-squeeze rally. Retail investors' collective bets against short-selling hedge funds had helped these stocks skyrocket.,0.27625,Somewhat-Bullish,0.0367,Neutral,0,focused,AI
ORCL,TikTok facing fresh scrutiny about possible state influence after Forbes report,https://www.scmp.com/tech/big-tech/article/3188724/tiktok-facing-fresh-scrutiny-over-beijing-influence-after-forbes,20220812T133021,South China Morning Post,"The Forbes report states that ByteDance currently employs 300 people who have previously worked at state media outlets, raising propaganda fears.",0.009523,Neutral,0.048523,Neutral,0,focused,AI
ORCL,Biden senior advisor Anita Dunn has to divest investment portfolio worth between $16.8 million and $48.2 million to avoid conflicts,https://www.cnbc.com/2022/08/12/biden-senior-advisor-anita-dunn-has-to-divest-investment-portfolio-to-avoid-conflict.html,20220812T122942,CNBC,"Dunn's financial disclosures show extensive stock, options, bond and private equity holdings - a fortune she and her husband have amassed over the years.",0.028479,Neutral,0.028903,Neutral,0,broad,
ORCL,Why an analyst says sell these four big software stocks,https://www.marketwatch.com/story/why-an-analyst-says-sell-these-four-big-software-stocks-11660307381,20220812T122900,MarketWatch,"Salesforce Inc.'s stock gets a lot of love on Wall Street, with 43 of the 49 covering analysts tracked by FactSet rating the shares the equivalent of buy, but Guggenheim analyst John DiFucci bucked the trend in a big way.",0.079306,Neutral,0.100308,Neutral,0,broad,
ORCL,A Detailed Guide to Cloud Computing ETFs,https://www.zacks.com/stock/news/1967407/a-detailed-guide-to-cloud-computing-etfs,20220811T181400,Zacks Commentary,"Cloud computing is seeing an increasing usage globally as it enables data interoperability in a scalable and cost-efficient way through data collection, processing and analysis.",0.116458,Neutral,0.030563,Neutral,0,focused,AI
ORCL,AI Eye Podcast 716: Stocks discussed:  ( NYSE: $ORCL )   ( NasdaqGS: $NVDA )   ( OTC: $AITX ) ,https://www.investorideas.com/news/2022/artificial-intelligence/08111ORCL-NVDA-AITX.asp,20220811T174530,Investor Ideas,AI Eye Podcast 716: Stocks discussed: ( NYSE: $ORCL ) ( NasdaqGS: $NVDA ) ( OTC: ...,0.306535,Somewhat-Bullish,0.051774,Neutral,0,focused,AI
ORCL,TCC selects Oracle NetSuite ERP to power comprehensive inventory funding,https://www.prnewswire.com/news-releases/tcc-selects-oracle-netsuite-erp-to-power-comprehensive-inventory-funding-301603522.html,20220810T153700,PR Newswire,"MENLO PARK, Calif., Aug. 10, 2022 /PRNewswire/ -- Trade Capital Corporation ( TCC ) , an inventory funding disruptor, has selected Oracle NetSuite as the backbone of its ERP system.",0.34432,Somewhat-Bullish,0.09186,Neutral,0,broad,
ORCL,Oracle Extends AT&T Cloud Agreement with New Five-Year Deal,https://www.prnewswire.com/news-releases/oracle-extends-att-cloud-agreement-with-new-five-year-deal-301603570.html,20220810T153000,PR Newswire,"AUSTIN, Texas, Aug. 10, 2022 /PRNewswire/ -- Oracle has renewed a strategic agreement with AT&T that will help give new capacity and capabilities for the company's database and application workloads running in Oracle Cloud.",0.155685,Somewhat-Bullish,0.996364,Somewhat-Bullish,0,broad,
ORCL,"MSFT: 1 Robinhood Stock to Buy, 1 to Hold and 1 to Sell",https://stocknews.com/news/msft-f-pypl-1-robinhood-stock-to-buy-1-to-hold-and-1/,20220810T120426,Stocknews.com,"Robinhood Markets, Inc. ( HOOD ) operates as an online discount brokerage company offering zero-commission trading services on several U.S.-listed securities. The company provides a web- and mobile-based platform that makes buying and selling stocks simple and seemingly free.",0.143499,Neutral,0.137671,Neutral,0,broad,
ORCL,Big Tech Seen Cutting Back On Cloud Computing Spending In 2023,https://www.investors.com/news/technology/cloud-computing-big-tech-seen-cutting-back-on-spending-in-2023/,20220810T120000,Investors Business Daily,"Big tech continued to spend aggressively on building a cloud computing infrastructure during the June quarter, but don't expect that to persist, analysts say.",0.014607,Neutral,0.131284,Somewhat-Bearish,0,broad,
ORCL,"Microsoft Continues To Focus On Cost Cutting To Beat Inflation, Slowdown: Report",https://www.benzinga.com/news/22/08/28429663/microsoft-continue-to-focus-on-cost-cutting-to-beat-inflation-slowdown-report,20220810T110426,Benzinga,"Microsoft Corp MSFT asked teams across the company to rein in some employee expenses, the Wall Street Journal reports. Managers have told staff regarding various cutbacks to the company's budget. Microsoft also targeted some spending on business travel, outside training, and company gatherings.",0.054577,Neutral,0.140896,Neutral,0,focused,AI
ORCL,"We see tremendous opportunity for cloud in India, the market is growing fast, says Oracle India chief | The Financial Express",https://www.financialexpress.com/industry/we-see-tremendous-opportunity-for-cloud-in-india-the-market-is-growing-fast-says-oracle-india-chief/2623960/,20220809T230000,The Financial Express,"We see tremendous opportunity for cloud in India, the market is growing fast, says Oracle India chief The Financial Express ...",0.182381,Somewhat-Bullish,0.049221,Neutral,0,broad,
ORCL,"The Customer Engagement Solution Market Is Expected To Grow At A 12% Rate, Driven By The High Penetration Of The Internet As Per The Business Research Company's Customer Engagement Solution Global Market Report 2022",https://www.benzinga.com/pressreleases/22/08/g28421088/the-customer-engagement-solution-market-is-expected-to-grow-at-a-12-rate-driven-by-the-high-penetr,20220809T153000,Benzinga,"LONDON, Aug. 09, 2022 ( GLOBE NEWSWIRE ) -- According to The Business Research Company's research report on the customer engagement solution market, the high penetration of the internet is expected to propel the growth of the customer engagement solutions market going forward.",0.380616,Bullish,0.032736,Somewhat-Bullish,0,broad,
ORCL,A 48% Dividend Yield! What's the Catch?,https://www.fool.com/investing/2022/08/09/a-48-dividend-yield-whats-the-catch/,20220809T143000,Motley Fool,"You've got investing questions, we've got answers.",0.204212,Somewhat-Bullish,0.007942,Neutral,0,broad,
ORCL,Stadium Goers Root for High-Tech Outings,https://www.benzinga.com/pressreleases/22/08/n28414605/stadium-goers-root-for-high-tech-outings,20220809T114500,Benzinga,New Oracle survey shows fans want tech to cut waits and boost interactions with favorite teams and artists Many fans draw the tech line at robot umpires and referees,0.273955,Somewhat-Bullish,0.492994,Bullish,0,focused,AI
ORCL,"With 7.3% CAGR, Project Portfolio Management Market Size worth USD 7.01 Billion in 2029",https://www.benzinga.com/pressreleases/22/08/g28414368/with-7-3-cagr-project-portfolio-management-market-size-worth-usd-7-01-billion-in-2029,20220809T113546,Benzinga,"Pune, India, Aug. 09, 2022 ( GLOBE NEWSWIRE ) -- The global Project Portfolio Management Market size was valued at USD 4.09 billion in 2021 and reached USD 4.29 billion in 2022. The market size is expected to touch USD 7.01 billion by 2029, exhibiting a CAGR of 7.3% during the forecast period.",0.317964,Somewhat-Bullish,0.053153,Neutral,0,broad,
ORCL,Oracle  ( ORCL )  Dips More Than Broader Markets: What You Should Know,https://www.zacks.com/stock/news/1965641/oracle-orcl-dips-more-than-broader-markets-what-you-should-know,20220808T220005,Zacks Commentary,"In the latest trading session, Oracle (ORCL) closed at $76.47, marking a -1.14% move from the previous day.",0.210658,Somewhat-Bullish,0.608634,Somewhat-Bullish,0,broad,
ORCL,Blockchain in FinTech Market Size To Reach USD 31.4 Billion By 2030 With 47.9% CAGR - Report by Market Research Future  ( MRFR ) ,https://www.benzinga.com/pressreleases/22/08/g28401758/blockchain-in-fintech-market-size-to-reach-usd-31-4-billion-by-2030-with-47-9-cagr-report-by-marke,20220808T170000,Benzinga,"New York, US, Aug. 08, 2022 ( GLOBE NEWSWIRE ) -- According to a comprehensive research report by Market Research Future ( MRFR ) , ""Blockchain in FinTech Market Analysis by Service Provider, Interaction Channel ( bank branch, mobile application ) , Organization Size, Application ( Payment, ...",0.25565,Somewhat-Bullish,0.026386,Neutral,0,focused,AI
ORCL,Retail Banking IT Spending Market to record USD 15.69 Bn growth -- Driven by the growing need for greater customer satisfaction,https://www.prnewswire.com/news-releases/retail-banking-it-spending-market-to-record-usd-15-69-bn-growth--driven-by-the-growing-need-for-greater-customer-satisfaction-301600764.html,20220808T142000,PR Newswire,"NEW YORK, Aug. 8, 2022 /PRNewswire/ -- The "" Retail Banking IT Spending Market by Type and Geography - Forecast and Analysis 2022-2026 "" report by Technavio expects the market size to grow by USD 15.69 billion between 2021 and 2026, expanding at a CAGR of 5.15% during the forecast period.",0.29746,Somewhat-Bullish,0.036812,Neutral,0,focused,AI
ORCL,Global Business Intelligence Market: 49% Businesses are Looking to Expand Business Intelligence Application,https://www.benzinga.com/pressreleases/22/08/g28398174/global-business-intelligence-market-49-businesses-are-looking-to-expand-business-intelligence-appl,20220808T140902,Benzinga,"Westford, USA, Aug. 08, 2022 ( GLOBE NEWSWIRE ) -- Business intelligence is one of the most popular and rapidly growing areas of information technology. This growth is being driven by a number of factors, including the need for organizations to make better decisions faster and the increasing ...",0.3425,Somewhat-Bullish,0.025845,Neutral,0,broad,
ORCL,"Global Distributed Cloud Market is Predicted to Grow at a CAGR of ~9% During 2022-2031; Increasing Adoption of Cloud Services, Rising Penetration of Smart Devices and Internet to Accelerate the Growth - Research Nester",https://www.benzinga.com/pressreleases/22/08/g28397659/global-distributed-cloud-market-is-predicted-to-grow-at-a-cagr-of-9-during-2022-2031-increasing-ad,20220808T134905,Benzinga,"New York, Aug. 08, 2022 ( GLOBE NEWSWIRE ) -- Research Nester has published a detailed market report on 'Global Distributed Cloud Market' for the forecast period, i.e. 2022 - 2031 which includes the following factors:",0.161007,Somewhat-Bullish,0.022018,Neutral,0,focused,"AI, smart"
ORCL,Mobile Point-of-Sale  ( mPOS )  Terminals Market to reach US$ 64.79 Billion by 2031: TMR Study,https://www.prnewswire.com/news-releases/mobile-point-of-sale-mpos-terminals-market-to-reach-us-64-79-billion-by-2031-tmr-study-301600935.html,20220808T013000,PR Newswire,• Rapid pace of adoption of products by SMEs and micro-merchants offers massive avenues to service providers in mobile point-of-sale ( mPOS ) terminals market. firms offering value-added and customized services to capture revenues • Product differentiation strategy to unlock new opportunities.,0.231454,Somewhat-Bullish,0.036532,Neutral,0,broad,
ORCL,Oracle lays off hundreds of employees,https://www.marketwatch.com/story/oracle-lays-off-hundreds-of-employees-11659731052,20220805T202400,MarketWatch,"Oracle Corp. laid off hundreds of employees this week as the business software provider prioritizes its healthcare IT services and cloud businesses, according to people familiar with the company's actions.",-0.152892,Somewhat-Bearish,0.827318,Bearish,0,focused,AI
ORCL,MSFT: 3 Active Stocks on Wall Street to Buy Right Now,https://stocknews.com/news/msft-siga-inrc-3-active-stocks-on-wall-street-to-buy-right-now/,20220805T155625,Stocknews.com,The Federal Reserve raised interest rates four times this year to reduce the surging inflation.,0.245013,Somewhat-Bullish,0.167128,Neutral,0,focused,AI
ORCL,Palantir Looks To Ramp Up Headcount By 25%: Report,https://www.benzinga.com/news/22/08/28377651/palantir-looks-to-ramp-up-headcount-by-25-report,20220805T151030,Benzinga,"Palantir Technologies Inc PLTR looks to boost its headcount by 25% by the end of the year to meet its ambitious sales targets, Bloomberg reports. Palantir has already hired or extended offers to 1,100 new employees so far this year. It aims to add another 300 before the end of the year.",0.179385,Somewhat-Bullish,0.170275,Neutral,0,focused,AI
ORCL,"Tesla Shareholder Meeting: Board Approves 3-For-1 Stock Split, Elon Musk Shares Cybertruck Update",https://www.benzinga.com/news/22/08/28368480/tesla-shareholder-meeting-approves-3-for-1-stock-split-approves-most-recommendations-elon-musk-chart,20220805T015432,Benzinga,"Tesla Inc TSLA held its annual shareholder meeting at its manufacturing facility in Austin, Texas on Thursday evening. Most of the 13 board recommendations were passed by shareholders, while CEO Elon Musk charted the electric vehicle maker's progress.",0.160414,Somewhat-Bullish,0.143415,Neutral,0,broad,
ORCL,Elon Musk Suggests Big Tesla Factory Expansion Plans,https://www.foxbusiness.com/markets/elon-musk-suggests-big-tesla-factory-expansion-plans,20220804T225723,Fox Business News,"Tesla Chief Executive Elon Musk said Thursday that the electric-vehicle maker, which is striving to sell 20 million vehicles annually, could ultimately build 10 or 12 factories. An announcement about Tesla's next factory location could come later this year, he said at Tesla's annual shareholder ...",-0.031256,Neutral,0.060694,Neutral,0,focused,AI
ORCL,Global Serverless Apps Market to Record ~23% CAGR during 2022-2031; Enterprise Adoption Targeting Serverless Architecture and Fast Expanding IT & Telecommunication Industry to Magnify Market Growth,https://www.benzinga.com/pressreleases/22/08/g28358129/global-serverless-apps-market-to-record-23-cagr-during-2022-2031-enterprise-adoption-targeting-ser,20220804T152322,Benzinga,"New York, Aug. 04, 2022 ( GLOBE NEWSWIRE ) -- Owing to benefits such as cost efficiency, scalability, quick data recovery, and overall enterprise agility, cloud data mobility is garnering attention which is expected to aid serverless apps adoption.",0.190789,Somewhat-Bullish,0.020812,Somewhat-Bullish,0,focused,AI
ORCL,Global MFTPaaS Market to Garner a CAGR of ~16% during 2022-2031; Growing Adoption of Cloud-Computing Technology and Need for Secure Data Transfer among Industries to Boost the Market Growth,https://www.benzinga.com/pressreleases/22/08/g28357417/global-mftpaas-market-to-garner-a-cagr-of-16-during-2022-2031-growing-adoption-of-cloud-computing-,20220804T145837,Benzinga,"New York, Aug. 04, 2022 ( GLOBE NEWSWIRE ) -- As per recent studies, the overall size of smartphone users in 2022 is expected to topple approximately 6.750 billion worldwide. which is roughly 84.47 percent of the world's population.",0.177056,Somewhat-Bullish,0.020562,Neutral,0,focused,smart
ORCL,Oracle Names WorkForce Software the Cloud HCM ISV Partner of the Year as Winner of the 2021 Oracle Cloud HCM HR Heroes Visionary Award,https://www.prnewswire.com/news-releases/oracle-names-workforce-software-the-cloud-hcm-isv-partner-of-the-year-as-winner-of-the-2021-oracle-cloud-hcm-hr-heroes-visionary-award-301599777.html,20220804T130000,PR Newswire,"WorkForce Software wins the Visionary Award for ISV Partner of the Year, an Oracle Cloud HCM HR Heroes Award, by changing the way customers benefit from greater automation, productivity, and efficiency through the use of cloud technology.",0.497215,Bullish,0.03478,Neutral,0,focused,automation
ORCL,Oracle Names WorkForce Software the Cloud HCM ISV Partner of the Year as Winner of the 2021 Oracle Cloud HCM HR Heroes Visionary Award,https://www.newswire.ca/news-releases/oracle-names-workforce-software-the-cloud-hcm-isv-partner-of-the-year-as-winner-of-the-2021-oracle-cloud-hcm-hr-heroes-visionary-award-856801566.html,20220804T130000,Canada Newswire,"WorkForce Software wins the Visionary Award for ISV Partner of the Year, an Oracle Cloud HCM HR Heroes Award, by changing the way customers benefit from greater automation, productivity, and efficiency through the use of cloud technology.",0.497215,Bullish,0.03478,Neutral,0,focused,automation
ORCL,"If You Invested $1000 In This Stock 15 Years Ago, You Would Have $3,800 Today",https://www.benzinga.com/news/earnings/22/08/28336430/if-you-invested-1000-in-this-stock-15-years-ago-you-would-have-3-800-today,20220803T165348,Benzinga,"Oracle ORCL has outperformed the market over the past 15 years by 2.19% on an annualized basis producing an average annual return of 9.4%. Currently, Oracle has a market capitalization of $203.47 billion.",0.171182,Somewhat-Bullish,0.570165,Somewhat-Bullish,0,broad,
ORCL,"AMD Beats on Q2 Earnings & Revenues, Provides Solid '22 View",https://www.zacks.com/stock/news/1963187/amd-beats-on-q2-earnings-revenues-provides-solid-22-view,20220803T155500,Zacks Commentary,"Advanced Micro Devices' (AMD) second-quarter 2022 results benefit from strong Ryzen, Radeon, and EPYC processor sales.",0.10711,Neutral,0.231332,Neutral,0,broad,
ORCL,"Big Tech Is the West's Surprise Weapon in Competition With Russia, China",https://www.wsj.com/articles/big-tech-is-the-wests-surprise-weapon-in-competition-with-russia-china-11659535233,20220803T140000,Wall Street Journal,"Amazon Web Services, Microsoft, Google and others face criticism at home over their influence in the marketplace and public square, but their role in Ukraine shows how they are becoming an asset in the West's rivalry with Russia and China.",-0.021522,Neutral,0.350564,Somewhat-Bearish,0,focused,AI
ORCL,Oil Companies And Startups Seem To Want A Slice Of The On-Demand Fuel Delivery Service Pie,https://www.benzinga.com/markets/penny-stocks/22/08/28328675/oil-companies-and-startups-seem-to-want-a-slice-of-the-on-demand-fuel-delivery-service-pie,20220803T131140,Benzinga,"The on-demand economy is estimated to soar to $335 billion by 2025, according to PricewaterhouseCoopers ( PWC ) Research. On-demand services have disrupted many industries, including travel, food delivery, transportation, healthcare, e-commerce and professional services, because of their ...",0.192042,Somewhat-Bullish,0.115232,Neutral,0,broad,
ORCL,"Companies cut jobs, freeze hiring to prepare for economic slowdown | The Financial Express",https://www.financialexpress.com/digital-currency/companies-cut-jobs-freeze-hiring-to-prepare-for-economic-slowdown/2616205/,20220803T112332,The Financial Express,"Companies cut jobs, freeze hiring to prepare for economic slowdown The Financial Express ...",-0.084702,Neutral,0.046724,Neutral,0,broad,
ORCL,Tesla Now Has In-House Software For Tracking Job Applicants: Report,https://www.benzinga.com/news/22/08/28325262/tesla-now-has-in-house-software-for-tracking-job-applicants-report,20220803T111432,Benzinga,"Tesla, Inc. TSLA has developed proprietary software to track job applicants, which could help the company cut down on its hiring costs, the Information reported, citing current and former employees involved in hiring. The move is part of Musk's efforts to reduce reliance on external software ...",-0.051372,Neutral,0.340915,Neutral,0,broad,
