ticker,title,url,time_published,source,summary,sentiment_score,sentiment_label,ticker_sentiment_score,ticker_sentiment_label,relevance_score,category,ai_keywords_found
PCOR,Is Procore Technologies Inc Gaining or Losing Market Support? - Procore Technologies  ( NYSE:PCOR ) ,https://www.benzinga.com/insights/short-sellers/25/10/48181922/is-procore-technologies-inc-gaining-or-losing-market-support,20251013T170058,Benzinga,"Procore Technologies Inc's ( NYSE:PCOR ) short interest as a percent of float has risen 13.16% since its last report. According to exchange reported data, there are now 11.73 million shares sold short, which is 12.04% of all regular shares that are available for trading.",0.278426,Somewhat-Bullish,0.320279,Somewhat-Bullish,0,focused,AI
PCOR,Procore Technologies  ( PCOR )  Surges 5.0%: Is This an Indication of Further Gains?,https://www.zacks.com/stock/news/2756649/procore-technologies-pcor-surges-50-is-this-an-indication-of-further-gains,20250924T184100,Zacks Commentary,Procore Technologies (PCOR) witnessed a jump in share price last session on above-average trading volume. The latest trend in earnings estimate revisions for the stock doesn't suggest further strength down the road.,0.299676,Somewhat-Bullish,0.644033,Bullish,0,focused,AI
PCOR,Procore  ( PCOR )  Q2 Revenue Jumps 14%,https://www.fool.com/data-news/2025/08/05/procore-pcor-q2-revenue-jumps-14/,20250805T173934,Motley Fool,"Procore Technologies ( NYSE:PCOR ) , a provider of cloud-based software for the construction industry, released its Q2 FY2025 results on July 31, 2025. The company reported GAAP revenue of $323.9 million, above the analyst estimate of $312.4 million.",0.133446,Neutral,0.145437,Neutral,0,broad,
PCOR,"This Alnylam Pharmaceuticals Analyst Is No Longer Bearish; Here Are Top 5 Upgrades For Monday - Alamo Group  ( NYSE:ALG ) , Apartment Inv & Mgmt  ( NYSE:AIV ) ",https://www.benzinga.com/news/25/08/46824006/this-alnylam-pharmaceuticals-analyst-is-no-longer-bearish-here-are-top-5-upgrades-for-monday,20250804T114010,Benzinga,"Top Wall Street analysts changed their outlook on these top names. For a complete view of all analyst rating changes, including upgrades, downgrades and initiations, please see our analyst ratings page. JP Morgan analyst Kenneth Worthington upgraded Federated Hermes, Inc.",0.380232,Bullish,0.115787,Somewhat-Bullish,0,focused,AI
PCOR,"This CyberArk Software Analyst Is No Longer Bullish; Here Are Top 5 Downgrades For Friday - Albany International  ( NYSE:AIN ) , Builders FirstSource  ( NYSE:BLDR ) ",https://www.benzinga.com/analyst-stock-ratings/downgrades/25/08/46792727/this-cyberark-software-analyst-is-no-longer-bullish-here-are-top-5-downgrades-fo,20250801T132646,Benzinga,"Top Wall Street analysts changed their outlook on these top names. For a complete view of all analyst rating changes, including upgrades, downgrades and initiations, please see our analyst ratings page. Baird analyst Shrenik Kothari downgraded the rating for CyberArk Software Ltd.",0.260123,Somewhat-Bullish,0.334762,Bullish,0,focused,AI
PCOR,Procore Technologies  ( PCOR )  Surpasses Q2 Earnings and Revenue Estimates,https://www.zacks.com/stock/news/2645856/procore-technologies-pcor-surpasses-q2-earnings-and-revenue-estimates,20250731T215502,Zacks Commentary,"Procore Technologies (PCOR) delivered earnings and revenue surprises of +45.83% and +4.00%, respectively, for the quarter ended June 2025. Do the numbers hold clues to what lies ahead for the stock?",0.157277,Somewhat-Bullish,0.397098,Neutral,0,broad,
PCOR,Arista Networks  ( ANET )  Earnings Expected to Grow: Should You Buy?,https://www.zacks.com/stock/news/2633835/arista-networks-anet-earnings-expected-to-grow-should-you-buy,20250729T140032,Zacks Commentary,Arista Networks (ANET) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,0.15854,Somewhat-Bullish,0.173958,Neutral,0,broad,
PCOR,Analysts Estimate Procore Technologies  ( PCOR )  to Report a Decline in Earnings: What to Look Out for,https://www.zacks.com/stock/news/2612531/analysts-estimate-procore-technologies-pcor-to-report-a-decline-in-earnings-what-to-look-out-for,20250724T140034,Zacks Commentary,Procore Technologies (PCOR) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,0.116844,Neutral,0.258808,Neutral,0,broad,
PCOR,"ECGI's Uplist Ventures Accepted to TCA, Unlocking Access to Elite Startup Ecosystem - ECGI Holdings  ( OTC:ECGI ) ",https://www.benzinga.com/pressreleases/25/07/g46550836/ecgis-uplist-ventures-accepted-to-tca-unlocking-access-to-elite-startup-ecosystem,20250722T160029,Benzinga,"IRVINE, Calif., July 22, 2025 ( GLOBE NEWSWIRE ) -- via IBN -- ECGI Holdings Inc. ( OTC: ECGI ) , a diversified holding company focused on innovation and growth, today announced that its investment arm, Uplist Ventures, was accepted as an affiliate member of TCA Venture Group ( formerly Tech ...",0.348026,Somewhat-Bullish,0.066414,Neutral,0,broad,
PCOR,"ECGI's Uplist Ventures Accepted to TCA, Unlocking Access to Elite Startup Ecosystem",https://www.globenewswire.com/news-release/2025/07/22/3119716/0/en/ECGI-s-Uplist-Ventures-Accepted-to-TCA-Unlocking-Access-to-Elite-Startup-Ecosystem.html,20250722T160000,GlobeNewswire,"IRVINE, Calif., July 22, 2025 ( GLOBE NEWSWIRE ) -- via IBN -- ECGI Holdings Inc. ( OTC: ECGI ) , a diversified holding company focused on innovation and growth, today announced that its investment arm, Uplist Ventures, was accepted as an affiliate member of TCA Venture Group ( formerly Tech ...",0.365953,Bullish,0.074692,Neutral,0,broad,
