ticker,title,url,time_published,source,summary,sentiment_score,sentiment_label,ticker_sentiment_score,ticker_sentiment_label,relevance_score,category,ai_keywords_found
PEGA,ServiceNow Drops 16% Year to Date: Should You Still Buy the Stock?,https://www.zacks.com/stock/news/2767750/servicenow-drops-16-year-to-date-should-you-still-buy-the-stock,20251013T182400,Zacks Commentary,"NOW's workflow momentum, AI-driven partnerships and upbeat earnings outlook could offset the stock's steep YTD decline.",0.339254,Somewhat-Bullish,0.158,Neutral,0,focused,AI
PEGA,Can Blackbaud's AI Innovation Drive Growth Amid Rising Competition?,https://www.zacks.com/stock/news/2760786/can-blackbauds-ai-innovation-drive-growth-amid-rising-competition,20251002T134500,Zacks Commentary,"BLKB drives growth with AI-powered fundraising, CSR tools and raised 2025 guidance amid rising competition.",0.323907,Somewhat-Bullish,0.223659,Neutral,0,focused,AI
PEGA,NOW's New Zurich Release to Boost AI Adoption: A Sign of More Upside?,https://www.zacks.com/stock/news/2753635/nows-new-zurich-release-to-boost-ai-adoption-a-sign-of-more-upside,20250918T171300,Zacks Commentary,"ServiceNow boosts guidance as the Zurich platform drives AI-powered workflows, million-dollar deals and rising subscription revenue.",0.373442,Bullish,0.173749,Somewhat-Bullish,0,focused,AI
PEGA,3 Artificial Intelligence ETFs to Buy With $100 and Hold Forever,https://www.fool.com/investing/2025/09/11/artificial-intelligence-etfs-buy-100-and-hold/,20250911T083500,Motley Fool,"If you want exposure to the AI boom without the hassle of picking individual stocks, these three AI-focused ETFs offer diversified, long-term opportunities.",0.33094,Somewhat-Bullish,0.053509,Somewhat-Bullish,0,focused,"artificial intelligence, AI"
PEGA,Can ServiceNow's Expanding Federal Footprint Push the Share Higher?,https://www.zacks.com/stock/news/2748078/can-servicenows-expanding-federal-footprint-push-the-share-higher,20250908T163400,Zacks Commentary,NOW expands with a GSA deal offering federal agencies up to 70% discounts as workflow adoption drives subscription growth.,0.320066,Somewhat-Bullish,0.13409,Neutral,0,broad,
PEGA,Can Rising Workflow Adoption Push ServiceNow Shares Higher?,https://www.zacks.com/stock/news/2745060/can-rising-workflow-adoption-push-servicenow-shares-higher,20250829T155300,Zacks Commentary,NOW lifts 2025 subscription revenue outlook as workflow traction fuels $3.1B Q2 sales and stronger enterprise adoption.,0.343538,Somewhat-Bullish,0.188683,Somewhat-Bullish,0,broad,
PEGA,ADBE vs. PEGA: Which Enterprise Software Stock is a Better Buy Now?,https://www.zacks.com/stock/news/2742462/adbe-vs-pega-which-enterprise-software-stock-is-a-better-buy-now,20250825T180400,Zacks Commentary,Adobe's AI-powered tools and growing Digital Media ARR position it more strongly than Pegasystems despite stiff competition.,0.347482,Somewhat-Bullish,0.488217,Bullish,0,focused,AI
PEGA,PEGA's Cloud Backlog Climbs: A Sign of Strong Revenue Visibility?,https://www.zacks.com/stock/news/2741777/pegas-cloud-backlog-climbs-a-sign-of-strong-revenue-visibility,20250822T161300,Zacks Commentary,"Pegasystems' cloud backlog gains 30% to $1.32B in Q2 2025, boosting revenue visibility and underscoring strong demand for its AI-powered solutions.",0.365243,Bullish,0.555653,Bullish,0,focused,AI
PEGA,Are You a Growth Investor? This 1 Stock Could Be the Perfect Pick,https://www.zacks.com/stock/news/2741482/are-you-a-growth-investor-this-1-stock-could-be-the-perfect-pick,20250822T134503,Zacks Commentary,The Zacks Style Scores offers investors a way to easily find top-rated stocks based on their investing style. Here's why you should take advantage.,0.461626,Bullish,0.353562,Bullish,0,broad,
PEGA,Do Options Traders Know Something About Pegasystems Stock We Don't?,https://www.zacks.com/stock/news/2741298/do-options-traders-know-something-about-pegasystems-stock-we-dont,20250822T122300,Zacks Commentary,Investors need to pay close attention to PEGA stock based on the movements in the options market lately.,0.087941,Neutral,0.565345,Neutral,0,broad,
