ticker,title,url,time_published,source,summary,sentiment_score,sentiment_label,ticker_sentiment_score,ticker_sentiment_label,relevance_score,category,ai_keywords_found
PRO,"SHAREHOLDER RIGHTS ALERT: Halper Sadeh LLC Investigates PINC, ODP, PRO, MRUS on Behalf of Shareholders - ODP  ( NASDAQ:ODP ) , Merus  ( NASDAQ:MRUS ) ",https://www.benzinga.com/pressreleases/25/10/g48139132/shareholder-rights-alert-halper-sadeh-llc-investigates-pinc-odp-pro-mrus-on-behalf-of-shareholders,20251009T220731,Benzinga,"NEW YORK, Oct. 09, 2025 ( GLOBE NEWSWIRE ) -- Halper Sadeh LLC, an investor rights law firm, is investigating the following companies for potential violations of the federal securities laws and/or breaches of fiduciary duties to shareholders relating to:",0.16357,Somewhat-Bullish,0.112008,Somewhat-Bullish,0,broad,
PRO,"$HAREHOLDER ALERT: The M&A Class Action Firm Launches Legal Inquiry for the Merger - PINC, ODP, PRO, and MRUS",https://www.benzinga.com/pressreleases/25/10/g48138738/hareholder-alert-the-m-a-class-action-firm-launches-legal-inquiry-for-the-merger-pinc-odp-pro-and-,20251009T213000,Benzinga,"NEW YORK, Oct. 09, 2025 ( GLOBE NEWSWIRE ) -- Class Action Attorney Juan Monteverde with Monteverde & Associates PC ( the ""M&A Class Action Firm"" ) , has recovered millions of dollars for shareholders and is recognized as a Top 50 Firm in the 2024 ISS Securities Class Action Services Report.",0.227758,Somewhat-Bullish,0.272788,Somewhat-Bullish,0,broad,
PRO,"Deal Dispatch: This Week's Major Auctions Include Stellantis, Snyk - Mr. Cooper Gr  ( NASDAQ:COOP ) , Axcelis Technologies  ( NASDAQ:ACLS ) ",https://www.benzinga.com/m-a/25/10/48027764/deal-dispatch-from-stellantis-to-snyk-major-companies-consider-exits,20251003T200454,Benzinga,"The pitch of turning car-sharing into a profitable business was loud in the early 2000s. Companies like Zipcar were taking off. Since then, they began to resemble a flat tire. Take, for example, Free2move. It wasn't a profitable venture for owner Stellantis. As a result, it's being shopped to ...",0.10865,Neutral,0.050572,Somewhat-Bullish,0,broad,
PRO,"SHAREHOLDER INVESTIGATION: Halper Sadeh LLC Investigates ODP, PRO, SMLR on Behalf of Shareholders - ODP  ( NASDAQ:ODP ) , Pros Holdings  ( NYSE:PRO ) ",https://www.benzinga.com/pressreleases/25/10/g47964563/shareholder-investigation-halper-sadeh-llc-investigates-odp-pro-smlr-on-behalf-of-shareholders,20251001T113636,Benzinga,"NEW YORK, Oct. 01, 2025 ( GLOBE NEWSWIRE ) -- Halper Sadeh LLC, an investor rights law firm, is investigating the following companies for potential violations of the federal securities laws and/or breaches of fiduciary duties to shareholders relating to:",0.138091,Neutral,0.11983,Somewhat-Bullish,0,focused,ML
PRO,"SHAREHOLDER INVESTIGATION: Halper Sadeh LLC Investigates PINC, ODP, PRO on Behalf of Shareholders - ODP  ( NASDAQ:ODP ) , Premier  ( NASDAQ:PINC ) ",https://www.benzinga.com/pressreleases/25/09/g47832311/shareholder-investigation-halper-sadeh-llc-investigates-pinc-odp-pro-on-behalf-of-shareholders,20250923T221920,Benzinga,"NEW YORK, Sept. 23, 2025 ( GLOBE NEWSWIRE ) -- Halper Sadeh LLC, an investor rights law firm, is investigating the following companies for potential violations of the federal securities laws and/or breaches of fiduciary duties to shareholders relating to: Premier, Inc.",0.166484,Somewhat-Bullish,0.123526,Somewhat-Bullish,0,broad,
PRO,"SHAREHOLDER INVESTIGATION: Halper Sadeh LLC Investigates PINC, HOUS, PRO on Behalf of Shareholders - Anywhere Real Estate  ( NYSE:HOUS ) , Premier  ( NASDAQ:PINC ) ",https://www.benzinga.com/pressreleases/25/09/g47823339/shareholder-investigation-halper-sadeh-llc-investigates-pinc-hous-pro-on-behalf-of-shareholders,20250923T160303,Benzinga,"NEW YORK, Sept. 23, 2025 ( GLOBE NEWSWIRE ) -- Halper Sadeh LLC, an investor rights law firm, is investigating the following companies for potential violations of the federal securities laws and/or breaches of fiduciary duties to shareholders relating to: Premier, Inc.",0.170818,Somewhat-Bullish,0.113062,Somewhat-Bullish,0,broad,
PRO,"SHAREHOLDER INVESTIGATION: Halper Sadeh LLC Investigates WOW, PRO, TRML, PGRE on Behalf of Shareholders - Pros Holdings  ( NYSE:PRO ) , Paramount Group  ( NYSE:PGRE ) ",https://www.benzinga.com/pressreleases/25/09/g47799040/shareholder-investigation-halper-sadeh-llc-investigates-wow-pro-trml-pgre-on-behalf-of-shareholder,20250922T171018,Benzinga,"NEW YORK, Sept. 22, 2025 ( GLOBE NEWSWIRE ) -- Halper Sadeh LLC, an investor rights law firm, is investigating the following companies for potential violations of the federal securities laws and/or breaches of fiduciary duties to shareholders relating to: WideOpenWest, Inc.",0.147384,Neutral,0.112532,Somewhat-Bullish,0,focused,ML
PRO,"BRODSKY & SMITH SHAREHOLDER UPDATE: Notifying Investors of the Following Investigations: PROS Holdings, Inc.  ( NYSE - PROS ) , Paramount Group, Inc.  ( NYSE - PGRE ) , Tourmaline Bio, Inc.  ( Nasdaq - TRML ) , WideOpenWest, Inc.  ( NYSE - WOW ) ",https://www.benzinga.com/pressreleases/25/09/g47791951/brodsky-smith-shareholder-update-notifying-investors-of-the-following-investigations-pros-holdings,20250922T152812,Benzinga,"BALA CYNWYD, Pa., Sept. 22, 2025 ( GLOBE NEWSWIRE ) -- Brodsky & Smith reminds investors of the following investigations. If you own shares and wish to discuss the investigation, contact Jason Brodsky ( jbrodsky@brodskysmith.com ) or Marc Ackerman ( mackerman@brodskysmith.com ) at 855-576-4847.",0.215614,Somewhat-Bullish,0.345674,Bullish,0,focused,ML
PRO,"PROS Holdings, MBX Biosciences, Metsera, Anywhere Real Estate And Other Big Stocks Moving Higher On Monday - Diginex  ( NASDAQ:DGNX ) , Banco BBVA Argentina  ( NYSE:BBAR ) ",https://www.benzinga.com/trading-ideas/movers/25/09/47789590/pros-holdings-mbx-biosciences-metsera-anywhere-real-estate-and-other-big-stocks-moving-highe,20250922T142905,Benzinga,"U.S. stocks were mixed, with the Dow Jones index falling more than 100 points on Monday. Shares of PROS Holdings, Inc. PRO rose sharply during Monday's session after the company announced it will be acquired by Thoma Bravo. PROS Holdings shares jumped 40% to $22.97 on Monday.",0.296691,Somewhat-Bullish,0.283323,Somewhat-Bullish,0,broad,
PRO,"Kosmos Energy Posts Downbeat Q2 Results, Joins HilleVax And Other Big Stocks Moving Lower In Monday's Pre-Market Session - HilleVax  ( NASDAQ:HLVX ) , Kosmos Energy  ( NYSE:KOS ) ",https://www.benzinga.com/trading-ideas/movers/25/08/46825101/kosmos-energy-posts-downbeat-q2-results-joins-hillevax-and-other-big-stocks-moving-lower-in-,20250804T123342,Benzinga,"U.S. stock futures were higher this morning, with the Dow futures gaining more than 200 points on Monday. Shares of Kosmos Energy Ltd. KOS fell sharply in pre-market trading after the company reported worse-than-expected second-quarter results.",-0.034371,Neutral,0.25168,Bearish,0,focused,AI
PRO,PROS  ( PRO )  Q2 EPS Jumps 86 Revenue Up 8%,https://www.fool.com/data-news/2025/08/01/pros-pro-q2-eps-jumps-86-revenue-up-8/,20250801T215431,Motley Fool,"PROS Holdings ( NYSE:PRO ) , a provider of artificial intelligence-powered pricing and revenue optimization software for global enterprises, reported results for Q2 2025 on July 31, 2025 that surpassed Wall Street estimates both on revenue and earnings.",0.266414,Somewhat-Bullish,0.265089,Somewhat-Bullish,0,focused,artificial intelligence
PRO,Pros Holdings  ( PRO )  Beats Q2 Earnings and Revenue Estimates,https://www.zacks.com/stock/news/2645908/pros-holdings-pro-beats-q2-earnings-and-revenue-estimates,20250731T220502,Zacks Commentary,"Pros Holdings (PRO) delivered earnings and revenue surprises of +85.71% and +1.16%, respectively, for the quarter ended June 2025. Do the numbers hold clues to what lies ahead for the stock?",0.143757,Neutral,0.397098,Neutral,0,broad,
