ticker,title,url,time_published,source,summary,sentiment_score,sentiment_label,ticker_sentiment_score,ticker_sentiment_label,relevance_score,category,ai_keywords_found
PSTG,"Pure Storage Stock Climbs On Q4 Results, Upbeat Guidance - Pure Storage  ( NYSE:PSTG ) ",https://www.benzinga.com/news/earnings/24/02/37400382/pure-storage-stock-climbs-on-q4-results-upbeat-guidance,20240229T171938,Benzinga,"Pure Storage, Inc. PSTG shares are trading higher Thursday after the company posted better-than-expected fourth-quarter results and issued first-quarter revenue guidance above estimates. The company reported quarterly adjusted earnings of 50 cents, beating the consensus estimate of 44 cents.",0.249564,Somewhat-Bullish,0.561184,Bullish,0,broad,
PSTG,"Hormel Foods Reports Upbeat Earnings, Joins Pure Storage, Okta, Papa John's International And Other Big Stocks Moving Higher On Thursday - Hormel Foods  ( NYSE:HRL ) , Pure Storage  ( NYSE:PSTG ) , Papa John's International  ( NASDAQ:PZZA ) , Okta  ( NASDAQ:OKTA ) ",https://www.benzinga.com/news/24/02/37398985/hormel-foods-reports-upbeat-earnings-joins-pure-storage-okta-papa-johns-international-and-other-big,20240229T163035,Benzinga,"U.S. stocks were higher, with the Nasdaq Composite gaining around 50 points on Thursday. Shares of Hormel Foods Corporation HRL rose sharply during Thursday's session after the company reported better-than-expected first-quarter earnings and reaffirmed FY24 outlook.",0.471041,Bullish,0.169081,Somewhat-Bullish,0,focused,AI
PSTG,Indexes Mostly Up After No-Surprise Inflation Data; AI Stock Soars On Earnings As Boeing Falls And FAA Zooms In On Alaska Airlines Accident,https://www.investors.com/market-trend/stock-market-today/dow-jones-sp500-nasdaq-inflation-data-ai-stock-boeing-stock/,20240229T161600,Investors Business Daily,Indexes Mostly Up After No-Surprise Inflation Data. AI Stock Soars On Earnings As Boeing Falls And FAA Zooms In On ... Investor's Business Daily ...,0.021852,Neutral,0.109206,Somewhat-Bullish,0,focused,AI
PSTG,NVIDIA To Rally Around 27%? Here Are 10 Top Analyst Forecasts For Thursday - NVIDIA  ( NASDAQ:NVDA ) ,https://www.benzinga.com/news/24/02/37390717/nvidia-to-rally-around-27-here-are-10-top-analyst-forecasts-for-thursday,20240229T154033,Benzinga,"Top Wall Street analysts changed their outlook on these top names. For a complete view of all analyst rating changes, including upgrades and downgrades, please see our analyst ratings page. Tigress Financial boosted the price target for NVIDIA Corporation NVDA from $790 to $985.",0.133642,Neutral,0.249531,Somewhat-Bullish,0,broad,
PSTG,Pure Storage  ( PSTG )  Q4 Earnings & Revenues Surpass Estimates,https://www.zacks.com/stock/news/2233612/pure-storage-pstg-q4-earnings-revenues-surpass-estimates,20240229T115600,Zacks Commentary,Pure Storage's (PSTG) fiscal fourth-quarter performance benefits from strong uptake of subscription-based offerings.,0.151407,Somewhat-Bullish,0.452295,Somewhat-Bullish,0,broad,
PSTG,Pure Storage  ( PSTG )  Q4 Earnings and Revenues Beat Estimates,https://www.zacks.com/stock/news/2233400/pure-storage-pstg-q4-earnings-and-revenues-beat-estimates,20240228T222005,Zacks Commentary,"Pure Storage (PSTG) delivered earnings and revenue surprises of 11.11% and 0.97%, respectively, for the quarter ended January 2024. Do the numbers hold clues to what lies ahead for the stock?",0.179744,Somewhat-Bullish,0.397098,Somewhat-Bullish,0,broad,
PSTG,"Futures Fall As Dow Giant Skids, Big Software Play Dives",https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-salesforce-slides-snowflake-dives-fed-inflation-gauge-due/,20240228T220800,Investors Business Daily,"Dow Jones Futures Fall As Salesforce Slides, Snowflake Dives. Fed Inflation Gauge On Tap Investor's Business Daily ...",0.039082,Neutral,0.155652,Neutral,0,focused,AI
PSTG,"Pure Storage Jumps On Better-Than-Expected Q4 Earnings, Sales",https://www.investors.com/news/technology/pure-storage-stock-rises-after-better-than-expected-q4-earnings-sales/,20240228T214900,Investors Business Daily,Pure Storage stock got a boost in late Wednesday trading after the enterprise data storage company reported fourth-quarter earnings and sales that exceeded expectations. The company also gave a better-than-expected sales forecast.,0.270429,Somewhat-Bullish,0.873432,Bullish,0,broad,
PSTG,Pure Storage Announces Fiscal Fourth Quarter and Full Year 2024 Financial Results,https://www.prnewswire.com/news-releases/pure-storage-announces-fiscal-fourth-quarter-and-full-year-2024-financial-results-302074647.html,20240228T210500,PR Newswire,"SANTA CLARA, Calif., Feb. 28, 2024 /PRNewswire/ -- Today Pure Storage ( NYSE: PSTG ) , the IT pioneer that delivers the world's most advanced data storage technology and services, announced financial results for its fiscal fourth quarter and full year 2024 ended February 4, 2024.",0.225691,Somewhat-Bullish,0.290115,Somewhat-Bullish,0,broad,
PSTG,Are You a Growth Investor? This 1 Stock Could Be the Perfect Pick,https://www.zacks.com/stock/news/2232468/are-you-a-growth-investor-this-1-stock-could-be-the-perfect-pick,20240227T144511,Zacks Commentary,The Zacks Style Scores offers investors a way to easily find top-rated stocks based on their investing style. Here's why you should take advantage.,0.445637,Bullish,0.56217,Bullish,0,broad,
