ticker,title,url,time_published,source,summary,sentiment_score,sentiment_label,ticker_sentiment_score,ticker_sentiment_label,relevance_score,category,ai_keywords_found
WRD,"Chinese robotaxi firms Pony.ai, WeRide on road to Hong Kong IPOs",https://www.scmp.com/business/banking-finance/article/3329012/chinese-robotaxi-firms-ponyai-weride-road-hong-kong-ipos-after-regulator-nod,20251014T130800,South China Morning Post,"Pony.ai and WeRide, two leading robotaxi operators in mainland China, have taken their first steps towards share offerings on the Hong Kong stock exchange by filing fundraising plans with the securities regulator. They will join a clutch of mainland companies seeking to tap global investors' ...",0.190719,Somewhat-Bullish,0.211191,Somewhat-Bullish,0,focused,AI
WRD,Grab Up 62% in 6 Months: Is the Stock Still Worth Betting On?,https://www.zacks.com/stock/news/2761576/grab-up-62-in-6-months-is-the-stock-still-worth-betting-on,20251003T140800,Zacks Commentary,"Grab's 62% rally in six months, rising GMV, fintech growth and bold AV bets fuel optimism despite premium valuation.",0.430513,Bullish,0.274834,Somewhat-Bullish,0,broad,
WRD,Why Is WeRide Stock Gaining Thursday? - WeRide  ( NASDAQ:WRD ) ,https://www.benzinga.com/markets/tech/25/10/47989635/ras-al-khaimah-gets-its-first-self-driving-buses-and-taxis-thanks-to-weride,20251002T104919,Benzinga,"WeRide ( NASDAQ:WRD ) stock gained on Thursday as it launched its Robotaxi GXR and Robobus pilot services in partnership with the Ras Al Khaimah Transport Authority ( RAKTA ) , marking its first deployment in the emirate and expansion into its third UAE market.",0.268374,Somewhat-Bullish,0.454714,Bullish,0,focused,AI
WRD,"WeRide Launches Robotaxi and Robobus Pilots in Ras Al Khaimah, Expanding Into Third UAE Emirate",https://markets.businessinsider.com/news/stocks/weride-launches-robotaxi-and-robobus-pilots-in-ras-al-khaimah-expanding-into-third-uae-emirate-1035246222,20251002T090000,Business Insider,"RAS AL KHAIMAH, United Arab Emirates, Oct. 02, 2025 ( GLOBE NEWSWIRE ) -- WeRide ( Nasdaq: WRD ) , a global leader in autonomous driving technology, today announced the launch of Robotaxi GXR and Robobus pilot operations in partnership with the Ras Al Khaimah Transport Authority ( RAKTA ) .",0.292583,Somewhat-Bullish,0.5174,Bullish,0,focused,"AI, autonomous"
WRD,"WeRide Launches Robotaxi and Robobus Pilots in Ras Al Khaimah, Expanding Into Third UAE Emirate",https://www.globenewswire.com/news-release/2025/10/02/3160172/0/en/WeRide-Launches-Robotaxi-and-Robobus-Pilots-in-Ras-Al-Khaimah-Expanding-Into-Third-UAE-Emirate.html,20251002T090000,GlobeNewswire,WeRide today announced the launch of Robotaxi GXR and Robobus pilot operations in partnership with the Ras Al Khaimah Transport Authority.,0.247814,Somewhat-Bullish,0.483434,Somewhat-Bullish,0,focused,AI
WRD,"WeRide Launches Robotaxi and Robobus Pilots in Ras Al Khaimah, Expanding Into Third UAE Emirate - WeRide  ( NASDAQ:WRD ) ",https://www.benzinga.com/pressreleases/25/10/g47988313/weride-launches-robotaxi-and-robobus-pilots-in-ras-al-khaimah-expanding-into-third-uae-emirate,20251002T090000,Benzinga,"RAS AL KHAIMAH, United Arab Emirates, Oct. 02, 2025 ( GLOBE NEWSWIRE ) -- WeRide ( NASDAQ:WRD ) , a global leader in autonomous driving technology, today announced the launch of Robotaxi GXR and Robobus pilot operations in partnership with the Ras Al Khaimah Transport Authority ( RAKTA ) .",0.241072,Somewhat-Bullish,0.47452,Somewhat-Bullish,0,focused,"AI, autonomous"
WRD,Pony AI Enters the Singapore Market With Robotaxi Services,https://www.zacks.com/stock/news/2759556/pony-ai-enters-the-singapore-market-with-robotaxi-services,20250930T133000,Zacks Commentary,"PONY expands into Singapore with ComfortDelGro to launch robotaxi services, boosting AV adoption in Singapore's transport system.",0.157528,Somewhat-Bullish,0.474958,Neutral,0,focused,AI
WRD,Nvidia Has Invested in These 6 Companies. Should You Follow Suit?,https://www.fool.com/investing/2025/09/29/nvidia-has-invested-in-these-6-companies-should-yo/,20250929T130200,Motley Fool,The world's most valuable company holds stakes in a number of smaller tech players.,0.152841,Somewhat-Bullish,0.129516,Neutral,0,broad,
WRD,"Baidu's Apollo Go Targets Global Growth To Compete With Waymo, Tesla - Baidu  ( NASDAQ:BIDU ) ",https://www.benzinga.com/markets/tech/25/09/47892997/baidus-apollo-go-targets-global-growth-to-compete-with-waymo-tesla,20250926T151625,Benzinga,"Baidu ( NASDAQ: BIDU ) is pushing its Apollo Go robotaxi business into new markets, including Australia, as the service reaches operational profitability in several Chinese cities. BIDU is feeling the pressure from bearish momentum. Get the scoop here.",0.120372,Neutral,0.241284,Somewhat-Bullish,0,focused,AI
WRD,WeRide Accelerates Abroad With Dubai Robotaxi Win - WeRide  ( NASDAQ:WRD ) ,https://www.benzinga.com/markets/equities/25/09/47892207/weride-accelerates-abroad-dubai-robotaxi-win,20250926T145804,Benzinga,"Shares of China-based autonomous driving company WeRide Inc. ( NASDAQ: WRD ) fell Friday after Beijing announced exporters of pure electric passenger vehicles will need licenses starting Jan. 1, 2026.",0.096424,Neutral,0.804667,Somewhat-Bullish,0,focused,"AI, autonomous"
