ticker,filing_type,filing_date,accession_number,filing_url,ai_mentions_count,ai_keywords_found,ai_context_snippets,filing_title,status
ADBE,10-Q,2025-09-24,0000796343-25-000107,https://www.sec.gov/Archives/edgar/data/0000796343/000079634325000107/adbe-20250829.htm,0,,,10-Q - 2025-09-24,metadata_only
ADBE,8-K,2025-09-11,0000796343-25-000102,https://www.sec.gov/Archives/edgar/data/0000796343/000079634325000102/adbe-20250911.htm,0,,,8-K - 2025-09-11,metadata_only
ADBE,10-Q,2025-06-25,0000796343-25-000073,https://www.sec.gov/Archives/edgar/data/0000796343/000079634325000073/adbe-20250530.htm,0,,,10-Q - 2025-06-25,metadata_only
ADBE,8-K,2025-06-12,0000796343-25-000064,https://www.sec.gov/Archives/edgar/data/0000796343/000079634325000064/adbe-20250612.htm,0,,,8-K - 2025-06-12,metadata_only
ADBE,8-K,2025-04-24,0001628280-25-019665,https://www.sec.gov/Archives/edgar/data/0001628280/000162828025019665/adbe-20250422.htm,0,,,8-K - 2025-04-24,metadata_only
ADBE,10-Q,2025-03-26,0000796343-25-000059,https://www.sec.gov/Archives/edgar/data/0000796343/000079634325000059/adbe-20250228.htm,0,,,10-Q - 2025-03-26,metadata_only
ADBE,8-K,2025-03-12,0000796343-25-000052,https://www.sec.gov/Archives/edgar/data/0000796343/000079634325000052/adbe-20250312.htm,0,,,8-K - 2025-03-12,metadata_only
ADBE,DEF 14A,2025-02-28,0000796343-25-000048,https://www.sec.gov/Archives/edgar/data/0000796343/000079634325000048/adbe-20250227.htm,0,,,DEF 14A - 2025-02-28,metadata_only
ADBE,8-K,2025-01-30,0000796343-25-000036,https://www.sec.gov/Archives/edgar/data/0000796343/000079634325000036/adbe-20250124.htm,0,,,8-K - 2025-01-30,metadata_only
ADBE,8-K,2025-01-17,0001193125-25-008409,https://www.sec.gov/Archives/edgar/data/0001193125/000119312525008409/d856773d8k.htm,0,,,8-K - 2025-01-17,metadata_only
ADBE,10-K,2025-01-13,0000796343-25-000004,https://www.sec.gov/Archives/edgar/data/0000796343/000079634325000004/adbe-20241129.htm,0,,,10-K - 2025-01-13,metadata_only
ADBE,8-K,2024-12-11,0000796343-24-000250,https://www.sec.gov/Archives/edgar/data/0000796343/000079634324000250/adbe-20241211.htm,0,,,8-K - 2024-12-11,metadata_only
ADBE,10-Q,2024-09-25,0000796343-24-000208,https://www.sec.gov/Archives/edgar/data/0000796343/000079634324000208/adbe-20240830.htm,0,,,10-Q - 2024-09-25,metadata_only
ADBE,8-K,2024-09-12,0000796343-24-000200,https://www.sec.gov/Archives/edgar/data/0000796343/000079634324000200/adbe-20240912.htm,0,,,8-K - 2024-09-12,metadata_only
ADBE,8-K,2024-08-08,0000796343-24-000192,https://www.sec.gov/Archives/edgar/data/0000796343/000079634324000192/adbe-20240805.htm,0,,,8-K - 2024-08-08,metadata_only
ADBE,8-K,2024-07-18,0000796343-24-000173,https://www.sec.gov/Archives/edgar/data/0000796343/000079634324000173/adbe-20240712.htm,0,,,8-K - 2024-07-18,metadata_only
ADBE,10-Q,2024-06-26,0000796343-24-000150,https://www.sec.gov/Archives/edgar/data/0000796343/000079634324000150/adbe-20240531.htm,0,,,10-Q - 2024-06-26,metadata_only
ADBE,8-K,2024-06-13,0000796343-24-000140,https://www.sec.gov/Archives/edgar/data/0000796343/000079634324000140/adbe-20240613.htm,0,,,8-K - 2024-06-13,metadata_only
ADBE,8-K,2024-04-19,0000796343-24-000086,https://www.sec.gov/Archives/edgar/data/0000796343/000079634324000086/adbe-20240417.htm,0,,,8-K - 2024-04-19,metadata_only
ADBE,8-K,2024-04-04,0001193125-24-087244,https://www.sec.gov/Archives/edgar/data/0001193125/000119312524087244/d771427d8k.htm,0,,,8-K - 2024-04-04,metadata_only
ADBE,10-Q,2024-03-27,0000796343-24-000065,https://www.sec.gov/Archives/edgar/data/0000796343/000079634324000065/adbe-20240301.htm,0,,,10-Q - 2024-03-27,metadata_only
ADBE,8-K,2024-03-14,0000796343-24-000057,https://www.sec.gov/Archives/edgar/data/0000796343/000079634324000057/adbe-20240314.htm,0,,,8-K - 2024-03-14,metadata_only
ADBE,DEF 14A,2024-03-01,0000796343-24-000051,https://www.sec.gov/Archives/edgar/data/0000796343/000079634324000051/adbe-20240301.htm,0,,,DEF 14A - 2024-03-01,metadata_only
ADBE,8-K,2024-01-26,0000796343-24-000024,https://www.sec.gov/Archives/edgar/data/0000796343/000079634324000024/adbe-20240124.htm,0,,,8-K - 2024-01-26,metadata_only
ADBE,10-K,2024-01-17,0000796343-24-000006,https://www.sec.gov/Archives/edgar/data/0000796343/000079634324000006/adbe-20231201.htm,0,,,10-K - 2024-01-17,metadata_only
ADBE,8-K,2023-12-18,0000796343-23-000254,https://www.sec.gov/Archives/edgar/data/0000796343/000079634323000254/adbe-20231217.htm,0,,,8-K - 2023-12-18,metadata_only
ADBE,8-K,2023-12-13,0000796343-23-000252,https://www.sec.gov/Archives/edgar/data/0000796343/000079634323000252/adbe-20231211.htm,0,,,8-K - 2023-12-13,metadata_only
ADBE,8-K,2023-10-26,0000796343-23-000226,https://www.sec.gov/Archives/edgar/data/0000796343/000079634323000226/adbe-20231025.htm,0,,,8-K - 2023-10-26,metadata_only
ADBE,10-Q,2023-09-27,0000796343-23-000205,https://www.sec.gov/Archives/edgar/data/0000796343/000079634323000205/adbe-20230901.htm,0,,,10-Q - 2023-09-27,metadata_only
ADBE,8-K,2023-09-14,0000796343-23-000198,https://www.sec.gov/Archives/edgar/data/0000796343/000079634323000198/adbe-20230908.htm,0,,,8-K - 2023-09-14,metadata_only
ADBE,10-Q,2023-06-28,0000796343-23-000153,https://www.sec.gov/Archives/edgar/data/0000796343/000079634323000153/adbe-20230602.htm,0,,,10-Q - 2023-06-28,metadata_only
ADBE,8-K,2023-06-15,0000796343-23-000133,https://www.sec.gov/Archives/edgar/data/0000796343/000079634323000133/adbe-20230615.htm,0,,,8-K - 2023-06-15,metadata_only
ADBE,8-K,2023-04-24,0000796343-23-000084,https://www.sec.gov/Archives/edgar/data/0000796343/000079634323000084/adbe-20230420.htm,0,,,8-K - 2023-04-24,metadata_only
ADBE,10-Q,2023-03-29,0000796343-23-000055,https://www.sec.gov/Archives/edgar/data/0000796343/000079634323000055/adbe-20230303.htm,0,,,10-Q - 2023-03-29,metadata_only
