ticker,filing_type,filing_date,accession_number,filing_url,ai_mentions_count,ai_keywords_found,ai_context_snippets,filing_title,status
AMD,8-K,2025-10-06,0001193125-25-230895,https://www.sec.gov/Archives/edgar/data/0001193125/000119312525230895/d28189d8k.htm,0,,,8-K - 2025-10-06,metadata_only
AMD,8-K,2025-08-25,0000002488-25-000147,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000147/amd-20250822.htm,0,,,8-K - 2025-08-25,metadata_only
AMD,10-Q,2025-08-06,0000002488-25-000108,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000108/amd-20250628.htm,0,,,10-Q - 2025-08-06,metadata_only
AMD,8-K,2025-08-05,0000002488-25-000106,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000106/amd-20250805.htm,0,,,8-K - 2025-08-05,metadata_only
AMD,8-K,2025-07-02,0000002488-25-000099,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000099/amd-20250627.htm,0,,,8-K - 2025-07-02,metadata_only
AMD,8-K,2025-05-19,0001193125-25-122121,https://www.sec.gov/Archives/edgar/data/0001193125/000119312525122121/d831221d8k.htm,0,,,8-K - 2025-05-19,metadata_only
AMD,8-K,2025-05-16,0000002488-25-000064,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000064/amd-20250514.htm,0,,,8-K - 2025-05-16,metadata_only
AMD,10-Q,2025-05-07,0000002488-25-000047,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000047/amd-20250329.htm,0,,,10-Q - 2025-05-07,metadata_only
AMD,8-K,2025-05-06,0000002488-25-000045,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000045/amd-20250506.htm,0,,,8-K - 2025-05-06,metadata_only
AMD,8-K,2025-04-16,0000002488-25-000039,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000039/amd-20250415.htm,0,,,8-K - 2025-04-16,metadata_only
AMD,8-K,2025-03-31,0001193125-25-067902,https://www.sec.gov/Archives/edgar/data/0001193125/000119312525067902/d943962d8k.htm,0,,,8-K - 2025-03-31,metadata_only
AMD,DEF 14A,2025-03-28,0001193125-25-067170,https://www.sec.gov/Archives/edgar/data/0001193125/000119312525067170/d869673ddef14a.htm,0,,,DEF 14A - 2025-03-28,metadata_only
AMD,8-K,2025-03-24,0001193125-25-061366,https://www.sec.gov/Archives/edgar/data/0001193125/000119312525061366/d914634d8k.htm,0,,,8-K - 2025-03-24,metadata_only
AMD,8-K,2025-03-12,0001193125-25-052173,https://www.sec.gov/Archives/edgar/data/0001193125/000119312525052173/d925853d8k.htm,0,,,8-K - 2025-03-12,metadata_only
AMD,8-K,2025-02-24,0000002488-25-000026,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000026/amd-20250218.htm,0,,,8-K - 2025-02-24,metadata_only
AMD,10-K,2025-02-05,0000002488-25-000012,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000012/amd-20241228.htm,0,,,10-K - 2025-02-05,metadata_only
AMD,8-K,2025-02-04,0000002488-25-000009,https://www.sec.gov/Archives/edgar/data/0000002488/000000248825000009/amd-20250204.htm,0,,,8-K - 2025-02-04,metadata_only
AMD,8-K,2024-11-18,0000002488-24-000172,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000172/amd-20241113.htm,0,,,8-K - 2024-11-18,metadata_only
AMD,10-Q,2024-10-30,0000002488-24-000163,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000163/amd-20240928.htm,0,,,10-Q - 2024-10-30,metadata_only
AMD,8-K,2024-10-29,0000002488-24-000161,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000161/amd-20241029.htm,0,,,8-K - 2024-10-29,metadata_only
AMD,8-K,2024-08-19,0001193125-24-202457,https://www.sec.gov/Archives/edgar/data/0001193125/000119312524202457/d808469d8k.htm,0,,,8-K - 2024-08-19,metadata_only
AMD,10-Q,2024-07-31,0000002488-24-000123,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000123/amd-20240629.htm,0,,,10-Q - 2024-07-31,metadata_only
AMD,8-K,2024-07-30,0000002488-24-000121,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000121/amd-20240730.htm,0,,,8-K - 2024-07-30,metadata_only
AMD,8-K,2024-07-22,0000002488-24-000115,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000115/amd-20240720.htm,0,,,8-K - 2024-07-22,metadata_only
AMD,8-K,2024-07-02,0000002488-24-000109,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000109/amd-20240627.htm,0,,,8-K - 2024-07-02,metadata_only
AMD,8-K,2024-05-13,0000002488-24-000076,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000076/amd-20240508.htm,0,,,8-K - 2024-05-13,metadata_only
AMD,10-Q,2024-05-01,0000002488-24-000056,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000056/amd-20240330.htm,0,,,10-Q - 2024-05-01,metadata_only
AMD,8-K,2024-04-30,0000002488-24-000054,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000054/amd-20240430.htm,0,,,8-K - 2024-04-30,metadata_only
AMD,DEF 14A,2024-03-25,0001193125-24-076513,https://www.sec.gov/Archives/edgar/data/0001193125/000119312524076513/d653280ddef14a.htm,0,,,DEF 14A - 2024-03-25,metadata_only
AMD,8-K,2024-02-20,0001628280-24-005593,https://www.sec.gov/Archives/edgar/data/0001628280/000162828024005593/amd-20240213.htm,0,,,8-K - 2024-02-20,metadata_only
AMD,10-K,2024-01-31,0000002488-24-000012,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000012/amd-20231230.htm,0,,,10-K - 2024-01-31,metadata_only
AMD,8-K,2024-01-30,0000002488-24-000009,https://www.sec.gov/Archives/edgar/data/0000002488/000000248824000009/amd-20240130.htm,0,,,8-K - 2024-01-30,metadata_only
AMD,10-Q,2023-11-01,0000002488-23-000195,https://www.sec.gov/Archives/edgar/data/0000002488/000000248823000195/amd-20230930.htm,0,,,10-Q - 2023-11-01,metadata_only
AMD,8-K,2023-10-31,0000002488-23-000192,https://www.sec.gov/Archives/edgar/data/0000002488/000000248823000192/amd-20231031.htm,0,,,8-K - 2023-10-31,metadata_only
AMD,10-Q,2023-08-02,0000002488-23-000139,https://www.sec.gov/Archives/edgar/data/0000002488/000000248823000139/amd-20230701.htm,0,,,10-Q - 2023-08-02,metadata_only
AMD,8-K,2023-08-01,0000002488-23-000135,https://www.sec.gov/Archives/edgar/data/0000002488/000000248823000135/amd-20230801.htm,0,,,8-K - 2023-08-01,metadata_only
AMD,8-K,2023-07-10,0000002488-23-000123,https://www.sec.gov/Archives/edgar/data/0000002488/000000248823000123/amd-20230705.htm,0,,,8-K - 2023-07-10,metadata_only
AMD,8-K,2023-05-23,0001193125-23-151810,https://www.sec.gov/Archives/edgar/data/0001193125/000119312523151810/d456357d8k.htm,0,,,8-K - 2023-05-23,metadata_only
AMD,10-Q,2023-05-03,0000002488-23-000076,https://www.sec.gov/Archives/edgar/data/0000002488/000000248823000076/amd-20230401.htm,0,,,10-Q - 2023-05-03,metadata_only
AMD,8-K,2023-05-02,0000002488-23-000074,https://www.sec.gov/Archives/edgar/data/0000002488/000000248823000074/amd-20230502.htm,0,,,8-K - 2023-05-02,metadata_only
AMD,DEF 14A,2023-03-31,0001193125-23-088096,https://www.sec.gov/Archives/edgar/data/0001193125/000119312523088096/d425773ddef14a.htm,0,,,DEF 14A - 2023-03-31,metadata_only
AMD,10-K,2023-02-27,0000002488-23-000047,https://www.sec.gov/Archives/edgar/data/0000002488/000000248823000047/amd-20221231.htm,0,,,10-K - 2023-02-27,metadata_only
AMD,8-K,2023-02-21,0000002488-23-000040,https://www.sec.gov/Archives/edgar/data/0000002488/000000248823000040/amd-20230214.htm,0,,,8-K - 2023-02-21,metadata_only
AMD,8-K,2023-01-31,0000002488-23-000007,https://www.sec.gov/Archives/edgar/data/0000002488/000000248823000007/amd-20230131.htm,0,,,8-K - 2023-01-31,metadata_only
AMD,8-K,2023-01-11,0000002488-23-000003,https://www.sec.gov/Archives/edgar/data/0000002488/000000248823000003/amd-20230108.htm,0,,,8-K - 2023-01-11,metadata_only
