ticker,filing_type,filing_date,accession_number,filing_url,ai_mentions_count,ai_keywords_found,ai_context_snippets,filing_title,status
AMZN,10-Q,2025-08-01,0001018724-25-000086,https://www.sec.gov/Archives/edgar/data/0001018724/000101872425000086/amzn-20250630.htm,0,,,10-Q - 2025-08-01,metadata_only
AMZN,8-K,2025-07-31,0001018724-25-000084,https://www.sec.gov/Archives/edgar/data/0001018724/000101872425000084/amzn-20250731.htm,0,,,8-K - 2025-07-31,metadata_only
AMZN,8-K,2025-05-22,0001104659-25-052014,https://www.sec.gov/Archives/edgar/data/0001104659/000110465925052014/tm2515134d1_8k.htm,0,,,8-K - 2025-05-22,metadata_only
AMZN,10-Q,2025-05-02,0001018724-25-000036,https://www.sec.gov/Archives/edgar/data/0001018724/000101872425000036/amzn-20250331.htm,0,,,10-Q - 2025-05-02,metadata_only
AMZN,8-K,2025-05-01,0001018724-25-000034,https://www.sec.gov/Archives/edgar/data/0001018724/000101872425000034/amzn-20250501.htm,0,,,8-K - 2025-05-01,metadata_only
AMZN,8-K,2025-04-10,0001104659-25-033450,https://www.sec.gov/Archives/edgar/data/0001104659/000110465925033450/tm254123d2_8k.htm,0,,,8-K - 2025-04-10,metadata_only
AMZN,DEF 14A,2025-04-10,0001104659-25-033442,https://www.sec.gov/Archives/edgar/data/0001104659/000110465925033442/tm252295-1_def14a.htm,0,,,DEF 14A - 2025-04-10,metadata_only
AMZN,10-K,2025-02-07,0001018724-25-000004,https://www.sec.gov/Archives/edgar/data/0001018724/000101872425000004/amzn-20241231.htm,0,,,10-K - 2025-02-07,metadata_only
AMZN,8-K,2025-02-06,0001018724-25-000002,https://www.sec.gov/Archives/edgar/data/0001018724/000101872425000002/amzn-20250206.htm,0,,,8-K - 2025-02-06,metadata_only
AMZN,10-Q,2024-11-01,0001018724-24-000161,https://www.sec.gov/Archives/edgar/data/0001018724/000101872424000161/amzn-20240930.htm,0,,,10-Q - 2024-11-01,metadata_only
AMZN,8-K,2024-10-31,0001018724-24-000158,https://www.sec.gov/Archives/edgar/data/0001018724/000101872424000158/amzn-20241031.htm,0,,,8-K - 2024-10-31,metadata_only
AMZN,10-Q,2024-08-02,0001018724-24-000130,https://www.sec.gov/Archives/edgar/data/0001018724/000101872424000130/amzn-20240630.htm,0,,,10-Q - 2024-08-02,metadata_only
AMZN,8-K,2024-08-01,0001018724-24-000128,https://www.sec.gov/Archives/edgar/data/0001018724/000101872424000128/amzn-20240801.htm,0,,,8-K - 2024-08-01,metadata_only
AMZN,8-K,2024-05-24,0001104659-24-065117,https://www.sec.gov/Archives/edgar/data/0001104659/000110465924065117/tm2414140d1_8k.htm,0,,,8-K - 2024-05-24,metadata_only
AMZN,8-K,2024-05-14,0001104659-24-061143,https://www.sec.gov/Archives/edgar/data/0001104659/000110465924061143/tm2414460d1_8k.htm,0,,,8-K - 2024-05-14,metadata_only
AMZN,8-K,2024-05-03,0001104659-24-057026,https://www.sec.gov/Archives/edgar/data/0001104659/000110465924057026/tm2413032d1_8k.htm,0,,,8-K - 2024-05-03,metadata_only
AMZN,10-Q,2024-05-01,0001018724-24-000083,https://www.sec.gov/Archives/edgar/data/0001018724/000101872424000083/amzn-20240331.htm,0,,,10-Q - 2024-05-01,metadata_only
AMZN,8-K,2024-04-30,0001018724-24-000081,https://www.sec.gov/Archives/edgar/data/0001018724/000101872424000081/amzn-20240430.htm,0,,,8-K - 2024-04-30,metadata_only
AMZN,8-K,2024-04-11,0001104659-24-045915,https://www.sec.gov/Archives/edgar/data/0001104659/000110465924045915/tm246113d2_8k.htm,0,,,8-K - 2024-04-11,metadata_only
AMZN,DEF 14A,2024-04-11,0001104659-24-045910,https://www.sec.gov/Archives/edgar/data/0001104659/000110465924045910/tm2329302d4_def14a.htm,0,,,DEF 14A - 2024-04-11,metadata_only
AMZN,10-K,2024-02-02,0001018724-24-000008,https://www.sec.gov/Archives/edgar/data/0001018724/000101872424000008/amzn-20231231.htm,0,,,10-K - 2024-02-02,metadata_only
AMZN,8-K,2024-02-01,0001018724-24-000006,https://www.sec.gov/Archives/edgar/data/0001018724/000101872424000006/amzn-20240201.htm,0,,,8-K - 2024-02-01,metadata_only
AMZN,8-K,2023-11-01,0001104659-23-113444,https://www.sec.gov/Archives/edgar/data/0001104659/000110465923113444/tm2329405d1_8k.htm,0,,,8-K - 2023-11-01,metadata_only
AMZN,10-Q,2023-10-27,0001018724-23-000018,https://www.sec.gov/Archives/edgar/data/0001018724/000101872423000018/amzn-20230930.htm,0,,,10-Q - 2023-10-27,metadata_only
AMZN,8-K,2023-10-26,0001018724-23-000016,https://www.sec.gov/Archives/edgar/data/0001018724/000101872423000016/amzn-20231026.htm,0,,,8-K - 2023-10-26,metadata_only
AMZN,8-K,2023-09-13,0001018724-23-000014,https://www.sec.gov/Archives/edgar/data/0001018724/000101872423000014/amzn-20230913.htm,0,,,8-K - 2023-09-13,metadata_only
AMZN,10-Q,2023-08-04,0001018724-23-000012,https://www.sec.gov/Archives/edgar/data/0001018724/000101872423000012/amzn-20230630.htm,0,,,10-Q - 2023-08-04,metadata_only
AMZN,8-K,2023-08-03,0001018724-23-000010,https://www.sec.gov/Archives/edgar/data/0001018724/000101872423000010/amzn-20230803.htm,0,,,8-K - 2023-08-03,metadata_only
AMZN,8-K,2023-05-26,0001104659-23-065457,https://www.sec.gov/Archives/edgar/data/0001104659/000110465923065457/tm2315877d1_8k.htm,0,,,8-K - 2023-05-26,metadata_only
AMZN,10-Q,2023-04-28,0001018724-23-000008,https://www.sec.gov/Archives/edgar/data/0001018724/000101872423000008/amzn-20230331.htm,0,,,10-Q - 2023-04-28,metadata_only
AMZN,8-K,2023-04-27,0001018724-23-000006,https://www.sec.gov/Archives/edgar/data/0001018724/000101872423000006/amzn-20230427.htm,0,,,8-K - 2023-04-27,metadata_only
AMZN,8-K,2023-04-13,0001104659-23-044715,https://www.sec.gov/Archives/edgar/data/0001104659/000110465923044715/tm233697d2_8k.htm,0,,,8-K - 2023-04-13,metadata_only
AMZN,DEF 14A,2023-04-13,0001104659-23-044708,https://www.sec.gov/Archives/edgar/data/0001104659/000110465923044708/tm233694d2_def14a.htm,0,,,DEF 14A - 2023-04-13,metadata_only
AMZN,10-K,2023-02-03,0001018724-23-000004,https://www.sec.gov/Archives/edgar/data/0001018724/000101872423000004/amzn-20221231.htm,0,,,10-K - 2023-02-03,metadata_only
AMZN,8-K,2023-02-02,0001018724-23-000002,https://www.sec.gov/Archives/edgar/data/0001018724/000101872423000002/amzn-20230202.htm,0,,,8-K - 2023-02-02,metadata_only
AMZN,8-K,2023-01-06,0001193125-23-003621,https://www.sec.gov/Archives/edgar/data/0001193125/000119312523003621/d441973d8k.htm,0,,,8-K - 2023-01-06,metadata_only
AMZN,8-K,2023-01-03,0001193125-23-000849,https://www.sec.gov/Archives/edgar/data/0001193125/000119312523000849/d429499d8k.htm,0,,,8-K - 2023-01-03,metadata_only
AMZN,8-K,2022-12-01,0001193125-22-296602,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522296602/d376136d8k.htm,0,,,8-K - 2022-12-01,metadata_only
AMZN,8-K,2022-11-18,0001193125-22-289041,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522289041/d413765d8k.htm,0,,,8-K - 2022-11-18,metadata_only
AMZN,10-Q,2022-10-28,0001018724-22-000023,https://www.sec.gov/Archives/edgar/data/0001018724/000101872422000023/amzn-20220930.htm,0,,,10-Q - 2022-10-28,metadata_only
AMZN,8-K,2022-10-27,0001018724-22-000021,https://www.sec.gov/Archives/edgar/data/0001018724/000101872422000021/amzn-20221027.htm,0,,,8-K - 2022-10-27,metadata_only
AMZN,10-Q,2022-07-29,0001018724-22-000019,https://www.sec.gov/Archives/edgar/data/0001018724/000101872422000019/amzn-20220630.htm,0,,,10-Q - 2022-07-29,metadata_only
AMZN,8-K,2022-07-28,0001018724-22-000017,https://www.sec.gov/Archives/edgar/data/0001018724/000101872422000017/amzn-20220728.htm,0,,,8-K - 2022-07-28,metadata_only
AMZN,8-K,2022-06-03,0001018724-22-000015,https://www.sec.gov/Archives/edgar/data/0001018724/000101872422000015/amzn-20220601.htm,0,,,8-K - 2022-06-03,metadata_only
AMZN,8-K,2022-05-27,0001104659-22-065872,https://www.sec.gov/Archives/edgar/data/0001104659/000110465922065872/tm2215904d1_8k.htm,0,,,8-K - 2022-05-27,metadata_only
AMZN,10-Q,2022-04-29,0001018724-22-000013,https://www.sec.gov/Archives/edgar/data/0001018724/000101872422000013/amzn-20220331.htm,0,,,10-Q - 2022-04-29,metadata_only
AMZN,8-K,2022-04-28,0001018724-22-000011,https://www.sec.gov/Archives/edgar/data/0001018724/000101872422000011/amzn-20220428.htm,0,,,8-K - 2022-04-28,metadata_only
AMZN,DEF 14A,2022-04-14,0001104659-22-045572,https://www.sec.gov/Archives/edgar/data/0001104659/000110465922045572/tm223357-5_def14a.htm,0,,,DEF 14A - 2022-04-14,metadata_only
AMZN,8-K,2022-04-14,0001104659-22-045579,https://www.sec.gov/Archives/edgar/data/0001104659/000110465922045579/tm226241d2_8k.htm,0,,,8-K - 2022-04-14,metadata_only
AMZN,8-K,2022-04-13,0001193125-22-104336,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522104336/d325485d8k.htm,0,,,8-K - 2022-04-13,metadata_only
AMZN,8-K,2022-03-09,0001018724-22-000009,https://www.sec.gov/Archives/edgar/data/0001018724/000101872422000009/amzn-20220309.htm,0,,,8-K - 2022-03-09,metadata_only
AMZN,10-K,2022-02-04,0001018724-22-000005,https://www.sec.gov/Archives/edgar/data/0001018724/000101872422000005/amzn-20211231.htm,0,,,10-K - 2022-02-04,metadata_only
AMZN,8-K,2022-02-03,0001018724-22-000002,https://www.sec.gov/Archives/edgar/data/0001018724/000101872422000002/amzn-20220203.htm,0,,,8-K - 2022-02-03,metadata_only
AMZN,8-K,2021-11-12,0001018724-21-000030,https://www.sec.gov/Archives/edgar/data/0001018724/000101872421000030/amzn-20211110.htm,0,,,8-K - 2021-11-12,metadata_only
AMZN,10-Q,2021-10-29,0001018724-21-000028,https://www.sec.gov/Archives/edgar/data/0001018724/000101872421000028/amzn-20210930.htm,0,,,10-Q - 2021-10-29,metadata_only
AMZN,8-K,2021-10-28,0001018724-21-000026,https://www.sec.gov/Archives/edgar/data/0001018724/000101872421000026/amzn-20211028.htm,0,,,8-K - 2021-10-28,metadata_only
AMZN,8-K,2021-09-20,0001018724-21-000022,https://www.sec.gov/Archives/edgar/data/0001018724/000101872421000022/amzn-20210920.htm,0,,,8-K - 2021-09-20,metadata_only
AMZN,10-Q,2021-07-30,0001018724-21-000020,https://www.sec.gov/Archives/edgar/data/0001018724/000101872421000020/amzn-20210630.htm,0,,,10-Q - 2021-07-30,metadata_only
AMZN,8-K,2021-07-29,0001018724-21-000018,https://www.sec.gov/Archives/edgar/data/0001018724/000101872421000018/amzn-20210729.htm,0,,,8-K - 2021-07-29,metadata_only
AMZN,8-K,2021-07-02,0001018724-21-000016,https://www.sec.gov/Archives/edgar/data/0001018724/000101872421000016/amzn-20210628.htm,0,,,8-K - 2021-07-02,metadata_only
AMZN,8-K,2021-05-28,0001018724-21-000012,https://www.sec.gov/Archives/edgar/data/0001018724/000101872421000012/amzn-20210526.htm,0,,,8-K - 2021-05-28,metadata_only
AMZN,8-K,2021-05-12,0001193125-21-159084,https://www.sec.gov/Archives/edgar/data/0001193125/000119312521159084/d508532d8k.htm,0,,,8-K - 2021-05-12,metadata_only
AMZN,10-Q,2021-04-30,0001018724-21-000010,https://www.sec.gov/Archives/edgar/data/0001018724/000101872421000010/amzn-20210331.htm,0,,,10-Q - 2021-04-30,metadata_only
AMZN,8-K,2021-04-29,0001018724-21-000008,https://www.sec.gov/Archives/edgar/data/0001018724/000101872421000008/amzn-20210429.htm,0,,,8-K - 2021-04-29,metadata_only
AMZN,8-K,2021-04-15,0001104659-21-050346,https://www.sec.gov/Archives/edgar/data/0001104659/000110465921050346/tm216818d3_8k.htm,0,,,8-K - 2021-04-15,metadata_only
AMZN,DEF 14A,2021-04-15,0001104659-21-050333,https://www.sec.gov/Archives/edgar/data/0001104659/000110465921050333/tm2035374-1_def14a.htm,0,,,DEF 14A - 2021-04-15,metadata_only
AMZN,10-K,2021-02-03,0001018724-21-000004,https://www.sec.gov/Archives/edgar/data/0001018724/000101872421000004/amzn-20201231.htm,0,,,10-K - 2021-02-03,metadata_only
AMZN,8-K,2021-02-02,0001018724-21-000002,https://www.sec.gov/Archives/edgar/data/0001018724/000101872421000002/amzn-20210202.htm,0,,,8-K - 2021-02-02,metadata_only
AMZN,8-K,2021-01-27,0001193125-21-018066,https://www.sec.gov/Archives/edgar/data/0001193125/000119312521018066/d30366d8k.htm,0,,,8-K - 2021-01-27,metadata_only
AMZN,10-Q,2020-10-30,0001018724-20-000030,https://www.sec.gov/Archives/edgar/data/0001018724/000101872420000030/amzn-20200930.htm,0,,,10-Q - 2020-10-30,metadata_only
AMZN,8-K,2020-10-29,0001018724-20-000028,https://www.sec.gov/Archives/edgar/data/0001018724/000101872420000028/amzn-20201029.htm,0,,,8-K - 2020-10-29,metadata_only
AMZN,8-K,2020-09-09,0001018724-20-000026,https://www.sec.gov/Archives/edgar/data/0001018724/000101872420000026/amzn-20200909.htm,0,,,8-K - 2020-09-09,metadata_only
AMZN,8-K,2020-08-21,0001193125-20-226520,https://www.sec.gov/Archives/edgar/data/0001193125/000119312520226520/d789139d8k.htm,0,,,8-K - 2020-08-21,metadata_only
AMZN,10-Q,2020-07-31,0001018724-20-000021,https://www.sec.gov/Archives/edgar/data/0001018724/000101872420000021/amzn-20200630.htm,0,,,10-Q - 2020-07-31,metadata_only
AMZN,8-K,2020-07-30,0001018724-20-000019,https://www.sec.gov/Archives/edgar/data/0001018724/000101872420000019/amzn-20200730.htm,0,,,8-K - 2020-07-30,metadata_only
AMZN,8-K,2020-06-23,0001193125-20-176528,https://www.sec.gov/Archives/edgar/data/0001193125/000119312520176528/d948849d8k.htm,0,,,8-K - 2020-06-23,metadata_only
AMZN,8-K,2020-06-03,0001193125-20-159531,https://www.sec.gov/Archives/edgar/data/0001193125/000119312520159531/d933420d8k.htm,0,,,8-K - 2020-06-03,metadata_only
AMZN,8-K,2020-05-29,0001018724-20-000015,https://www.sec.gov/Archives/edgar/data/0001018724/000101872420000015/amznx2020x05x29x8k.htm,0,,,8-K - 2020-05-29,metadata_only
AMZN,10-Q,2020-05-01,0001018724-20-000010,https://www.sec.gov/Archives/edgar/data/0001018724/000101872420000010/amzn-20200331x10q.htm,0,,,10-Q - 2020-05-01,metadata_only
AMZN,8-K,2020-04-30,0001018724-20-000008,https://www.sec.gov/Archives/edgar/data/0001018724/000101872420000008/amzn-20200331x8k.htm,0,,,8-K - 2020-04-30,metadata_only
AMZN,8-K,2020-04-16,0001193125-20-108427,https://www.sec.gov/Archives/edgar/data/0001193125/000119312520108427/d902615d8k.htm,0,,,8-K - 2020-04-16,metadata_only
AMZN,DEF 14A,2020-04-16,0001193125-20-108422,https://www.sec.gov/Archives/edgar/data/0001193125/000119312520108422/d897711ddef14a.htm,0,,,DEF 14A - 2020-04-16,metadata_only
AMZN,10-K,2020-01-31,0001018724-20-000004,https://www.sec.gov/Archives/edgar/data/0001018724/000101872420000004/amzn-20191231x10k.htm,0,,,10-K - 2020-01-31,metadata_only
AMZN,8-K,2020-01-30,0001018724-20-000002,https://www.sec.gov/Archives/edgar/data/0001018724/000101872420000002/amzn-20191231x8k.htm,0,,,8-K - 2020-01-30,metadata_only
AMZN,8-K,2019-11-19,0001018724-19-000093,https://www.sec.gov/Archives/edgar/data/0001018724/000101872419000093/amzn-20191115x8xk.htm,0,,,8-K - 2019-11-19,metadata_only
AMZN,10-Q,2019-10-25,0001018724-19-000089,https://www.sec.gov/Archives/edgar/data/0001018724/000101872419000089/amzn-2019930x10q.htm,0,,,10-Q - 2019-10-25,metadata_only
AMZN,8-K,2019-10-24,0001018724-19-000087,https://www.sec.gov/Archives/edgar/data/0001018724/000101872419000087/amzn-2019930x8k.htm,0,,,8-K - 2019-10-24,metadata_only
AMZN,8-K,2019-08-01,0001018724-19-000081,https://www.sec.gov/Archives/edgar/data/0001018724/000101872419000081/amzn-201981x8k.htm,0,,,8-K - 2019-08-01,metadata_only
AMZN,10-Q,2019-07-26,0001018724-19-000071,https://www.sec.gov/Archives/edgar/data/0001018724/000101872419000071/amzn-2019630x10q.htm,0,,,10-Q - 2019-07-26,metadata_only
AMZN,8-K,2019-07-25,0001018724-19-000069,https://www.sec.gov/Archives/edgar/data/0001018724/000101872419000069/amzn-2019630x8k.htm,0,,,8-K - 2019-07-25,metadata_only
AMZN,8-K,2019-05-24,0001018724-19-000061,https://www.sec.gov/Archives/edgar/data/0001018724/000101872419000061/amzn-20190524x8xk.htm,0,,,8-K - 2019-05-24,metadata_only
AMZN,10-Q,2019-04-26,0001018724-19-000043,https://www.sec.gov/Archives/edgar/data/0001018724/000101872419000043/amzn-2019331x10q.htm,0,,,10-Q - 2019-04-26,metadata_only
AMZN,8-K,2019-04-25,0001018724-19-000041,https://www.sec.gov/Archives/edgar/data/0001018724/000101872419000041/amzn-2019331x8k.htm,0,,,8-K - 2019-04-25,metadata_only
