ticker,filing_type,filing_date,accession_number,filing_url,ai_mentions_count,ai_keywords_found,ai_context_snippets,filing_title,status
AVGO,8-K,2025-09-29,0001193125-25-223202,https://www.sec.gov/Archives/edgar/data/0001193125/000119312525223202/d60592d8k.htm,0,,,8-K - 2025-09-29,metadata_only
AVGO,8-K,2025-09-10,0001193125-25-200108,https://www.sec.gov/Archives/edgar/data/0001193125/000119312525200108/d80277d8k.htm,0,,,8-K - 2025-09-10,metadata_only
AVGO,10-Q,2025-09-10,0001730168-25-000098,https://www.sec.gov/Archives/edgar/data/0001730168/000173016825000098/avgo-20250803.htm,0,,,10-Q - 2025-09-10,metadata_only
AVGO,8-K,2025-09-09,0001193125-25-199281,https://www.sec.gov/Archives/edgar/data/0001193125/000119312525199281/d58273d8k.htm,0,,,8-K - 2025-09-09,metadata_only
AVGO,8-K,2025-09-04,0001730168-25-000094,https://www.sec.gov/Archives/edgar/data/0001730168/000173016825000094/avgo-20250904.htm,0,,,8-K - 2025-09-04,metadata_only
AVGO,8-K,2025-07-11,0001193125-25-158202,https://www.sec.gov/Archives/edgar/data/0001193125/000119312525158202/d89787d8k.htm,0,,,8-K - 2025-07-11,metadata_only
AVGO,10-Q,2025-06-11,0001730168-25-000064,https://www.sec.gov/Archives/edgar/data/0001730168/000173016825000064/avgo-20250504.htm,0,,,10-Q - 2025-06-11,metadata_only
AVGO,8-K,2025-06-05,0001730168-25-000061,https://www.sec.gov/Archives/edgar/data/0001730168/000173016825000061/avgo-20250605.htm,0,,,8-K - 2025-06-05,metadata_only
AVGO,8-K,2025-04-22,0001730168-25-000037,https://www.sec.gov/Archives/edgar/data/0001730168/000173016825000037/avgo-20250421.htm,0,,,8-K - 2025-04-22,metadata_only
AVGO,10-Q,2025-03-12,0001730168-25-000021,https://www.sec.gov/Archives/edgar/data/0001730168/000173016825000021/avgo-20250202.htm,0,,,10-Q - 2025-03-12,metadata_only
AVGO,8-K,2025-03-06,0001730168-25-000009,https://www.sec.gov/Archives/edgar/data/0001730168/000173016825000009/avgo-20250306.htm,0,,,8-K - 2025-03-06,metadata_only
AVGO,DEF 14A,2025-03-03,0001193125-25-044112,https://www.sec.gov/Archives/edgar/data/0001193125/000119312525044112/d861439ddef14a.htm,0,,,DEF 14A - 2025-03-03,metadata_only
AVGO,8-K,2025-01-13,0001193125-25-005318,https://www.sec.gov/Archives/edgar/data/0001193125/000119312525005318/d925244d8k.htm,0,,,8-K - 2025-01-13,metadata_only
AVGO,8-K,2025-01-10,0001193125-25-004476,https://www.sec.gov/Archives/edgar/data/0001193125/000119312525004476/d880789d8k.htm,0,,,8-K - 2025-01-10,metadata_only
AVGO,10-K,2024-12-20,0001730168-24-000139,https://www.sec.gov/Archives/edgar/data/0001730168/000173016824000139/avgo-20241103.htm,0,,,10-K - 2024-12-20,metadata_only
AVGO,8-K,2024-12-12,0001730168-24-000125,https://www.sec.gov/Archives/edgar/data/0001730168/000173016824000125/avgo-20241212.htm,0,,,8-K - 2024-12-12,metadata_only
AVGO,8-K,2024-10-02,0001193125-24-231159,https://www.sec.gov/Archives/edgar/data/0001193125/000119312524231159/d860121d8k.htm,0,,,8-K - 2024-10-02,metadata_only
AVGO,10-Q,2024-09-11,0001730168-24-000099,https://www.sec.gov/Archives/edgar/data/0001730168/000173016824000099/avgo-20240804.htm,0,,,10-Q - 2024-09-11,metadata_only
AVGO,8-K,2024-09-05,0001730168-24-000095,https://www.sec.gov/Archives/edgar/data/0001730168/000173016824000095/avgo-20240905.htm,0,,,8-K - 2024-09-05,metadata_only
AVGO,8-K,2024-07-12,0001140361-24-033072,https://www.sec.gov/Archives/edgar/data/0001140361/000114036124033072/ny20032136x6_8k.htm,0,,,8-K - 2024-07-12,metadata_only
AVGO,8-K,2024-07-08,0001140361-24-032566,https://www.sec.gov/Archives/edgar/data/0001140361/000114036124032566/ny20032136x1_8k.htm,0,,,8-K - 2024-07-08,metadata_only
AVGO,10-Q,2024-06-13,0001730168-24-000080,https://www.sec.gov/Archives/edgar/data/0001730168/000173016824000080/avgo-20240505.htm,0,,,10-Q - 2024-06-13,metadata_only
AVGO,8-K,2024-06-12,0001730168-24-000077,https://www.sec.gov/Archives/edgar/data/0001730168/000173016824000077/avgo-20240612.htm,0,,,8-K - 2024-06-12,metadata_only
AVGO,8-K,2024-04-24,0001730168-24-000055,https://www.sec.gov/Archives/edgar/data/0001730168/000173016824000055/avgo-20240422.htm,0,,,8-K - 2024-04-24,metadata_only
AVGO,10-Q,2024-03-14,0001730168-24-000023,https://www.sec.gov/Archives/edgar/data/0001730168/000173016824000023/avgo-20240204.htm,0,,,10-Q - 2024-03-14,metadata_only
AVGO,8-K,2024-03-07,0001730168-24-000012,https://www.sec.gov/Archives/edgar/data/0001730168/000173016824000012/avgo-20240307.htm,0,,,8-K - 2024-03-07,metadata_only
AVGO,DEF 14A,2024-02-26,0001140361-24-009541,https://www.sec.gov/Archives/edgar/data/0001140361/000114036124009541/ny20015852x1_def14a.htm,0,,,DEF 14A - 2024-02-26,metadata_only
AVGO,8-K,2024-02-09,0001140361-24-006724,https://www.sec.gov/Archives/edgar/data/0001140361/000114036124006724/ef20021201_8k.htm,0,,,8-K - 2024-02-09,metadata_only
AVGO,10-K,2023-12-14,0001730168-23-000096,https://www.sec.gov/Archives/edgar/data/0001730168/000173016823000096/avgo-20231029.htm,0,,,10-K - 2023-12-14,metadata_only
AVGO,8-K,2023-12-07,0001730168-23-000093,https://www.sec.gov/Archives/edgar/data/0001730168/000173016823000093/avgo-20231207.htm,0,,,8-K - 2023-12-07,metadata_only
AVGO,8-K,2023-11-22,0001140361-23-054354,https://www.sec.gov/Archives/edgar/data/0001140361/000114036123054354/ef20015100_form8k.htm,0,,,8-K - 2023-11-22,metadata_only
AVGO,8-K,2023-10-30,0001140361-23-050217,https://www.sec.gov/Archives/edgar/data/0001140361/000114036123050217/ef20013645_8k.htm,0,,,8-K - 2023-10-30,metadata_only
AVGO,8-K,2023-10-18,0001140361-23-048712,https://www.sec.gov/Archives/edgar/data/0001140361/000114036123048712/ef20012700_8k.htm,0,,,8-K - 2023-10-18,metadata_only
AVGO,10-Q,2023-09-06,0001730168-23-000077,https://www.sec.gov/Archives/edgar/data/0001730168/000173016823000077/avgo-20230730.htm,0,,,10-Q - 2023-09-06,metadata_only
AVGO,8-K,2023-08-31,0001730168-23-000074,https://www.sec.gov/Archives/edgar/data/0001730168/000173016823000074/avgo-20230831.htm,0,,,8-K - 2023-08-31,metadata_only
AVGO,8-K,2023-08-16,0001140361-23-040084,https://www.sec.gov/Archives/edgar/data/0001140361/000114036123040084/brhc20057578_8k.htm,0,,,8-K - 2023-08-16,metadata_only
AVGO,10-Q,2023-06-07,0001730168-23-000064,https://www.sec.gov/Archives/edgar/data/0001730168/000173016823000064/avgo-20230430.htm,0,,,10-Q - 2023-06-07,metadata_only
AVGO,8-K,2023-06-01,0001730168-23-000062,https://www.sec.gov/Archives/edgar/data/0001730168/000173016823000062/avgo-20230601.htm,0,,,8-K - 2023-06-01,metadata_only
AVGO,8-K,2023-05-23,0001730168-23-000054,https://www.sec.gov/Archives/edgar/data/0001730168/000173016823000054/avgo-20230523.htm,0,,,8-K - 2023-05-23,metadata_only
AVGO,8-K,2023-04-06,0001730168-23-000052,https://www.sec.gov/Archives/edgar/data/0001730168/000173016823000052/avgo-20230406.htm,0,,,8-K - 2023-04-06,metadata_only
AVGO,10-Q,2023-03-08,0001730168-23-000008,https://www.sec.gov/Archives/edgar/data/0001730168/000173016823000008/avgo-20230129.htm,0,,,10-Q - 2023-03-08,metadata_only
AVGO,8-K,2023-03-02,0001730168-23-000004,https://www.sec.gov/Archives/edgar/data/0001730168/000173016823000004/avgo-20230302.htm,0,,,8-K - 2023-03-02,metadata_only
AVGO,DEF 14A,2023-02-17,0001140361-23-007640,https://www.sec.gov/Archives/edgar/data/0001140361/000114036123007640/ny20006245x500_def14a.htm,0,,,DEF 14A - 2023-02-17,metadata_only
AVGO,10-K,2022-12-16,0001730168-22-000118,https://www.sec.gov/Archives/edgar/data/0001730168/000173016822000118/avgo-20221030.htm,0,,,10-K - 2022-12-16,metadata_only
AVGO,8-K,2022-12-08,0001730168-22-000110,https://www.sec.gov/Archives/edgar/data/0001730168/000173016822000110/avgo-20221208.htm,0,,,8-K - 2022-12-08,metadata_only
AVGO,8-K,2022-11-02,0001730168-22-000101,https://www.sec.gov/Archives/edgar/data/0001730168/000173016822000101/avgo-20221031.htm,0,,,8-K - 2022-11-02,metadata_only
