ticker,filing_type,filing_date,accession_number,filing_url,ai_mentions_count,ai_keywords_found,ai_context_snippets,filing_title,status
CRWD,10-Q,2025-08-28,0001535527-25-000025,https://www.sec.gov/Archives/edgar/data/0001535527/000153552725000025/crwd-20250731.htm,0,,,10-Q - 2025-08-28,metadata_only
CRWD,8-K,2025-08-27,0001535527-25-000023,https://www.sec.gov/Archives/edgar/data/0001535527/000153552725000023/crwd-20250827.htm,0,,,8-K - 2025-08-27,metadata_only
CRWD,8-K,2025-06-20,0001104659-25-061216,https://www.sec.gov/Archives/edgar/data/0001104659/000110465925061216/tm2518570d1_8k.htm,0,,,8-K - 2025-06-20,metadata_only
CRWD,10-Q,2025-06-04,0001535527-25-000019,https://www.sec.gov/Archives/edgar/data/0001535527/000153552725000019/crwd-20250430.htm,0,,,10-Q - 2025-06-04,metadata_only
CRWD,8-K,2025-06-03,0001535527-25-000017,https://www.sec.gov/Archives/edgar/data/0001535527/000153552725000017/crwd-20250603.htm,0,,,8-K - 2025-06-03,metadata_only
CRWD,8-K,2025-05-07,0001104659-25-045244,https://www.sec.gov/Archives/edgar/data/0001104659/000110465925045244/tm2514190d1_8k.htm,0,,,8-K - 2025-05-07,metadata_only
CRWD,DEF 14A,2025-05-06,0001104659-25-045047,https://www.sec.gov/Archives/edgar/data/0001104659/000110465925045047/tm252455-2_def14a.htm,0,,,DEF 14A - 2025-05-06,metadata_only
CRWD,8-K,2025-04-25,0001104659-25-039500,https://www.sec.gov/Archives/edgar/data/0001104659/000110465925039500/tm2513136d1_8k.htm,0,,,8-K - 2025-04-25,metadata_only
CRWD,8-K,2025-04-18,0001104659-25-036392,https://www.sec.gov/Archives/edgar/data/0001104659/000110465925036392/tm2512714d1_8k.htm,0,,,8-K - 2025-04-18,metadata_only
CRWD,10-K,2025-03-10,0001535527-25-000009,https://www.sec.gov/Archives/edgar/data/0001535527/000153552725000009/crwd-20250131.htm,0,,,10-K - 2025-03-10,metadata_only
CRWD,8-K,2025-03-04,0001535527-25-000005,https://www.sec.gov/Archives/edgar/data/0001535527/000153552725000005/crwd-20250304.htm,0,,,8-K - 2025-03-04,metadata_only
CRWD,8-K,2025-02-20,0001104659-25-015279,https://www.sec.gov/Archives/edgar/data/0001104659/000110465925015279/tm257102d1_8k.htm,0,,,8-K - 2025-02-20,metadata_only
CRWD,8-K,2024-12-13,0001104659-24-128515,https://www.sec.gov/Archives/edgar/data/0001104659/000110465924128515/tm2430723d1_8k.htm,0,,,8-K - 2024-12-13,metadata_only
CRWD,10-Q,2024-11-27,0001535527-24-000026,https://www.sec.gov/Archives/edgar/data/0001535527/000153552724000026/crwd-20241031.htm,0,,,10-Q - 2024-11-27,metadata_only
CRWD,8-K,2024-11-26,0001535527-24-000024,https://www.sec.gov/Archives/edgar/data/0001535527/000153552724000024/crwd-20241126.htm,0,,,8-K - 2024-11-26,metadata_only
CRWD,10-Q,2024-08-29,0001535527-24-000020,https://www.sec.gov/Archives/edgar/data/0001535527/000153552724000020/crwd-20240731.htm,0,,,10-Q - 2024-08-29,metadata_only
CRWD,8-K,2024-08-28,0001535527-24-000017,https://www.sec.gov/Archives/edgar/data/0001535527/000153552724000017/crwd-20240828.htm,0,,,8-K - 2024-08-28,metadata_only
CRWD,8-K,2024-07-22,0001104659-24-081571,https://www.sec.gov/Archives/edgar/data/0001104659/000110465924081571/tm2419936d1_8k.htm,0,,,8-K - 2024-07-22,metadata_only
CRWD,8-K,2024-06-21,0001104659-24-073944,https://www.sec.gov/Archives/edgar/data/0001104659/000110465924073944/tm2417737d1_8k.htm,0,,,8-K - 2024-06-21,metadata_only
CRWD,10-Q,2024-06-05,0001535527-24-000013,https://www.sec.gov/Archives/edgar/data/0001535527/000153552724000013/crwd-20240430.htm,0,,,10-Q - 2024-06-05,metadata_only
CRWD,8-K,2024-06-04,0001535527-24-000011,https://www.sec.gov/Archives/edgar/data/0001535527/000153552724000011/crwd-20240604.htm,0,,,8-K - 2024-06-04,metadata_only
CRWD,DEF 14A,2024-05-06,0001104659-24-057449,https://www.sec.gov/Archives/edgar/data/0001104659/000110465924057449/tm242831d2_def14a.htm,0,,,DEF 14A - 2024-05-06,metadata_only
CRWD,10-K,2024-03-07,0001535527-24-000007,https://www.sec.gov/Archives/edgar/data/0001535527/000153552724000007/crwd-20240131.htm,0,,,10-K - 2024-03-07,metadata_only
CRWD,8-K,2024-03-05,0001535527-24-000004,https://www.sec.gov/Archives/edgar/data/0001535527/000153552724000004/crwd-20240305.htm,0,,,8-K - 2024-03-05,metadata_only
CRWD,10-Q,2023-11-29,0001535527-23-000026,https://www.sec.gov/Archives/edgar/data/0001535527/000153552723000026/crwd-20231031.htm,0,,,10-Q - 2023-11-29,metadata_only
CRWD,8-K,2023-11-28,0001535527-23-000024,https://www.sec.gov/Archives/edgar/data/0001535527/000153552723000024/crwd-20231128.htm,0,,,8-K - 2023-11-28,metadata_only
CRWD,10-Q,2023-08-31,0001535527-23-000020,https://www.sec.gov/Archives/edgar/data/0001535527/000153552723000020/crwd-20230731.htm,0,,,10-Q - 2023-08-31,metadata_only
CRWD,8-K,2023-08-30,0001535527-23-000018,https://www.sec.gov/Archives/edgar/data/0001535527/000153552723000018/crwd-20230830.htm,0,,,8-K - 2023-08-30,metadata_only
CRWD,8-K,2023-06-22,0001104659-23-073728,https://www.sec.gov/Archives/edgar/data/0001104659/000110465923073728/tm2319334d1_8k.htm,0,,,8-K - 2023-06-22,metadata_only
CRWD,10-Q,2023-06-01,0001535527-23-000014,https://www.sec.gov/Archives/edgar/data/0001535527/000153552723000014/crwd-20230430.htm,0,,,10-Q - 2023-06-01,metadata_only
CRWD,8-K,2023-05-31,0001535527-23-000012,https://www.sec.gov/Archives/edgar/data/0001535527/000153552723000012/crwd-20230531.htm,0,,,8-K - 2023-05-31,metadata_only
CRWD,DEF 14A,2023-05-05,0001104659-23-056548,https://www.sec.gov/Archives/edgar/data/0001104659/000110465923056548/tm232065-3_def14a.htm,0,,,DEF 14A - 2023-05-05,metadata_only
CRWD,10-K,2023-03-09,0001535527-23-000008,https://www.sec.gov/Archives/edgar/data/0001535527/000153552723000008/crwd-20230131.htm,0,,,10-K - 2023-03-09,metadata_only
CRWD,8-K,2023-03-07,0001535527-23-000006,https://www.sec.gov/Archives/edgar/data/0001535527/000153552723000006/crwd-20230307.htm,0,,,8-K - 2023-03-07,metadata_only
CRWD,8-K,2023-03-03,0001104659-23-028507,https://www.sec.gov/Archives/edgar/data/0001104659/000110465923028507/tm238330d1_8k.htm,0,,,8-K - 2023-03-03,metadata_only
CRWD,8-K,2023-01-23,0001104659-23-005624,https://www.sec.gov/Archives/edgar/data/0001104659/000110465923005624/tm234087d1_8k.htm,0,,,8-K - 2023-01-23,metadata_only
CRWD,10-Q,2022-11-30,0001535527-22-000025,https://www.sec.gov/Archives/edgar/data/0001535527/000153552722000025/crwd-20221031.htm,0,,,10-Q - 2022-11-30,metadata_only
CRWD,8-K,2022-11-29,0001535527-22-000023,https://www.sec.gov/Archives/edgar/data/0001535527/000153552722000023/crwd-20221129.htm,0,,,8-K - 2022-11-29,metadata_only
CRWD,10-Q,2022-08-31,0001535527-22-000018,https://www.sec.gov/Archives/edgar/data/0001535527/000153552722000018/crwd-20220731.htm,0,,,10-Q - 2022-08-31,metadata_only
CRWD,8-K,2022-08-30,0001535527-22-000016,https://www.sec.gov/Archives/edgar/data/0001535527/000153552722000016/crwd-20220830.htm,0,,,8-K - 2022-08-30,metadata_only
CRWD,8-K,2022-07-06,0001104659-22-077774,https://www.sec.gov/Archives/edgar/data/0001104659/000110465922077774/tm2220303d1_8k.htm,0,,,8-K - 2022-07-06,metadata_only
CRWD,10-Q,2022-06-03,0001535527-22-000012,https://www.sec.gov/Archives/edgar/data/0001535527/000153552722000012/crwd-20220430.htm,0,,,10-Q - 2022-06-03,metadata_only
CRWD,8-K,2022-06-02,0001535527-22-000010,https://www.sec.gov/Archives/edgar/data/0001535527/000153552722000010/crwd-20220602.htm,0,,,8-K - 2022-06-02,metadata_only
CRWD,DEF 14A,2022-05-06,0001104659-22-057039,https://www.sec.gov/Archives/edgar/data/0001104659/000110465922057039/tm229592-1_def14a.htm,0,,,DEF 14A - 2022-05-06,metadata_only
CRWD,8-K,2022-04-08,0001104659-22-044351,https://www.sec.gov/Archives/edgar/data/0001104659/000110465922044351/tm2212244d1_8k.htm,0,,,8-K - 2022-04-08,metadata_only
CRWD,10-K,2022-03-16,0001535527-22-000006,https://www.sec.gov/Archives/edgar/data/0001535527/000153552722000006/crwd-20220131.htm,0,,,10-K - 2022-03-16,metadata_only
CRWD,8-K,2022-03-09,0001535527-22-000004,https://www.sec.gov/Archives/edgar/data/0001535527/000153552722000004/crwd-20220309.htm,0,,,8-K - 2022-03-09,metadata_only
CRWD,8-K,2022-01-14,0001104659-22-004504,https://www.sec.gov/Archives/edgar/data/0001104659/000110465922004504/tm222862d1_8k.htm,0,,,8-K - 2022-01-14,metadata_only
CRWD,8-K,2021-12-30,0001104659-21-154724,https://www.sec.gov/Archives/edgar/data/0001104659/000110465921154724/tm2136531d1_8k.htm,0,,,8-K - 2021-12-30,metadata_only
CRWD,10-Q,2021-12-02,0001535527-21-000028,https://www.sec.gov/Archives/edgar/data/0001535527/000153552721000028/crwd-20211031.htm,0,,,10-Q - 2021-12-02,metadata_only
CRWD,8-K,2021-12-01,0001535527-21-000026,https://www.sec.gov/Archives/edgar/data/0001535527/000153552721000026/crwd-20211201.htm,0,,,8-K - 2021-12-01,metadata_only
CRWD,8-K,2021-10-22,0001104659-21-129072,https://www.sec.gov/Archives/edgar/data/0001104659/000110465921129072/tm2130856d1_8k.htm,0,,,8-K - 2021-10-22,metadata_only
CRWD,8-K,2021-09-17,0001104659-21-117007,https://www.sec.gov/Archives/edgar/data/0001104659/000110465921117007/tm2127949d1_8k.htm,0,,,8-K - 2021-09-17,metadata_only
CRWD,10-Q,2021-09-01,0001535527-21-000022,https://www.sec.gov/Archives/edgar/data/0001535527/000153552721000022/crwd-20210731.htm,0,,,10-Q - 2021-09-01,metadata_only
CRWD,8-K,2021-08-31,0001535527-21-000017,https://www.sec.gov/Archives/edgar/data/0001535527/000153552721000017/crwd-20210831.htm,0,,,8-K - 2021-08-31,metadata_only
CRWD,8-K,2021-08-06,0001104659-21-101531,https://www.sec.gov/Archives/edgar/data/0001104659/000110465921101531/tm2124374d1_8k.htm,0,,,8-K - 2021-08-06,metadata_only
CRWD,8-K,2021-07-02,0001104659-21-089005,https://www.sec.gov/Archives/edgar/data/0001104659/000110465921089005/tm2121414d1_8k.htm,0,,,8-K - 2021-07-02,metadata_only
CRWD,10-Q,2021-06-04,0001535527-21-000013,https://www.sec.gov/Archives/edgar/data/0001535527/000153552721000013/crwd-20210430.htm,0,,,10-Q - 2021-06-04,metadata_only
CRWD,8-K,2021-06-03,0001535527-21-000011,https://www.sec.gov/Archives/edgar/data/0001535527/000153552721000011/crwd-20210603.htm,0,,,8-K - 2021-06-03,metadata_only
CRWD,DEF 14A,2021-05-14,0001104659-21-066463,https://www.sec.gov/Archives/edgar/data/0001104659/000110465921066463/tm214527-1_def14a.htm,0,,,DEF 14A - 2021-05-14,metadata_only
CRWD,8-K,2021-04-09,0001104659-21-048810,https://www.sec.gov/Archives/edgar/data/0001104659/000110465921048810/tm2112658d1_8k.htm,0,,,8-K - 2021-04-09,metadata_only
CRWD,10-K,2021-03-18,0001535527-21-000007,https://www.sec.gov/Archives/edgar/data/0001535527/000153552721000007/crwd-20210131.htm,0,,,10-K - 2021-03-18,metadata_only
CRWD,8-K,2021-03-16,0001535527-21-000005,https://www.sec.gov/Archives/edgar/data/0001535527/000153552721000005/crwd-20210316.htm,0,,,8-K - 2021-03-16,metadata_only
CRWD,8-K,2021-03-12,0001104659-21-035670,https://www.sec.gov/Archives/edgar/data/0001104659/000110465921035670/tm219494d1_8k.htm,0,,,8-K - 2021-03-12,metadata_only
CRWD,8-K,2021-02-18,0001104659-21-025063,https://www.sec.gov/Archives/edgar/data/0001104659/000110465921025063/tm217160d1_8k.htm,0,,,8-K - 2021-02-18,metadata_only
CRWD,8-K,2021-01-20,0001104659-21-005883,https://www.sec.gov/Archives/edgar/data/0001104659/000110465921005883/tm213272-1_8k.htm,0,,,8-K - 2021-01-20,metadata_only
CRWD,8-K,2021-01-05,0001104659-21-000959,https://www.sec.gov/Archives/edgar/data/0001104659/000110465921000959/tm2039203d4_8k.htm,0,,,8-K - 2021-01-05,metadata_only
CRWD,8-K,2020-12-03,0001104659-20-132008,https://www.sec.gov/Archives/edgar/data/0001104659/000110465920132008/tm2037694d1_8k.htm,0,,,8-K - 2020-12-03,metadata_only
CRWD,10-Q,2020-12-03,0001535527-20-000025,https://www.sec.gov/Archives/edgar/data/0001535527/000153552720000025/crwd-20201031.htm,0,,,10-Q - 2020-12-03,metadata_only
CRWD,8-K,2020-12-02,0001535527-20-000023,https://www.sec.gov/Archives/edgar/data/0001535527/000153552720000023/crwd-20201202.htm,0,,,8-K - 2020-12-02,metadata_only
CRWD,8-K,2020-09-24,0001104659-20-107900,https://www.sec.gov/Archives/edgar/data/0001104659/000110465920107900/tm2031651-1_8k.htm,0,,,8-K - 2020-09-24,metadata_only
CRWD,10-Q,2020-09-03,0001535527-20-000019,https://www.sec.gov/Archives/edgar/data/0001535527/000153552720000019/crwd-20200731.htm,0,,,10-Q - 2020-09-03,metadata_only
CRWD,8-K,2020-09-02,0001535527-20-000017,https://www.sec.gov/Archives/edgar/data/0001535527/000153552720000017/crwd-20200902.htm,0,,,8-K - 2020-09-02,metadata_only
CRWD,8-K,2020-07-08,0001104659-20-082109,https://www.sec.gov/Archives/edgar/data/0001104659/000110465920082109/tm2024340d1_8k.htm,0,,,8-K - 2020-07-08,metadata_only
CRWD,8-K,2020-06-18,0001104659-20-074711,https://www.sec.gov/Archives/edgar/data/0001104659/000110465920074711/tm2022965d1_8k.htm,0,,,8-K - 2020-06-18,metadata_only
CRWD,10-Q,2020-06-03,0001535527-20-000012,https://www.sec.gov/Archives/edgar/data/0001535527/000153552720000012/crwd-20200430.htm,0,,,10-Q - 2020-06-03,metadata_only
CRWD,8-K,2020-06-02,0001535527-20-000010,https://www.sec.gov/Archives/edgar/data/0001535527/000153552720000010/crwd-20200602.htm,0,,,8-K - 2020-06-02,metadata_only
CRWD,DEF 14A,2020-05-22,0001047469-20-003177,https://www.sec.gov/Archives/edgar/data/0001047469/000104746920003177/a2241598zdef14a.htm,0,,,DEF 14A - 2020-05-22,metadata_only
CRWD,8-K,2020-04-10,0001104659-20-045597,https://www.sec.gov/Archives/edgar/data/0001104659/000110465920045597/tm2015654d1_8k.htm,0,,,8-K - 2020-04-10,metadata_only
CRWD,10-K,2020-03-23,0001535527-20-000006,https://www.sec.gov/Archives/edgar/data/0001535527/000153552720000006/crwd-20200131.htm,0,,,10-K - 2020-03-23,metadata_only
CRWD,8-K,2020-03-19,0001535527-20-000004,https://www.sec.gov/Archives/edgar/data/0001535527/000153552720000004/crwd-20200319.htm,0,,,8-K - 2020-03-19,metadata_only
CRWD,10-Q,2019-12-06,0001535527-19-000011,https://www.sec.gov/Archives/edgar/data/0001535527/000153552719000011/crwd-20191031.htm,0,,,10-Q - 2019-12-06,metadata_only
CRWD,8-K,2019-12-05,0001535527-19-000007,https://www.sec.gov/Archives/edgar/data/0001535527/000153552719000007/crwd-20191205.htm,0,,,8-K - 2019-12-05,metadata_only
CRWD,10-Q,2019-09-06,0001558370-19-008521,https://www.sec.gov/Archives/edgar/data/0001558370/000155837019008521/crwd-20190731x10q.htm,0,,,10-Q - 2019-09-06,metadata_only
CRWD,8-K,2019-09-05,0001558370-19-008509,https://www.sec.gov/Archives/edgar/data/0001558370/000155837019008509/f8-k.htm,0,,,8-K - 2019-09-05,metadata_only
