ticker,filing_type,filing_date,accession_number,filing_url,ai_mentions_count,ai_keywords_found,ai_context_snippets,filing_title,status
INTC,8-K,2025-09-29,0000050863-25-000159,https://www.sec.gov/Archives/edgar/data/0000050863/000005086325000159/intc-20250926.htm,0,,,8-K - 2025-09-29,metadata_only
INTC,8-K,2025-09-18,0000050863-25-000155,https://www.sec.gov/Archives/edgar/data/0000050863/000005086325000155/intc-20250915.htm,0,,,8-K - 2025-09-18,metadata_only
INTC,8-K,2025-09-15,0000050863-25-000153,https://www.sec.gov/Archives/edgar/data/0000050863/000005086325000153/intc-20250912.htm,0,,,8-K - 2025-09-15,metadata_only
INTC,8-K,2025-09-08,0000050863-25-000149,https://www.sec.gov/Archives/edgar/data/0000050863/000005086325000149/intc-20250907.htm,0,,,8-K - 2025-09-08,metadata_only
INTC,8-K,2025-09-05,0000050863-25-000147,https://www.sec.gov/Archives/edgar/data/0000050863/000005086325000147/intc-20250905.htm,0,,,8-K - 2025-09-05,metadata_only
INTC,8-K,2025-08-29,0000050863-25-000135,https://www.sec.gov/Archives/edgar/data/0000050863/000005086325000135/intc-20250827.htm,0,,,8-K - 2025-08-29,metadata_only
INTC,8-K,2025-08-25,0000050863-25-000129,https://www.sec.gov/Archives/edgar/data/0000050863/000005086325000129/intc-20250822.htm,0,,,8-K - 2025-08-25,metadata_only
INTC,8-K,2025-08-21,0000050863-25-000126,https://www.sec.gov/Archives/edgar/data/0000050863/000005086325000126/intc-20250818.htm,0,,,8-K - 2025-08-21,metadata_only
INTC,8-K,2025-08-14,0000050863-25-000123,https://www.sec.gov/Archives/edgar/data/0000050863/000005086325000123/intc-20250411.htm,0,,,8-K - 2025-08-14,metadata_only
INTC,8-K,2025-07-24,0000050863-25-000107,https://www.sec.gov/Archives/edgar/data/0000050863/000005086325000107/intc-20250724.htm,0,,,8-K - 2025-07-24,metadata_only
INTC,10-Q,2025-07-24,0000050863-25-000109,https://www.sec.gov/Archives/edgar/data/0000050863/000005086325000109/intc-20250628.htm,0,,,10-Q - 2025-07-24,metadata_only
INTC,8-K,2025-05-09,0000050863-25-000084,https://www.sec.gov/Archives/edgar/data/0000050863/000005086325000084/intc-20250506.htm,0,,,8-K - 2025-05-09,metadata_only
INTC,8-K,2025-04-30,0000050863-25-000079,https://www.sec.gov/Archives/edgar/data/0000050863/000005086325000079/intc-20250428.htm,0,,,8-K - 2025-04-30,metadata_only
INTC,10-Q,2025-04-25,0000050863-25-000074,https://www.sec.gov/Archives/edgar/data/0000050863/000005086325000074/intc-20250329.htm,0,,,10-Q - 2025-04-25,metadata_only
INTC,8-K,2025-04-24,0000050863-25-000070,https://www.sec.gov/Archives/edgar/data/0000050863/000005086325000070/intc-20250424.htm,0,,,8-K - 2025-04-24,metadata_only
INTC,8-K,2025-04-17,0000050863-25-000063,https://www.sec.gov/Archives/edgar/data/0000050863/000005086325000063/intc-20250414.htm,0,,,8-K - 2025-04-17,metadata_only
INTC,8-K,2025-04-14,0001193125-25-079727,https://www.sec.gov/Archives/edgar/data/0001193125/000119312525079727/d901587d8k.htm,0,,,8-K - 2025-04-14,metadata_only
INTC,8-K,2025-03-28,0000050863-25-000060,https://www.sec.gov/Archives/edgar/data/0000050863/000005086325000060/intc-20250327.htm,0,,,8-K - 2025-03-28,metadata_only
INTC,DEF 14A,2025-03-27,0000050863-25-000054,https://www.sec.gov/Archives/edgar/data/0000050863/000005086325000054/intc-20250327.htm,0,,,DEF 14A - 2025-03-27,metadata_only
INTC,8-K,2025-03-14,0000050863-25-000036,https://www.sec.gov/Archives/edgar/data/0000050863/000005086325000036/intc-20250310.htm,0,,,8-K - 2025-03-14,metadata_only
INTC,8-K,2025-02-28,0000050863-25-000024,https://www.sec.gov/Archives/edgar/data/0000050863/000005086325000024/intc-20250228.htm,0,,,8-K - 2025-02-28,metadata_only
INTC,10-K,2025-01-31,0000050863-25-000009,https://www.sec.gov/Archives/edgar/data/0000050863/000005086325000009/intc-20241228.htm,0,,,10-K - 2025-01-31,metadata_only
INTC,8-K,2025-01-30,0000050863-25-000004,https://www.sec.gov/Archives/edgar/data/0000050863/000005086325000004/intc-20250130.htm,0,,,8-K - 2025-01-30,metadata_only
INTC,8-K,2024-12-05,0000050863-24-000180,https://www.sec.gov/Archives/edgar/data/0000050863/000005086324000180/intc-20241204.htm,0,,,8-K - 2024-12-05,metadata_only
INTC,8-K,2024-12-03,0000050863-24-000173,https://www.sec.gov/Archives/edgar/data/0000050863/000005086324000173/intc-20241201.htm,0,,,8-K - 2024-12-03,metadata_only
