ticker,filing_type,filing_date,accession_number,filing_url,ai_mentions_count,ai_keywords_found,ai_context_snippets,filing_title,status
META,10-Q,2025-07-31,0001628280-25-036791,https://www.sec.gov/Archives/edgar/data/0001628280/000162828025036791/meta-20250630.htm,0,,,10-Q - 2025-07-31,metadata_only
META,8-K,2025-07-30,0001628280-25-036719,https://www.sec.gov/Archives/edgar/data/0001628280/000162828025036719/meta-20250730.htm,0,,,8-K - 2025-07-30,metadata_only
META,8-K,2025-05-30,0001326801-25-000090,https://www.sec.gov/Archives/edgar/data/0001326801/000132680125000090/meta-20250528.htm,0,,,8-K - 2025-05-30,metadata_only
META,10-Q,2025-05-01,0001326801-25-000054,https://www.sec.gov/Archives/edgar/data/0001326801/000132680125000054/meta-20250331.htm,0,,,10-Q - 2025-05-01,metadata_only
META,8-K,2025-04-30,0001326801-25-000050,https://www.sec.gov/Archives/edgar/data/0001326801/000132680125000050/meta-20250430.htm,0,,,8-K - 2025-04-30,metadata_only
META,DEF 14A,2025-04-17,0001326801-25-000040,https://www.sec.gov/Archives/edgar/data/0001326801/000132680125000040/meta-20250417.htm,0,,,DEF 14A - 2025-04-17,metadata_only
META,8-K,2025-04-11,0001326801-25-000027,https://www.sec.gov/Archives/edgar/data/0001326801/000132680125000027/meta-20250411.htm,0,,,8-K - 2025-04-11,metadata_only
META,8-K,2025-02-20,0001326801-25-000021,https://www.sec.gov/Archives/edgar/data/0001326801/000132680125000021/meta-20250213.htm,0,,,8-K - 2025-02-20,metadata_only
META,10-K,2025-01-30,0001326801-25-000017,https://www.sec.gov/Archives/edgar/data/0001326801/000132680125000017/meta-20241231.htm,0,,,10-K - 2025-01-30,metadata_only
META,8-K,2025-01-29,0001326801-25-000014,https://www.sec.gov/Archives/edgar/data/0001326801/000132680125000014/meta-20250129.htm,0,,,8-K - 2025-01-29,metadata_only
META,8-K,2025-01-06,0001326801-25-000005,https://www.sec.gov/Archives/edgar/data/0001326801/000132680125000005/meta-20241230.htm,0,,,8-K - 2025-01-06,metadata_only
META,10-Q,2024-10-31,0001326801-24-000081,https://www.sec.gov/Archives/edgar/data/0001326801/000132680124000081/meta-20240930.htm,0,,,10-Q - 2024-10-31,metadata_only
META,8-K,2024-10-30,0001326801-24-000077,https://www.sec.gov/Archives/edgar/data/0001326801/000132680124000077/meta-20241030.htm,0,,,8-K - 2024-10-30,metadata_only
META,8-K,2024-09-10,0001326801-24-000072,https://www.sec.gov/Archives/edgar/data/0001326801/000132680124000072/meta-20240905.htm,0,,,8-K - 2024-09-10,metadata_only
META,8-K,2024-08-09,0001193125-24-197873,https://www.sec.gov/Archives/edgar/data/0001193125/000119312524197873/d876862d8k.htm,0,,,8-K - 2024-08-09,metadata_only
META,10-Q,2024-08-01,0001326801-24-000069,https://www.sec.gov/Archives/edgar/data/0001326801/000132680124000069/meta-20240630.htm,0,,,10-Q - 2024-08-01,metadata_only
META,8-K,2024-07-31,0001326801-24-000065,https://www.sec.gov/Archives/edgar/data/0001326801/000132680124000065/meta-20240731.htm,0,,,8-K - 2024-07-31,metadata_only
META,8-K,2024-05-31,0001326801-24-000057,https://www.sec.gov/Archives/edgar/data/0001326801/000132680124000057/meta-20240529.htm,0,,,8-K - 2024-05-31,metadata_only
META,10-Q,2024-04-25,0001326801-24-000049,https://www.sec.gov/Archives/edgar/data/0001326801/000132680124000049/meta-20240331.htm,0,,,10-Q - 2024-04-25,metadata_only
META,8-K,2024-04-24,0001326801-24-000044,https://www.sec.gov/Archives/edgar/data/0001326801/000132680124000044/meta-20240424.htm,0,,,8-K - 2024-04-24,metadata_only
META,DEF 14A,2024-04-19,0001326801-24-000034,https://www.sec.gov/Archives/edgar/data/0001326801/000132680124000034/meta-20240418.htm,0,,,DEF 14A - 2024-04-19,metadata_only
META,8-K,2024-02-14,0001326801-24-000019,https://www.sec.gov/Archives/edgar/data/0001326801/000132680124000019/meta-20240213.htm,0,,,8-K - 2024-02-14,metadata_only
META,10-K,2024-02-02,0001326801-24-000012,https://www.sec.gov/Archives/edgar/data/0001326801/000132680124000012/meta-20231231.htm,0,,,10-K - 2024-02-02,metadata_only
META,8-K,2024-02-01,0001326801-24-000010,https://www.sec.gov/Archives/edgar/data/0001326801/000132680124000010/meta-20240201.htm,0,,,8-K - 2024-02-01,metadata_only
