ticker,filing_type,filing_date,accession_number,filing_url,ai_mentions_count,ai_keywords_found,ai_context_snippets,filing_title,status
MRVL,8-K,2021-04-20,0001193125-21-122807,https://www.sec.gov/Archives/edgar/data/0001193125/000119312521122807/d156000d8k.htm,0,,,8-K - 2021-04-20,metadata_only
MRVL,8-K,2021-04-19,0001193125-21-120469,https://www.sec.gov/Archives/edgar/data/0001193125/000119312521120469/d107622d8k.htm,0,,,8-K - 2021-04-19,metadata_only
MRVL,8-K,2021-04-16,0001193125-21-118598,https://www.sec.gov/Archives/edgar/data/0001193125/000119312521118598/d157292d8k.htm,0,,,8-K - 2021-04-16,metadata_only
MRVL,8-K,2021-04-12,0001193125-21-113298,https://www.sec.gov/Archives/edgar/data/0001193125/000119312521113298/d124916d8k.htm,0,,,8-K - 2021-04-12,metadata_only
MRVL,8-K,2021-04-05,0001193125-21-106523,https://www.sec.gov/Archives/edgar/data/0001193125/000119312521106523/d115788d8k.htm,0,,,8-K - 2021-04-05,metadata_only
MRVL,8-K,2021-04-05,0001193125-21-105653,https://www.sec.gov/Archives/edgar/data/0001193125/000119312521105653/d351965d8k.htm,0,,,8-K - 2021-04-05,metadata_only
MRVL,8-K,2021-03-24,0001193125-21-091536,https://www.sec.gov/Archives/edgar/data/0001193125/000119312521091536/d111492d8k.htm,0,,,8-K - 2021-03-24,metadata_only
MRVL,10-K,2021-03-16,0001058057-21-000009,https://www.sec.gov/Archives/edgar/data/0001058057/000105805721000009/mrvl-20210130.htm,0,,,10-K - 2021-03-16,metadata_only
MRVL,8-K,2021-03-05,0001193125-21-071471,https://www.sec.gov/Archives/edgar/data/0001193125/000119312521071471/d79308d8k.htm,0,,,8-K - 2021-03-05,metadata_only
MRVL,8-K,2021-03-03,0001058057-21-000003,https://www.sec.gov/Archives/edgar/data/0001058057/000105805721000003/mrvl-20210303.htm,0,,,8-K - 2021-03-03,metadata_only
MRVL,8-K,2020-12-15,0001193125-20-318157,https://www.sec.gov/Archives/edgar/data/0001193125/000119312520318157/d57213d8k.htm,0,,,8-K - 2020-12-15,metadata_only
MRVL,8-K,2020-12-08,0001193125-20-312706,https://www.sec.gov/Archives/edgar/data/0001193125/000119312520312706/d84972d8k.htm,0,,,8-K - 2020-12-08,metadata_only
MRVL,10-Q,2020-12-04,0001058057-20-000061,https://www.sec.gov/Archives/edgar/data/0001058057/000105805720000061/mrvl-20201031.htm,0,,,10-Q - 2020-12-04,metadata_only
MRVL,8-K,2020-12-03,0001058057-20-000057,https://www.sec.gov/Archives/edgar/data/0001058057/000105805720000057/mrvl-20201203.htm,0,,,8-K - 2020-12-03,metadata_only
MRVL,8-K,2020-12-02,0001193125-20-308500,https://www.sec.gov/Archives/edgar/data/0001193125/000119312520308500/d12824d8k.htm,0,,,8-K - 2020-12-02,metadata_only
MRVL,8-K,2020-10-30,0001193125-20-282762,https://www.sec.gov/Archives/edgar/data/0001193125/000119312520282762/d42915d8k.htm,0,,,8-K - 2020-10-30,metadata_only
MRVL,8-K,2020-10-29,0001193125-20-280437,https://www.sec.gov/Archives/edgar/data/0001193125/000119312520280437/d893597d8k.htm,0,,,8-K - 2020-10-29,metadata_only
MRVL,8-K,2020-09-25,0001193125-20-254593,https://www.sec.gov/Archives/edgar/data/0001193125/000119312520254593/d168804d8k.htm,0,,,8-K - 2020-09-25,metadata_only
MRVL,10-Q,2020-08-28,0001058057-20-000046,https://www.sec.gov/Archives/edgar/data/0001058057/000105805720000046/mrvl-20200801.htm,0,,,10-Q - 2020-08-28,metadata_only
MRVL,8-K,2020-08-27,0001058057-20-000038,https://www.sec.gov/Archives/edgar/data/0001058057/000105805720000038/mrvl-20200827.htm,0,,,8-K - 2020-08-27,metadata_only
MRVL,8-K,2020-07-30,0001193125-20-204164,https://www.sec.gov/Archives/edgar/data/0001193125/000119312520204164/d944787d8k.htm,0,,,8-K - 2020-07-30,metadata_only
MRVL,8-K,2020-07-29,0001193125-20-202576,https://www.sec.gov/Archives/edgar/data/0001193125/000119312520202576/d23871d8k.htm,0,,,8-K - 2020-07-29,metadata_only
MRVL,8-K,2020-06-25,0001193125-20-178964,https://www.sec.gov/Archives/edgar/data/0001193125/000119312520178964/d862343d8k.htm,0,,,8-K - 2020-06-25,metadata_only
MRVL,10-Q,2020-05-29,0001058057-20-000030,https://www.sec.gov/Archives/edgar/data/0001058057/000105805720000030/mrvl-20200502.htm,0,,,10-Q - 2020-05-29,metadata_only
MRVL,DEF 14A,2020-05-28,0001193125-20-154371,https://www.sec.gov/Archives/edgar/data/0001193125/000119312520154371/d908107ddef14a.htm,0,,,DEF 14A - 2020-05-28,metadata_only
MRVL,8-K,2020-05-28,0001058057-20-000022,https://www.sec.gov/Archives/edgar/data/0001058057/000105805720000022/mrvl-20200528.htm,0,,,8-K - 2020-05-28,metadata_only
MRVL,10-K,2020-03-23,0001058057-20-000014,https://www.sec.gov/Archives/edgar/data/0001058057/000105805720000014/mrvl-20200201.htm,0,,,10-K - 2020-03-23,metadata_only
MRVL,8-K,2020-03-12,0001193125-20-071047,https://www.sec.gov/Archives/edgar/data/0001193125/000119312520071047/d755396d8k.htm,0,,,8-K - 2020-03-12,metadata_only
MRVL,8-K,2020-03-04,0001058057-20-000007,https://www.sec.gov/Archives/edgar/data/0001058057/000105805720000007/mrvl-20200304.htm,0,,,8-K - 2020-03-04,metadata_only
MRVL,8-K,2019-12-06,0001193125-19-308318,https://www.sec.gov/Archives/edgar/data/0001193125/000119312519308318/d812047d8k.htm,0,,,8-K - 2019-12-06,metadata_only
MRVL,8-K,2019-12-06,0001193125-19-307835,https://www.sec.gov/Archives/edgar/data/0001193125/000119312519307835/d841742d8k.htm,0,,,8-K - 2019-12-06,metadata_only
MRVL,10-Q,2019-12-04,0001058057-19-000032,https://www.sec.gov/Archives/edgar/data/0001058057/000105805719000032/q32010q11022019.htm,0,,,10-Q - 2019-12-04,metadata_only
MRVL,8-K,2019-12-03,0001058057-19-000027,https://www.sec.gov/Archives/edgar/data/0001058057/000105805719000027/q3208k11022019coverpage.htm,0,,,8-K - 2019-12-03,metadata_only
MRVL,8-K,2019-11-05,0001193125-19-284220,https://www.sec.gov/Archives/edgar/data/0001193125/000119312519284220/d815676d8k.htm,0,,,8-K - 2019-11-05,metadata_only
MRVL,8-K,2019-09-20,0001193125-19-250138,https://www.sec.gov/Archives/edgar/data/0001193125/000119312519250138/d779365d8k.htm,0,,,8-K - 2019-09-20,metadata_only
MRVL,8-K,2019-09-19,0001193125-19-249033,https://www.sec.gov/Archives/edgar/data/0001193125/000119312519249033/d757925d8k.htm,0,,,8-K - 2019-09-19,metadata_only
MRVL,10-Q,2019-09-04,0001058057-19-000024,https://www.sec.gov/Archives/edgar/data/0001058057/000105805719000024/q22010q08032019.htm,0,,,10-Q - 2019-09-04,metadata_only
MRVL,8-K,2019-08-29,0001058057-19-000021,https://www.sec.gov/Archives/edgar/data/0001058057/000105805719000021/q220_8kx08032019coverpage.htm,0,,,8-K - 2019-08-29,metadata_only
MRVL,8-K,2019-07-01,0001193125-19-187416,https://www.sec.gov/Archives/edgar/data/0001193125/000119312519187416/d739639d8k.htm,0,,,8-K - 2019-07-01,metadata_only
MRVL,10-Q,2019-06-06,0001058057-19-000018,https://www.sec.gov/Archives/edgar/data/0001058057/000105805719000018/q120_10qx05042019.htm,0,,,10-Q - 2019-06-06,metadata_only
MRVL,8-K,2019-06-05,0001193125-19-166129,https://www.sec.gov/Archives/edgar/data/0001193125/000119312519166129/d50238d8k.htm,0,,,8-K - 2019-06-05,metadata_only
MRVL,8-K,2019-05-30,0001058057-19-000013,https://www.sec.gov/Archives/edgar/data/0001058057/000105805719000013/q120_8kx05042019coverpage.htm,0,,,8-K - 2019-05-30,metadata_only
MRVL,8-K,2019-05-29,0001193125-19-158945,https://www.sec.gov/Archives/edgar/data/0001193125/000119312519158945/d756480d8k.htm,0,,,8-K - 2019-05-29,metadata_only
MRVL,8-K,2019-05-20,0001193125-19-151755,https://www.sec.gov/Archives/edgar/data/0001193125/000119312519151755/d751667d8k.htm,0,,,8-K - 2019-05-20,metadata_only
MRVL,DEF 14A,2019-05-16,0001193125-19-149399,https://www.sec.gov/Archives/edgar/data/0001193125/000119312519149399/d713236ddef14a.htm,0,,,DEF 14A - 2019-05-16,metadata_only
MRVL,8-K,2019-05-06,0001193125-19-137573,https://www.sec.gov/Archives/edgar/data/0001193125/000119312519137573/d743687d8k.htm,0,,,8-K - 2019-05-06,metadata_only
MRVL,8-K,2019-05-02,0001193125-19-133944,https://www.sec.gov/Archives/edgar/data/0001193125/000119312519133944/d740880d8k.htm,0,,,8-K - 2019-05-02,metadata_only
MRVL,8-K,2019-04-16,0001193125-19-107985,https://www.sec.gov/Archives/edgar/data/0001193125/000119312519107985/d735191d8k.htm,0,,,8-K - 2019-04-16,metadata_only
MRVL,10-K,2019-03-28,0001058057-19-000010,https://www.sec.gov/Archives/edgar/data/0001058057/000105805719000010/mrvl-2022019x10k.htm,0,,,10-K - 2019-03-28,metadata_only
MRVL,8-K,2019-03-15,0001193125-19-076752,https://www.sec.gov/Archives/edgar/data/0001193125/000119312519076752/d712813d8k.htm,0,,,8-K - 2019-03-15,metadata_only
MRVL,8-K,2019-03-07,0001058057-19-000007,https://www.sec.gov/Archives/edgar/data/0001058057/000105805719000007/q419_8kx222019coverpage.htm,0,,,8-K - 2019-03-07,metadata_only
MRVL,8-K,2019-02-15,0001193125-19-041398,https://www.sec.gov/Archives/edgar/data/0001193125/000119312519041398/d657637d8k.htm,0,,,8-K - 2019-02-15,metadata_only
MRVL,8-K,2019-02-06,0001058057-19-000004,https://www.sec.gov/Archives/edgar/data/0001058057/000105805719000004/q419_8kx02062019coverpage.htm,0,,,8-K - 2019-02-06,metadata_only
MRVL,8-K,2018-12-10,0001193125-18-345639,https://www.sec.gov/Archives/edgar/data/0001193125/000119312518345639/d505549d8k.htm,0,,,8-K - 2018-12-10,metadata_only
MRVL,10-Q,2018-12-10,0001058057-18-000028,https://www.sec.gov/Archives/edgar/data/0001058057/000105805718000028/q319_10qx11032018.htm,0,,,10-Q - 2018-12-10,metadata_only
MRVL,8-K,2018-12-04,0001058057-18-000024,https://www.sec.gov/Archives/edgar/data/0001058057/000105805718000024/q319_8kx11032018coverpage.htm,0,,,8-K - 2018-12-04,metadata_only
MRVL,8-K,2018-10-16,0001193125-18-299765,https://www.sec.gov/Archives/edgar/data/0001193125/000119312518299765/d622543d8k.htm,0,,,8-K - 2018-10-16,metadata_only
MRVL,8-K,2018-09-14,0001193125-18-273716,https://www.sec.gov/Archives/edgar/data/0001193125/000119312518273716/d622219d8k.htm,0,,,8-K - 2018-09-14,metadata_only
MRVL,10-Q,2018-09-12,0001058057-18-000020,https://www.sec.gov/Archives/edgar/data/0001058057/000105805718000020/q219_10qx08042018.htm,0,,,10-Q - 2018-09-12,metadata_only
MRVL,8-K,2018-09-06,0001058057-18-000018,https://www.sec.gov/Archives/edgar/data/0001058057/000105805718000018/q219_8kx08042018coverpage.htm,0,,,8-K - 2018-09-06,metadata_only
MRVL,8-K,2018-07-06,0001193125-18-213486,https://www.sec.gov/Archives/edgar/data/0001193125/000119312518213486/d860055d8k.htm,0,,,8-K - 2018-07-06,metadata_only
MRVL,8-K,2018-06-29,0001193125-18-209685,https://www.sec.gov/Archives/edgar/data/0001193125/000119312518209685/d845997d8k.htm,0,,,8-K - 2018-06-29,metadata_only
MRVL,8-K,2018-06-22,0001193125-18-201053,https://www.sec.gov/Archives/edgar/data/0001193125/000119312518201053/d583855d8k.htm,0,,,8-K - 2018-06-22,metadata_only
MRVL,8-K,2018-06-13,0001193125-18-191035,https://www.sec.gov/Archives/edgar/data/0001193125/000119312518191035/d604139d8k.htm,0,,,8-K - 2018-06-13,metadata_only
MRVL,8-K,2018-06-13,0001193125-18-191039,https://www.sec.gov/Archives/edgar/data/0001193125/000119312518191039/d572022d8k.htm,0,,,8-K - 2018-06-13,metadata_only
MRVL,10-Q,2018-06-05,0001058057-18-000015,https://www.sec.gov/Archives/edgar/data/0001058057/000105805718000015/q119_10qx05052018.htm,0,,,10-Q - 2018-06-05,metadata_only
MRVL,8-K,2018-05-31,0001058057-18-000012,https://www.sec.gov/Archives/edgar/data/0001058057/000105805718000012/q119_8kx05052018coverpage.htm,0,,,8-K - 2018-05-31,metadata_only
MRVL,8-K,2018-05-24,0001193125-18-173577,https://www.sec.gov/Archives/edgar/data/0001193125/000119312518173577/d591719d8k.htm,0,,,8-K - 2018-05-24,metadata_only
MRVL,DEF 14A,2018-05-17,0001193125-18-165601,https://www.sec.gov/Archives/edgar/data/0001193125/000119312518165601/d563083ddef14a.htm,0,,,DEF 14A - 2018-05-17,metadata_only
MRVL,8-K,2018-05-08,0001193125-18-154960,https://www.sec.gov/Archives/edgar/data/0001193125/000119312518154960/d564631d8k.htm,0,,,8-K - 2018-05-08,metadata_only
MRVL,10-K,2018-03-29,0001058057-18-000009,https://www.sec.gov/Archives/edgar/data/0001058057/000105805718000009/mrvl-2032018x10k.htm,0,,,10-K - 2018-03-29,metadata_only
MRVL,8-K,2018-03-16,0001193125-18-086047,https://www.sec.gov/Archives/edgar/data/0001193125/000119312518086047/d523174d8k.htm,0,,,8-K - 2018-03-16,metadata_only
MRVL,8-K,2018-03-15,0001193125-18-084111,https://www.sec.gov/Archives/edgar/data/0001193125/000119312518084111/d505772d8k.htm,0,,,8-K - 2018-03-15,metadata_only
MRVL,8-K,2018-03-09,0001193125-18-077311,https://www.sec.gov/Archives/edgar/data/0001193125/000119312518077311/d463595d8k.htm,0,,,8-K - 2018-03-09,metadata_only
MRVL,8-K,2018-03-08,0001058057-18-000003,https://www.sec.gov/Archives/edgar/data/0001058057/000105805718000003/q418_8kx232018coverpage.htm,0,,,8-K - 2018-03-08,metadata_only
MRVL,8-K,2018-01-29,0001193125-18-022585,https://www.sec.gov/Archives/edgar/data/0001193125/000119312518022585/d469822d8k.htm,0,,,8-K - 2018-01-29,metadata_only
MRVL,8-K,2017-12-22,0001058057-17-000023,https://www.sec.gov/Archives/edgar/data/0001058057/000105805717000023/a8-klunasettlement12x22x17.htm,0,,,8-K - 2017-12-22,metadata_only
MRVL,8-K,2017-12-13,0001058057-17-000021,https://www.sec.gov/Archives/edgar/data/0001058057/000105805717000021/a8-k502thaukur.htm,0,,,8-K - 2017-12-13,metadata_only
MRVL,10-Q,2017-12-04,0001058057-17-000018,https://www.sec.gov/Archives/edgar/data/0001058057/000105805717000018/q318_10qx10282017.htm,0,,,10-Q - 2017-12-04,metadata_only
MRVL,8-K,2017-11-28,0001058057-17-000013,https://www.sec.gov/Archives/edgar/data/0001058057/000105805717000013/q318_8kx10282017coverpage.htm,0,,,8-K - 2017-11-28,metadata_only
MRVL,8-K,2017-11-20,0001193125-17-348220,https://www.sec.gov/Archives/edgar/data/0001193125/000119312517348220/d454219d8k.htm,0,,,8-K - 2017-11-20,metadata_only
MRVL,8-K,2017-11-20,0001193125-17-347459,https://www.sec.gov/Archives/edgar/data/0001193125/000119312517347459/d480101d8k.htm,0,,,8-K - 2017-11-20,metadata_only
MRVL,8-K,2017-09-22,0001193125-17-291421,https://www.sec.gov/Archives/edgar/data/0001193125/000119312517291421/d439319d8k.htm,0,,,8-K - 2017-09-22,metadata_only
MRVL,10-Q,2017-08-31,0001058057-17-000009,https://www.sec.gov/Archives/edgar/data/0001058057/000105805717000009/q218_10qx7292017.htm,0,,,10-Q - 2017-08-31,metadata_only
MRVL,8-K,2017-08-24,0001058057-17-000006,https://www.sec.gov/Archives/edgar/data/0001058057/000105805717000006/q218_8kx7292017coverpage.htm,0,,,8-K - 2017-08-24,metadata_only
MRVL,8-K,2017-07-14,0001193125-17-228543,https://www.sec.gov/Archives/edgar/data/0001193125/000119312517228543/d419007d8k.htm,0,,,8-K - 2017-07-14,metadata_only
MRVL,8-K,2017-06-19,0001193125-17-207081,https://www.sec.gov/Archives/edgar/data/0001193125/000119312517207081/d395801d8k.htm,0,,,8-K - 2017-06-19,metadata_only
MRVL,8-K,2017-06-16,0001193125-17-206013,https://www.sec.gov/Archives/edgar/data/0001193125/000119312517206013/d417316d8k.htm,0,,,8-K - 2017-06-16,metadata_only
MRVL,10-Q,2017-06-05,0001628280-17-006219,https://www.sec.gov/Archives/edgar/data/0001628280/000162828017006219/q118_10qx4292017.htm,0,,,10-Q - 2017-06-05,metadata_only
MRVL,8-K,2017-05-25,0001628280-17-005910,https://www.sec.gov/Archives/edgar/data/0001628280/000162828017005910/q118-8kxmrvl4292017coverpa.htm,0,,,8-K - 2017-05-25,metadata_only
MRVL,DEF 14A,2017-05-03,0001193125-17-156297,https://www.sec.gov/Archives/edgar/data/0001193125/000119312517156297/d355871ddef14a.htm,0,,,DEF 14A - 2017-05-03,metadata_only
MRVL,10-K,2017-03-28,0001628280-17-002968,https://www.sec.gov/Archives/edgar/data/0001628280/000162828017002968/mrvl-1282017x10k.htm,0,,,10-K - 2017-03-28,metadata_only
MRVL,8-K,2017-03-16,0001193125-17-085413,https://www.sec.gov/Archives/edgar/data/0001193125/000119312517085413/d363622d8k.htm,0,,,8-K - 2017-03-16,metadata_only
MRVL,8-K,2017-03-02,0001193125-17-067657,https://www.sec.gov/Archives/edgar/data/0001193125/000119312517067657/d354163d8k.htm,0,,,8-K - 2017-03-02,metadata_only
MRVL,8-K,2016-12-13,0001193125-16-791964,https://www.sec.gov/Archives/edgar/data/0001193125/000119312516791964/d309331d8k.htm,0,,,8-K - 2016-12-13,metadata_only
MRVL,10-Q,2016-12-06,0001193125-16-786373,https://www.sec.gov/Archives/edgar/data/0001193125/000119312516786373/d244187d10q.htm,0,,,10-Q - 2016-12-06,metadata_only
MRVL,8-K,2016-11-17,0001193125-16-770966,https://www.sec.gov/Archives/edgar/data/0001193125/000119312516770966/d294822d8k.htm,0,,,8-K - 2016-11-17,metadata_only
MRVL,8-K,2016-11-10,0001193125-16-765958,https://www.sec.gov/Archives/edgar/data/0001193125/000119312516765958/d278571d8k.htm,0,,,8-K - 2016-11-10,metadata_only
MRVL,8-K,2016-11-09,0001193125-16-764369,https://www.sec.gov/Archives/edgar/data/0001193125/000119312516764369/d269649d8k.htm,0,,,8-K - 2016-11-09,metadata_only
MRVL,8-K,2016-11-02,0001193125-16-757140,https://www.sec.gov/Archives/edgar/data/0001193125/000119312516757140/d221807d8k.htm,0,,,8-K - 2016-11-02,metadata_only
MRVL,8-K,2016-10-03,0001193125-16-728737,https://www.sec.gov/Archives/edgar/data/0001193125/000119312516728737/d271511d8k.htm,0,,,8-K - 2016-10-03,metadata_only
MRVL,DEF 14A,2016-09-27,0001193125-16-721628,https://www.sec.gov/Archives/edgar/data/0001193125/000119312516721628/d259005ddef14a.htm,0,,,DEF 14A - 2016-09-27,metadata_only
MRVL,8-K,2016-09-15,0001193125-16-710969,https://www.sec.gov/Archives/edgar/data/0001193125/000119312516710969/d253214d8k.htm,0,,,8-K - 2016-09-15,metadata_only
