ticker,filing_type,filing_date,accession_number,filing_url,ai_mentions_count,ai_keywords_found,ai_context_snippets,filing_title,status
MSFT,8-K,2025-09-30,0001193125-25-225125,https://www.sec.gov/Archives/edgar/data/0001193125/000119312525225125/d863209d8k.htm,0,,,8-K - 2025-09-30,metadata_only
MSFT,8-K,2025-07-30,0000950170-25-100226,https://www.sec.gov/Archives/edgar/data/0000950170/000095017025100226/msft-20250730.htm,0,,,8-K - 2025-07-30,metadata_only
MSFT,10-K,2025-07-30,0000950170-25-100235,https://www.sec.gov/Archives/edgar/data/0000950170/000095017025100235/msft-20250630.htm,0,,,10-K - 2025-07-30,metadata_only
MSFT,8-K,2025-07-01,0001193125-25-154103,https://www.sec.gov/Archives/edgar/data/0001193125/000119312525154103/d84624d8k.htm,0,,,8-K - 2025-07-01,metadata_only
MSFT,10-Q,2025-04-30,0000950170-25-061046,https://www.sec.gov/Archives/edgar/data/0000950170/000095017025061046/msft-20250331.htm,0,,,10-Q - 2025-04-30,metadata_only
MSFT,8-K,2025-04-30,0000950170-25-061032,https://www.sec.gov/Archives/edgar/data/0000950170/000095017025061032/msft-20250430.htm,0,,,8-K - 2025-04-30,metadata_only
MSFT,10-Q,2025-01-29,0000950170-25-010491,https://www.sec.gov/Archives/edgar/data/0000950170/000095017025010491/msft-20241231.htm,0,,,10-Q - 2025-01-29,metadata_only
MSFT,8-K,2025-01-29,0000950170-25-010484,https://www.sec.gov/Archives/edgar/data/0000950170/000095017025010484/msft-20250129.htm,0,,,8-K - 2025-01-29,metadata_only
MSFT,8-K,2025-01-22,0001193125-25-010492,https://www.sec.gov/Archives/edgar/data/0001193125/000119312525010492/d929748d8k.htm,0,,,8-K - 2025-01-22,metadata_only
MSFT,8-K,2024-12-11,0001193125-24-275524,https://www.sec.gov/Archives/edgar/data/0001193125/000119312524275524/d865252d8k.htm,0,,,8-K - 2024-12-11,metadata_only
MSFT,8-K,2024-12-03,0000950170-24-132722,https://www.sec.gov/Archives/edgar/data/0000950170/000095017024132722/msft-20241203.htm,0,,,8-K - 2024-12-03,metadata_only
MSFT,10-Q,2024-10-30,0000950170-24-118967,https://www.sec.gov/Archives/edgar/data/0000950170/000095017024118967/msft-20240930.htm,0,,,10-Q - 2024-10-30,metadata_only
MSFT,8-K,2024-10-30,0000950170-24-118955,https://www.sec.gov/Archives/edgar/data/0000950170/000095017024118955/msft-20241030.htm,0,,,8-K - 2024-10-30,metadata_only
MSFT,DEF 14A,2024-10-24,0001193125-24-242883,https://www.sec.gov/Archives/edgar/data/0001193125/000119312524242883/d858775ddef14a.htm,0,,,DEF 14A - 2024-10-24,metadata_only
MSFT,8-K,2024-08-21,0001193125-24-204403,https://www.sec.gov/Archives/edgar/data/0001193125/000119312524204403/d846847d8k.htm,0,,,8-K - 2024-08-21,metadata_only
MSFT,10-K,2024-07-30,0000950170-24-087843,https://www.sec.gov/Archives/edgar/data/0000950170/000095017024087843/msft-20240630.htm,0,,,10-K - 2024-07-30,metadata_only
MSFT,8-K,2024-07-30,0000950170-24-087835,https://www.sec.gov/Archives/edgar/data/0000950170/000095017024087835/msft-20240730.htm,0,,,8-K - 2024-07-30,metadata_only
MSFT,10-Q,2024-04-25,0000950170-24-048288,https://www.sec.gov/Archives/edgar/data/0000950170/000095017024048288/msft-20240331.htm,0,,,10-Q - 2024-04-25,metadata_only
MSFT,8-K,2024-04-25,0000950170-24-048268,https://www.sec.gov/Archives/edgar/data/0000950170/000095017024048268/msft-20240425.htm,0,,,8-K - 2024-04-25,metadata_only
MSFT,10-Q,2024-01-30,0000950170-24-008814,https://www.sec.gov/Archives/edgar/data/0000950170/000095017024008814/msft-20231231.htm,0,,,10-Q - 2024-01-30,metadata_only
MSFT,8-K,2024-01-30,0000950170-24-008809,https://www.sec.gov/Archives/edgar/data/0000950170/000095017024008809/msft-20240130.htm,0,,,8-K - 2024-01-30,metadata_only
MSFT,8-K,2024-01-19,0001193125-24-011295,https://www.sec.gov/Archives/edgar/data/0001193125/000119312524011295/d708866d8k.htm,0,,,8-K - 2024-01-19,metadata_only
MSFT,8-K,2023-12-08,0001193125-23-291720,https://www.sec.gov/Archives/edgar/data/0001193125/000119312523291720/d636199d8k.htm,0,,,8-K - 2023-12-08,metadata_only
MSFT,8-K,2023-11-06,0001193125-23-271376,https://www.sec.gov/Archives/edgar/data/0001193125/000119312523271376/d566386d8k.htm,0,,,8-K - 2023-11-06,metadata_only
MSFT,8-K,2023-10-30,0001193125-23-265616,https://www.sec.gov/Archives/edgar/data/0001193125/000119312523265616/d572684d8k.htm,0,,,8-K - 2023-10-30,metadata_only
MSFT,10-Q,2023-10-24,0000950170-23-054855,https://www.sec.gov/Archives/edgar/data/0000950170/000095017023054855/msft-20230930.htm,0,,,10-Q - 2023-10-24,metadata_only
MSFT,8-K,2023-10-24,0000950170-23-054848,https://www.sec.gov/Archives/edgar/data/0000950170/000095017023054848/msft-20231024.htm,0,,,8-K - 2023-10-24,metadata_only
MSFT,DEF 14A,2023-10-19,0001193125-23-259247,https://www.sec.gov/Archives/edgar/data/0001193125/000119312523259247/d356108ddef14a.htm,0,,,DEF 14A - 2023-10-19,metadata_only
MSFT,8-K,2023-10-16,0001104659-23-109428,https://www.sec.gov/Archives/edgar/data/0001104659/000110465923109428/tm2328507d1_8k.htm,0,,,8-K - 2023-10-16,metadata_only
MSFT,8-K,2023-10-13,0001193125-23-255762,https://www.sec.gov/Archives/edgar/data/0001193125/000119312523255762/d537928d8k.htm,0,,,8-K - 2023-10-13,metadata_only
MSFT,8-K,2023-10-11,0001193125-23-254151,https://www.sec.gov/Archives/edgar/data/0001193125/000119312523254151/d530324d8k.htm,0,,,8-K - 2023-10-11,metadata_only
MSFT,10-K,2023-07-27,0000950170-23-035122,https://www.sec.gov/Archives/edgar/data/0000950170/000095017023035122/msft-20230630.htm,0,,,10-K - 2023-07-27,metadata_only
MSFT,8-K,2023-07-25,0000950170-23-034400,https://www.sec.gov/Archives/edgar/data/0000950170/000095017023034400/msft-20230725.htm,0,,,8-K - 2023-07-25,metadata_only
MSFT,8-K,2023-07-03,0001193125-23-181341,https://www.sec.gov/Archives/edgar/data/0001193125/000119312523181341/d288670d8k.htm,0,,,8-K - 2023-07-03,metadata_only
MSFT,10-Q,2023-04-25,0000950170-23-014423,https://www.sec.gov/Archives/edgar/data/0000950170/000095017023014423/msft-20230331.htm,0,,,10-Q - 2023-04-25,metadata_only
MSFT,8-K,2023-04-25,0001193125-23-115280,https://www.sec.gov/Archives/edgar/data/0001193125/000119312523115280/d321368d8k.htm,0,,,8-K - 2023-04-25,metadata_only
MSFT,8-K,2023-01-24,0001193125-23-014230,https://www.sec.gov/Archives/edgar/data/0001193125/000119312523014230/d406070d8k.htm,0,,,8-K - 2023-01-24,metadata_only
MSFT,10-Q,2023-01-24,0001564590-23-000733,https://www.sec.gov/Archives/edgar/data/0001564590/000156459023000733/msft-10q_20221231.htm,0,,,10-Q - 2023-01-24,metadata_only
MSFT,8-K,2023-01-18,0001193125-23-009934,https://www.sec.gov/Archives/edgar/data/0001193125/000119312523009934/d447690d8k.htm,0,,,8-K - 2023-01-18,metadata_only
MSFT,8-K,2022-12-16,0001193125-22-306591,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522306591/d434535d8k.htm,0,,,8-K - 2022-12-16,metadata_only
MSFT,DEF 14A,2022-10-27,0001193125-22-270484,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522270484/d318171ddef14a.htm,0,,,DEF 14A - 2022-10-27,metadata_only
MSFT,10-Q,2022-10-25,0001564590-22-035087,https://www.sec.gov/Archives/edgar/data/0001564590/000156459022035087/msft-10q_20220930.htm,0,,,10-Q - 2022-10-25,metadata_only
MSFT,8-K,2022-10-25,0001193125-22-268356,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522268356/d361432d8k.htm,0,,,8-K - 2022-10-25,metadata_only
MSFT,10-K,2022-07-28,0001564590-22-026876,https://www.sec.gov/Archives/edgar/data/0001564590/000156459022026876/msft-10k_20220630.htm,0,,,10-K - 2022-07-28,metadata_only
MSFT,8-K,2022-07-26,0001193125-22-202034,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522202034/d372382d8k.htm,0,,,8-K - 2022-07-26,metadata_only
MSFT,8-K,2022-06-02,0001193125-22-165839,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522165839/d295016d8k.htm,0,,,8-K - 2022-06-02,metadata_only
MSFT,10-Q,2022-04-26,0001564590-22-015675,https://www.sec.gov/Archives/edgar/data/0001564590/000156459022015675/msft-10q_20220331.htm,0,,,10-Q - 2022-04-26,metadata_only
MSFT,8-K,2022-04-26,0001193125-22-120207,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522120207/d328712d8k.htm,0,,,8-K - 2022-04-26,metadata_only
MSFT,8-K,2022-01-25,0001193125-22-017041,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522017041/d299919d8k.htm,0,,,8-K - 2022-01-25,metadata_only
MSFT,10-Q,2022-01-25,0001564590-22-002324,https://www.sec.gov/Archives/edgar/data/0001564590/000156459022002324/msft-10q_20211231.htm,0,,,10-Q - 2022-01-25,metadata_only
MSFT,8-K,2022-01-18,0001193125-22-010667,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522010667/d301984d8k.htm,0,,,8-K - 2022-01-18,metadata_only
MSFT,8-K,2021-11-30,0001193125-21-343711,https://www.sec.gov/Archives/edgar/data/0001193125/000119312521343711/d205343d8k.htm,0,,,8-K - 2021-11-30,metadata_only
