ticker,filing_type,filing_date,accession_number,filing_url,ai_mentions_count,ai_keywords_found,ai_context_snippets,filing_title,status
PLTR,10-Q,2025-08-05,0001321655-25-000106,https://www.sec.gov/Archives/edgar/data/0001321655/000132165525000106/pltr-20250630.htm,0,,,10-Q - 2025-08-05,metadata_only
PLTR,8-K,2025-08-04,0001321655-25-000105,https://www.sec.gov/Archives/edgar/data/0001321655/000132165525000105/pltr-20250804.htm,0,,,8-K - 2025-08-04,metadata_only
PLTR,8-K,2025-06-09,0001321655-25-000084,https://www.sec.gov/Archives/edgar/data/0001321655/000132165525000084/pltr-20250605.htm,0,,,8-K - 2025-06-09,metadata_only
PLTR,10-Q,2025-05-06,0001321655-25-000066,https://www.sec.gov/Archives/edgar/data/0001321655/000132165525000066/pltr-20250331.htm,0,,,10-Q - 2025-05-06,metadata_only
PLTR,8-K,2025-05-05,0001321655-25-000063,https://www.sec.gov/Archives/edgar/data/0001321655/000132165525000063/pltr-20250505.htm,0,,,8-K - 2025-05-05,metadata_only
PLTR,DEF 14A,2025-04-25,0001321655-25-000057,https://www.sec.gov/Archives/edgar/data/0001321655/000132165525000057/pltr-20250424.htm,0,,,DEF 14A - 2025-04-25,metadata_only
PLTR,8-K,2025-02-28,0001321655-25-000033,https://www.sec.gov/Archives/edgar/data/0001321655/000132165525000033/pltr-20250227.htm,0,,,8-K - 2025-02-28,metadata_only
PLTR,10-K,2025-02-18,0001321655-25-000022,https://www.sec.gov/Archives/edgar/data/0001321655/000132165525000022/pltr-20241231.htm,0,,,10-K - 2025-02-18,metadata_only
PLTR,8-K,2025-02-03,0001321655-25-000007,https://www.sec.gov/Archives/edgar/data/0001321655/000132165525000007/pltr-20250203.htm,0,,,8-K - 2025-02-03,metadata_only
PLTR,8-K,2024-11-14,0001321655-24-000219,https://www.sec.gov/Archives/edgar/data/0001321655/000132165524000219/pltr-20241114.htm,0,,,8-K - 2024-11-14,metadata_only
PLTR,10-Q,2024-11-05,0001321655-24-000209,https://www.sec.gov/Archives/edgar/data/0001321655/000132165524000209/pltr-20240930.htm,0,,,10-Q - 2024-11-05,metadata_only
PLTR,8-K,2024-11-04,0001321655-24-000207,https://www.sec.gov/Archives/edgar/data/0001321655/000132165524000207/pltr-20241104.htm,0,,,8-K - 2024-11-04,metadata_only
PLTR,10-Q,2024-08-06,0001321655-24-000135,https://www.sec.gov/Archives/edgar/data/0001321655/000132165524000135/pltr-20240630.htm,0,,,10-Q - 2024-08-06,metadata_only
PLTR,8-K,2024-08-05,0001321655-24-000133,https://www.sec.gov/Archives/edgar/data/0001321655/000132165524000133/pltr-20240805.htm,0,,,8-K - 2024-08-05,metadata_only
PLTR,8-K,2024-06-10,0001321655-24-000088,https://www.sec.gov/Archives/edgar/data/0001321655/000132165524000088/pltr-20240605.htm,0,,,8-K - 2024-06-10,metadata_only
PLTR,10-Q,2024-05-07,0001321655-24-000071,https://www.sec.gov/Archives/edgar/data/0001321655/000132165524000071/pltr-20240331.htm,0,,,10-Q - 2024-05-07,metadata_only
PLTR,8-K,2024-05-06,0001321655-24-000069,https://www.sec.gov/Archives/edgar/data/0001321655/000132165524000069/pltr-20240506.htm,0,,,8-K - 2024-05-06,metadata_only
PLTR,DEF 14A,2024-04-26,0001321655-24-000059,https://www.sec.gov/Archives/edgar/data/0001321655/000132165524000059/pltr-20240426.htm,0,,,DEF 14A - 2024-04-26,metadata_only
