ticker,filing_type,filing_date,accession_number,filing_url,ai_mentions_count,ai_keywords_found,ai_context_snippets,filing_title,status
SHOP,8-K,2025-10-09,0001594805-25-000083,https://www.sec.gov/Archives/edgar/data/0001594805/000159480525000083/shop-20251009.htm,0,,,8-K - 2025-10-09,metadata_only
SHOP,8-K,2025-09-10,0001594805-25-000081,https://www.sec.gov/Archives/edgar/data/0001594805/000159480525000081/shop-20250909.htm,0,,,8-K - 2025-09-10,metadata_only
SHOP,10-Q,2025-08-06,0001594805-25-000073,https://www.sec.gov/Archives/edgar/data/0001594805/000159480525000073/shop-20250630.htm,0,,,10-Q - 2025-08-06,metadata_only
SHOP,8-K,2025-08-06,0001594805-25-000072,https://www.sec.gov/Archives/edgar/data/0001594805/000159480525000072/shop-20250806.htm,0,,,8-K - 2025-08-06,metadata_only
SHOP,8-K,2025-06-18,0001594805-25-000054,https://www.sec.gov/Archives/edgar/data/0001594805/000159480525000054/shop-20250617.htm,0,,,8-K - 2025-06-18,metadata_only
SHOP,10-Q,2025-05-08,0001594805-25-000046,https://www.sec.gov/Archives/edgar/data/0001594805/000159480525000046/shop-20250331.htm,0,,,10-Q - 2025-05-08,metadata_only
SHOP,8-K,2025-05-08,0001594805-25-000045,https://www.sec.gov/Archives/edgar/data/0001594805/000159480525000045/shop-20250508.htm,0,,,8-K - 2025-05-08,metadata_only
SHOP,8-K,2025-04-29,0001594805-25-000040,https://www.sec.gov/Archives/edgar/data/0001594805/000159480525000040/shop-20250429.htm,0,,,8-K - 2025-04-29,metadata_only
SHOP,8-K,2025-03-19,0001594805-25-000018,https://www.sec.gov/Archives/edgar/data/0001594805/000159480525000018/shop-20250318.htm,0,,,8-K - 2025-03-19,metadata_only
SHOP,10-K,2025-02-11,0001594805-25-000012,https://www.sec.gov/Archives/edgar/data/0001594805/000159480525000012/shop-20241231.htm,0,,,10-K - 2025-02-11,metadata_only
SHOP,8-K,2025-02-11,0001594805-25-000011,https://www.sec.gov/Archives/edgar/data/0001594805/000159480525000011/shop-20250211.htm,0,,,8-K - 2025-02-11,metadata_only
