ticker,filing_type,filing_date,accession_number,filing_url,ai_mentions_count,ai_keywords_found,ai_context_snippets,filing_title,status
SNAP,8-K,2025-09-04,0001193125-25-196218,https://www.sec.gov/Archives/edgar/data/0001193125/000119312525196218/d913466d8k.htm,0,,,8-K - 2025-09-04,metadata_only
SNAP,8-K,2025-08-12,0001193125-25-179072,https://www.sec.gov/Archives/edgar/data/0001193125/000119312525179072/d427483d8k.htm,0,,,8-K - 2025-08-12,metadata_only
SNAP,10-Q,2025-08-06,0001564408-25-000052,https://www.sec.gov/Archives/edgar/data/0001564408/000156440825000052/snap-20250630.htm,0,,,10-Q - 2025-08-06,metadata_only
SNAP,8-K,2025-08-05,0001564408-25-000047,https://www.sec.gov/Archives/edgar/data/0001564408/000156440825000047/snap-20250804.htm,0,,,8-K - 2025-08-05,metadata_only
SNAP,8-K,2025-07-10,0001564408-25-000038,https://www.sec.gov/Archives/edgar/data/0001564408/000156440825000038/snap-20250710.htm,0,,,8-K - 2025-07-10,metadata_only
SNAP,10-Q,2025-04-30,0001564408-25-000030,https://www.sec.gov/Archives/edgar/data/0001564408/000156440825000030/snap-20250331.htm,0,,,10-Q - 2025-04-30,metadata_only
SNAP,8-K,2025-04-29,0001564408-25-000028,https://www.sec.gov/Archives/edgar/data/0001564408/000156440825000028/snap-20250429.htm,0,,,8-K - 2025-04-29,metadata_only
SNAP,8-K,2025-02-18,0001193125-25-028741,https://www.sec.gov/Archives/edgar/data/0001193125/000119312525028741/d924741d8k.htm,0,,,8-K - 2025-02-18,metadata_only
SNAP,10-K,2025-02-05,0001564408-25-000019,https://www.sec.gov/Archives/edgar/data/0001564408/000156440825000019/snap-20241231.htm,0,,,10-K - 2025-02-05,metadata_only
SNAP,8-K,2025-02-04,0001564408-25-000016,https://www.sec.gov/Archives/edgar/data/0001564408/000156440825000016/snap-20250204.htm,0,,,8-K - 2025-02-04,metadata_only
SNAP,10-Q,2024-10-30,0001564408-24-000062,https://www.sec.gov/Archives/edgar/data/0001564408/000156440824000062/snap-20240930.htm,0,,,10-Q - 2024-10-30,metadata_only
SNAP,8-K,2024-10-29,0001564408-24-000058,https://www.sec.gov/Archives/edgar/data/0001564408/000156440824000058/snap-20241029.htm,0,,,8-K - 2024-10-29,metadata_only
SNAP,8-K,2024-09-13,0001193125-24-218871,https://www.sec.gov/Archives/edgar/data/0001193125/000119312524218871/d564061d8k.htm,0,,,8-K - 2024-09-13,metadata_only
SNAP,10-Q,2024-08-02,0001564408-24-000050,https://www.sec.gov/Archives/edgar/data/0001564408/000156440824000050/snap-20240630.htm,0,,,10-Q - 2024-08-02,metadata_only
SNAP,8-K,2024-08-01,0001564408-24-000047,https://www.sec.gov/Archives/edgar/data/0001564408/000156440824000047/snap-20240801.htm,0,,,8-K - 2024-08-01,metadata_only
SNAP,8-K,2024-07-24,0001193125-24-183782,https://www.sec.gov/Archives/edgar/data/0001193125/000119312524183782/d870000d8k.htm,0,,,8-K - 2024-07-24,metadata_only
SNAP,8-K,2024-06-28,0001193125-24-172254,https://www.sec.gov/Archives/edgar/data/0001193125/000119312524172254/d845131d8k.htm,0,,,8-K - 2024-06-28,metadata_only
SNAP,8-K,2024-05-17,0001193125-24-141748,https://www.sec.gov/Archives/edgar/data/0001193125/000119312524141748/d838565d8k.htm,0,,,8-K - 2024-05-17,metadata_only
SNAP,8-K,2024-05-13,0001193125-24-137315,https://www.sec.gov/Archives/edgar/data/0001193125/000119312524137315/d821313d8k.htm,0,,,8-K - 2024-05-13,metadata_only
SNAP,10-Q,2024-04-26,0001564408-24-000034,https://www.sec.gov/Archives/edgar/data/0001564408/000156440824000034/snap-20240331.htm,0,,,10-Q - 2024-04-26,metadata_only
SNAP,8-K,2024-04-25,0001564408-24-000030,https://www.sec.gov/Archives/edgar/data/0001564408/000156440824000030/snap-20240425.htm,0,,,8-K - 2024-04-25,metadata_only
SNAP,8-K,2024-02-12,0001193125-24-030898,https://www.sec.gov/Archives/edgar/data/0001193125/000119312524030898/d756183d8k.htm,0,,,8-K - 2024-02-12,metadata_only
SNAP,10-K,2024-02-07,0001564408-24-000019,https://www.sec.gov/Archives/edgar/data/0001564408/000156440824000019/snap-20231231.htm,0,,,10-K - 2024-02-07,metadata_only
SNAP,8-K,2024-02-06,0001564408-24-000017,https://www.sec.gov/Archives/edgar/data/0001564408/000156440824000017/snap-20240206.htm,0,,,8-K - 2024-02-06,metadata_only
SNAP,8-K,2024-02-05,0001193125-24-023571,https://www.sec.gov/Archives/edgar/data/0001193125/000119312524023571/d768969d8k.htm,0,,,8-K - 2024-02-05,metadata_only
SNAP,8-K,2024-01-08,0001193125-24-004463,https://www.sec.gov/Archives/edgar/data/0001193125/000119312524004463/d37219d8k.htm,0,,,8-K - 2024-01-08,metadata_only
SNAP,10-Q,2023-10-25,0001564408-23-000052,https://www.sec.gov/Archives/edgar/data/0001564408/000156440823000052/snap-20230930.htm,0,,,10-Q - 2023-10-25,metadata_only
SNAP,8-K,2023-10-24,0001564408-23-000050,https://www.sec.gov/Archives/edgar/data/0001564408/000156440823000050/snap-20231020.htm,0,,,8-K - 2023-10-24,metadata_only
SNAP,8-K,2023-09-18,0001193125-23-236930,https://www.sec.gov/Archives/edgar/data/0001193125/000119312523236930/d494502d8k.htm,0,,,8-K - 2023-09-18,metadata_only
SNAP,10-Q,2023-07-26,0001564408-23-000039,https://www.sec.gov/Archives/edgar/data/0001564408/000156440823000039/snap-20230630.htm,0,,,10-Q - 2023-07-26,metadata_only
SNAP,8-K,2023-07-25,0001564408-23-000036,https://www.sec.gov/Archives/edgar/data/0001564408/000156440823000036/snap-20230725.htm,0,,,8-K - 2023-07-25,metadata_only
SNAP,8-K,2023-06-30,0001193125-23-180410,https://www.sec.gov/Archives/edgar/data/0001193125/000119312523180410/d442748d8k.htm,0,,,8-K - 2023-06-30,metadata_only
SNAP,8-K,2023-06-21,0001193125-23-171259,https://www.sec.gov/Archives/edgar/data/0001193125/000119312523171259/d489025d8k.htm,0,,,8-K - 2023-06-21,metadata_only
SNAP,8-K,2023-06-05,0001193125-23-160685,https://www.sec.gov/Archives/edgar/data/0001193125/000119312523160685/d508132d8k.htm,0,,,8-K - 2023-06-05,metadata_only
SNAP,10-Q,2023-04-28,0001564408-23-000027,https://www.sec.gov/Archives/edgar/data/0001564408/000156440823000027/snap-20230331.htm,0,,,10-Q - 2023-04-28,metadata_only
SNAP,8-K,2023-04-27,0001564408-23-000024,https://www.sec.gov/Archives/edgar/data/0001564408/000156440823000024/snap-20230427.htm,0,,,8-K - 2023-04-27,metadata_only
SNAP,10-K,2023-02-01,0001564408-23-000013,https://www.sec.gov/Archives/edgar/data/0001564408/000156440823000013/snap-20221231.htm,0,,,10-K - 2023-02-01,metadata_only
SNAP,8-K,2023-01-31,0001564408-23-000010,https://www.sec.gov/Archives/edgar/data/0001564408/000156440823000010/snap-20230131.htm,0,,,8-K - 2023-01-31,metadata_only
SNAP,10-Q,2022-10-21,0001564590-22-034804,https://www.sec.gov/Archives/edgar/data/0001564590/000156459022034804/snap-10q_20220930.htm,0,,,10-Q - 2022-10-21,metadata_only
SNAP,8-K,2022-10-20,0001564590-22-034752,https://www.sec.gov/Archives/edgar/data/0001564590/000156459022034752/snap-8k_20221020.htm,0,,,8-K - 2022-10-20,metadata_only
SNAP,8-K,2022-08-31,0001193125-22-234696,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522234696/d400240d8k.htm,0,,,8-K - 2022-08-31,metadata_only
SNAP,8-K,2022-08-26,0001193125-22-231335,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522231335/d399689d8k.htm,0,,,8-K - 2022-08-26,metadata_only
SNAP,10-Q,2022-07-22,0001564590-22-026210,https://www.sec.gov/Archives/edgar/data/0001564590/000156459022026210/snap-10q_20220630.htm,0,,,10-Q - 2022-07-22,metadata_only
SNAP,8-K,2022-07-21,0001564590-22-026167,https://www.sec.gov/Archives/edgar/data/0001564590/000156459022026167/snap-8k_20220719.htm,0,,,8-K - 2022-07-21,metadata_only
SNAP,8-K,2022-06-24,0001193125-22-181629,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522181629/d870971d8k.htm,0,,,8-K - 2022-06-24,metadata_only
SNAP,8-K,2022-05-23,0001193125-22-157565,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522157565/d516472d8k.htm,0,,,8-K - 2022-05-23,metadata_only
SNAP,8-K,2022-05-09,0001193125-22-145102,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522145102/d301671d8k.htm,0,,,8-K - 2022-05-09,metadata_only
SNAP,10-Q,2022-04-22,0001564590-22-015139,https://www.sec.gov/Archives/edgar/data/0001564590/000156459022015139/snap-10q_20220331.htm,0,,,10-Q - 2022-04-22,metadata_only
SNAP,8-K,2022-04-21,0001564590-22-015086,https://www.sec.gov/Archives/edgar/data/0001564590/000156459022015086/snap-8k_20220421.htm,0,,,8-K - 2022-04-21,metadata_only
SNAP,8-K,2022-02-11,0001193125-22-037163,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522037163/d311905d8k.htm,0,,,8-K - 2022-02-11,metadata_only
SNAP,10-K,2022-02-04,0001564590-22-003868,https://www.sec.gov/Archives/edgar/data/0001564590/000156459022003868/snap-10k_20211231.htm,0,,,10-K - 2022-02-04,metadata_only
